,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Hawaii,5591,12432.0,,10605.6,,,10206.3,3391.9,23069.6,6350.6,7779.0,6841.0,,5014.6,,,4615.3,-2199.1,17478.6,759.6,2188.0,,True,,,True,True,False,True,True
Idaho,31134,14448.0,,11777.3,,13666.0,8605.7,606.8,8530.4,1732.1,7310.0,-16686.0,,-19356.7,,-17468.0,-22528.3,-30527.2,-22603.6,-29401.9,-23824.0,,False,,False,False,False,False,False,False
Illinois,166445,136288.0,,102370.7,,82801.0,90653.7,66056.6,156771.0,163872.2,88839.0,-30157.0,,-64074.3,,-83644.0,-75791.3,-100388.4,-9674.0,-2572.8,-77606.0,,False,,False,False,False,True,True,False
Indiana,80397,52216.0,,51144.9,,42551.0,43672.2,28126.7,35916.4,39985.7,40343.0,-28181.0,,-29252.1,,-37846.0,-36724.8,-52270.3,-44480.6,-40411.3,-40054.0,,False,,False,False,False,False,False,False
Iowa,58820,48624.0,,54092.6,,51344.0,52832.4,16013.7,30241.7,17994.8,19876.0,-10196.0,,-4727.4,,-7476.0,-5987.6,-42806.3,-28578.3,-40825.2,-38944.0,,True,,True,True,False,False,False,False
Kansas,41287,32488.0,,33493.9,,28294.0,28147.3,10171.1,14800.0,14239.0,16509.0,-8799.0,,-7793.1,,-12993.0,-13139.7,-31115.9,-26487.0,-27048.0,-24778.0,,True,,False,False,False,False,False,False
Kentucky,54755,39096.0,,39596.6,,40053.0,33737.7,15744.5,26158.9,32366.3,27247.0,-15659.0,,-15158.4,,-14702.0,-21017.3,-39010.5,-28596.1,-22388.7,-27508.0,,True,,True,False,False,False,False,False
Louisiana,34290,41840.0,,24973.5,,39220.0,20673.7,14891.4,23922.3,26557.6,15389.0,7550.0,,-9316.5,,4930.0,-13616.3,-19398.6,-10367.7,-7732.4,-18901.0,,False,,True,False,False,False,False,False
Maine,2030,1128.0,,1144.4,,1148.0,1479.5,1116.6,1001.7,2260.0,1148.0,-902.0,,-885.6,,-882.0,-550.5,-913.4,-1028.3,230.0,-882.0,,True,,True,True,False,False,True,True
Maryland,33674,34504.0,,36030.7,,26161.0,22773.3,12430.6,28744.7,46457.4,29954.0,830.0,,2356.7,,-7513.0,-10900.7,-21243.4,-4929.3,12783.4,-3720.0,,False,,False,False,False,False,False,False
Massachusetts,36380,0.0,,76521.6,,12255.0,16107.8,6611.2,9165.2,83804.5,0.0,-36380.0,,40141.6,,-24125.0,-20272.2,-29768.8,-27214.8,47424.5,-36380.0,,False,,True,True,True,True,False,False
Michigan,80215,48440.0,,31808.4,,40763.0,41535.9,3179.2,72644.9,21723.5,26519.0,-31775.0,,-48406.6,,-39452.0,-38679.1,-77035.8,-7570.1,-58491.5,-53696.0,,False,,False,False,False,True,False,False
Minnesota,68592,44984.0,,47282.6,,55019.0,37608.7,28021.4,32487.2,41686.1,44717.0,-23608.0,,-21309.4,,-13573.0,-30983.3,-40570.6,-36104.8,-26905.9,-23875.0,,True,,True,False,False,False,False,False
Mississippi,33682,35592.0,,24449.9,,37921.0,18517.8,11532.2,22432.6,15657.1,17161.0,1910.0,,-9232.1,,4239.0,-15164.2,-22149.8,-11249.4,-18024.9,-16521.0,,False,,False,False,False,False,False,False
Missouri,92821,80024.0,,72122.4,,58963.0,58124.7,30677.6,46080.4,99602.4,51230.0,-12797.0,,-20698.6,,-33858.0,-34696.3,-62143.4,-46740.6,6781.4,-41591.0,,False,,False,False,False,False,True,False
Montana,24637,7304.0,,8035.4,,10507.0,6305.2,3984.3,2325.8,7991.3,8485.0,-17333.0,,-16601.6,,-14130.0,-18331.8,-20652.7,-22311.2,-16645.7,-16152.0,,True,,True,False,False,False,True,True
Nebraska,34927,16416.0,,17011.4,,20162.0,14552.0,3017.0,12725.0,7394.4,14056.0,-18511.0,,-17915.6,,-14765.0,-20375.0,-31910.0,-22202.0,-27532.6,-20871.0,,True,,True,False,False,False,False,False
Nevada,29659,21128.0,,18955.5,,17091.0,14565.8,6710.3,12763.7,11449.5,10685.0,-8531.0,,-10703.5,,-12568.0,-15093.2,-22948.7,-16895.3,-18209.5,-18974.0,,False,,False,False,False,False,False,False
New Hampshire,3660,1424.0,,1380.4,,958.0,1015.7,837.1,1058.9,3428.8,2510.0,-2236.0,,-2279.6,,-2702.0,-2644.3,-2822.9,-2601.1,-231.2,-1150.0,,False,,False,False,False,False,True,True
New Jersey,44139,19416.0,,10014.4,,17998.0,14422.3,20032.0,16975.1,14121.7,21566.0,-24723.0,,-34124.6,,-26141.0,-29716.7,-24107.0,-27163.9,-30017.3,-22573.0,,False,,False,False,True,False,False,True
New Mexico,20442,6960.0,,6229.2,,6367.0,4841.7,2039.4,4934.0,4414.9,5147.0,-13482.0,,-14212.8,,-14075.0,-15600.3,-18402.6,-15508.0,-16027.1,-15295.0,,False,,False,False,False,False,False,False
New York,70749,42960.0,,16216.7,,17046.0,37213.0,42754.1,31947.7,48692.0,48431.0,-27789.0,,-54532.3,,-53703.0,-33536.0,-27994.9,-38801.3,-22057.0,-22318.0,,False,,False,False,False,False,True,True
North Carolina,93940,85912.0,,76679.8,,94554.0,68573.4,32802.9,49592.4,54312.8,73848.0,-8028.0,,-17260.2,,614.0,-25366.6,-61137.1,-44347.6,-39627.2,-20092.0,,False,,True,False,False,False,False,False
