,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,42648,37135.0,31333.0,,26177.1,10893.0,,44148.0,26494.0,33739.8,16824.0,18711.5,22610.9,,,25367.6,5858.7,25782.0,-5513.0,-11315.0,,-16470.9,-31755.0,,1500.0,-16154.0,-8908.2,-25824.0,-23936.5,-20037.1,,,-17280.4,-36789.3,-16866.0,False,,False,False,,True,False,False,False,False,False,,,False,False,False
Alaska,7967,3190.0,779.0,,3514.5,2312.0,,,4073.3,3166.4,2834.7,2079.4,2762.2,,2320.2,1982.5,5912.1,3254.0,-4777.0,-7188.0,,-4452.5,-5655.0,,,-3893.7,-4800.6,-5132.3,-5887.6,-5204.8,,-5646.8,-5984.5,-2054.9,-4713.0,False,,True,False,,,True,False,False,False,False,,False,False,True,True
Arizona,29120,16375.0,11690.0,,17345.9,3208.0,,16057.0,20431.0,13122.4,13049.8,18331.1,8390.9,,5202.4,12748.0,12467.9,6179.0,-12745.0,-17430.0,,-11774.1,-25912.0,,-13063.0,-8689.0,-15997.6,-16070.2,-10788.9,-20729.1,,-23917.6,-16372.0,-16652.1,-22941.0,False,,True,False,,False,True,False,False,True,False,,False,False,False,False
Arkansas,31435,27975.0,29609.0,,27164.5,17084.0,,29171.0,40564.6,28618.0,11725.4,39409.4,16707.3,,10922.8,19334.3,18798.7,21271.0,-3460.0,-1826.0,,-4270.5,-14351.0,,-2264.0,9129.6,-2817.0,-19709.6,7974.4,-14727.7,,-20512.2,-12100.7,-12636.3,-10164.0,True,,False,False,,True,False,True,False,False,False,,False,False,False,False
California,124692,120690.0,144491.0,,91727.2,68270.0,,111654.0,97211.8,99059.4,111417.0,76192.5,63892.2,,54305.9,87567.0,97107.6,103018.0,-4002.0,19799.0,,-32964.8,-56422.0,,-13038.0,-27480.2,-25632.6,-13275.0,-48499.5,-60799.8,,-70386.1,-37125.0,-27584.4,-21674.0,False,,False,False,,False,False,False,False,False,False,,False,False,False,False
Colorado,38840,20765.0,53921.0,,19729.4,790.0,,23715.0,36337.8,19342.2,18977.5,17491.9,13646.0,,9653.3,13680.7,28222.7,33937.0,-18075.0,15081.0,,-19110.6,-38050.0,,-15125.0,-2502.2,-19497.8,-19862.5,-21348.1,-25194.0,,-29186.7,-25159.3,-10617.3,-4903.0,True,,False,False,,True,True,False,False,False,False,,False,False,True,True
Connecticut,14620,5300.0,13705.0,,4775.5,7.0,,4553.0,5251.6,4526.1,11315.5,6400.5,1643.4,,322.2,4418.6,3048.2,2562.0,-9320.0,-915.0,,-9844.5,-14613.0,,-10067.0,-9368.4,-10093.9,-3304.5,-8219.5,-12976.6,,-14297.8,-10201.4,-11571.8,-12058.0,True,,False,False,,False,False,False,True,True,False,,False,False,False,False
Delaware,4795,3535.0,2522.0,,3589.9,5.0,,2581.0,5493.5,2607.5,3027.4,3068.8,2103.7,,1852.4,2418.4,2921.7,2307.0,-1260.0,-2273.0,,-1205.1,-4790.0,,-2214.0,698.5,-2187.5,-1767.6,-1726.2,-2691.3,,-2942.6,-2376.6,-1873.3,-2488.0,False,,True,False,,False,True,False,False,False,False,,False,False,False,False
District of Columbia,2051,1565.0,676.0,,1153.4,56.0,,1001.0,1853.6,1092.6,1804.4,1103.8,935.9,,249.1,1224.5,1294.0,1464.0,-486.0,-1375.0,,-897.6,-1995.0,,-1050.0,-197.4,-958.4,-246.6,-947.2,-1115.1,,-1801.9,-826.5,-757.0,-587.0,False,,False,False,,False,True,False,True,False,False,,False,False,False,False
Florida,103865,87245.0,133396.0,,69078.6,23016.0,,73786.0,87595.3,69262.2,93896.3,35901.9,49411.9,,29629.8,62116.4,58904.3,67952.0,-16620.0,29531.0,,-34786.4,-80849.0,,-30079.0,-16269.7,-34602.8,-9968.7,-67963.1,-54453.1,,-74235.2,-41748.6,-44960.7,-35913.0,False,,False,False,,False,True,False,True,False,False,,False,False,False,False
