,count,mean,median,std,min,25%,75%,max
LNQ-ens1,3140,50.5,10.3,187.0,0.0,3.4,30.5,4434.5
COVIDhub-ensemble,3141,61.9,12.0,228.5,0.0,4.0,37.0,6105.0
LANL-GrowthRate,3111,63.7,15.0,224.8,0.0,5.0,42.0,5405.0
COVIDhub-trained_ensemble,3141,64.6,14.0,232.8,0.0,5.0,40.0,5210.0
OneQuietNight-ML,3135,64.7,14.0,219.1,0.0,5.0,42.0,4843.0
UChicagoCHATTOPADHYAY-UnIT,3093,71.1,15.2,260.6,0.0,5.7,44.2,8971.0
JHU_IDD-CovidSP,3141,72.9,13.7,451.6,0.0,4.5,41.9,21719.9
FAIR-NRAR,3137,75.3,14.7,250.4,0.0,4.5,49.5,4972.9
UVA-Ensemble,3131,75.4,15.7,267.8,0.0,5.2,46.4,6538.9
CU-select,3096,91.2,16.0,397.4,0.0,5.0,46.0,10132.0
COVIDhub-baseline,3141,95.5,17.0,405.9,0.0,5.0,54.0,13686.0
CEID-Walk,3141,96.6,17.6,410.8,0.0,5.8,54.2,14123.1
OliverWyman-Navigator,3003,104.6,19.0,425.7,0.0,6.0,60.0,12486.0
JHUAPL-Bucky,3141,112.1,20.3,502.4,0.0,6.4,60.0,14183.2
Google_Harvard-CPF,3140,112.4,19.5,385.4,0.0,6.4,62.1,8260.0
IowaStateLW-STEM,3103,122.0,25.0,763.2,0.0,9.0,72.0,34178.0
UpstateSU-GRU,2770,127.3,26.0,600.3,0.0,8.5,77.2,20041.9
PandemicCentral-USCounty,2878,136.6,29.1,461.3,0.0,9.2,83.3,12074.3
