,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01001,1588,1345.0,712.0,,,,,1125.0,548.1,839.3,,1193.0,,,,623.0,,,-243.0,-876.0,,,,,-463.0,-1039.9,-748.7,,-395.0,,,,-965.0,,,False,,,,,False,False,False,,False,,,,False,,
01003,4713,6235.0,16069.0,,,,,3698.0,5023.1,3649.3,,6646.5,,,,3888.4,5360.0,,1522.0,11356.0,,,,,-1015.0,310.1,-1063.7,,1933.5,,,,-824.6,647.0,,False,,,,,True,True,True,,False,,,,True,True,
01005,474,650.0,1312.0,,,,,448.0,1379.1,328.5,,485.0,,,,,,,176.0,838.0,,,,,-26.0,905.1,-145.5,,11.0,,,,,,,False,,,,,True,False,True,,True,,,,,,
01007,471,620.0,350.0,,,,,458.0,326.9,357.6,,589.0,,,,,,,149.0,-121.0,,,,,-13.0,-144.1,-113.4,,118.0,,,,,,,True,,,,,True,True,True,,True,,,,,,
01009,1179,1415.0,903.0,,,,,1295.0,466.5,750.5,,902.5,,,,993.6,,,236.0,-276.0,,,,,116.0,-712.5,-428.5,,-276.5,,,,-185.4,,,False,,,,,True,False,False,,False,,,,True,,
01011,236,335.0,582.0,,,,,127.0,1479.0,178.6,,506.0,,,,,,,99.0,346.0,,,,,-109.0,1243.0,-57.4,,270.0,,,,,,,False,,,,,False,False,True,,False,,,,,,
01013,333,420.0,354.0,,,,,338.0,369.5,257.0,,407.0,,,,,,,87.0,21.0,,,,,5.0,36.5,-76.0,,74.0,,,,,,,True,,,,,True,True,True,,True,,,,,,
01015,2676,2470.0,1531.0,,,,,2751.0,728.5,1863.1,,1912.0,,,,1187.0,,,-206.0,-1145.0,,,,,75.0,-1947.5,-812.9,,-764.0,,,,-1489.0,,,False,,,,,True,False,False,,False,,,,False,,
01017,873,915.0,1923.0,,,,,637.0,1308.9,407.8,,1790.5,,,,618.8,,,42.0,1050.0,,,,,-236.0,435.9,-465.2,,917.5,,,,-254.2,,,False,,,,,False,False,False,,False,,,,False,,
01019,295,335.0,84.0,,,,,526.0,149.6,270.0,,199.5,,,,,,,40.0,-211.0,,,,,231.0,-145.4,-25.0,,-95.5,,,,,,,False,,,,,False,False,True,,False,,,,,,
01021,590,1035.0,1889.0,,,,,885.0,970.0,470.6,,808.0,,,,586.6,,,445.0,1299.0,,,,,295.0,380.0,-119.4,,218.0,,,,-3.4,,,False,,,,,True,True,True,,True,,,,True,,
01023,49,30.0,12.0,,,,,285.0,6.9,73.9,,10.0,,,,,,,-19.0,-37.0,,,,,236.0,-42.1,24.9,,-39.0,,,,,,,False,,,,,False,False,False,,False,,,,,,
01025,889,775.0,920.0,,,,,463.0,511.0,400.2,,899.0,,,,443.5,,,-114.0,31.0,,,,,-426.0,-378.0,-488.8,,10.0,,,,-445.5,,,True,,,,,False,False,False,,True,,,,False,,
01027,198,275.0,301.0,,,,,264.0,131.5,126.3,,236.0,,,,,,,77.0,103.0,,,,,66.0,-66.5,-71.7,,38.0,,,,,,,False,,,,,True,True,True,,True,,,,,,
01029,273,265.0,84.0,,,,,338.0,96.0,156.7,,185.0,,,,,,,-8.0,-189.0,,,,,65.0,-177.0,-116.3,,-88.0,,,,,,,False,,,,,False,False,False,,False,,,,,,
01031,1393,1420.0,1253.0,,,,,998.0,868.9,784.3,,1414.5,,,,1039.4,,,27.0,-140.0,,,,,-395.0,-524.1,-608.7,,21.5,,,,-353.6,,,False,,,,,False,False,False,,True,,,,False,,
01033,1137,1645.0,1922.0,,,,,1380.0,969.6,880.7,,1705.5,,,,793.9,,,508.0,785.0,,,,,243.0,-167.4,-256.3,,568.5,,,,-343.1,,,False,,,,,True,True,True,,False,,,,True,,
01035,166,195.0,129.0,,,,,193.0,89.2,95.2,,76.0,0.0,,,,,,29.0,-37.0,,,,,27.0,-76.8,-70.8,,-90.0,-166.0,,,,,,False,,,,,True,False,False,,False,False,,,,,
01037,223,230.0,273.0,,,,,149.0,368.4,105.8,,336.0,2.9,,,,,,7.0,50.0,,,,,-74.0,145.4,-117.2,,113.0,-220.1,,,,,,False,,,,,False,False,False,,False,False,,,,,
01039,784,780.0,1140.0,,,,,748.0,399.3,446.9,,411.0,115.6,,,815.6,,,-4.0,356.0,,,,,-36.0,-384.7,-337.1,,-373.0,-668.4,,,31.6,,,False,,,,,False,False,False,,False,False,,,False,,
01041,388,320.0,356.0,,,,,225.0,192.1,187.4,,205.0,27.1,,,,,,-68.0,-32.0,,,,,-163.0,-195.9,-200.6,,-183.0,-360.9,,,,,,True,,,,,False,False,False,,False,False,,,,,
01043,1481,2585.0,2943.0,,,,,2214.0,1061.2,1366.7,,1429.0,357.9,,,2043.5,,,1104.0,1462.0,,,,,733.0,-419.8,-114.3,,-52.0,-1123.1,,,562.5,,,False,,,,,True,True,True,,True,False,,,True,,
01045,991,1210.0,2304.0,,,,,981.0,696.9,772.9,,1183.0,192.3,,,680.7,,,219.0,1313.0,,,,,-10.0,-294.1,-218.1,,192.0,-798.7,,,-310.3,,,False,,,,,True,False,True,,True,False,,,False,,
01047,443,710.0,1011.0,,,,,609.0,558.5,484.3,,516.5,55.2,,,384.0,,,267.0,568.0,,,,,166.0,115.5,41.3,,73.5,-387.8,,,-59.0,,,False,,,,,True,True,True,,True,False,,,True,,
01049,1256,1470.0,415.0,,,,,2012.0,345.2,977.0,,695.0,0.0,,,802.4,,,214.0,-841.0,,,,,756.0,-910.8,-279.0,,-561.0,-1256.0,,,-453.6,,,False,,,,,False,False,False,,False,False,,,False,,
01051,2244,3420.0,4516.0,,,,,1510.0,2405.6,1619.9,,3094.0,236.8,,,2526.0,,,1176.0,2272.0,,,,,-734.0,161.6,-624.1,,850.0,-2007.2,,,282.0,,,False,,,,,True,True,True,,True,False,,,True,,
01053,914,970.0,516.0,,,,,758.0,784.6,567.5,,708.5,60.3,,,492.5,,,56.0,-398.0,,,,,-156.0,-129.4,-346.5,,-205.5,-853.7,,,-421.5,,,False,,,,,False,False,False,,False,False,,,False,,
01055,2515,3230.0,1849.0,,,,,2605.0,975.9,2050.2,,2450.0,0.0,,,2455.4,,,715.0,-666.0,,,,,90.0,-1539.1,-464.8,,-65.0,-2515.0,,,-59.6,,,True,,,,,True,False,True,,True,False,,,True,,
01057,460,375.0,105.0,,,,,413.0,123.9,258.6,,257.0,0.0,,,,,,-85.0,-355.0,,,,,-47.0,-336.1,-201.4,,-203.0,-460.0,,,,,,False,,,,,True,False,False,,False,False,,,,,
01059,586,910.0,729.0,,,,,1031.0,626.1,480.5,,792.0,47.4,,,501.6,,,324.0,143.0,,,,,445.0,40.1,-105.5,,206.0,-538.6,,,-84.4,,,True,,,,,False,True,True,,True,False,,,True,,
01061,598,675.0,1045.0,,,,,572.0,661.8,340.5,,729.0,66.9,,,,,,77.0,447.0,,,,,-26.0,63.8,-257.5,,131.0,-531.1,,,,,,False,,,,,True,True,False,,False,False,,,,,
01063,144,285.0,296.0,,,,,126.0,264.0,158.3,,163.0,8.6,,,,,,141.0,152.0,,,,,-18.0,120.0,14.3,,19.0,-135.4,,,,,,False,,,,,True,True,True,,True,True,,,,,
01065,510,595.0,466.0,,,,,302.0,200.4,323.5,,510.0,41.4,,,,,,85.0,-44.0,,,,,-208.0,-309.6,-186.5,,0.0,-468.6,,,,,,True,,,,,False,False,False,,True,False,,,,,
01067,458,620.0,428.0,,,,,294.0,468.4,267.2,,663.0,54.6,,,,,,162.0,-30.0,,,,,-164.0,10.4,-190.8,,205.0,-403.4,,,,,,True,,,,,False,True,False,,False,False,,,,,
01069,2246,2915.0,5228.0,,,,,1877.0,2573.4,1365.9,,3429.0,346.3,,,1715.5,,,669.0,2982.0,,,,,-369.0,327.4,-880.1,,1183.0,-1899.7,,,-530.5,,,False,,,,,True,True,False,,False,False,,,True,,
01071,1135,1665.0,3072.0,,,,,1315.0,937.2,739.9,,2526.5,0.0,,,918.3,,,530.0,1937.0,,,,,180.0,-197.8,-395.1,,1391.5,-1135.0,,,-216.7,,,False,,,,,True,True,True,,False,False,,,True,,
01073,14701,21715.0,32798.0,,,,,15978.0,13135.7,13261.1,,17997.5,4414.4,,,8241.3,11930.0,,7014.0,18097.0,,,,,1277.0,-1565.3,-1439.9,,3296.5,-10286.6,,,-6459.7,-2771.0,,False,,,,,True,True,True,,True,False,,,True,True,
01075,200,300.0,74.0,,,,,314.0,94.3,195.3,,203.0,0.0,,,,,,100.0,-126.0,,,,,114.0,-105.7,-4.7,,3.0,-200.0,,,,,,False,,,,,False,False,True,,True,False,,,,,
01077,1737,2870.0,2114.0,,,,,2320.0,1736.2,1336.2,,3244.5,494.5,,,2164.0,,,1133.0,377.0,,,,,583.0,-0.8,-400.8,,1507.5,-1242.5,,,427.0,,,True,,,,,True,True,True,,False,False,,,True,,
01079,615,890.0,553.0,,,,,883.0,408.7,524.0,,838.0,36.6,,,,,,275.0,-62.0,,,,,268.0,-206.3,-91.0,,223.0,-578.4,,,,,,True,,,,,True,True,True,,True,False,,,,,
01081,3769,3540.0,6432.0,,,,,2819.0,2898.6,2268.9,,3714.5,0.4,,,2836.7,2766.0,,-229.0,2663.0,,,,,-950.0,-870.4,-1500.1,,-54.5,-3768.6,,,-932.3,-1003.0,,False,,,,,False,False,False,,True,False,,,False,False,
01083,1922,2565.0,1821.0,,,,,2032.0,1006.7,1392.6,,2109.5,0.0,,,2662.0,,,643.0,-101.0,,,,,110.0,-915.3,-529.4,,187.5,-1922.0,,,740.0,,,True,,,,,True,False,True,,True,False,,,False,,
01085,312,195.0,147.0,,,,,103.0,123.1,129.5,,176.0,0.0,,,,,,-117.0,-165.0,,,,,-209.0,-188.9,-182.5,,-136.0,-312.0,,,,,,False,,,,,False,False,False,,False,False,,,,,
01087,320,255.0,122.0,,,,,204.0,183.9,204.6,,255.0,18.1,,,,,,-65.0,-198.0,,,,,-116.0,-136.1,-115.4,,-65.0,-301.9,,,,,,False,,,,,False,False,False,,False,False,,,,,
01089,7511,10385.0,48945.0,,,,,7431.0,5139.0,6685.8,,9281.5,1650.1,,,5828.5,0.0,,2874.0,41434.0,,,,,-80.0,-2372.0,-825.2,,1770.5,-5860.9,,,-1682.5,-7511.0,,False,,,,,True,True,True,,True,False,,,True,False,
01091,392,405.0,153.0,,,,,378.0,136.8,305.5,,277.0,0.0,,,,,,13.0,-239.0,,,,,-14.0,-255.2,-86.5,,-115.0,-392.0,,,,,,False,,,,,False,False,False,,False,False,,,,,
01093,520,720.0,517.0,,,,,731.0,306.0,457.8,,726.0,0.0,,,,,,200.0,-3.0,,,,,211.0,-214.0,-62.2,,206.0,-520.0,,,,,,True,,,,,False,False,True,,False,False,,,,,
01095,1666,2310.0,1215.0,,,,,2497.0,818.0,1684.9,,1036.0,0.0,,,1307.6,,,644.0,-451.0,,,,,831.0,-848.0,18.9,,-630.0,-1666.0,,,-358.4,,,True,,,,,False,False,True,,True,False,,,True,,
01097,7565,8815.0,6901.0,,,,,7268.0,18906.1,5155.2,,9762.5,0.3,,,7463.5,0.0,,1250.0,-664.0,,,,,-297.0,11341.1,-2409.8,,2197.5,-7564.7,,,-101.5,-7565.0,,True,,,,,True,False,False,,False,False,,,True,False,
01099,392,635.0,856.0,,,,,378.0,574.7,400.9,,418.0,42.1,,,,,,243.0,464.0,,,,,-14.0,182.7,8.9,,26.0,-349.9,,,,,,False,,,,,True,True,True,,True,False,,,,,
01101,5084,4475.0,10041.0,,,,,3698.0,2882.9,2461.9,,4273.5,605.9,,,3475.7,3110.0,,-609.0,4957.0,,,,,-1386.0,-2201.1,-2622.1,,-810.5,-4478.1,,,-1608.3,-1974.0,,False,,,,,False,False,False,,False,False,,,False,False,
01103,2305,3940.0,1718.0,,,,,3124.0,1605.6,2029.8,,2879.0,663.9,,,1836.6,,,1635.0,-587.0,,,,,819.0,-699.4,-275.2,,574.0,-1641.1,,,-468.4,,,True,,,,,True,True,True,,True,False,,,True,,
01105,195,295.0,394.0,,,,,133.0,205.1,160.5,,290.0,0.0,,,,,,100.0,199.0,,,,,-62.0,10.1,-34.5,,95.0,-195.0,,,,,,False,,,,,True,True,True,,True,False,,,,,
01107,383,535.0,454.0,,,,,425.0,216.6,292.7,,328.0,0.0,,,,,,152.0,71.0,,,,,42.0,-166.4,-90.3,,-55.0,-383.0,,,,,,True,,,,,True,False,True,,True,False,,,,,
01109,779,700.0,1376.0,,,,,559.0,1081.1,365.9,,414.0,72.4,,,,,,-79.0,597.0,,,,,-220.0,302.1,-413.1,,-365.0,-706.6,,,,,,False,,,,,False,False,False,,False,False,,,,,
01111,286,295.0,420.0,,,,,447.0,239.1,175.8,,268.0,27.7,,,,,,9.0,134.0,,,,,161.0,-46.9,-110.2,,-18.0,-258.3,,,,,,False,,,,,False,False,False,,False,False,,,,,
01113,1010,800.0,1948.0,,,,,994.0,1408.3,578.1,,748.0,0.0,,,783.1,,,-210.0,938.0,,,,,-16.0,398.3,-431.9,,-262.0,-1010.0,,,-226.9,,,False,,,,,True,False,False,,False,False,,,False,,
01115,1710,2580.0,2217.0,,,,,1658.0,1230.0,1248.2,,1933.0,275.1,,,1279.5,,,870.0,507.0,,,,,-52.0,-480.0,-461.8,,223.0,-1434.9,,,-430.5,,,True,,,,,True,True,True,,True,False,,,True,,
01117,4760,5770.0,7473.0,,,,,4573.0,3515.6,3232.3,,5162.0,871.7,,,4239.8,3902.0,,1010.0,2713.0,,,,,-187.0,-1244.4,-1527.7,,402.0,-3888.3,,,-520.2,-858.0,,False,,,,,True,False,False,,True,False,,,True,True,
01119,93,235.0,65.0,,,,,176.0,62.2,204.2,,203.0,0.0,,,,,,142.0,-28.0,,,,,83.0,-30.8,111.2,,110.0,-93.0,,,,,,True,,,,,True,True,True,,True,True,,,,,
01121,1885,1685.0,959.0,,,,,1710.0,1180.6,1019.0,,1376.5,154.3,,,756.2,,,-200.0,-926.0,,,,,-175.0,-704.4,-866.0,,-508.5,-1730.7,,,-1128.8,,,False,,,,,True,False,False,,False,False,,,False,,
01123,1005,510.0,308.0,,,,,702.0,375.4,395.6,,568.0,0.0,,,190.7,,,-495.0,-697.0,,,,,-303.0,-629.6,-609.4,,-437.0,-1005.0,,,-814.3,,,False,,,,,True,False,False,,True,False,,,False,,
01125,4059,6315.0,9351.0,,,,,4587.0,3289.0,3761.7,,5339.5,1359.6,,,5308.7,0.0,,2256.0,5292.0,,,,,528.0,-770.0,-297.3,,1280.5,-2699.4,,,1249.7,-4059.0,,False,,,,,True,True,True,,True,False,,,True,False,
01127,894,1675.0,1827.0,,,,,1714.0,911.0,839.2,,1109.0,119.3,,,659.0,,,781.0,933.0,,,,,820.0,17.0,-54.8,,215.0,-774.7,,,-235.0,,,False,,,,,False,True,True,,True,True,,,True,,
01129,285,310.0,222.0,,,,,414.0,136.3,182.0,,333.0,0.0,,,,,,25.0,-63.0,,,,,129.0,-148.7,-103.0,,48.0,-285.0,,,,,,False,,,,,False,False,False,,False,False,,,,,
01131,271,220.0,277.0,,,,,117.0,103.8,149.1,,163.0,0.0,,,,,,-51.0,6.0,,,,,-154.0,-167.2,-121.9,,-108.0,-271.0,,,,,,True,,,,,False,False,False,,False,False,,,,,
