,mean_rank
LNQ-ens1,5.9
JHU_IDD-CovidSP,10.1
LANL-GrowthRate,10.2
USC-SI_kJalpha,10.5
UChicagoCHATTOPADHYAY-UnIT,10.6
MOBS-GLEAM_COVID,11.8
UCLA-SuEIR,11.8
IEM_MED-CovidProject,12.1
CU-select,12.2
COVIDhub-ensemble,12.6
JHUAPL-Bucky,13.3
RobertWalraven-ESG,13.6
BPagano-RtDriven,13.7
Karlen-pypm,14.3
DDS-NBDS,15.6
CEID-Walk,16.0
JHU_CSSE-DECOM,16.2
MIT_ISOLAT-Mixtures,16.6
OneQuietNight-ML,16.6
COVIDhub-baseline,16.8
JHU_UNC_GAS-StatMechPool,17.0
CovidAnalytics-DELPHI,18.2
TTU-squider,19.3
IowaStateLW-STEM,19.7
Google_Harvard-CPF,20.1
Covid19Sim-Simulator,21.0
UMich-RidgeTfReg,21.1
OliverWyman-Navigator,22.5
Microsoft-DeepSTIA,22.6
UVA-Ensemble,25.1
UCSB-ACTS,29.0
