,mean_rank
JHU_IDD-CovidSP,6.7
MOBS-GLEAM_COVID,7.2
JHU_UNC_GAS-StatMechPool,7.8
USC-SI_kJalpha,9.3
Karlen-pypm,9.5
OneQuietNight-ML,11.1
Covid19Sim-Simulator,11.2
TTU-squider,11.2
RobertWalraven-ESG,11.6
UCLA-SuEIR,12.3
CovidAnalytics-DELPHI,12.9
IowaStateLW-STEM,13.3
COVIDhub-ensemble,13.4
LANL-GrowthRate,13.5
JHUAPL-Bucky,13.7
UCSB-ACTS,13.8
BPagano-RtDriven,14.5
CEID-Walk,14.8
COVIDhub-baseline,15.4
Microsoft-DeepSTIA,15.8
UMich-RidgeTfReg,17.5
UVA-Ensemble,19.0
JHU_CSSE-DECOM,19.5
LNQ-ens1,19.6
IEM_MED-CovidProject,21.6
Google_Harvard-CPF,21.6
DDS-NBDS,23.9
CU-select,24.1
