,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Alabama,31869,37522.0,41959.8,35148.0,34805.0,32345.0,,36072.2,33511.0,35337.6,,38851.1,,32690.6,37361.0,23623.3,36023.0,30871.2,37877.5,23443.2,27683.5,27899.8,30883.2,40386.8,39285.2,39111.0,34015.0,,35867.8,,45549.6,,33532.0,57535.6,26431.8,44216.9,37406.0,46331.1,,5653.0,10090.8,3279.0,2936.0,476.0,,4203.2,1642.0,3468.6,,6982.1,,821.6,5492.0,-8245.7,4154.0,-997.8,6008.5,-8425.8,-4185.5,-3969.2,-985.8,8517.8,7416.2,7242.0,2146.0,,3998.8,,13680.6,,1663.0,25666.6,-5437.2,12347.9,5537.0,14462.1,,False,True,True,True,,True,True,True,,False,,True,True,False,True,True,False,False,True,True,True,False,False,False,True,,True,,False,,True,False,True,False,True,False,
Alaska,2109,2994.0,1917.2,2865.4,2491.0,1176.0,,2984.7,9707.0,2394.2,,2846.2,,2470.3,,2358.3,3201.0,2307.8,1956.5,2230.9,1804.0,2053.5,1998.8,5647.8,2813.2,3043.0,3661.0,,2112.9,,1932.3,,2993.0,2209.3,2349.5,4499.2,2604.0,3385.7,,885.0,-191.8,756.4,382.0,-933.0,,875.7,7598.0,285.2,,737.2,,361.3,,249.3,1092.0,198.8,-152.5,121.9,-305.0,-55.5,-110.2,3538.8,704.2,934.0,1552.0,,3.9,,-176.7,,884.0,100.3,240.5,2390.2,495.0,1276.7,,True,True,True,False,,True,False,True,,True,,True,,True,False,True,True,True,True,True,True,False,True,False,False,,True,,True,,True,True,True,False,True,False,
Arizona,63736,96912.0,91116.3,92747.6,92646.0,114498.0,,101998.1,90969.0,97737.0,,84743.4,,94353.8,92095.0,64523.2,99027.0,85926.9,95500.5,71815.4,65598.0,87467.1,84198.0,64250.7,104908.2,103704.0,78824.0,,94488.8,,89025.1,,87659.8,163554.1,48241.9,105435.8,94549.0,148352.7,,33176.0,27380.3,29011.6,28910.0,50762.0,,38262.1,27233.0,34001.0,,21007.4,,30617.8,28359.0,787.2,35291.0,22190.9,31764.5,8079.4,1862.0,23731.1,20462.0,514.7,41172.2,39968.0,15088.0,,30752.8,,25289.1,,23923.8,99818.1,-15494.1,41699.8,30813.0,84616.7,,True,True,True,False,,False,True,False,,True,,True,True,True,False,True,True,True,True,True,True,True,False,False,True,,True,,True,,True,False,True,False,True,False,
Arkansas,23069,25634.0,26681.3,24957.2,24117.0,18562.0,,28454.0,24694.0,25535.9,,26239.1,,24431.1,28682.0,13826.0,25309.0,20418.4,26940.5,24063.3,16998.0,18832.9,19942.5,22808.6,33535.9,28844.0,23800.0,,24430.2,,18383.3,,23807.4,49426.1,17499.0,29931.1,22523.0,33243.8,,2565.0,3612.3,1888.2,1048.0,-4507.0,,5385.0,1625.0,2466.9,,3170.1,,1362.1,5613.0,-9243.0,2240.0,-2650.6,3871.5,994.3,-6071.0,-4236.1,-3126.5,-260.4,10466.9,5775.0,731.0,,1361.2,,-4685.7,,738.4,26357.1,-5570.0,6862.1,-546.0,10174.8,,False,True,True,False,,False,True,True,,False,,True,False,False,True,False,False,True,False,False,False,True,False,False,True,,True,,False,,True,False,False,False,True,False,
California,240213,375744.0,440701.0,373899.6,357577.0,264959.0,,406064.3,229333.0,419378.8,,397515.5,,282275.0,411299.0,350106.5,428451.0,340649.3,315334.5,388731.1,181665.5,275006.6,331306.6,442483.2,419648.5,435160.0,275436.0,,348336.4,,502187.5,,369183.6,673342.5,282063.0,350522.3,309941.0,619195.6,,135531.0,200488.0,133686.6,117364.0,24746.0,,165851.3,-10880.0,179165.8,,157302.5,,42062.0,171086.0,109893.5,188238.0,100436.3,75121.5,148518.1,-58547.5,34793.6,91093.6,202270.2,179435.5,194947.0,35223.0,,108123.4,,261974.5,,128970.6,433129.5,41850.0,110309.3,69728.0,378982.6,,False,True,True,True,,False,True,False,,False,,True,False,True,False,True,True,False,True,True,True,False,False,False,True,,True,,False,,True,False,True,True,True,False,
Colorado,19290,22966.0,17199.5,22428.8,21453.0,17682.0,,23820.7,21785.0,20394.2,,26228.5,,19414.3,22389.0,10407.8,23885.0,21242.3,24755.5,19084.0,16811.0,17376.7,19907.6,19678.0,26311.0,23668.0,24623.0,,22287.1,,10011.5,,26795.1,31477.0,20017.1,22068.0,20562.0,26114.6,,3676.0,-2090.5,3138.8,2163.0,-1608.0,,4530.7,2495.0,1104.2,,6938.5,,124.3,3099.0,-8882.2,4595.0,1952.3,5465.5,-206.0,-2479.0,-1913.3,617.6,388.0,7021.0,4378.0,5333.0,,2997.1,,-9278.5,,7505.1,12187.0,727.1,2778.0,1272.0,6824.6,,True,True,True,True,,False,True,True,,False,,True,True,False,False,True,False,True,True,True,True,True,False,False,False,,True,,False,,False,False,True,True,True,False,
Connecticut,21557,28786.0,26613.0,31274.5,29006.0,35745.0,,30800.9,51807.0,381995.6,,24409.6,,29902.0,30748.0,18041.7,27853.0,25189.0,26724.5,29380.7,23190.0,21974.7,18245.1,24709.6,33203.2,29459.0,27419.0,,34175.4,,19017.0,,19658.7,41371.7,19091.4,35850.2,21959.0,32782.8,,7229.0,5056.0,9717.5,7449.0,14188.0,,9243.9,30250.0,360438.6,,2852.6,,8345.0,9191.0,-3515.3,6296.0,3632.0,5167.5,7823.7,1633.0,417.7,-3311.9,3152.6,11646.2,7902.0,5862.0,,12618.4,,-2540.0,,-1898.3,19814.7,-2465.6,14293.2,402.0,11225.8,,True,False,False,False,,False,False,False,,True,,False,False,True,True,True,True,False,True,True,True,True,False,False,True,,False,,True,,True,False,True,False,True,False,
Delaware,5917,9086.0,7465.4,9221.9,8594.0,8461.0,,9343.1,6123.0,10541.4,,11283.1,,8717.6,8740.0,6036.8,9241.0,6334.8,7613.5,8761.3,6237.0,7818.8,8166.3,7325.5,10410.1,9780.0,8256.0,,10034.2,,9546.7,,8199.1,12991.1,6812.2,9839.0,8372.0,12052.6,,3169.0,1548.4,3304.9,2677.0,2544.0,,3426.1,206.0,4624.4,,5366.1,,2800.6,2823.0,119.8,3324.0,417.8,1696.5,2844.3,320.0,1901.8,2249.3,1408.5,4493.1,3863.0,2339.0,,4117.2,,3629.7,,2282.1,7074.1,895.2,3922.0,2455.0,6135.6,,True,False,True,True,,False,True,False,,False,,True,True,True,False,True,True,True,True,True,True,True,False,False,True,,False,,False,,True,False,True,False,True,False,
District of Columbia,2800,3080.0,3346.7,3016.0,3203.0,2472.0,,3513.0,8889.0,3213.3,,2696.6,,3284.0,3417.0,3569.3,3382.0,3021.2,2604.0,3575.4,2214.5,2686.7,,,,3556.0,1866.0,,3249.3,,3496.6,,3169.9,5215.3,2284.8,,3045.0,2581.9,,280.0,546.7,216.0,403.0,-328.0,,713.0,6089.0,413.3,,-103.4,,484.0,617.0,769.3,582.0,221.2,-196.0,775.4,-585.5,-113.3,,,,756.0,-934.0,,449.3,,696.6,,369.9,2415.3,-515.2,,245.0,-218.1,,False,True,False,False,,False,False,False,,True,,False,False,False,False,True,True,False,False,True,,,,False,False,,False,,False,,False,False,False,,True,True,
Florida,131445,159456.0,152835.0,158106.1,153724.0,143656.0,,173966.0,562530.0,152905.9,,143033.8,,145508.6,159272.0,110287.7,,151614.0,170774.5,147125.9,120771.0,136377.3,202622.2,134566.5,176227.4,180676.0,156146.0,,175829.5,,143985.5,,154824.4,255887.7,113496.4,149914.9,154430.0,207891.6,,28011.0,21390.0,26661.1,22279.0,12211.0,,42521.0,431085.0,21460.9,,11588.8,,14063.6,27827.0,-21157.3,,20169.0,39329.5,15680.9,-10674.0,4932.3,71177.2,3121.5,44782.4,49231.0,24701.0,,44384.5,,12540.5,,23379.4,124442.7,-17948.6,18469.9,22985.0,76446.6,,True,True,True,True,,False,False,True,,True,,True,True,True,,True,False,True,True,True,False,True,False,False,True,,False,,True,,True,False,True,True,True,False,
