,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,Wadhwani_AI-BayesOpt,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,error-Wadhwani_AI-BayesOpt,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-Wadhwani_AI-BayesOpt
Alabama,101853,130000.0,199607.0,,122946.9,160429.0,,124228.0,93437.0,75860.7,197464.5,106182.0,,,141710.9,99023.0,111884.8,28147.0,97754.0,,21093.9,58576.0,,22375.0,-8416.0,-25992.3,95611.5,4329.0,,,39857.9,-2830.0,10031.8,False,,True,False,,True,True,True,False,True,,,False,True,True
Alaska,7458,11610.0,12598.0,,8171.2,2922.0,,,19179.1,5827.0,6361.9,12426.5,,,7607.2,7416.0,5050.9,4152.0,5140.0,,713.2,-4536.0,,,11721.1,-1631.0,-1096.1,4968.5,,,149.2,-42.0,-2407.1,False,,True,False,,,False,True,True,False,,,True,True,True
Arizona,239943,230545.0,337196.0,,205455.6,222667.0,,205530.0,279356.9,188869.0,251599.2,286821.0,,,200678.6,204239.0,147458.8,-9398.0,97253.0,,-34487.4,-17276.0,,-34413.0,39413.9,-51074.0,11656.2,46878.0,,,-39264.4,-35704.0,-92484.2,False,,False,False,,False,False,False,False,False,,,False,False,False
Arkansas,74622,87365.0,144213.0,,77910.7,56157.0,,84758.0,100894.6,45785.4,72404.9,79825.0,,,85615.2,58886.0,78123.9,12743.0,69591.0,,3288.7,-18465.0,,10136.0,26272.6,-28836.6,-2217.1,5203.0,,,10993.2,-15736.0,3501.9,False,,True,False,,True,False,False,True,True,,,True,False,True
California,992995,1339735.0,1548564.0,,1531726.8,929685.0,,1153793.0,1092106.1,840540.7,1314342.6,1188798.0,,,1299336.1,1103022.0,,346740.0,555569.0,,538731.8,-63310.0,,160798.0,99111.1,-152454.3,321347.6,195803.0,,,306341.1,110027.0,,False,,False,True,,True,True,True,True,True,,,True,True,
Colorado,65084,77765.0,118813.0,,71939.1,19927.0,,63953.0,50513.8,38506.8,51468.0,73622.5,,,72952.0,54758.0,41482.2,12681.0,53729.0,,6855.1,-45157.0,,-1131.0,-14570.2,-26577.2,-13616.0,8538.5,,,7868.0,-10326.0,-23601.8,False,,True,False,,True,False,False,False,True,,,True,True,False
Connecticut,69252,86885.0,359834.0,,67374.1,20385.0,,63700.0,129392.3,71354.2,63133.7,36058.5,,,102161.0,33403.0,34562.8,17633.0,290582.0,,-1877.9,-48867.0,,-5552.0,60140.3,2102.2,-6118.3,-33193.5,,,32909.0,-35849.0,-34689.2,False,,True,False,,True,False,True,True,False,,,False,False,False
Delaware,20959,22000.0,27520.0,,21993.9,24017.0,,20251.0,20623.9,14393.8,18903.0,18774.5,,,10132.9,17695.0,13887.8,1041.0,6561.0,,1034.9,3058.0,,-708.0,-335.1,-6565.2,-2056.0,-2184.5,,,-10826.1,-3264.0,-7071.2,False,,True,False,,True,True,False,False,False,,,False,False,False
District of Columbia,8368,8995.0,15303.0,,8719.8,3644.0,,7488.0,12798.0,7694.9,7671.2,6746.5,,,6925.3,6087.0,6808.9,627.0,6935.0,,351.8,-4724.0,,-880.0,4430.0,-673.1,-696.8,-1621.5,,,-1442.7,-2281.0,-1559.1,False,,True,False,,False,False,False,False,False,,,False,False,False
Florida,416526,451225.0,1059529.0,,429118.1,347587.0,,308057.0,460170.1,383861.2,610081.6,464991.5,,,413194.4,352094.0,,34699.0,643003.0,,12592.1,-68939.0,,-108469.0,43644.1,-32664.8,193555.6,48465.5,,,-3331.6,-64432.0,,False,,True,False,,False,False,True,False,False,,,True,False,
Georgia,252280,281670.0,366476.0,,295025.7,162399.0,,265366.0,242729.2,161455.7,475890.1,310329.5,,,261040.2,216935.0,,29390.0,114196.0,,42745.7,-89881.0,,13086.0,-9550.8,-90824.3,223610.1,58049.5,,,8760.2,-35345.0,,False,,False,False,,True,True,False,False,False,,,True,False,
Hawaii,4430,4625.0,47799.0,,4300.8,1231.0,,,4867.8,13585.2,4495.9,4932.0,,,2995.0,3122.0,3867.2,195.0,43369.0,,-129.2,-3199.0,,,437.8,9155.2,65.9,502.0,,,-1435.0,-1308.0,-562.8,False,,True,False,,,False,False,True,False,,,False,False,False
Idaho,23010,32060.0,46204.0,,28889.1,13875.0,,29811.0,16017.3,23305.1,18919.3,21843.0,,,24114.0,21858.0,15596.9,9050.0,23194.0,,5879.1,-9135.0,,6801.0,-6992.7,295.1,-4090.7,-1167.0,,,1104.0,-1152.0,-7413.1,False,,True,False,,True,True,True,True,True,,,True,True,True
Illinois,168929,206050.0,397630.0,,172808.8,38667.0,,174377.0,145339.6,128454.4,133295.8,175755.5,,,157125.6,132619.0,,37121.0,228701.0,,3879.8,-130262.0,,5448.0,-23589.4,-40474.6,-35633.2,6826.5,,,-11803.4,-36310.0,,False,,True,False,,True,True,False,True,True,,,True,True,
Indiana,114897,155345.0,222220.0,,147280.5,67787.0,,136792.0,107046.2,94717.0,145649.6,108216.5,,,165597.3,109042.0,91555.1,40448.0,107323.0,,32383.5,-47110.0,,21895.0,-7850.8,-20180.0,30752.6,-6680.5,,,50700.3,-5855.0,-23341.9,False,,True,False,,True,True,True,True,True,,,False,True,True
Iowa,40411,45510.0,44848.0,,42387.8,21958.0,,44349.0,28593.4,32459.5,34255.4,33982.5,,,19649.6,26386.0,26915.2,5099.0,4437.0,,1976.8,-18453.0,,3938.0,-11817.6,-7951.5,-6155.6,-6428.5,,,-20761.4,-14025.0,-13495.8,True,,True,False,,True,False,False,False,False,,,False,False,False
Kansas,53975,86625.0,230079.0,,66556.5,62533.0,,56477.0,153816.8,40334.5,48162.0,79218.5,,,92262.2,46952.0,44996.2,32650.0,176104.0,,12581.5,8558.0,,2502.0,99841.8,-13640.5,-5813.0,25243.5,,,38287.2,-7023.0,-8978.8,False,,True,True,,True,False,True,True,True,,,False,True,True
Kentucky,102283,92040.0,207484.0,,74417.2,26373.0,,85602.0,123381.4,63541.4,76555.6,116499.0,,,67369.7,69469.0,45084.5,-10243.0,105201.0,,-27865.8,-75910.0,,-16681.0,21098.4,-38741.6,-25727.4,14216.0,,,-34913.3,-32814.0,-57198.5,False,,False,False,,False,False,False,False,False,,,False,False,False
Louisiana,94586,93880.0,326113.0,,93454.6,73006.0,,88592.0,132516.5,62011.5,86822.5,85819.5,,,97938.3,44239.0,73278.8,-706.0,231527.0,,-1131.4,-21580.0,,-5994.0,37930.5,-32574.5,-7763.5,-8766.5,,,3352.3,-50347.0,-21307.2,False,,False,False,,False,False,False,False,False,,,False,False,False
Maine,15820,18490.0,30573.0,,20444.7,14938.0,,16226.0,22018.3,24550.3,37275.0,16887.5,,,13852.1,19438.0,22321.7,2670.0,14753.0,,4624.7,-882.0,,406.0,6198.3,8730.3,21455.0,1067.5,,,-1967.9,3618.0,6501.7,False,,False,True,,True,False,False,False,True,,,True,False,False
Maryland,78913,88655.0,142932.0,,88789.7,47773.0,,83398.0,101937.2,78743.4,86035.1,95020.0,,,89513.0,69154.0,53887.3,9742.0,64019.0,,9876.7,-31140.0,,4485.0,23024.2,-169.6,7122.1,16107.0,,,10600.0,-9759.0,-25025.7,False,,False,False,,True,False,True,True,False,,,False,False,False
Massachusetts,156646,172895.0,310207.0,,173041.7,100789.0,,175405.0,197662.7,122572.9,349575.4,157696.0,,,203378.4,149591.0,120159.4,16249.0,153561.0,,16395.7,-55857.0,,18759.0,41016.7,-34073.1,192929.4,1050.0,,,46732.4,-7055.0,-36486.6,False,,False,False,,False,False,False,False,True,,,False,True,False
Michigan,82564,108975.0,242191.0,,85403.5,45594.0,,97655.0,112502.7,138623.4,59091.6,98859.0,,,185894.6,66948.0,42565.3,26411.0,159627.0,,2839.5,-36970.0,,15091.0,29938.7,56059.4,-23472.4,16295.0,,,103330.6,-15616.0,-39998.7,False,,True,False,,True,False,False,True,True,,,False,True,False
Minnesota,49385,56435.0,127275.0,,47271.2,54362.0,,58756.0,36787.6,65688.8,25084.6,61591.0,,,51131.7,39380.0,23237.2,7050.0,77890.0,,-2113.8,4977.0,,9371.0,-12597.4,16303.8,-24300.4,12206.0,,,1746.7,-10005.0,-26147.8,False,,True,True,,False,False,False,False,False,,,True,False,False
Mississippi,60501,76270.0,113147.0,,68319.4,82343.0,,72069.0,73432.8,46351.5,98350.1,68172.5,,,52553.6,54837.0,61124.9,15769.0,52646.0,,7818.4,21842.0,,11568.0,12931.8,-14149.5,37849.1,7671.5,,,-7947.4,-5664.0,623.9,False,,True,False,,True,True,True,False,True,,,True,True,True
Missouri,95005,99195.0,169044.0,,86214.3,50012.0,,91791.0,75812.5,63931.2,66143.9,81179.5,,,96439.1,64975.0,,4190.0,74039.0,,-8790.7,-44993.0,,-3214.0,-19192.5,-31073.8,-28861.1,-13825.5,,,1434.1,-30030.0,,False,,False,False,,True,False,False,False,False,,,True,False,
Montana,13773,12555.0,9078.0,,11579.4,3377.0,,14133.0,11963.5,8783.2,8168.8,7276.5,,,8897.1,6985.0,6399.7,-1218.0,-4695.0,,-2193.6,-10396.0,,360.0,-1809.5,-4989.8,-5604.2,-6496.5,,,-4875.9,-6788.0,-7373.3,False,,False,False,,True,False,False,False,False,,,False,False,False
Nebraska,25159,34625.0,68476.0,,30138.7,8147.0,,27359.0,27001.6,27319.5,15983.4,24487.0,,,48599.2,23513.0,17325.3,9466.0,43317.0,,4979.7,-17012.0,,2200.0,1842.6,2160.5,-9175.6,-672.0,,,23440.2,-1646.0,-7833.7,False,,True,False,,True,True,True,True,True,,,False,True,True
Nevada,54520,66090.0,63902.0,,61102.3,34247.0,,64677.0,44839.0,39548.3,45555.1,52886.5,,,63974.2,50659.0,,11570.0,9382.0,,6582.3,-20273.0,,10157.0,-9681.0,-14971.7,-8964.9,-1633.5,,,9454.2,-3861.0,,True,,True,False,,True,True,False,True,True,,,True,True,
New Hampshire,21646,26365.0,44066.0,,25251.2,20723.0,,27165.0,43520.4,20254.1,18698.5,28617.0,,,19761.9,23335.0,17582.8,4719.0,22420.0,,3605.2,-923.0,,5519.0,21874.4,-1391.9,-2947.5,6971.0,,,-1884.1,1689.0,-4063.2,False,,True,True,,False,False,True,True,False,,,True,True,True
New Jersey,176633,147355.0,261073.0,,161278.0,130362.0,,140888.0,144006.6,144928.4,139570.0,125774.0,,,105005.6,116036.0,119479.6,-29278.0,84440.0,,-15355.0,-46271.0,,-35745.0,-32626.4,-31704.6,-37063.0,-50859.0,,,-71627.4,-60597.0,-57153.4,False,,True,False,,False,False,False,False,False,,,False,False,False
New Mexico,31835,40765.0,50795.0,,36131.3,14303.0,,37372.0,39011.8,22076.9,26932.6,30333.0,,,19856.4,28036.0,24545.0,8930.0,18960.0,,4296.3,-17532.0,,5537.0,7176.8,-9758.1,-4902.4,-1502.0,,,-11978.6,-3799.0,-7290.0,False,,True,False,,True,True,False,True,True,,,False,True,True
New York,458636,438255.0,727290.0,,568885.5,498427.0,,369103.0,741617.1,459250.0,560965.2,613134.0,,,789650.0,333521.0,325003.9,-20381.0,268654.0,,110249.5,39791.0,,-89533.0,282981.1,614.0,102329.2,154498.0,,,331014.0,-125115.0,-133632.1,False,,False,False,,False,False,True,False,False,,,False,False,False
North Carolina,233084,222535.0,403913.0,,218958.3,276495.0,,236199.0,265395.2,164344.7,326900.0,194691.5,,,208171.8,149059.0,171207.7,-10549.0,170829.0,,-14125.7,43411.0,,3115.0,32311.2,-68739.3,93816.0,-38392.5,,,-24912.2,-84025.0,-61876.3,False,,False,False,,True,False,False,False,False,,,False,False,False
North Dakota,5215,7685.0,4973.0,,6224.6,1147.0,,10237.0,4893.4,6975.9,3573.7,3877.0,,,11397.8,4237.0,3472.8,2470.0,-242.0,,1009.6,-4068.0,,5022.0,-321.6,1760.9,-1641.3,-1338.0,,,6182.8,-978.0,-1742.2,True,,True,False,,False,True,True,True,True,,,False,True,True
Ohio,203406,250025.0,450286.0,,235345.9,302391.0,,246268.0,195686.3,146970.7,196532.3,204354.5,,,169729.3,212735.0,115541.0,46619.0,246880.0,,31939.9,98985.0,,42862.0,-7719.7,-56435.3,-6873.7,948.5,,,-33676.7,9329.0,-87865.0,False,,True,False,,True,True,False,True,True,,,True,True,False
Oklahoma,105725,97735.0,101276.0,,89150.3,130752.0,,99462.0,87551.9,63138.8,91914.2,137186.5,,,85734.2,80945.0,97324.6,-7990.0,-4449.0,,-16574.7,25027.0,,-6263.0,-18173.1,-42586.2,-13810.8,31461.5,,,-19990.8,-24780.0,-8400.4,True,,False,False,,True,False,False,False,False,,,False,False,False
Oregon,30393,40110.0,88409.0,,31777.1,45853.0,,34310.0,36211.0,34391.3,23003.7,46695.0,,,38549.3,34250.0,21206.3,9717.0,58016.0,,1384.1,15460.0,,3917.0,5818.0,3998.3,-7389.3,16302.0,,,8156.3,3857.0,-9186.7,False,,True,False,,True,True,True,True,False,,,True,True,True
Pennsylvania,208642,259065.0,607426.0,,244891.2,406023.0,,257949.0,199159.6,192715.2,177071.7,197820.5,,,294127.3,202610.0,162503.0,50423.0,398784.0,,36249.2,197381.0,,49307.0,-9482.4,-15926.8,-31570.3,-10821.5,,,85485.3,-6032.0,-46139.0,False,,True,False,,True,True,True,True,True,,,False,True,True
Rhode Island,29942,29415.0,17349.0,,26622.4,9901.0,,23896.0,34025.1,17628.4,22587.6,15578.5,,,22106.6,8441.0,11490.3,-527.0,-12593.0,,-3319.6,-20041.0,,-6046.0,4083.1,-12313.6,-7354.4,-14363.5,,,-7835.4,-21501.0,-18451.7,False,,False,False,,False,False,False,False,False,,,False,False,False
South Carolina,150263,119130.0,160012.0,,125434.7,86901.0,,112056.0,154293.2,70984.0,233221.8,133332.5,,,135389.5,70278.0,130399.0,-31133.0,9749.0,,-24828.3,-63362.0,,-38207.0,4030.2,-79279.0,82958.8,-16930.5,,,-14873.5,-79985.0,-19864.0,True,,True,False,,False,True,False,False,True,,,True,False,True
South Dakota,9303,14330.0,8821.0,,12445.4,3916.0,,13913.0,6733.1,8262.0,8441.9,12325.5,,,16094.6,8424.0,6858.4,5027.0,-482.0,,3142.4,-5387.0,,4610.0,-2569.9,-1041.0,-861.1,3022.5,,,6791.6,-879.0,-2444.6,True,,True,False,,True,True,True,True,True,,,False,True,True
Tennessee,138081,216200.0,260151.0,,214765.5,290555.0,,202595.0,84984.9,124641.5,170599.3,212124.5,,,167397.9,177956.0,207363.5,78119.0,122070.0,,76684.5,152474.0,,64514.0,-53096.1,-13439.5,32518.3,74043.5,,,29316.9,39875.0,69282.5,False,,True,False,,True,True,True,True,True,,,True,True,True
Texas,685324,626575.0,1760612.0,,564914.8,347823.0,,555358.0,1076718.0,488715.1,633615.0,527615.0,,,555036.1,393245.0,361002.0,-58749.0,1075288.0,,-120409.2,-337501.0,,-129966.0,391394.0,-196608.9,-51709.0,-157709.0,,,-130287.9,-292079.0,-324322.0,False,,False,False,,False,False,False,True,False,,,False,False,False
Utah,72046,87880.0,168057.0,,84803.3,80068.0,,79202.0,65105.4,43035.7,57907.8,97143.5,,,62290.4,62089.0,50848.6,15834.0,96011.0,,12757.3,8022.0,,7156.0,-6940.6,-29010.3,-14138.2,25097.5,,,-9755.6,-9957.0,-21197.4,False,,True,True,,True,True,False,True,False,,,True,True,False
Vermont,5077,3615.0,8153.0,,3187.4,4918.0,,3625.0,8075.7,5570.0,12276.3,3523.5,,,5771.7,3041.0,2359.8,-1462.0,3076.0,,-1889.6,-159.0,,-1452.0,2998.7,493.0,7199.3,-1553.5,,,694.7,-2036.0,-2717.2,False,,False,True,,True,False,True,False,False,,,True,False,False
Virginia,167421,145890.0,222838.0,,141861.0,102059.0,,128475.0,173764.4,132379.8,157495.5,155214.0,,,78674.3,92583.0,142729.3,-21531.0,55417.0,,-25560.0,-65362.0,,-38946.0,6343.4,-35041.2,-9925.5,-12207.0,,,-88746.7,-74838.0,-24691.7,False,,False,False,,False,True,False,True,True,,,False,False,False
Washington,73394,50165.0,156415.0,,73972.7,29758.0,,68798.0,81474.8,51435.6,99542.1,77697.5,,,47786.7,46557.0,,-23229.0,83021.0,,578.7,-43636.0,,-4596.0,8080.8,-21958.4,26148.1,4303.5,,,-25607.3,-26837.0,,False,,True,False,,True,True,True,False,True,,,False,False,
