,predicted_cases,actual_cases,error,perc_error
LANL-GrowthRate,6508054.0,6427469,80585.0,1.3%
IowaStateLW-STEM,6124836.0,6427469,-302633.0,-4.7%
UCLA-SuEIR,6113152.4,6427469,-314316.6,-4.9%
COVIDhub-baseline,7170290.0,6427469,742821.0,11.6%
Columbia_UNC-SurvCon,5591587.0,6427469,-835882.0,-13.0%
CovidAnalytics-DELPHI,5551915.0,6427469,-875554.0,-13.6%
Covid19Sim-Simulator,7308404.4,6427469,880935.4,13.7%
QJHong-Encounter,7353562.0,6427469,926093.0,14.4%
Karlen-pypm,7512721.2,6427469,1085252.2,16.9%
JHUAPL-Bucky,7533761.7,6427469,1106292.7,17.2%
USC-SI_kJalpha,5308133.0,6427469,-1119336.0,-17.4%
UCF-AEM,7605326.0,6427469,1177857.0,18.3%
JHU_IDD-CovidSP,5240042.6,6427469,-1187426.4,-18.5%
IBF-TimeSeries,7828750.0,6427469,1401281.0,21.8%
CU-select,12739903.0,6427469,6312434.0,98.2%
Wadhwani_AI-BayesOpt,,6427469,,
