,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01001,1009,2316.0,,2456.3,,1512.0,5728.0,,,,,1776.0,2242.6,,,1308.0,906.0,767.4,1502.0,,1373.0,1878.5,,,1848.0,1192.1,,,,,,1233.0,,,,3161.7,1315.7,1307.0,,1447.3,,503.0,4719.0,,,,,767.0,1233.6,,,299.0,-103.0,-241.6,493.0,,364.0,869.5,,,839.0,183.1,,,,,,224.0,,,,2152.7,306.7,,False,,True,False,,,,,True,True,,,True,True,True,True,,True,True,,,True,True,,,,,,True,,,,False,True
01003,3466,4988.0,,5002.4,,4293.0,2525.0,,,,,5165.1,6569.9,,,4207.0,4321.4,3395.0,4001.5,,5455.0,5610.3,,,4899.0,4175.4,,,,,,2823.5,3324.0,,,4385.6,3217.8,1522.0,,1536.4,,827.0,-941.0,,,,,1699.1,3103.9,,,741.0,855.4,-71.0,535.5,,1989.0,2144.3,,,1433.0,709.4,,,,,,-642.5,-142.0,,,919.6,-248.2,,False,,True,True,,,,,False,False,,,True,True,True,True,,False,False,,,True,True,,,,,,True,True,,,True,True
01005,354,480.0,,457.5,,489.0,537.0,,,,,531.2,550.1,,,469.0,728.9,294.7,,,568.0,512.7,,,505.0,311.1,,,,,,,,,,502.0,267.3,126.0,,103.5,,135.0,183.0,,,,,177.2,196.1,,,115.0,374.9,-59.3,,,214.0,158.7,,,151.0,-42.9,,,,,,,,,,148.0,-86.7,,True,,False,False,,,,,False,False,,,True,False,True,,,False,False,,,False,True,,,,,,,,,,False,True
01007,296,700.0,,688.1,,621.0,738.0,,,,,725.6,787.4,,,478.0,234.3,317.1,,,621.5,692.3,,,602.0,486.8,,,,,,,,,,857.7,294.2,404.0,,392.1,,325.0,442.0,,,,,429.6,491.4,,,182.0,-61.7,21.1,,,325.5,396.3,,,306.0,190.8,,,,,,,,,,561.7,-1.8,,True,,True,False,,,,,False,False,,,True,True,True,,,True,True,,,True,True,,,,,,,,,,False,True
01009,861,1272.0,,1219.1,,1257.0,3196.0,,,,,1707.0,1794.0,,,1489.0,655.8,688.9,844.5,,993.0,1260.6,,,1321.0,1334.6,,,,,,910.2,,,,1273.1,761.1,411.0,,358.1,,396.0,2335.0,,,,,846.0,933.0,,,628.0,-205.2,-172.1,-16.5,,132.0,399.6,,,460.0,473.6,,,,,,49.2,,,,412.1,-99.9,,True,,True,False,,,,,False,False,,,False,True,True,True,,True,True,,,False,False,,,,,,True,,,,False,True
01011,178,232.0,,222.3,,229.0,317.0,,,,,278.3,251.8,,,139.0,394.9,177.3,,,227.0,222.4,,,231.0,165.2,,,,,,,,,,284.4,146.7,54.0,,44.3,,51.0,139.0,,,,,100.3,73.8,,,-39.0,216.9,-0.7,,,49.0,44.4,,,53.0,-12.8,,,,,,,,,,106.4,-31.3,,True,,True,False,,,,,False,False,,,True,False,True,,,True,True,,,True,True,,,,,,,,,,False,True
01013,238,380.0,,400.2,,374.0,403.0,,,,,546.5,451.5,,,360.0,419.0,228.7,,,325.0,359.6,,,395.0,257.1,,,,,,,,,,468.6,203.5,142.0,,162.2,,136.0,165.0,,,,,308.5,213.5,,,122.0,181.0,-9.3,,,87.0,121.6,,,157.0,19.1,,,,,,,,,,230.6,-34.5,,False,,True,False,,,,,False,False,,,True,False,True,,,True,True,,,False,True,,,,,,,,,,False,True
01015,1915,3044.0,,2869.0,,2731.0,8474.0,,,,,3532.7,3701.5,,,2894.0,903.8,1521.0,1777.0,,2037.0,2815.5,,,2882.0,2652.6,,,,,,1796.7,,,,3316.0,1977.3,1129.0,,954.0,,816.0,6559.0,,,,,1617.7,1786.5,,,979.0,-1011.2,-394.0,-138.0,,122.0,900.5,,,967.0,737.6,,,,,,-118.3,,,,1401.0,62.3,,True,,True,False,,,,,False,False,,,True,True,True,True,,True,True,,,True,True,,,,,,True,,,,False,True
01017,639,936.0,,950.2,,918.0,1610.0,,,,,943.2,999.5,,,657.0,1517.2,303.6,747.5,,1266.0,964.4,,,823.0,783.0,,,,,,701.6,,,,1310.0,566.1,297.0,,311.2,,279.0,971.0,,,,,304.2,360.5,,,18.0,878.2,-335.4,108.5,,627.0,325.4,,,184.0,144.0,,,,,,62.6,,,,671.0,-72.9,,False,,True,False,,,,,False,False,,,True,False,False,True,,False,False,,,True,True,,,,,,True,,,,False,True
01019,207,352.0,,334.1,,355.0,547.0,,,,,518.7,499.7,,,636.0,98.9,230.9,,,232.0,425.5,,,454.0,360.3,,,,,,,,,,544.3,225.5,145.0,,127.1,,148.0,340.0,,,,,311.7,292.7,,,429.0,-108.1,23.9,,,25.0,218.5,,,247.0,153.3,,,,,,,,,,337.3,18.5,,True,,False,False,,,,,False,False,,,False,True,True,,,True,False,,,False,False,,,,,,,,,,False,True
