,predicted_cases,actual_cases,error,perc_error
UCLA-SuEIR,8399357.3,9213627,-814269.7,-8.8%
IowaStateLW-STEM,10458790.0,9213627,1245163.0,13.5%
IBF-TimeSeries,10462768.0,9213627,1249141.0,13.6%
COVIDhub-baseline,10586604.0,9213627,1372977.0,14.9%
UCF-AEM,10767665.0,9213627,1554038.0,16.9%
Covid19Sim-Simulator,10848626.6,9213627,1634999.6,17.7%
USC-SI_kJalpha,6183977.0,9213627,-3029650.0,-32.9%
JHUAPL-Bucky,12799957.6,9213627,3586330.6,38.9%
JCB-PRM,18348677.6,9213627,9135050.6,99.1%
Columbia_UNC-SurvCon,21472031.0,9213627,12258404.0,133.0%
