,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FDANIHASU-Sweight,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FDANIHASU-Sweight,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FDANIHASU-Sweight,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Alabama,15729,16140.0,15835.2,15399.1,16117.0,14647.0,15012.0,,17991.2,14198.0,19329.9,,21045.6,17468.7,,15963.9,19529.0,20767.5,18024.0,13658.2,17806.5,12697.6,20594.5,17606.4,16418.4,18812.3,16656.2,16663.0,13169.0,,14878.9,16140.0,19566.3,,16117.7,13540.5,13865.3,19320.0,14972.4,,411.0,106.2,-329.9,388.0,-1082.0,-717.0,,2262.2,-1531.0,3600.9,,5316.6,1739.7,,234.9,3800.0,5038.5,2295.0,-2070.8,2077.5,-3031.4,4865.5,1877.4,689.4,3083.3,927.2,934.0,-2560.0,,-850.1,411.0,3837.3,,388.7,-2188.5,-1863.7,3591.0,-756.6,,True,True,True,False,False,,False,False,False,,False,False,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,,True,False,False,False,False,
Alaska,1043,1066.0,1162.1,1036.1,991.0,1125.0,625.0,,1138.8,2161.0,930.8,,650.1,1190.9,,890.1,,1828.8,1047.0,1068.5,902.0,1054.1,745.0,846.1,718.1,2263.4,1009.2,1181.0,1119.0,,915.5,927.0,848.0,,1066.0,1004.5,982.3,1110.0,856.9,,23.0,119.1,-6.9,-52.0,82.0,-418.0,,95.8,1118.0,-112.2,,-392.9,147.9,,-152.9,,785.8,4.0,25.5,-141.0,11.1,-298.0,-196.9,-324.9,1220.4,-33.8,138.0,76.0,,-127.5,-116.0,-195.0,,23.0,-38.5,-60.7,67.0,-186.1,,False,True,False,False,False,,False,False,False,,False,False,,False,,False,True,False,False,True,False,False,False,False,False,False,False,,False,False,False,,True,False,False,False,False,
Arizona,25714,38022.0,38473.9,36263.5,35737.0,31666.0,39445.0,,42354.5,41734.0,39759.8,,28859.7,35784.9,,33887.2,42686.0,33248.6,33644.0,31058.9,35384.0,35171.3,24319.5,27201.1,25617.9,30758.2,32566.2,40239.0,29617.0,,32057.7,34678.0,40849.0,,36816.0,24508.1,43222.1,36022.0,35737.1,,12308.0,12759.9,10549.5,10023.0,5952.0,13731.0,,16640.5,16020.0,14045.8,,3145.7,10070.9,,8173.2,16972.0,7534.6,7930.0,5344.9,9670.0,9457.3,-1394.5,1487.1,-96.1,5044.2,6852.2,14525.0,3903.0,,6343.7,8964.0,15135.0,,11102.0,-1205.9,17508.1,10308.0,10023.1,,False,True,True,True,False,,False,False,False,,True,True,,True,False,True,True,True,True,True,True,True,True,True,True,False,True,,True,True,False,,True,True,False,True,True,
Arkansas,11677,11392.0,10451.0,11792.2,10467.0,10278.0,9342.0,,11721.0,11609.0,11625.3,,8210.5,10088.1,,9264.3,11868.0,7097.3,11206.0,9111.1,10244.5,10012.4,7380.5,8228.8,8454.7,7811.0,9999.8,11627.0,10430.0,,8849.6,13919.0,9052.7,,10842.3,9051.5,14517.0,10499.0,11067.9,,-285.0,-1226.0,115.2,-1210.0,-1399.0,-2335.0,,44.0,-68.0,-51.7,,-3466.5,-1588.9,,-2412.7,191.0,-4579.7,-471.0,-2565.9,-1432.5,-1664.6,-4296.5,-3448.2,-3222.3,-3866.0,-1677.2,-50.0,-1247.0,,-2827.4,2242.0,-2624.3,,-834.7,-2625.5,2840.0,-1178.0,-609.1,,False,True,False,False,False,,True,True,True,,False,False,,False,True,False,False,False,False,False,False,False,False,False,False,True,False,,False,False,False,,False,False,False,False,False,
California,97292,142921.0,157733.3,148076.0,121146.0,108958.0,129158.0,,142638.3,86774.0,152309.6,,124381.0,113779.0,,113101.2,121596.0,130965.6,128504.0,136852.3,65139.0,94730.5,84408.5,105911.2,70704.1,165282.6,118569.6,145164.0,95625.0,,111400.3,151107.0,230761.9,,144259.3,125088.5,112382.8,127038.0,118130.8,,45629.0,60441.3,50784.0,23854.0,11666.0,31866.0,,45346.3,-10518.0,55017.6,,27089.0,16487.0,,15809.2,24304.0,33673.6,31212.0,39560.3,-32153.0,-2561.5,-12883.5,8619.2,-26587.9,67990.6,21277.6,47872.0,-1667.0,,14108.3,53815.0,133469.9,,46967.3,27796.5,15090.8,29746.0,20838.8,,False,False,True,True,True,,True,True,False,,True,True,,True,True,True,True,True,True,True,True,True,True,False,True,False,True,,True,False,False,,False,True,True,True,True,
Colorado,9237,10053.0,7059.1,10812.9,8457.0,9307.0,9611.0,,10179.1,10119.0,8641.9,,8360.4,10742.7,,8456.9,9679.0,5676.9,9756.0,9826.3,9264.0,9002.3,7620.5,7986.0,7511.9,7552.4,8658.5,9920.0,9988.0,,7468.6,3856.0,4620.8,,9978.4,9849.5,6964.4,9157.0,7645.1,,816.0,-2177.9,1575.9,-780.0,70.0,374.0,,942.1,882.0,-595.1,,-876.6,1505.7,,-780.1,442.0,-3560.1,519.0,589.3,27.0,-234.7,-1616.5,-1251.0,-1725.1,-1684.6,-578.5,683.0,751.0,,-1768.4,-5381.0,-4616.2,,741.4,612.5,-2272.6,-80.0,-1591.9,,False,False,True,True,True,,False,False,True,,False,False,,True,True,False,True,True,True,True,False,False,False,False,True,True,True,,False,False,False,,True,True,False,True,False,
Connecticut,9349,12208.0,11295.2,12342.2,11854.0,11712.0,10907.0,,12685.4,13970.0,329345.1,,8704.6,8961.0,,9959.7,13142.0,8347.1,12416.0,9752.2,12369.0,13380.0,9256.5,9766.7,7715.1,12494.5,11234.6,12144.0,11530.0,,10544.5,12208.0,9913.1,,13759.0,10194.4,14572.4,9810.0,11695.5,,2859.0,1946.2,2993.2,2505.0,2363.0,1558.0,,3336.4,4621.0,319996.1,,-644.4,-388.0,,610.7,3793.0,-1001.9,3067.0,403.2,3020.0,4031.0,-92.5,417.7,-1633.9,3145.5,1885.6,2795.0,2181.0,,1195.5,2859.0,564.1,,4410.0,845.4,5223.4,461.0,2346.5,,True,False,True,True,True,,False,False,False,,True,True,,True,False,True,False,True,False,False,True,True,True,False,True,True,True,,True,False,True,,False,True,False,True,True,
Delaware,2281,3636.0,3605.7,3683.8,3464.0,3086.0,3246.0,,3870.9,3081.0,3814.6,,3234.1,3700.4,,3224.8,3681.0,2819.5,3465.0,2702.2,3489.0,2975.6,2903.0,3126.5,4482.7,3566.8,3470.2,3980.0,2769.0,,3113.7,3863.0,4344.9,,3619.0,3169.9,3466.8,3464.0,3540.7,,1355.0,1324.7,1402.8,1183.0,805.0,965.0,,1589.9,800.0,1533.6,,953.1,1419.4,,943.8,1400.0,538.5,1184.0,421.2,1208.0,694.6,622.0,845.5,2201.7,1285.8,1189.2,1699.0,488.0,,832.7,1582.0,2063.9,,1338.0,888.9,1185.8,1183.0,1259.7,,True,False,True,True,True,,False,True,False,,True,False,,True,False,True,True,True,True,True,True,True,False,True,True,False,True,,True,False,False,,True,True,True,True,True,
District of Columbia,1215,1585.0,1434.5,1565.6,1480.0,1376.0,1875.0,,1512.3,1954.0,1405.3,,1689.5,1254.6,,1418.7,1506.0,1467.2,1563.0,1138.8,1423.0,1545.4,1210.0,1365.8,,,,1531.0,1278.0,,1428.5,1585.0,1688.4,,1618.3,1464.2,,1480.0,1548.4,,370.0,219.5,350.6,265.0,161.0,660.0,,297.3,739.0,190.3,,474.5,39.6,,203.7,291.0,252.2,348.0,-76.2,208.0,330.4,-5.0,150.8,,,,316.0,63.0,,213.5,370.0,473.4,,403.3,249.2,,265.0,333.4,,True,True,True,True,False,,True,False,True,,False,True,,True,True,True,True,True,True,True,True,True,,,,True,True,,True,False,False,,False,True,,True,True,
Florida,57770,73675.0,67148.4,72831.5,68500.0,67803.0,75368.0,,73799.0,87128.0,92907.6,,68111.6,76099.9,,68346.7,64105.0,60978.1,72133.0,66184.4,60908.5,63619.1,57414.0,61532.2,76164.8,64167.5,63912.6,78346.0,68156.0,,65018.3,71484.0,62052.2,,70154.3,61176.6,75463.5,69843.0,55723.7,,15905.0,9378.4,15061.5,10730.0,10033.0,17598.0,,16029.0,29358.0,35137.6,,10341.6,18329.9,,10576.7,6335.0,3208.1,14363.0,8414.4,3138.5,5849.1,-356.0,3762.2,18394.8,6397.5,6142.6,20576.0,10386.0,,7248.3,13714.0,4282.2,,12384.3,3406.6,17693.5,12073.0,-2046.3,,True,True,True,True,False,,False,False,False,,True,False,,True,True,True,True,True,True,True,True,True,False,True,True,False,True,,True,True,True,,True,True,False,True,True,
