,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01067,758,504.0,,,,438.0,,1052.3,,,,,-254.0,,,,-320.0,,294.3,,,,,,,,False,,False,,,,
01069,3676,2992.0,,,,2772.0,,2297.2,,2571.7,,,-684.0,,,,-904.0,,-1378.8,,-1104.3,,,,,,False,,False,,False,,
01071,2046,3736.0,,,,2917.0,,7055.0,,3377.1,,,1690.0,,,,871.0,,5009.0,,1331.1,,,,,,True,,False,,True,,
01073,28090,33840.0,,,,30195.0,,37644.9,,21800.8,75968.0,,5750.0,,,,2105.0,,9554.9,,-6289.2,47878.0,,,,,True,,False,,False,False,
01075,428,776.0,,,,592.0,,719.9,,,,,348.0,,,,164.0,,291.9,,,,,,,,True,,True,,,,
01077,3354,3296.0,,,,4467.0,,2098.6,,1402.2,,,-58.0,,,,1113.0,,-1255.4,,-1951.8,,,,,,False,,False,,False,,
01079,1148,1184.0,,,,1833.0,,701.2,,,,,36.0,,,,685.0,,-446.8,,,,,,,,False,,False,,,,
01081,5602,4352.0,,,,3931.0,,4025.1,,2010.8,7881.0,,-1250.0,,,,-1671.0,,-1576.9,,-3591.2,2279.0,,,,,False,,False,,False,False,
01083,3670,4376.0,,,,4108.0,,4244.9,,2267.6,,,706.0,,,,438.0,,574.9,,-1402.4,,,,,,True,,True,,False,,
01085,413,184.0,,,,196.0,,197.9,,,,,-229.0,,,,-217.0,,-215.1,,,,,,,,True,,True,,,,
01087,493,480.0,,,,389.0,,238.1,,,,,-13.0,,,,-104.0,,-254.9,,,,,,,,False,,False,,,,
01089,13866,15248.0,,,,14597.0,,25200.4,,16217.0,16494.0,,1382.0,,,,731.0,,11334.4,,2351.0,2628.0,,,,,True,,False,,False,False,
01091,754,1336.0,,,,755.0,,2507.5,,,,,582.0,,,,1.0,,1753.5,,,,,,,,True,,False,,,,
01093,985,1112.0,,,,1380.0,,2833.1,,,,,127.0,,,,395.0,,1848.1,,,,,,,,False,,False,,,,
01095,3223,5384.0,,,,5128.0,,4956.8,,1962.3,,,2161.0,,,,1905.0,,1733.8,,-1260.7,,,,,,True,,True,,True,,
01097,11962,10160.0,,,,12401.0,,15439.2,,5682.9,11051.0,,-1802.0,,,,439.0,,3477.2,,-6279.1,-911.0,,,,,True,,False,,False,True,
01099,702,528.0,,,,665.0,,664.6,,,,,-174.0,,,,-37.0,,-37.4,,,,,,,,True,,True,,,,
01101,7746,6016.0,,,,5881.0,,7520.7,,5287.3,13967.0,,-1730.0,,,,-1865.0,,-225.3,,-2458.7,6221.0,,,,,False,,True,,False,False,
01103,4824,7048.0,,,,6060.0,,5017.4,,6002.4,,,2224.0,,,,1236.0,,193.4,,1178.4,,,,,,True,,True,,True,,
01105,340,256.0,,,,272.0,,89.0,,,,,-84.0,,,,-68.0,,-251.0,,,,,,,,True,,False,,,,
01107,747,744.0,,,,814.0,,234.9,,,,,-3.0,,,,67.0,,-512.1,,,,,,,,False,,False,,,,
01109,1084,568.0,,,,896.0,,461.5,,,,,-516.0,,,,-188.0,,-622.5,,,,,,,,True,,False,,,,
01111,432,304.0,,,,761.0,,197.6,,,,,-128.0,,,,329.0,,-234.4,,,,,,,,False,,False,,,,
01113,1398,864.0,,,,1671.0,,832.2,,317.3,,,-534.0,,,,273.0,,-565.8,,-1080.7,,,,,,True,,False,,False,,
01115,3209,3816.0,,,,3359.0,,6973.4,,2099.5,,,607.0,,,,150.0,,3764.4,,-1109.5,,,,,,True,,False,,False,,
01117,8243,8808.0,,,,7313.0,,10745.1,,8302.1,11895.0,,565.0,,,,-930.0,,2502.1,,59.1,3652.0,,,,,False,,False,,True,False,
01119,297,376.0,,,,420.0,,245.3,,,,,79.0,,,,123.0,,-51.7,,,,,,,,False,,True,,,,
01121,2841,3096.0,,,,3250.0,,6079.7,,2168.1,,,255.0,,,,409.0,,3238.7,,-672.9,,,,,,False,,False,,False,,
01123,1354,944.0,,,,1174.0,,857.2,,,,,-410.0,,,,-180.0,,-496.8,,,,,,,,True,,False,,,,
01125,7633,10464.0,,,,8321.0,,11107.3,,6217.5,9329.0,,2831.0,,,,688.0,,3474.3,,-1415.5,1696.0,,,,,True,,False,,True,True,
01127,1855,3568.0,,,,3082.0,,5611.9,,2720.2,,,1713.0,,,,1227.0,,3756.9,,865.2,,,,,,True,,False,,True,,
01129,476,608.0,,,,696.0,,853.1,,,,,132.0,,,,220.0,,377.1,,,,,,,,False,,False,,,,
01131,388,920.0,,,,241.0,,717.5,,,,,532.0,,,,-147.0,,329.5,,,,,,,,True,,True,,,,
01133,769,1288.0,,,,1269.0,,1216.5,,,,,519.0,,,,500.0,,447.5,,,,,,,,True,,True,,,,
02013,221,0.0,,,,,,7.0,,,,,-221.0,,,,,,-214.0,,,,,,,,,,True,,,,
02016,202,368.0,,,,,,3199.0,,,,,166.0,,,,,,2997.0,,,,,,,,,,False,,,,
02020,5674,14880.0,,,,,,4831.4,,9087.7,11123.0,,9206.0,,,,,,-842.6,,3413.7,5449.0,,,,,,,True,,True,True,
02050,1505,1944.0,,,,,,570.7,,,,,439.0,,,,,,-934.3,,,,,,,,,,False,,,,
02060,0,0.0,,,,,,0.0,,,,,0.0,,,,,,0.0,,,,,,,,,,True,,,,
02068,14,64.0,,,,,,211.5,,,,,50.0,,,,,,197.5,,,,,,,,,,False,,,,
