,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01001,702,921.0,,1021.8,,925.0,986.0,,,,,1141.6,1064.3,,,791.0,1883.4,793.8,,930.0,840.7,,,,1335.0,769.0,843.5,,,,,,774.0,,,,1086.7,1072.2,219.0,,319.8,,223.0,284.0,,,,,439.6,362.3,,,89.0,1181.4,91.8,,228.0,138.7,,,,633.0,67.0,141.5,,,,,,72.0,,,,384.7,370.2,,False,,False,False,,,,,False,False,,,True,False,True,,False,True,,,,False,True,True,,,,,,True,,,,False,False
01003,2492,2922.0,,2924.7,,2569.0,2371.0,,,,,3354.6,3311.9,,,3054.0,2002.7,2302.8,,2111.0,2549.9,,,,3553.0,2447.0,2724.9,,,,,,1438.8,2125.0,,,4335.4,2653.0,430.0,,432.7,,77.0,-121.0,,,,,862.6,819.9,,,562.0,-489.3,-189.2,,-381.0,57.9,,,,1061.0,-45.0,232.9,,,,,,-1053.2,-367.0,,,1843.4,161.0,,False,,True,True,,,,,False,False,,,False,False,True,,True,True,,,,False,True,True,,,,,,False,True,,,False,True
01005,279,225.0,,198.8,,210.0,96.0,,,,,361.4,295.6,,,289.0,194.3,230.1,,226.0,223.8,,,,347.0,195.0,141.4,,,,,,,,,,326.1,236.9,-54.0,,-80.2,,-69.0,-183.0,,,,,82.4,16.6,,,10.0,-84.7,-48.9,,-53.0,-55.2,,,,68.0,-84.0,-137.6,,,,,,,,,,47.1,-42.1,,False,,False,False,,,,,False,True,,,True,False,True,,True,False,,,,False,False,False,,,,,,,,,,True,True
01007,190,318.0,,300.9,,287.0,268.0,,,,,439.3,377.9,,,300.0,405.2,238.5,,252.0,278.5,,,,393.0,273.0,224.2,,,,,,190.7,,,,373.3,330.3,128.0,,110.9,,97.0,78.0,,,,,249.3,187.9,,,110.0,215.2,48.5,,62.0,88.5,,,,203.0,83.0,34.2,,,,,,0.7,,,,183.3,140.3,,True,,True,True,,,,,False,False,,,True,False,True,,True,True,,,,False,True,True,,,,,,True,,,,False,False
01009,616,735.0,,720.0,,684.0,1062.0,,,,,1034.2,899.3,,,1000.0,572.8,575.0,,528.0,619.8,,,,776.0,606.0,490.3,,,,,,717.1,,,,751.4,657.3,119.0,,104.0,,68.0,446.0,,,,,418.2,283.3,,,384.0,-43.2,-41.0,,-88.0,3.8,,,,160.0,-10.0,-125.7,,,,,,101.1,,,,135.4,41.3,,True,,True,False,,,,,False,False,,,False,True,True,,True,True,,,,False,True,False,,,,,,True,,,,False,True
01011,140,111.0,,99.3,,99.0,72.0,,,,,197.3,143.5,,,87.0,42.5,132.6,,88.0,97.3,,,,164.0,102.0,97.4,,,,,,,,,,123.5,123.9,-29.0,,-40.7,,-41.0,-68.0,,,,,57.3,3.5,,,-53.0,-97.5,-7.4,,-52.0,-42.7,,,,24.0,-38.0,-42.6,,,,,,,,,,-16.5,-16.1,,False,,False,False,,,,,False,True,,,False,False,True,,False,False,,,,True,False,False,,,,,,,,,,True,True
01013,179,177.0,,187.7,,183.0,138.0,,,,,316.6,226.3,,,252.0,135.4,195.2,,201.0,180.0,,,,221.0,180.0,199.6,,,,,,,,,,195.1,192.1,-2.0,,8.7,,4.0,-41.0,,,,,137.6,47.3,,,73.0,-43.6,16.2,,22.0,1.0,,,,42.0,1.0,20.6,,,,,,,,,,16.1,13.1,,False,,False,False,,,,,False,False,,,False,False,False,,False,True,,,,False,True,False,,,,,,,,,,False,False
01015,1290,1875.0,,1749.2,,1851.0,2702.0,,,,,2169.6,2211.8,,,1886.0,2161.5,1293.3,,1589.0,1611.6,,,,2095.0,1458.0,2185.5,,,,,,990.1,,,,2438.4,1754.7,585.0,,459.2,,561.0,1412.0,,,,,879.6,921.8,,,596.0,871.5,3.3,,299.0,321.6,,,,805.0,168.0,895.5,,,,,,-299.9,,,,1148.4,464.7,,True,,True,False,,,,,False,False,,,False,False,True,,True,True,,,,False,True,False,,,,,,True,,,,False,True
01017,441,594.0,,611.7,,493.0,695.0,,,,,558.4,652.3,,,398.0,617.0,363.2,,349.0,484.3,,,,774.0,458.0,430.6,,,,,,408.0,,,,821.1,460.0,153.0,,170.7,,52.0,254.0,,,,,117.4,211.3,,,-43.0,176.0,-77.8,,-92.0,43.3,,,,333.0,17.0,-10.4,,,,,,-33.0,,,,380.1,19.0,,False,,True,False,,,,,True,False,,,True,False,True,,True,True,,,,False,True,True,,,,,,True,,,,False,True
01019,130,231.0,,223.8,,222.0,253.0,,,,,302.3,267.0,,,407.0,318.1,162.2,,181.0,190.0,,,,267.0,211.0,208.8,,,,,,,,,,196.5,199.5,101.0,,93.8,,92.0,123.0,,,,,172.3,137.0,,,277.0,188.1,32.2,,51.0,60.0,,,,137.0,81.0,78.8,,,,,,,,,,66.5,69.5,,True,,True,False,,,,,False,False,,,False,False,True,,True,True,,,,False,True,True,,,,,,,,,,True,True
