,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Alabama,72161,118768.0,117172.4,114864.0,119470.0,181163.0,,113552.1,76508.0,182441.0,107448.9,,139040.6,125907.0,84152.1,121419.0,65911.2,115586.5,145007.0,107954.0,123824.1,113306.2,115191.6,104437.0,,119254.6,,105406.9,,122822.2,133696.9,140001.7,110173.0,133210.1,,46607.0,45011.4,42703.0,47309.0,109002.0,,41391.1,4347.0,110280.0,35287.9,,66879.6,53746.0,11991.1,49258.0,-6249.8,43425.5,72846.0,35793.0,51663.1,41145.2,43030.6,32276.0,,47093.6,,33245.9,,50661.2,61535.9,67840.7,38012.0,61049.1,,True,True,False,False,,True,True,False,True,,False,False,True,False,True,True,False,True,False,True,True,True,,False,,True,,False,False,False,True,False,
Alaska,5301,8628.0,12470.0,7907.2,8612.0,5062.0,,8410.0,39245.0,13725.4,11821.5,,7792.2,,19194.8,10093.0,4910.5,6456.5,4665.5,7180.0,8866.3,8097.5,9628.1,9911.0,,7001.9,,5042.6,,11088.5,4949.6,11347.1,6932.0,9459.8,,3327.0,7169.0,2606.2,3311.0,-239.0,,3109.0,33944.0,8424.4,6520.5,,2491.2,,13893.8,4792.0,-390.5,1155.5,-635.5,1879.0,3565.3,2796.5,4327.1,4610.0,,1700.9,,-258.4,,5787.5,-351.4,6046.1,1631.0,4158.8,,False,True,True,True,,True,False,False,False,,True,,False,False,True,True,True,True,False,True,False,False,,True,,True,,False,True,False,True,False,
Arizona,171748,272780.0,187748.9,260846.3,262305.0,507725.0,,257060.1,168134.0,506148.0,305206.6,,461735.9,241312.0,385408.5,261805.0,160205.2,261902.0,286381.3,281594.5,269826.2,267480.9,225265.3,244899.0,,278923.4,,201082.7,,225363.3,240172.5,283851.1,243450.0,756086.5,,101032.0,16000.9,89098.3,90557.0,335977.0,,85312.1,-3614.0,334400.0,133458.6,,289987.9,69564.0,213660.5,90057.0,-11542.8,90154.0,114633.3,109846.5,98078.2,95732.9,53517.3,73151.0,,107175.4,,29334.7,,53615.3,68424.5,112103.1,71702.0,584338.5,,True,True,True,False,,True,True,False,False,,False,True,False,True,True,True,False,False,True,True,True,True,,False,,True,,True,True,False,True,False,
Arkansas,54318,81216.0,68151.5,83185.0,82992.0,95515.0,,81085.4,51666.0,138326.9,96997.4,,119164.2,98521.0,105212.2,79386.0,39772.3,80760.0,68145.0,78688.5,102722.7,65816.6,84736.3,69271.0,,94606.1,,34754.2,,73164.0,86743.3,94038.4,74638.0,106627.3,,26898.0,13833.5,28867.0,28674.0,41197.0,,26767.4,-2652.0,84008.9,42679.4,,64846.2,44203.0,50894.2,25068.0,-14545.7,26442.0,13827.0,24370.5,48404.7,11498.6,30418.3,14953.0,,40288.1,,-19563.8,,18846.0,32425.3,39720.4,20320.0,52309.3,,True,False,False,False,,True,True,False,False,,False,False,False,True,True,True,True,True,False,True,False,True,,False,,True,,True,False,False,True,False,
California,703758,1146820.0,1128995.5,1152724.8,1120745.0,2222363.0,,1175821.5,596786.0,2583161.8,1003187.0,,1360806.0,993227.0,818298.3,1091631.0,725188.1,616734.5,1132277.6,1105947.5,1198527.3,742993.8,1013418.1,885135.0,,1075993.1,,1157982.4,,1071314.3,1355440.7,1366048.9,1198910.0,1010817.4,,443062.0,425237.5,448966.8,416987.0,1518605.0,,472063.5,-106972.0,1879403.8,299429.0,,657048.0,289469.0,114540.3,387873.0,21430.1,-87023.5,428519.6,402189.5,494769.3,39235.8,309660.1,181377.0,,372235.1,,454224.4,,367556.3,651682.7,662290.9,495152.0,307059.4,,True,False,True,False,,False,True,False,True,,False,True,True,True,True,True,True,True,False,True,True,True,,True,,False,,True,False,False,False,True,
Colorado,45309,79100.0,79779.9,83612.9,70226.0,177893.0,,65800.9,14886.0,90558.1,99411.4,,82052.1,68386.0,50716.1,85816.0,32136.4,63216.5,42164.9,81667.0,94019.5,33033.1,73703.9,64495.0,,65770.9,,25630.6,,97482.2,28485.5,32866.9,66626.0,84228.0,,33791.0,34470.9,38303.9,24917.0,132584.0,,20491.9,-30423.0,45249.1,54102.4,,36743.1,23077.0,5407.1,40507.0,-13172.6,17907.5,-3144.1,36358.0,48710.5,-12275.9,28394.9,19186.0,,20461.9,,-19678.4,,52173.2,-16823.5,-12442.1,21317.0,38919.0,,False,False,True,False,,True,True,False,False,,False,True,True,False,True,True,True,False,False,True,True,True,,True,,True,,False,True,True,True,False,
Connecticut,53378,63496.0,61121.2,61844.8,62151.0,113220.0,,59800.4,29143.0,701118.7,149124.8,,82028.4,64155.0,101292.6,74285.0,59139.6,50994.0,56339.5,48249.5,62686.8,47983.5,63864.7,42769.0,,49304.6,,32901.3,,63086.2,74484.0,67137.6,60328.0,64096.0,,10118.0,7743.2,8466.8,8773.0,59842.0,,6422.4,-24235.0,647740.7,95746.8,,28650.4,10777.0,47914.6,20907.0,5761.6,-2384.0,2961.5,-5128.5,9308.8,-5394.5,10486.7,-10609.0,,-4073.4,,-20476.7,,9708.2,21106.0,13759.6,6950.0,10718.0,,True,True,True,False,,True,False,False,False,,False,False,False,False,True,True,True,True,True,True,False,False,,True,,False,,True,False,False,True,False,
Delaware,15357,22408.0,23881.7,22547.9,21713.0,35625.0,,20675.0,10175.0,26808.4,27999.9,,28319.8,19382.0,17332.2,23298.0,13621.3,20453.5,19253.8,23756.5,25098.3,20608.3,24682.7,20307.0,,22449.8,,22281.5,,15381.0,26052.0,20456.9,19498.0,25720.4,,7051.0,8524.7,7190.9,6356.0,20268.0,,5318.0,-5182.0,11451.4,12642.9,,12962.8,4025.0,1975.2,7941.0,-1735.7,5096.5,3896.8,8399.5,9741.3,5251.3,9325.7,4950.0,,7092.8,,6924.5,,24.0,10695.0,5099.9,4141.0,10363.4,,False,False,True,False,,True,True,False,False,,False,True,True,False,True,True,True,False,False,True,False,True,,False,,True,,True,False,True,True,False,
District of Columbia,6420,7792.0,7661.7,8075.5,7824.0,9181.0,,7635.3,4851.0,8427.7,6282.5,,9443.0,7128.0,9215.0,8005.0,9166.5,6913.5,7885.0,8646.5,10381.3,,,5328.0,,8573.5,,10641.3,,6813.6,8737.6,,7340.0,11005.6,,1372.0,1241.7,1655.5,1404.0,2761.0,,1215.3,-1569.0,2007.7,-137.5,,3023.0,708.0,2795.0,1585.0,2746.5,493.5,1465.0,2226.5,3961.3,,,-1092.0,,2153.5,,4221.3,,393.6,2317.6,,920.0,4585.6,,True,False,False,False,,True,False,False,True,,False,True,False,False,False,True,False,False,False,,,True,,False,,False,,True,False,,True,False,
Florida,306662,439456.0,405015.9,437162.6,475011.0,692285.0,,475894.4,2653797.0,759255.6,588910.6,,694764.6,391039.0,576270.1,,336860.4,438794.0,505793.3,449347.5,474339.8,317181.8,493512.1,411482.0,,501121.2,,246915.3,,366256.6,502190.1,604521.2,383721.0,509741.2,,132794.0,98353.9,130500.6,168349.0,385623.0,,169232.4,2347135.0,452593.6,282248.6,,388102.6,84377.0,269608.1,,30198.4,132132.0,199131.3,142685.5,167677.8,10519.8,186850.1,104820.0,,194459.2,,-59746.7,,59594.6,195528.1,297859.2,77059.0,203079.2,,True,True,False,False,,False,False,False,False,,False,True,False,,True,True,False,False,False,True,False,True,,False,,True,,True,False,False,True,False,
