,mean_rank
IEM_MED-CovidProject,10.1
LNQ-ens1,10.5
Microsoft-DeepSTIA,10.9
Karlen-pypm,12.8
COVIDhub-ensemble,12.9
RobertWalraven-ESG,13.2
UChicagoCHATTOPADHYAY-UnIT,13.5
UVA-Ensemble,13.7
CU-select,13.9
LANL-GrowthRate,14.1
COVIDhub-trained_ensemble,14.5
JHU_IDD-CovidSP,14.5
Google_Harvard-CPF,15.1
JHU_UNC_GAS-StatMechPool,15.4
Geneva-DetGrowth,15.5
USC-SI_kJalpha,16.1
OneQuietNight-ML,16.2
BPagano-RtDriven,16.6
JHUAPL-Bucky,17.5
UCLA-SuEIR,17.7
JHU_CSSE-DECOM,17.7
CEID-Walk,18.9
SigSci-TS,19.5
MOBS-GLEAM_COVID,19.5
COVIDhub-baseline,19.9
DDS-NBDS,20.0
MIT_ISOLAT-Mixtures,20.0
OliverWyman-Navigator,22.3
CovidAnalytics-DELPHI,22.5
IowaStateLW-STEM,22.9
Covid19Sim-Simulator,23.2
UMich-RidgeTfReg,24.8
TTU-squider,25.0
