,predicted_cases,actual_cases,error,perc_error
UCF-AEM,7904730.0,7881070,23660.0,0.3%
COVIDhub-baseline,7962258.0,7881070,81188.0,1.0%
CovidAnalytics-DELPHI,8010804.0,7881070,129734.0,1.6%
IBF-TimeSeries,7718704.0,7881070,-162366.0,-2.1%
LANL-GrowthRate,7689528.0,7881070,-191542.0,-2.4%
IowaStateLW-STEM,8122695.0,7881070,241625.0,3.1%
JHUAPL-Bucky,7524339.2,7881070,-356730.8,-4.5%
Columbia_UNC-SurvCon,8638160.0,7881070,757090.0,9.6%
Covid19Sim-Simulator,6999597.1,7881070,-881472.9,-11.2%
JHU_IDD-CovidSP,6846372.7,7881070,-1034697.3,-13.1%
CU-select,6276369.0,7881070,-1604701.0,-20.4%
UCLA-SuEIR,6073185.1,7881070,-1807884.9,-22.9%
USC-SI_kJalpha,5620727.0,7881070,-2260343.0,-28.7%
JCB-PRM,12429333.1,7881070,4548263.1,57.7%
