,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UCSB-ACTS,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UCSB-ACTS,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UCSB-ACTS,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
Alabama,50630,64593.0,89858.2,60277.7,62951.0,57684.0,,72221.6,56912.0,85936.0,70081.3,,63349.7,73680.0,62318.1,64442.0,50923.4,111118.9,34723.5,51454.9,67167.4,67337.2,69656.4,76406.0,52724.0,,52724.5,,72062.5,,57394.3,109292.8,59157.5,68624.0,79455.3,,13963.0,39228.2,9647.7,12321.0,7054.0,,21591.6,6282.0,35306.0,19451.3,,12719.7,23050.0,11688.1,13812.0,293.4,60488.9,-15906.5,824.9,16537.4,16707.2,19026.4,25776.0,2094.0,,2094.5,,21432.5,,6764.3,58662.8,8527.5,17994.0,28825.3,,False,True,True,True,,False,True,False,False,,True,False,True,True,True,False,False,True,False,False,False,False,True,,True,,False,,True,False,True,False,False,
Alaska,3606,5085.0,4275.4,4817.4,5000.0,2295.0,,5132.7,30533.0,5227.9,6378.0,,4889.7,,7159.4,6019.0,3738.2,3625.0,4198.0,5076.6,8646.5,6206.0,5505.7,5608.0,5118.0,,4217.5,,3307.4,,4369.3,3578.5,7657.7,4862.0,5513.7,,1479.0,669.4,1211.4,1394.0,-1311.0,,1526.7,26927.0,1621.9,2772.0,,1283.7,,3553.4,2413.0,132.2,19.0,592.0,1470.6,5040.5,2600.0,1899.7,2002.0,1512.0,,611.5,,-298.6,,763.3,-27.5,4051.7,1256.0,1907.7,,True,True,True,True,,False,False,False,False,,True,,False,False,True,True,True,True,False,False,False,False,False,,True,,True,,True,True,False,True,False,
Arizona,112192,178668.0,169934.3,175143.5,180651.0,271116.0,,193100.2,141360.0,263225.5,128155.4,,188083.1,171946.0,172778.1,188446.0,129198.4,196862.3,149043.5,143037.5,203593.5,182556.3,177421.0,189536.0,143985.0,,185597.1,,143158.1,,133306.4,267020.1,177811.4,191339.0,162494.9,,66476.0,57742.3,62951.5,68459.0,158924.0,,80908.2,29168.0,151033.5,15963.4,,75891.1,59754.0,60586.1,76254.0,17006.4,84670.3,36851.5,30845.5,91401.5,70364.3,65229.0,77344.0,31793.0,,73405.1,,30966.1,,21114.4,154828.1,65619.4,79147.0,50302.9,,True,True,False,False,,False,True,False,True,,False,True,True,False,True,False,True,True,False,False,True,False,True,,False,,True,,True,False,True,False,True,
Arkansas,35886,55296.0,52206.3,54494.6,52032.0,45172.0,,57732.1,36941.0,62546.1,58090.2,,52705.3,61666.0,41046.9,54311.0,35301.3,51215.3,44919.0,42901.3,62575.6,52660.6,59007.4,60131.0,46328.0,,43270.9,,30680.7,,41099.9,75253.8,58669.1,52917.0,82489.7,,19410.0,16320.3,18608.6,16146.0,9286.0,,21846.1,1055.0,26660.1,22204.2,,16819.3,25780.0,5160.9,18425.0,-584.7,15329.3,9033.0,7015.3,26689.6,16774.6,23121.4,24245.0,10442.0,,7384.9,,-5205.3,,5213.9,39367.8,22783.1,17031.0,46603.7,,True,True,True,True,,False,True,False,False,,True,False,True,True,True,True,True,True,False,True,False,False,True,,True,,True,,True,False,False,True,False,
California,425092,853803.0,918081.5,857770.0,809682.0,1142148.0,,841003.5,373015.0,1182333.8,693927.8,,813293.8,852690.0,631852.8,861466.0,601877.1,750456.3,695108.5,679730.0,616703.7,927509.6,773630.6,943792.0,650049.0,,721758.4,,817172.4,,747431.3,1004026.5,982506.8,845210.0,1177655.4,,428711.0,492989.5,432678.0,384590.0,717056.0,,415911.5,-52077.0,757241.8,268835.8,,388201.8,427598.0,206760.8,436374.0,176785.1,325364.3,270016.5,254638.0,191611.7,502417.6,348538.6,518700.0,224957.0,,296666.4,,392080.4,,322339.3,578934.5,557414.8,420118.0,752563.4,,False,False,True,False,,True,True,False,True,,True,True,True,False,True,True,True,True,True,False,True,False,True,,True,,True,,True,False,False,True,False,
Colorado,30773,43608.0,39449.0,47115.8,40776.0,36958.0,,46032.2,10031.0,39646.7,60371.4,,40017.0,45228.0,37146.2,51320.0,36685.9,30492.3,35598.0,39876.2,62666.5,29034.5,43038.9,46647.0,37718.0,,39049.6,,17852.6,,32404.2,51146.9,37213.0,43466.0,59522.7,,12835.0,8676.0,16342.8,10003.0,6185.0,,15259.2,-20742.0,8873.7,29598.4,,9244.0,14455.0,6373.2,20547.0,5912.9,-280.7,4825.0,9103.2,31893.5,-1738.5,12265.9,15874.0,6945.0,,8276.6,,-12920.4,,1631.2,20373.9,6440.0,12693.0,28749.7,,True,False,True,True,,False,False,True,False,,True,False,True,False,True,True,True,True,False,True,True,False,True,,True,,False,,True,False,True,True,False,
Connecticut,35950,52284.0,46427.8,52860.9,53204.0,70042.0,,56128.5,78187.0,6701861.8,53000.8,,68982.0,56355.0,53276.9,58737.0,42141.3,42203.8,47740.0,43379.3,67133.9,40054.7,51637.5,58131.0,45749.0,,36135.2,,30919.8,,34477.3,57067.7,55254.0,35100.0,68732.2,,16334.0,10477.8,16910.9,17254.0,34092.0,,20178.5,42237.0,6665911.8,17050.8,,33032.0,20405.0,17326.9,22787.0,6191.3,6253.8,11790.0,7429.3,31183.9,4104.7,15687.5,22181.0,9799.0,,185.2,,-5030.2,,-1472.7,21117.7,19304.0,-850.0,32782.2,,True,False,False,False,,False,False,False,False,,False,False,False,False,True,True,True,True,False,True,True,False,True,,True,,True,,True,False,False,True,False,
Delaware,10460,14691.0,16197.9,14305.7,14555.0,12042.0,,15271.1,6945.0,20033.0,23033.4,,16378.2,15865.0,13028.1,15586.0,10106.9,14408.2,14459.5,15150.1,10325.9,14244.7,17704.1,17073.0,12935.0,,15178.2,,15161.3,,11577.8,20580.2,15526.5,14291.0,17619.3,,4231.0,5737.9,3845.7,4095.0,1582.0,,4811.1,-3515.0,9573.0,12573.4,,5918.2,5405.0,2568.1,5126.0,-353.1,3948.2,3999.5,4690.1,-134.1,3784.7,7244.1,6613.0,2475.0,,4718.2,,4701.3,,1117.8,10120.2,5066.5,3831.0,7159.3,,False,True,True,True,,False,True,False,False,,False,False,True,False,True,True,True,False,True,True,False,False,True,,False,,False,,True,False,False,True,False,
District of Columbia,4340,6240.0,5841.4,6219.6,6290.0,6007.0,,6248.3,20117.0,5437.1,5325.7,,8420.3,6165.0,13758.9,6086.0,5932.1,6445.0,6859.5,6441.0,,,,7129.0,4745.0,,5678.1,,5363.3,,6221.7,7198.2,,6345.0,6261.0,,1900.0,1501.4,1879.6,1950.0,1667.0,,1908.3,15777.0,1097.1,985.7,,4080.3,1825.0,9418.9,1746.0,1592.1,2105.0,2519.5,2101.0,,,,2789.0,405.0,,1338.1,,1023.3,,1881.7,2858.2,,2005.0,1921.0,,True,True,False,True,,False,False,True,True,,False,True,False,True,True,False,False,False,,,,False,True,,True,,True,,True,False,,False,False,
Florida,211173,286467.0,309068.8,287406.2,306908.0,273468.0,,320065.7,2113313.0,457110.7,299473.4,,310973.8,295145.0,315823.5,,258513.3,375260.6,296412.5,258718.8,389765.7,291381.9,309239.5,367858.0,254357.0,,314016.1,,203680.7,,230838.3,478360.2,319025.8,296655.0,354102.9,,75294.0,97895.8,76233.2,95735.0,62295.0,,108892.7,1902140.0,245937.7,88300.4,,99800.8,83972.0,104650.5,,47340.3,164087.6,85239.5,47545.8,178592.7,80208.9,98066.5,156685.0,43184.0,,102843.1,,-7492.3,,19665.3,267187.2,107852.8,85482.0,142929.9,,False,False,False,True,,False,False,False,False,,False,False,False,,True,False,False,True,False,False,False,False,True,,False,,True,,True,False,False,False,False,
