,count,mean,median,std,min,25%,75%,max
LNQ-ens1,51,2055.2,662.1,3600.1,11.1,197.0,2013.6,19644.3
Karlen-pypm,51,2384.9,915.5,2960.1,11.1,360.5,3573.1,11971.1
LANL-GrowthRate,51,2398.1,1064.0,4135.3,1.0,367.5,3200.0,25461.0
Microsoft-DeepSTIA,50,2540.8,1013.0,4081.1,11.1,307.3,2470.4,21277.6
IEM_MED-CovidProject,51,2572.5,760.3,4512.7,11.4,233.8,2247.9,19266.7
UChicagoCHATTOPADHYAY-UnIT,51,2611.5,1092.2,4570.0,6.7,385.7,2840.7,27796.5
OneQuietNight-ML,51,2614.0,1469.0,3594.0,63.0,704.0,3118.5,20460.0
RobertWalraven-ESG,51,2643.0,1064.9,3703.9,4.9,405.3,3313.9,15972.4
COVIDhub-trained_ensemble,51,2682.2,1314.0,3640.5,70.0,515.0,2931.5,16948.0
UVA-Ensemble,51,2683.1,1164.6,4052.4,40.5,341.1,3053.3,20838.8
Google_Harvard-CPF,51,2914.5,1419.4,4620.3,6.9,453.6,2338.1,18329.9
COVIDhub-ensemble,51,3062.8,1051.0,4903.5,1.0,364.0,3279.5,23854.0
JHU_IDD-CovidSP,51,3104.1,1075.2,6203.8,25.5,434.0,2663.6,39560.3
JHU_UNC_GAS-StatMechPool,51,3141.5,1253.0,5439.3,17.5,497.8,3079.2,32153.0
Geneva-DetGrowth,51,3193.8,998.7,5072.5,11.6,535.5,3306.1,27089.0
CU-select,51,3287.9,940.0,6023.6,72.0,384.0,2742.5,31866.0
USC-SI_kJalpha,51,3573.2,1223.0,5707.3,18.0,556.0,4564.0,29746.0
JHU_CSSE-DECOM,51,3962.1,1223.0,6830.1,4.0,481.0,3814.5,32917.0
IowaStateLW-STEM,49,3978.6,2286.0,4881.7,44.0,790.0,4746.0,24304.0
BPagano-RtDriven,51,4019.0,1480.5,8985.7,40.7,423.6,3834.4,60441.3
JHUAPL-Bucky,51,4143.1,1371.9,7729.3,66.1,501.1,3493.1,33673.6
CEID-Walk,51,4170.9,1462.0,7935.0,6.9,642.6,4372.9,50784.0
MIT_ISOLAT-Mixtures,50,4252.0,1725.1,6570.7,7.4,485.2,4259.0,30655.5
COVIDhub-baseline,51,4258.7,1395.0,7572.7,12.0,690.5,4248.5,45629.0
UCLA-SuEIR,51,4419.9,1338.0,7720.6,23.0,388.6,5251.3,46967.3
MOBS-GLEAM_COVID,50,4817.7,1737.1,10915.1,15.6,735.6,4024.5,67990.6
Covid19Sim-Simulator,51,4822.3,2262.2,7711.0,37.0,999.5,4531.1,45346.3
SigSci-TS,51,4854.4,1794.0,8671.5,12.0,320.5,5077.5,53815.0
OliverWyman-Navigator,51,4907.2,1939.0,8363.7,14.0,886.0,4834.5,47872.0
UMich-RidgeTfReg,50,5451.3,2966.7,6193.6,18.7,1318.1,6021.4,29136.3
CovidAnalytics-DELPHI,51,6337.7,2403.0,9292.9,68.0,789.0,5959.5,39630.0
TTU-squider,51,7355.2,3228.2,18839.4,41.5,976.1,6468.0,133469.9
DDS-NBDS,51,27893.0,2332.2,99828.7,24.8,547.7,10714.1,638056.1
