,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,151407,189441.0,,198694.3,,194435.0,340640.3,162029.0,,229350.7,113143.0,38034.0,,47287.3,,43028.0,189233.3,10622.0,,77943.7,-38264.0,,False,,False,False,True,,False,False
Alaska,11571,22337.0,,20706.5,,,39776.3,15835.4,,7463.8,8694.0,10766.0,,9135.5,,,28205.3,4264.4,,-4107.2,-2877.0,,True,,,False,True,,True,True
Arizona,330862,319494.0,,364509.1,,307468.0,517858.2,421200.5,,207258.5,197266.0,-11368.0,,33647.1,,-23394.0,186996.2,90338.5,,-123603.5,-133596.0,,False,,False,False,False,,False,False
Arkansas,105950,111034.0,,112538.2,,132443.0,188566.1,72453.8,,100851.0,68148.0,5084.0,,6588.2,,26493.0,82616.1,-33496.2,,-5099.0,-37802.0,,False,,False,False,False,,False,False
California,1538360,2053667.0,,2586315.7,,1768817.0,4400081.2,4414042.2,,2107826.1,1524593.0,515307.0,,1047955.7,,230457.0,2861721.2,2875682.2,,569466.1,-13767.0,,False,,True,False,False,,False,True
Colorado,97658,146748.0,,145187.7,,145551.0,266899.5,49187.5,,92012.9,63372.0,49090.0,,47529.7,,47893.0,169241.5,-48470.5,,-5645.1,-34286.0,,True,,True,False,True,,True,True
Connecticut,96590,112147.0,,117741.2,,102921.0,202618.5,83819.5,,84216.0,36560.0,15557.0,,21151.2,,6331.0,106028.5,-12770.5,,-12374.0,-60030.0,,False,,True,False,True,,True,False
Delaware,29696,36820.0,,41793.1,,38938.0,76646.3,33981.3,,49575.6,18778.0,7124.0,,12097.1,,9242.0,46950.3,4285.3,,19879.6,-10918.0,,False,,False,False,True,,False,False
District of Columbia,11535,11893.0,,11738.6,,11558.0,21222.4,8791.1,,13403.8,6337.0,358.0,,203.6,,23.0,9687.4,-2743.9,,1868.8,-5198.0,,True,,True,False,False,,False,False
Florida,578194,533344.0,,559041.3,,464220.0,712576.0,404696.0,,510301.2,295776.0,-44850.0,,-19152.7,,-113974.0,134382.0,-173498.0,,-67892.8,-282418.0,,True,,False,False,False,,False,False
Georgia,355102,309820.0,,345135.0,,315317.0,535249.5,383390.7,,196746.0,184037.0,-45282.0,,-9967.0,,-39785.0,180147.5,28288.7,,-158356.0,-171065.0,,True,,True,False,True,,False,False
Hawaii,6236,6048.0,,6289.9,,,7449.9,8191.2,,3543.1,5154.0,-188.0,,53.9,,,1213.9,1955.2,,-2692.9,-1082.0,,True,,,False,False,,False,False
Idaho,36140,59059.0,,60015.0,,56281.0,94161.6,33132.2,,35214.1,21751.0,22919.0,,23875.0,,20141.0,58021.6,-3007.8,,-925.9,-14389.0,,False,,True,False,True,,True,True
Illinois,249914,368753.0,,295346.8,,342331.0,574227.4,159030.1,,284830.8,167436.0,118839.0,,45432.8,,92417.0,324313.4,-90883.9,,34916.8,-82478.0,,True,,True,False,True,,True,True
Indiana,180116,268345.0,,272824.2,,287954.0,449912.8,120358.3,,324209.2,135352.0,88229.0,,92708.2,,107838.0,269796.8,-59757.7,,144093.2,-44764.0,,False,,False,False,True,,False,True
Iowa,57347,83650.0,,63015.2,,84910.0,123856.9,18875.1,,93964.3,38261.0,26303.0,,5668.2,,27563.0,66509.9,-38471.9,,36617.3,-19086.0,,True,,False,False,False,,False,True
Kansas,80669,106323.0,,96150.4,,93403.0,153456.9,65335.1,,111077.1,51579.0,25654.0,,15481.4,,12734.0,72787.9,-15333.9,,30408.1,-29090.0,,True,,True,False,True,,False,False
Kentucky,135690,139328.0,,155155.5,,143458.0,223482.9,133867.7,,112735.0,72839.0,3638.0,,19465.5,,7768.0,87792.9,-1822.3,,-22955.0,-62851.0,,False,,False,False,True,,False,False
Louisiana,127427,127701.0,,129242.6,,128168.0,169525.3,81268.7,,113073.8,58881.0,274.0,,1815.6,,741.0,42098.3,-46158.3,,-14353.2,-68546.0,,False,,False,False,False,,False,False
Maine,22327,21826.0,,26368.3,,23030.0,52646.6,75196.6,,25490.9,17171.0,-501.0,,4041.3,,703.0,30319.6,52869.6,,3163.9,-5156.0,,False,,False,False,False,,False,False
Maryland,113330,117215.0,,130227.1,,120934.0,180243.6,96391.4,,140431.1,61506.0,3885.0,,16897.1,,7604.0,66913.6,-16938.6,,27101.1,-51824.0,,False,,False,False,False,,False,False
Massachusetts,221557,234815.0,,263638.2,,257917.0,474208.5,214870.8,,156498.1,128385.0,13258.0,,42081.2,,36360.0,252651.5,-6686.2,,-65058.9,-93172.0,,False,,False,False,True,,False,False
Michigan,124629,216279.0,,161449.5,,212804.0,263731.2,57559.8,,363524.9,86258.0,91650.0,,36820.5,,88175.0,139102.2,-67069.2,,238895.9,-38371.0,,True,,True,False,True,,False,True
Minnesota,72582,134659.0,,127345.4,,163668.0,176503.6,27647.1,,102697.4,51469.0,62077.0,,54763.4,,91086.0,103921.6,-44934.9,,30115.4,-21113.0,,True,,False,False,True,,True,True
Mississippi,88667,99148.0,,112688.2,,110694.0,174274.1,108881.5,,105638.2,59130.0,10481.0,,24021.2,,22027.0,85607.1,20214.5,,16971.2,-29537.0,,False,,False,False,False,,False,False
Missouri,142047,155071.0,,143438.5,,135151.0,239012.2,97516.1,,131991.7,86271.0,13024.0,,1391.5,,-6896.0,96965.2,-44530.9,,-10055.3,-55776.0,,True,,True,False,False,,True,False
Montana,19098,27825.0,,24607.1,,34835.0,32589.6,10442.1,,14062.2,11997.0,8727.0,,5509.1,,15737.0,13491.6,-8655.9,,-5035.8,-7101.0,,True,,False,False,True,,True,True
Nebraska,38006,54089.0,,47108.3,,51054.0,59344.8,17664.1,,14070.6,19948.0,16083.0,,9102.3,,13048.0,21338.8,-20341.9,,-23935.4,-18058.0,,True,,True,False,False,,False,False
Nevada,81533,125363.0,,121590.3,,118891.0,183067.7,79650.1,,133169.5,63229.0,43830.0,,40057.3,,37358.0,101534.7,-1882.9,,51636.5,-18304.0,,True,,True,False,True,,False,True
New Hampshire,31898,37555.0,,44316.3,,46820.0,83546.3,58661.5,,50538.5,19542.0,5657.0,,12418.3,,14922.0,51648.3,26763.5,,18640.5,-12356.0,,False,,False,False,False,,False,False
New Jersey,246751,216447.0,,170927.2,,199763.0,311033.0,145899.4,,210380.9,121944.0,-30304.0,,-75823.8,,-46988.0,64282.0,-100851.6,,-36370.1,-124807.0,,False,,False,False,False,,False,False
New Mexico,48284,74004.0,,63292.5,,74105.0,75914.7,39519.9,,35200.0,37218.0,25720.0,,15008.5,,25821.0,27630.7,-8764.1,,-13084.0,-11066.0,,True,,False,False,True,,True,True
New York,622523,513142.0,,572507.3,,469366.0,955165.3,1075292.4,,1031962.2,305860.0,-109381.0,,-50015.7,,-153157.0,332642.3,452769.4,,409439.2,-316663.0,,True,,False,False,False,,False,False
North Carolina,319253,297444.0,,317083.7,,324577.0,554810.0,374253.2,,379191.8,200632.0,-21809.0,,-2169.3,,5324.0,235557.0,55000.2,,59938.8,-118621.0,,True,,True,False,False,,False,False
North Dakota,8322,15358.0,,15977.3,,28637.0,16470.4,6254.9,,4754.2,6066.0,7036.0,,7655.3,,20315.0,8148.4,-2067.1,,-3567.8,-2256.0,,False,,False,False,True,,True,True
Ohio,303650,426776.0,,439894.2,,468576.0,652968.0,267629.5,,372711.0,217887.0,123126.0,,136244.2,,164926.0,349318.0,-36020.5,,69061.0,-85763.0,,False,,False,False,True,,True,True
Oklahoma,145912,157724.0,,175801.3,,175198.0,212127.2,103923.0,,123475.9,96150.0,11812.0,,29889.3,,29286.0,66215.2,-41989.0,,-22436.1,-49762.0,,False,,False,False,False,,False,False
Oregon,44927,62825.0,,62001.3,,57832.0,96913.9,32043.3,,45733.7,32973.0,17898.0,,17074.3,,12905.0,51986.9,-12883.7,,806.7,-11954.0,,True,,True,False,True,,True,True
Pennsylvania,316327,472955.0,,486945.6,,491854.0,879735.0,598320.2,,260650.8,238506.0,156628.0,,170618.6,,175527.0,563408.0,281993.2,,-55676.2,-77821.0,,False,,False,False,False,,True,True
Rhode Island,40079,48958.0,,47835.3,,47309.0,82794.1,25437.1,,40474.9,13985.0,8879.0,,7756.3,,7230.0,42715.1,-14641.9,,395.9,-26094.0,,True,,True,False,False,,True,False
South Carolina,192444,152173.0,,167299.7,,154384.0,293460.0,209920.1,,139456.8,78474.0,-40271.0,,-25144.3,,-38060.0,101016.0,17476.1,,-52987.2,-113970.0,,True,,True,False,True,,False,False
South Dakota,14796,27503.0,,24726.1,,31752.0,32951.2,9902.2,,35785.7,12314.0,12707.0,,9930.1,,16956.0,18155.2,-4893.8,,20989.7,-2482.0,,True,,False,False,True,,False,True
Tennessee,238562,424886.0,,455225.6,,472876.0,695003.9,1002788.5,,443121.8,350372.0,186324.0,,216663.6,,234314.0,456441.9,764226.5,,204559.8,111810.0,,False,,False,False,False,,False,True
Texas,901338,779478.0,,856792.6,,819747.0,1322228.2,801233.3,,703925.3,442050.0,-121860.0,,-44545.4,,-81591.0,420890.2,-100104.7,,-197412.7,-459288.0,,True,,True,False,True,,False,False
Utah,104730,120043.0,,128638.7,,134008.0,184951.8,41756.9,,75930.4,65183.0,15313.0,,23908.7,,29278.0,80221.8,-62973.1,,-28799.6,-39547.0,,False,,False,False,False,,False,False
Vermont,6423,5019.0,,5159.9,,5862.0,7364.4,6003.0,,13219.7,2525.0,-1404.0,,-1263.1,,-561.0,941.4,-420.0,,6796.7,-3898.0,,True,,True,True,True,,False,False
Virginia,223204,170499.0,,182238.3,,164568.0,338835.0,298963.1,,150745.0,102518.0,-52705.0,,-40965.7,,-58636.0,115631.0,75759.1,,-72459.0,-120686.0,,True,,False,False,False,,False,False
Washington,97546,97181.0,,46980.4,,115734.0,179215.2,43957.1,,85665.8,34907.0,-365.0,,-50565.6,,18188.0,81669.2,-53588.9,,-11880.2,-62639.0,,False,,False,False,False,,False,False
West Virginia,52975,63448.0,,67295.3,,61021.0,104976.9,63716.0,,73042.9,37326.0,10473.0,,14320.3,,8046.0,52001.9,10741.0,,20067.9,-15649.0,,False,,True,False,False,,False,False
Wisconsin,109337,172816.0,,155221.1,,160832.0,265516.3,68778.6,,135083.9,80837.0,63479.0,,45884.1,,51495.0,156179.3,-40558.4,,25746.9,-28500.0,,True,,True,False,True,,True,True
Wyoming,11130,18067.0,,13857.8,,19536.0,19126.7,5213.2,,13226.1,6456.0,6937.0,,2727.8,,8406.0,7996.7,-5916.8,,2096.1,-4674.0,,True,,False,False,True,,True,True
US,9213627,10586604.0,21472031.0,10848626.6,10462768.0,10458790.0,18348677.6,12799957.6,10767665.0,8399357.3,6183977.0,1372977.0,12258404.0,1634999.6,1249141.0,1245163.0,9135050.6,3586330.6,1554038.0,-814269.7,-3029650.0,False,False,True,True,False,False,False,True,False
