,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01001,498,408.0,,467.6,,354.0,309.0,,,,,407.2,,298.5,,,436.0,253.4,341.9,313.5,,252.0,305.0,,,,478.0,386.0,425.7,,,,,,396.1,340.8,,,,464.2,575.6,-90.0,,-30.4,,-144.0,-189.0,,,,,-90.8,,-199.5,,,-62.0,-244.6,-156.1,-184.5,,-246.0,-193.0,,,,-20.0,-112.0,-72.3,,,,,,-101.9,-157.2,,,,-33.8,77.6,,True,,False,False,,,,,False,,False,,,True,False,False,False,,False,False,,,,True,False,True,,,,,,False,False,,,,True,True
01003,1540,1904.0,,1902.0,,1531.0,2227.0,,,,,1408.6,,1256.3,,,1494.0,1423.3,1550.4,1055.5,,1618.0,1455.3,,,,2042.0,1394.0,1834.7,,,,,,1260.1,1111.8,1544.0,,,2431.6,2016.4,364.0,,362.0,,-9.0,687.0,,,,,-131.4,,-283.7,,,-46.0,-116.7,10.4,-484.5,,78.0,-84.7,,,,502.0,-146.0,294.7,,,,,,-279.9,-428.2,4.0,,,891.6,476.4,,True,,True,False,,,,,True,,True,,,True,True,True,False,,True,True,,,,False,True,True,,,,,,True,False,True,,,False,False
01005,197,164.0,,149.2,,134.0,130.0,,,,,133.1,,124.5,,,141.0,85.8,138.8,,,191.0,144.5,,,,182.0,131.0,123.0,,,,,,,156.7,,,,235.4,167.5,-33.0,,-47.8,,-63.0,-67.0,,,,,-63.9,,-72.5,,,-56.0,-111.2,-58.2,,,-6.0,-52.5,,,,-15.0,-66.0,-74.0,,,,,,,-40.3,,,,38.4,-29.5,,False,,False,False,,,,,False,,False,,,False,False,False,,,True,False,,,,True,False,False,,,,,,,False,,,,False,True
01007,111,158.0,,143.4,,138.0,96.0,,,,,147.1,,116.9,,,179.0,86.0,131.2,,,101.0,109.6,,,,156.0,139.0,125.2,,,,,,189.2,134.0,,,,233.9,187.0,47.0,,32.4,,27.0,-15.0,,,,,36.1,,5.9,,,68.0,-25.0,20.2,,,-10.0,-1.4,,,,45.0,28.0,14.2,,,,,,78.2,23.0,,,,122.9,76.0,,True,,True,True,,,,,True,,True,,,False,True,True,,,True,True,,,,True,True,True,,,,,,False,True,,,,False,False
01009,446,340.0,,338.7,,321.0,357.0,,,,,367.5,,261.8,,,538.0,266.3,291.1,132.0,,188.0,243.9,,,,352.0,298.0,334.6,,,,,,228.7,192.4,,,,446.0,430.2,-106.0,,-107.3,,-125.0,-89.0,,,,,-78.5,,-184.2,,,92.0,-179.7,-154.9,-314.0,,-258.0,-202.1,,,,-94.0,-148.0,-111.4,,,,,,-217.3,-253.6,,,,-0.0,-15.8,,False,,False,True,,,,,True,,False,,,True,False,False,False,,False,False,,,,True,False,False,,,,,,False,False,,,,True,True
01011,94,92.0,,89.8,,61.0,83.0,,,,,64.6,,69.3,,,52.0,44.2,69.1,,,56.0,56.3,,,,108.0,64.0,44.2,,,,,,,85.4,,,,100.3,91.7,-2.0,,-4.2,,-33.0,-11.0,,,,,-29.4,,-24.7,,,-42.0,-49.8,-24.9,,,-38.0,-37.7,,,,14.0,-30.0,-49.8,,,,,,,-8.6,,,,6.3,-2.3,,False,,False,False,,,,,False,,False,,,False,False,False,,,False,False,,,,False,False,False,,,,,,,False,,,,False,False
01013,132,94.0,,102.4,,97.0,65.0,,,,,114.8,,75.3,,,122.0,72.3,118.8,,,77.0,82.4,,,,94.0,86.0,130.7,,,,,,,87.3,,,,116.5,118.5,-38.0,,-29.6,,-35.0,-67.0,,,,,-17.2,,-56.7,,,-10.0,-59.7,-13.2,,,-55.0,-49.6,,,,-38.0,-46.0,-1.3,,,,,,,-44.7,,,,-15.5,-13.5,,True,,True,False,,,,,True,,False,,,True,False,True,,,False,False,,,,False,False,True,,,,,,,False,,,,True,True
01015,872,836.0,,809.9,,771.0,641.0,,,,,781.7,,599.1,,,970.0,834.4,746.0,356.0,,513.0,631.1,,,,924.0,699.0,1499.6,,,,,,697.8,585.3,,,,947.0,1042.3,-36.0,,-62.1,,-101.0,-231.0,,,,,-90.3,,-272.9,,,98.0,-37.6,-126.0,-516.0,,-359.0,-240.9,,,,52.0,-173.0,627.6,,,,,,-174.2,-286.7,,,,75.0,170.3,,False,,False,False,,,,,False,,False,,,False,False,False,False,,False,False,,,,False,False,False,,,,,,False,False,,,,False,False
01017,225,432.0,,427.7,,310.0,368.0,,,,,224.6,,254.1,,,219.0,323.1,239.5,283.0,,317.0,264.3,,,,490.0,301.0,308.2,,,,,,379.3,286.0,,,,472.8,323.9,207.0,,202.7,,85.0,143.0,,,,,-0.4,,29.1,,,-6.0,98.1,14.5,58.0,,92.0,39.3,,,,265.0,76.0,83.2,,,,,,154.3,61.0,,,,247.8,98.9,,True,,True,True,,,,,True,,True,,,True,True,True,True,,True,True,,,,False,True,True,,,,,,True,True,,,,False,True
01019,79,102.0,,98.8,,87.0,47.0,,,,,107.0,,101.2,,,206.0,58.3,94.8,,,81.0,89.4,,,,111.0,96.0,110.8,,,,,,,96.6,,,,70.6,118.9,23.0,,19.8,,8.0,-32.0,,,,,28.0,,22.2,,,127.0,-20.7,15.8,,,2.0,10.4,,,,32.0,17.0,31.8,,,,,,,17.6,,,,-8.4,39.9,,True,,True,False,,,,,False,,True,,,False,True,True,,,True,True,,,,False,True,False,,,,,,,True,,,,True,False
01021,166,180.0,,194.1,,176.0,57.0,,,,,220.5,,163.1,,,346.0,65.4,197.7,190.5,,153.0,144.5,,,,164.0,167.0,364.0,,,,,,137.8,121.8,,,,257.5,270.3,14.0,,28.1,,10.0,-109.0,,,,,54.5,,-2.9,,,180.0,-100.6,31.7,24.5,,-13.0,-21.5,,,,-2.0,1.0,198.0,,,,,,-28.2,-44.2,,,,91.5,104.3,,False,,True,False,,,,,False,,True,,,False,False,False,False,,True,False,,,,True,True,False,,,,,,False,False,,,,False,False
01023,21,14.0,,13.5,,23.0,6.0,,,,,29.1,,20.2,,,91.0,35.4,23.7,,,0.0,12.6,,,,19.0,28.0,24.2,,,,,,,50.2,,,,23.3,31.6,-7.0,,-7.5,,2.0,-15.0,,,,,8.1,,-0.8,,,70.0,14.4,2.7,,,-21.0,-8.4,,,,-2.0,7.0,3.2,,,,,,,29.2,,,,2.3,10.6,,False,,True,False,,,,,False,,True,,,False,False,True,,,False,False,,,,True,False,True,,,,,,,False,,,,True,False
01025,347,368.0,,367.0,,289.0,449.0,,,,,220.2,,264.8,,,172.0,338.7,206.1,,,357.0,263.8,,,,459.0,258.0,268.3,,,,,,255.1,236.7,,,,463.3,418.5,21.0,,20.0,,-58.0,102.0,,,,,-126.8,,-82.2,,,-175.0,-8.3,-140.9,,,10.0,-83.2,,,,112.0,-89.0,-78.7,,,,,,-91.9,-110.3,,,,116.3,71.5,,True,,False,False,,,,,False,,False,,,False,True,False,,,True,False,,,,False,False,False,,,,,,False,False,,,,False,False
01027,57,72.0,,75.7,,74.0,39.0,,,,,72.0,,59.8,,,105.0,40.1,60.4,,,86.0,62.3,,,,61.0,65.0,109.3,,,,,,,51.1,,,,89.5,71.3,15.0,,18.7,,17.0,-18.0,,,,,15.0,,2.8,,,48.0,-16.9,3.4,,,29.0,5.3,,,,4.0,8.0,52.3,,,,,,,-5.9,,,,32.5,14.3,,False,,False,False,,,,,True,,True,,,False,False,True,,,False,True,,,,True,True,False,,,,,,,True,,,,False,True
01029,103,86.0,,77.1,,82.0,39.0,,,,,74.6,,78.2,,,122.0,79.5,72.9,,,91.0,66.9,,,,95.0,75.0,117.0,,,,,,,73.2,,,,136.6,90.3,-17.0,,-25.9,,-21.0,-64.0,,,,,-28.4,,-24.8,,,19.0,-23.5,-30.1,,,-12.0,-36.1,,,,-8.0,-28.0,14.0,,,,,,,-29.8,,,,33.6,-12.7,,False,,False,False,,,,,False,,False,,,False,False,False,,,True,False,,,,True,False,True,,,,,,,False,,,,False,True
01031,464,452.0,,484.2,,359.0,433.0,,,,,347.6,,313.4,,,362.0,264.6,374.0,324.0,,265.0,307.7,,,,460.0,374.0,542.1,,,,,,326.4,335.0,,,,513.7,539.3,-12.0,,20.2,,-105.0,-31.0,,,,,-116.4,,-150.6,,,-102.0,-199.4,-90.0,-140.0,,-199.0,-156.3,,,,-4.0,-90.0,78.1,,,,,,-137.6,-129.0,,,,49.7,75.3,,False,,False,False,,,,,False,,False,,,False,False,False,False,,False,False,,,,True,False,False,,,,,,False,False,,,,False,False
01033,381,376.0,,389.9,,296.0,270.0,,,,,370.8,,280.9,,,494.0,267.0,318.1,194.0,,224.0,244.9,,,,366.0,334.0,361.4,,,,,,263.4,296.4,,,,319.5,401.2,-5.0,,8.9,,-85.0,-111.0,,,,,-10.2,,-100.1,,,113.0,-114.0,-62.9,-187.0,,-157.0,-136.1,,,,-15.0,-47.0,-19.6,,,,,,-117.6,-84.6,,,,-61.5,20.2,,False,,False,False,,,,,False,,False,,,False,False,False,False,,False,False,,,,False,False,False,,,,,,False,False,,,,False,False
01035,53,72.0,,74.1,,63.0,65.0,,,,,58.1,,64.9,,,71.0,55.5,53.9,,,50.0,49.0,,,,92.0,62.0,70.4,,,,,,,62.8,,,,92.2,63.9,19.0,,21.1,,10.0,12.0,,,,,5.1,,11.9,,,18.0,2.5,0.9,,,-3.0,-4.0,,,,39.0,9.0,17.4,,,,,,,9.8,,,,39.2,10.9,,False,,True,True,,,,,True,,True,,,True,True,True,,,True,True,,,,False,True,True,,,,,,,True,,,,False,True
01037,112,58.0,,50.3,,43.0,30.0,,,,,34.8,,48.5,,,62.0,17.2,38.9,,,26.0,40.5,,,,62.0,65.0,47.8,,,,,,,59.5,,,,65.1,47.1,-54.0,,-61.7,,-69.0,-82.0,,,,,-77.2,,-63.5,,,-50.0,-94.8,-73.1,,,-86.0,-71.5,,,,-50.0,-47.0,-64.2,,,,,,,-52.5,,,,-46.9,-64.9,,False,,False,False,,,,,False,,False,,,True,False,False,,,False,False,,,,True,True,False,,,,,,,True,,,,True,False
01039,347,232.0,,262.1,,205.0,189.0,,,,,233.2,,189.0,,,261.0,94.2,208.0,134.5,,210.0,174.4,,,,207.0,215.0,214.8,,,,,,254.2,142.2,,,,310.1,239.0,-115.0,,-84.9,,-142.0,-158.0,,,,,-113.8,,-158.0,,,-86.0,-252.8,-139.0,-212.5,,-137.0,-172.6,,,,-140.0,-132.0,-132.2,,,,,,-92.8,-204.8,,,,-36.9,-108.0,,True,,False,False,,,,,True,,False,,,True,False,False,False,,False,False,,,,False,False,False,,,,,,True,False,,,,True,True
01041,114,102.0,,153.7,,85.0,56.0,,,,,79.7,,77.4,,,90.0,46.6,103.3,,,83.0,79.5,,,,107.0,84.0,100.5,,,,,,,74.1,,,,162.9,107.9,-12.0,,39.7,,-29.0,-58.0,,,,,-34.3,,-36.6,,,-24.0,-67.4,-10.7,,,-31.0,-34.5,,,,-7.0,-30.0,-13.5,,,,,,,-39.9,,,,48.9,-6.1,,False,,False,False,,,,,False,,False,,,False,False,True,,,False,False,,,,True,False,False,,,,,,,False,,,,False,True
01043,466,516.0,,549.9,,450.0,485.0,,,,,532.8,,425.9,,,856.0,345.5,464.0,187.0,,301.0,348.8,,,,467.0,419.0,439.2,,,,,,579.9,342.8,,,,688.2,703.3,50.0,,83.9,,-16.0,19.0,,,,,66.8,,-40.1,,,390.0,-120.5,-2.0,-279.0,,-165.0,-117.2,,,,1.0,-47.0,-26.8,,,,,,113.9,-123.2,,,,222.2,237.3,,False,,True,True,,,,,False,,True,,,False,False,True,False,,False,False,,,,True,True,True,,,,,,False,False,,,,False,False
01045,299,306.0,,315.1,,266.0,162.0,,,,,300.2,,240.9,,,348.0,294.2,290.2,274.0,,187.5,238.4,,,,344.0,256.0,258.6,,,,,,257.7,220.2,,,,307.6,368.6,7.0,,16.1,,-33.0,-137.0,,,,,1.2,,-58.1,,,49.0,-4.8,-8.8,-25.0,,-111.5,-60.6,,,,45.0,-43.0,-40.4,,,,,,-41.3,-78.8,,,,8.6,69.6,,False,,False,False,,,,,True,,False,,,False,True,False,False,,False,False,,,,False,False,False,,,,,,False,False,,,,False,False
01047,139,202.0,,200.4,,199.0,223.0,,,,,183.6,,148.9,,,218.0,274.6,152.4,169.0,,157.0,138.2,,,,218.0,165.0,192.0,,,,,,190.3,207.9,,,,301.9,203.9,63.0,,61.4,,60.0,84.0,,,,,44.6,,9.9,,,79.0,135.6,13.4,30.0,,18.0,-0.8,,,,79.0,26.0,53.0,,,,,,51.3,68.9,,,,162.9,64.9,,True,,True,False,,,,,True,,True,,,False,False,True,True,,True,True,,,,False,True,True,,,,,,True,False,,,,False,False
01049,389,400.0,,414.8,,413.0,451.0,,,,,489.0,,348.8,,,715.0,371.6,362.3,203.0,,283.0,317.6,,,,417.0,340.0,587.6,,,,,,369.5,253.0,,,,587.7,512.4,11.0,,25.8,,24.0,62.0,,,,,100.0,,-40.2,,,326.0,-17.4,-26.7,-186.0,,-106.0,-71.4,,,,28.0,-49.0,198.6,,,,,,-19.5,-136.0,,,,198.7,123.4,,False,,False,False,,,,,False,,False,,,False,False,False,False,,False,False,,,,False,False,False,,,,,,False,False,,,,False,False
01051,686,800.0,,811.8,,573.0,582.0,,,,,661.7,,507.0,,,563.0,437.1,567.3,302.0,,434.0,512.9,,,,785.0,668.0,705.1,,,,,,503.0,538.0,,,,864.3,942.8,114.0,,125.8,,-113.0,-104.0,,,,,-24.3,,-179.0,,,-123.0,-248.9,-118.7,-384.0,,-252.0,-173.1,,,,99.0,-18.0,19.1,,,,,,-183.0,-148.0,,,,178.3,256.8,,False,,True,True,,,,,True,,False,,,False,False,False,False,,False,False,,,,True,True,True,,,,,,False,False,,,,False,False
