,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,127853,141324.0,88390.0,,164665.1,205561.0,,177106.0,221398.2,120765.8,95367.9,152499.5,,156619.3,99457.0,13471.0,-39463.0,,36812.1,77708.0,,49253.0,93545.2,-7087.2,-32485.1,24646.5,,28766.3,-28396.0,False,,False,False,,False,False,True,False,False,,False,False
Alaska,9780,10746.0,3360.0,,9741.7,5648.0,,,14556.8,3823.8,7307.2,10465.0,,8462.7,6929.0,966.0,-6420.0,,-38.3,-4132.0,,,4776.8,-5956.2,-2472.8,685.0,,-1317.3,-2851.0,False,,True,False,,,False,False,False,True,,False,False
Arizona,286052,268860.0,190646.0,,260545.5,308718.0,,250292.0,367202.5,178112.1,245591.6,246735.5,,219057.1,183283.0,-17192.0,-95406.0,,-25506.5,22666.0,,-35760.0,81150.5,-107939.9,-40460.4,-39316.5,,-66994.9,-102769.0,False,,False,False,,False,False,False,False,False,,False,False
Arkansas,92095,83130.0,56047.0,,91614.5,72803.0,,111668.0,131422.1,60832.3,54831.0,91330.0,,72492.3,50796.0,-8965.0,-36048.0,,-480.5,-19292.0,,19573.0,39327.1,-31262.7,-37264.0,-765.0,,-19602.7,-41299.0,False,,True,False,,False,False,False,False,True,,False,False
California,1263587,1668318.0,1464900.0,,1945933.1,1345686.0,,1611746.0,3224680.9,2963876.8,1131735.3,2437166.0,,1536114.7,1358561.0,404731.0,201313.0,,682346.1,82099.0,,348159.0,1961093.9,1700289.8,-131851.7,1173579.0,,272527.7,94974.0,True,,False,True,,True,False,False,True,False,,True,True
Colorado,80637,102126.0,61158.0,,93410.9,33440.0,,109523.0,95313.5,32920.6,56532.8,77267.0,,112617.0,69349.0,21489.0,-19479.0,,12773.9,-47197.0,,28886.0,14676.5,-47716.4,-24104.2,-3370.0,,31980.0,-11288.0,True,,True,False,,False,True,False,False,True,,False,True
Connecticut,86629,59766.0,30450.0,,68577.6,30452.0,,78558.0,128729.0,38997.0,90145.6,64127.0,,79177.8,37567.0,-26863.0,-56179.0,,-18051.4,-56177.0,,-8071.0,42100.0,-47632.0,3516.6,-22502.0,,-7451.2,-49062.0,False,,True,False,,True,False,False,True,True,,True,False
Delaware,25359,26022.0,19888.0,,27559.2,38858.0,,25059.0,43300.9,14408.9,23209.7,20563.5,,20516.5,19790.0,663.0,-5471.0,,2200.2,13499.0,,-300.0,17941.9,-10950.1,-2149.3,-4795.5,,-4842.5,-5569.0,False,,False,False,,True,False,False,False,False,,False,False
District of Columbia,10167,8208.0,6161.0,,8600.6,5201.0,,9441.0,11293.7,5688.8,9790.9,9839.5,,10894.9,5972.0,-1959.0,-4006.0,,-1566.4,-4966.0,,-726.0,1126.7,-4478.2,-376.1,-327.5,,727.9,-4195.0,False,,True,False,,True,True,False,True,True,,True,False
Florida,506771,428538.0,349294.0,,467354.8,497908.0,,487273.0,616533.8,316857.2,449873.0,444191.5,,388943.8,316442.0,-78233.0,-157477.0,,-39416.2,-8863.0,,-19498.0,109762.8,-189913.8,-56898.0,-62579.5,,-117827.2,-190329.0,False,,True,True,,True,False,False,True,True,,False,False
