,actual_cases,COVIDhub-baseline,BPagano-RtDriven,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,COVIDhub-trained_ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,FAIR-NRAR,FDANIHASU-Sweight,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IEM_MED-CovidProject,IowaStateLW-STEM,JHUAPL-Bucky,JHU_CSSE-DECOM,JHU_IDD-CovidSP,JHU_UNC_GAS-StatMechPool,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MIT_ISOLAT-Mixtures,MOBS-GLEAM_COVID,Microsoft-DeepSTIA,OliverWyman-Navigator,OneQuietNight-ML,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,SigSci-TS,TTU-squider,UCF-AEM,UCLA-SuEIR,UChicagoCHATTOPADHYAY-UnIT,UMass-MechBayes,UMich-RidgeTfReg,USC-SI_kJalpha,UVA-Ensemble,UpstateSU-GRU,error-COVIDhub-baseline,error-BPagano-RtDriven,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-COVIDhub-trained_ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-FAIR-NRAR,error-FDANIHASU-Sweight,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IEM_MED-CovidProject,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_CSSE-DECOM,error-JHU_IDD-CovidSP,error-JHU_UNC_GAS-StatMechPool,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MIT_ISOLAT-Mixtures,error-MOBS-GLEAM_COVID,error-Microsoft-DeepSTIA,error-OliverWyman-Navigator,error-OneQuietNight-ML,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-SigSci-TS,error-TTU-squider,error-UCF-AEM,error-UCLA-SuEIR,error-UChicagoCHATTOPADHYAY-UnIT,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USC-SI_kJalpha,error-UVA-Ensemble,error-UpstateSU-GRU,beat_baseline-BPagano-RtDriven,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-COVIDhub-trained_ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-FAIR-NRAR,beat_baseline-FDANIHASU-Sweight,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IEM_MED-CovidProject,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_CSSE-DECOM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-JHU_UNC_GAS-StatMechPool,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MIT_ISOLAT-Mixtures,beat_baseline-MOBS-GLEAM_COVID,beat_baseline-Microsoft-DeepSTIA,beat_baseline-OliverWyman-Navigator,beat_baseline-OneQuietNight-ML,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-SigSci-TS,beat_baseline-TTU-squider,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UChicagoCHATTOPADHYAY-UnIT,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-UpstateSU-GRU
01001,260,238.0,,261.5,,223.0,238.0,213.0,,,,,144.3,,,23.4,,,234.0,119.8,,183.5,149.0,,233.0,249.3,,,,220.0,170.0,239.6,,,,,,213.0,208.4,,,,243.7,307.0,-22.0,,1.5,,-37.0,-22.0,-47.0,,,,,-115.7,,,-236.6,,,-26.0,-140.2,,-76.5,-111.0,,-27.0,-10.7,,,,-40.0,-90.0,-20.4,,,,,,-47.0,-51.6,,,,-16.3,47.0,,True,,False,False,False,,,,,False,,,False,,,False,False,,False,False,,False,True,,,,False,False,True,,,,,,False,False,,,,True,False
01003,746,794.0,,813.8,,814.0,821.0,797.0,,,,,462.8,,,113.8,,,810.0,1144.5,,657.8,522.0,,949.0,851.6,,,,882.0,552.0,874.4,,,,,,635.1,618.1,898.0,,,709.8,915.0,48.0,,67.8,,68.0,75.0,51.0,,,,,-283.2,,,-632.2,,,64.0,398.5,,-88.2,-224.0,,203.0,105.6,,,,136.0,-194.0,128.4,,,,,,-110.9,-127.9,152.0,,,-36.2,169.0,,False,,False,False,False,,,,,False,,,False,,,False,False,,False,False,,False,False,,,,False,False,False,,,,,,False,False,False,,,True,False
01005,71,126.0,,124.3,,108.0,99.0,109.0,,,,,53.1,,,10.5,,,78.0,111.3,,78.5,,,127.0,93.9,,,,126.0,83.0,66.5,,,,,,,91.7,,,,115.4,107.2,55.0,,53.3,,37.0,28.0,38.0,,,,,-17.9,,,-60.5,,,7.0,40.3,,7.5,,,56.0,22.9,,,,55.0,12.0,-4.5,,,,,,,20.7,,,,44.4,36.2,,True,,True,True,True,,,,,True,,,False,,,True,True,,True,,,False,True,,,,False,True,True,,,,,,,True,,,,True,True
01007,50,61.0,,53.4,,53.0,69.0,48.0,,,,,50.1,,,10.6,,,96.0,44.5,,56.5,,,59.0,73.4,,,,59.0,45.0,64.5,,,,,,65.1,54.5,,,,48.4,100.1,11.0,,3.4,,3.0,19.0,-2.0,,,,,0.1,,,-39.4,,,46.0,-5.5,,6.5,,,9.0,23.4,,,,9.0,-5.0,14.5,,,,,,15.1,4.5,,,,-1.6,50.1,,True,,True,False,True,,,,,True,,,False,,,False,True,,True,,,True,False,,,,True,True,False,,,,,,False,True,,,,True,False
01009,253,193.0,,196.0,,184.0,180.0,181.0,,,,,118.0,,,3.8,,,274.0,129.0,,144.9,110.0,,188.5,210.2,,,,166.0,136.0,166.1,,,,,,193.6,138.2,,,,194.1,202.2,-60.0,,-57.0,,-69.0,-73.0,-72.0,,,,,-135.0,,,-249.2,,,21.0,-124.0,,-108.1,-143.0,,-64.5,-42.8,,,,-87.0,-117.0,-86.9,,,,,,-59.4,-114.8,,,,-58.9,-50.8,,True,,False,False,False,,,,,False,,,False,,,True,False,,False,False,,False,True,,,,False,False,False,,,,,,True,False,,,,True,True
01011,48,42.0,,42.0,,44.0,45.0,50.0,,,,,26.2,,,8.2,,,30.0,58.6,,32.8,,,47.0,44.6,,,,50.0,29.0,37.5,,,,,,,41.8,,,,40.5,56.1,-6.0,,-6.0,,-4.0,-3.0,2.0,,,,,-21.8,,,-39.8,,,-18.0,10.6,,-15.2,,,-1.0,-3.4,,,,2.0,-19.0,-10.5,,,,,,,-6.2,,,,-7.5,8.1,,True,,True,True,True,,,,,False,,,False,,,False,False,,False,,,True,True,,,,True,False,False,,,,,,,False,,,,False,False
01013,63,69.0,,72.8,,53.0,59.0,46.0,,,,,42.3,,,3.1,,,69.0,34.9,,45.4,,,51.0,53.1,,,,59.0,43.0,63.6,,,,,,,65.2,,,,62.7,75.0,6.0,,9.8,,-10.0,-4.0,-17.0,,,,,-20.7,,,-59.9,,,6.0,-28.1,,-17.6,,,-12.0,-9.9,,,,-4.0,-20.0,0.6,,,,,,,2.2,,,,-0.3,12.0,,False,,False,True,False,,,,,False,,,False,,,False,False,,False,,,False,False,,,,True,False,True,,,,,,,True,,,,True,False
01015,450,422.0,,432.8,,374.0,453.0,364.0,,,,,260.0,,,47.5,,,498.0,336.8,,323.2,162.0,,420.0,419.9,,,,376.0,302.0,730.2,,,,,,362.1,365.6,,,,384.2,536.1,-28.0,,-17.2,,-76.0,3.0,-86.0,,,,,-190.0,,,-402.5,,,48.0,-113.2,,-126.8,-288.0,,-30.0,-30.1,,,,-74.0,-148.0,280.2,,,,,,-87.9,-84.4,,,,-65.8,86.1,,True,,False,True,False,,,,,False,,,False,,,False,False,,False,False,,False,False,,,,False,False,False,,,,,,False,False,,,,False,False
01017,85,140.0,,144.2,,120.0,128.0,186.0,,,,,85.6,,,21.3,,,114.0,288.7,,105.3,111.5,,95.0,141.3,,,,172.0,107.0,104.0,,,,,,126.4,113.5,,,,127.2,167.8,55.0,,59.2,,35.0,43.0,101.0,,,,,0.6,,,-63.7,,,29.0,203.7,,20.3,26.5,,10.0,56.3,,,,87.0,22.0,19.0,,,,,,41.4,28.5,,,,42.2,82.8,,False,,True,True,False,,,,,True,,,False,,,True,False,,True,True,,True,False,,,,False,True,True,,,,,,True,True,,,,True,False
01019,41,37.0,,36.7,,42.0,46.0,36.0,,,,,35.6,,,11.4,,,100.0,31.5,,39.1,,,37.0,49.4,,,,41.0,25.0,58.9,,,,,,,34.4,,,,48.5,64.4,-4.0,,-4.3,,1.0,5.0,-5.0,,,,,-5.4,,,-29.6,,,59.0,-9.5,,-1.9,,,-4.0,8.4,,,,0.0,-16.0,17.9,,,,,,,-6.6,,,,7.5,23.4,,False,,True,False,False,,,,,False,,,False,,,False,False,,True,,,False,False,,,,True,False,False,,,,,,,False,,,,False,False
