,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,LANL-GrowthRate,MITCovAlliance-SIR,UCF-AEM,UCLA-SuEIR,UMass-MechBayes,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-UCF-AEM,error-UCLA-SuEIR,error-UMass-MechBayes,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-USC-SI_kJalpha
01001,1857,1806.0,1166.0,,,,,1766.0,,2647.1,1198.5,2855.5,,,1712.3,,,-51.0,-691.0,,,,,-91.0,,790.1,-658.5,998.5,,,-144.7,,,False,,,,,False,,False,False,False,,,False,,
01003,5960,5916.0,4484.0,,,,,5018.0,,4380.9,4431.8,7261.5,,,2929.1,3105.0,,-44.0,-1476.0,,,,,-942.0,,-1579.1,-1528.2,1301.5,,,-3030.9,-2855.0,,False,,,,,False,,False,False,False,,,False,False,
01005,604,408.0,426.0,,,,,629.0,,509.2,264.6,795.0,,,,,,-196.0,-178.0,,,,,25.0,,-94.8,-339.4,191.0,,,,,,True,,,,,True,,True,False,True,,,,,
01007,595,828.0,491.0,,,,,682.0,,1022.3,487.0,1404.0,,,,,,233.0,-104.0,,,,,87.0,,427.3,-108.0,809.0,,,,,,True,,,,,True,,False,True,False,,,,,
01009,1462,1530.0,858.0,,,,,2099.0,,1571.2,1109.6,2361.5,,,1567.3,,,68.0,-604.0,,,,,637.0,,109.2,-352.4,899.5,,,105.3,,,False,,,,,False,,False,False,False,,,False,,
01011,303,438.0,3.0,,,,,226.0,,173.5,198.8,151.0,,,,,,135.0,-300.0,,,,,-77.0,,-129.5,-104.2,-152.0,,,,,,False,,,,,True,,True,True,False,,,,,
01013,417,318.0,15.0,,,,,446.0,,274.7,316.2,457.0,,,,,,-99.0,-402.0,,,,,29.0,,-142.3,-100.8,40.0,,,,,,False,,,,,True,,False,False,True,,,,,
01015,3170,3624.0,1966.0,,,,,4206.0,,2822.4,2133.5,4836.0,,,1976.2,,,454.0,-1204.0,,,,,1036.0,,-347.6,-1036.5,1666.0,,,-1193.8,,,False,,,,,False,,True,False,False,,,False,,
01017,1056,522.0,449.0,,,,,930.0,,264.6,406.3,599.0,,,483.4,,,-534.0,-607.0,,,,,-126.0,,-791.4,-649.7,-457.0,,,-572.6,,,False,,,,,True,,False,False,True,,,False,,
01019,362,540.0,461.0,,,,,864.0,,484.1,383.1,735.0,,,,,,178.0,99.0,,,,,502.0,,122.1,21.1,373.0,,,,,,True,,,,,False,,True,True,False,,,,,
