,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,UCF-AEM,UCLA-SuEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-UCF-AEM,error-UCLA-SuEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-UCF-AEM,beat_baseline-UCLA-SuEIR,beat_baseline-USC-SI_kJalpha
Alabama,178470,202016.0,,215435.8,,212910.0,421753.0,247420.3,,122881.2,137450.0,23546.0,,36965.8,,34440.0,243283.0,68950.3,,-55588.8,-41020.0,,False,,False,False,False,,False,False
Alaska,14762,33808.0,,38344.3,,,55547.5,54628.6,,25690.6,16459.0,19046.0,,23582.3,,,40785.5,39866.6,,10928.6,1697.0,,False,,,False,False,,True,True
Arizona,376504,349512.0,,425374.3,,359331.0,837462.0,522851.9,,308915.2,197159.0,-26992.0,,48870.3,,-17173.0,460958.0,146347.9,,-67588.8,-179345.0,,False,,True,False,False,,False,False
Arkansas,121812,118960.0,,120614.2,,147330.0,214329.7,85180.8,,115935.3,62447.0,-2852.0,,-1197.8,,25518.0,92517.7,-36631.2,,-5876.7,-59365.0,,True,,False,False,False,,False,False
California,1832522,1689880.0,,2385212.4,,1583033.0,3917261.9,4480599.0,,2250969.7,1282107.0,-142642.0,,552690.4,,-249489.0,2084739.9,2648077.0,,418447.7,-550415.0,,False,,False,False,False,,False,False
Colorado,118622,226296.0,,230827.5,,225444.0,372899.2,104287.9,,196266.4,109749.0,107674.0,,112205.5,,106822.0,254277.2,-14334.1,,77644.4,-8873.0,,False,,True,False,True,,True,True
Connecticut,112611,152368.0,,163492.1,,151923.0,235250.0,208269.5,,137406.3,71458.0,39757.0,,50881.1,,39312.0,122639.0,95658.5,,24795.3,-41153.0,,False,,True,False,False,,True,False
Delaware,34956,46240.0,,46149.3,,48835.0,82215.5,84410.6,,48342.5,26154.0,11284.0,,11193.3,,13879.0,47259.5,49454.6,,13386.5,-8802.0,,True,,False,False,False,,False,True
District of Columbia,13234,14168.0,,17572.8,,17430.0,26006.3,32689.4,,14116.2,7635.0,934.0,,4338.8,,4196.0,12772.3,19455.4,,882.2,-5599.0,,False,,False,False,False,,True,False
Florida,654386,538680.0,,566505.1,,567925.0,957710.8,506700.0,,556518.0,292363.0,-115706.0,,-87880.9,,-86461.0,303324.8,-147686.0,,-97868.0,-362023.0,,True,,True,False,False,,True,False
Georgia,399362,309352.0,,387841.3,,346089.0,585718.6,486524.3,,205181.4,187192.0,-90010.0,,-11520.7,,-53273.0,186356.6,87162.3,,-194180.6,-212170.0,,True,,True,False,True,,False,False
Hawaii,7100,6184.0,,6663.3,,,7331.8,3261.4,,2818.3,3750.0,-916.0,,-436.7,,,231.8,-3838.6,,-4281.7,-3350.0,,True,,,True,False,,False,False
