,mean_rank
JHU_IDD-CovidSP,5.9
UCLA-SuEIR,7.1
OneQuietNight-ML,8.6
RobertWalraven-ESG,9.4
LANL-GrowthRate,9.8
LNQ-ens1,9.9
MOBS-GLEAM_COVID,11.3
Karlen-pypm,12.0
CU-select,12.1
TTU-squider,12.4
COVIDhub-ensemble,13.3
JHUAPL-Bucky,13.4
BPagano-RtDriven,13.8
CEID-Walk,14.5
USC-SI_kJalpha,14.6
COVIDhub-baseline,14.7
CovidAnalytics-DELPHI,15.0
MIT_ISOLAT-Mixtures,15.2
Microsoft-DeepSTIA,16.8
UMich-RidgeTfReg,17.1
Covid19Sim-Simulator,18.2
IEM_MED-CovidProject,18.7
DDS-NBDS,19.2
JHU_CSSE-DECOM,20.0
IowaStateLW-STEM,20.7
Google_Harvard-CPF,21.6
UVA-Ensemble,22.7
OliverWyman-Navigator,22.7
UCSB-ACTS,24.0
