,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,IHME-CurveFit,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-IHME-CurveFit,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-IHME-CurveFit,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,58207,86592.0,,97244.1,50332.0,38148.7,35547.0,28385.0,,39037.1,-7875.0,-20058.3,-22660.0,,False,True,True,True
Alaska,4849,3816.0,,209.1,4911.4,1579.2,2493.0,-1033.0,,-4639.9,62.4,-3269.8,-2356.0,,False,True,False,False
Arizona,34292,72840.0,,115774.3,56288.3,16993.3,14404.0,38548.0,,81482.3,21996.3,-17298.7,-19888.0,,False,True,True,True
Arkansas,38114,45104.0,,70948.3,28669.7,25622.5,27657.0,6990.0,,32834.3,-9444.3,-12491.5,-10457.0,,False,False,False,False
California,275133,382200.0,,1004866.1,342298.1,184992.8,161128.0,107067.0,,729733.1,67165.1,-90140.2,-114005.0,,False,True,True,False
Colorado,22227,24456.0,,134415.5,11054.6,12165.3,13266.0,2229.0,,112188.5,-11172.4,-10061.7,-8961.0,,False,False,False,False
Connecticut,7989,4080.0,,17437.4,14145.8,2735.8,1413.0,-3909.0,,9448.4,6156.8,-5253.2,-6576.0,,False,False,False,False
Delaware,5639,5000.0,,6135.3,8276.6,3067.1,2023.0,-639.0,,496.3,2637.6,-2571.9,-3616.0,,True,False,False,False
District of Columbia,2820,3584.0,,1188.6,5901.7,3900.3,2028.0,764.0,,-1631.4,3081.7,1080.3,-792.0,,False,False,False,False
Florida,188014,372392.0,,463639.0,222310.9,112398.1,141383.0,184378.0,,275625.0,34296.9,-75615.9,-46631.0,,False,True,True,True
Georgia,108742,187320.0,,624739.6,135289.3,109311.3,79119.0,78578.0,,515997.6,26547.3,569.3,-29623.0,,False,True,True,True
Hawaii,9388,9192.0,,24.6,7967.7,37329.6,35404.0,-196.0,,-9363.4,-1420.3,27941.6,26016.0,,False,False,False,False
Idaho,19205,27096.0,,37314.8,17044.4,14762.4,19336.0,7891.0,,18109.8,-2160.6,-4442.6,131.0,,False,True,True,True
Illinois,108784,97952.0,,106939.6,122188.5,117140.9,101693.0,-10832.0,,-1844.4,13404.5,8356.9,-7091.0,,True,False,True,True
Indiana,50772,49320.0,,68954.1,46093.2,90006.2,45339.0,-1452.0,,18182.1,-4678.8,39234.2,-5433.0,,False,False,False,False
Iowa,43766,25936.0,,39302.8,16734.2,20180.8,17687.0,-17830.0,,-4463.2,-27031.8,-23585.2,-26079.0,,True,False,False,False
Kansas,30262,22968.0,,82720.4,21791.3,11130.7,15387.0,-7294.0,,52458.4,-8470.7,-19131.3,-14875.0,,False,False,False,False
Kentucky,37423,30840.0,,93230.1,24737.3,20692.8,19876.0,-6583.0,,55807.1,-12685.7,-16730.2,-17547.0,,False,False,False,False
Louisiana,38655,99728.0,,246946.7,68057.9,32689.7,20335.0,61073.0,,208291.7,29402.9,-5965.3,-18320.0,,False,True,True,True
Maine,1457,728.0,,1428.8,606.7,470.6,401.0,-729.0,,-28.2,-850.3,-986.4,-1056.0,,True,False,False,False
Maryland,32238,41728.0,,68020.3,41945.5,25367.7,20191.0,9490.0,,35782.3,9707.5,-6870.3,-12047.0,,False,False,True,False
Massachusetts,20533,21368.0,,59609.9,41635.2,26845.9,18313.0,835.0,,39076.9,21102.2,6312.9,-2220.0,,False,False,False,False
Michigan,45080,38872.0,,55494.3,25474.2,24930.3,23868.0,-6208.0,,10414.3,-19605.8,-20149.7,-21212.0,,False,False,False,False
Minnesota,42686,39304.0,,29384.9,39488.6,41933.9,28056.0,-3382.0,,-13301.1,-3197.4,-752.1,-14630.0,,False,True,True,False
Mississippi,33521,54120.0,,89036.3,79662.6,17656.3,15101.0,20599.0,,55515.3,46141.6,-15864.7,-18420.0,,False,False,True,True
Missouri,74609,51112.0,,204222.7,68578.9,14515.0,19340.0,-23497.0,,129613.7,-6030.1,-60094.0,-55269.0,,False,True,False,False
