,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01001,270,183.0,196.7,,147.0,94.0,,,,,,125.0,,248.7,85.1,,133.5,160.1,,206.0,,133.7,,165.2,,,,,88.7,613.0,-87.0,-73.3,,-123.0,-176.0,,,,,,-145.0,,-21.3,-184.9,,-136.5,-109.9,,-64.0,,-136.3,,-104.8,,,,,-181.3,343.0,True,,False,False,,,,,,False,,True,False,,False,False,,True,,False,,False,,,,,False,False
01003,1119,630.0,631.0,,590.0,2769.0,,,,,,360.0,,669.6,671.9,,564.6,565.8,,488.0,,590.8,,706.4,430.0,,,,432.5,2764.2,-489.0,-488.0,,-529.0,1650.0,,,,,,-759.0,,-449.4,-447.1,,-554.4,-553.2,,-631.0,,-528.2,,-412.6,-689.0,,,,-686.5,1645.2,True,,False,False,,,,,,False,,True,True,,False,False,,False,,False,,True,False,,,,False,False
01005,128,12.0,3.2,,11.0,0.0,,,,,,74.0,,79.8,39.3,,3.1,12.9,,,,2.3,,,,,,,11.6,156.6,-116.0,-124.8,,-117.0,-128.0,,,,,,-54.0,,-48.2,-88.7,,-124.9,-115.1,,,,-125.7,,,,,,,-116.4,28.6,False,,False,False,,,,,,True,,True,True,,False,True,,,,False,,,,,,,False,True
01007,87,78.0,75.0,,56.0,16.0,,,,,,60.0,,189.2,62.9,,25.1,56.2,,,,36.5,,,,,,,47.6,656.1,-9.0,-12.0,,-31.0,-71.0,,,,,,-27.0,,102.2,-24.1,,-61.9,-30.8,,,,-50.5,,,,,,,-39.4,569.1,False,,False,False,,,,,,False,,False,False,,False,False,,,,False,,,,,,,False,False
01009,187,156.0,154.5,,143.0,315.0,,,,,,118.0,,276.6,207.7,,117.0,141.0,,123.0,,79.5,,128.5,,,,,83.7,1573.7,-31.0,-32.5,,-44.0,128.0,,,,,,-69.0,,89.6,20.7,,-70.0,-46.0,,-64.0,,-107.5,,-58.5,,,,,-103.3,1386.7,False,,False,False,,,,,,False,,False,True,,False,False,,False,,False,,False,,,,,False,False
01011,33,24.0,19.3,,23.0,,,,,,,80.0,,31.8,15.3,,15.8,30.7,,,,9.8,,,,,,,14.5,169.3,-9.0,-13.7,,-10.0,,,,,,,47.0,,-1.2,-17.7,,-17.2,-2.3,,,,-23.2,,,,,,,-18.5,136.3,False,,False,,,,,,,False,,True,False,,False,True,,,,False,,,,,,,False,False
01013,32,36.0,40.1,,36.0,59.0,,,,,,49.0,,134.9,19.7,,4.6,28.3,,,,24.9,,,,,,,32.6,47.7,4.0,8.1,,4.0,27.0,,,,,,17.0,,102.9,-12.3,,-27.4,-3.7,,,,-7.1,,,,,,,0.6,15.7,False,,False,False,,,,,,False,,False,False,,False,True,,,,False,,,,,,,True,False
01015,624,543.0,502.6,,500.0,2520.0,,,,,,288.0,,655.5,585.5,,501.9,597.2,,706.0,,113.3,,365.7,,,,,385.1,1511.7,-81.0,-121.4,,-124.0,1896.0,,,,,,-336.0,,31.5,-38.5,,-122.1,-26.8,,82.0,,-510.7,,-258.3,,,,,-238.9,887.7,False,,False,False,,,,,,False,,True,True,,False,True,,False,,False,,False,,,,,False,False
01017,111,30.0,35.0,,27.0,21.0,,,,,,65.0,,100.9,64.9,,3.4,15.8,,,,9.3,,,,,,,9.9,237.2,-81.0,-76.0,,-84.0,-90.0,,,,,,-46.0,,-10.1,-46.1,,-107.6,-95.2,,,,-101.7,,,,,,,-101.1,126.2,True,,False,False,,,,,,True,,True,True,,False,False,,,,False,,,,,,,False,False
01019,123,84.0,78.7,,79.0,41.0,,,,,,44.0,,141.9,78.3,,98.9,113.2,,217.0,,20.6,,,,,,,21.1,782.2,-39.0,-44.3,,-44.0,-82.0,,,,,,-79.0,,18.9,-44.7,,-24.1,-9.8,,94.0,,-102.4,,,,,,,-101.9,659.2,False,,False,False,,,,,,False,,True,False,,True,True,,False,,False,,,,,,,False,False
01021,261,252.0,261.0,,189.0,452.0,,,,,,106.0,,371.3,150.5,,180.2,186.2,,243.0,,84.2,,170.3,,,,,138.4,1375.2,-9.0,-0.0,,-72.0,191.0,,,,,,-155.0,,110.3,-110.5,,-80.8,-74.8,,-18.0,,-176.8,,-90.7,,,,,-122.6,1114.2,True,,False,False,,,,,,False,,False,False,,False,False,,False,,False,,False,,,,,False,False
01023,29,12.0,11.2,,12.0,21.0,,,,,,22.0,,91.7,19.9,,6.5,17.9,,,,3.2,,,,,,,14.1,27.7,-17.0,-17.8,,-17.0,-8.0,,,,,,-7.0,,62.7,-9.1,,-22.5,-11.1,,,,-25.8,,,,,,,-14.9,-1.3,False,,False,True,,,,,,True,,False,True,,False,True,,,,False,,,,,,,True,True
01025,117,24.0,25.4,,26.0,22.0,,,,,,84.0,,103.0,57.9,,1.7,24.6,,,,16.9,,,,,,,34.6,210.6,-93.0,-91.6,,-91.0,-95.0,,,,,,-33.0,,-14.0,-59.1,,-115.3,-92.4,,,,-100.1,,,,,,,-82.4,93.6,True,,True,False,,,,,,True,,True,True,,False,True,,,,False,,,,,,,True,False
01027,137,87.0,72.2,,62.0,42.0,,,,,,24.0,,189.3,46.4,,67.2,93.2,,166.0,,43.0,,,,,,,53.4,194.2,-50.0,-64.8,,-75.0,-95.0,,,,,,-113.0,,52.3,-90.6,,-69.8,-43.8,,29.0,,-94.0,,,,,,,-83.6,57.2,False,,False,False,,,,,,False,,False,False,,False,True,,True,,False,,,,,,,False,False
01029,93,111.0,96.1,,99.0,116.0,,,,,,33.0,,251.7,40.5,,103.0,112.2,,190.0,,91.5,,,,,,,43.8,540.2,18.0,3.1,,6.0,23.0,,,,,,-60.0,,158.7,-52.5,,10.0,19.2,,97.0,,-1.5,,,,,,,-49.2,447.2,True,,True,False,,,,,,False,,False,False,,True,False,,False,,True,,,,,,,False,False
01031,250,204.0,239.2,,158.0,447.0,,,,,,158.0,,210.6,152.5,,151.3,133.1,,212.0,,24.3,,,,,,,72.8,307.5,-46.0,-10.8,,-92.0,197.0,,,,,,-92.0,,-39.4,-97.5,,-98.7,-116.9,,-38.0,,-225.7,,,,,,,-177.2,57.5,True,,False,False,,,,,,False,,True,False,,False,False,,True,,False,,,,,,,False,False
01033,194,99.0,103.2,,104.0,196.0,,,,,,155.0,,191.4,111.6,,50.3,104.0,,60.0,,9.9,,132.4,,,,,74.9,194.0,-95.0,-90.8,,-90.0,2.0,,,,,,-39.0,,-2.6,-82.4,,-143.7,-90.0,,-134.0,,-184.1,,-61.6,,,,,-119.1,0.0,True,,True,True,,,,,,True,,True,True,,False,True,,False,,False,,True,,,,,False,True
01035,29,27.0,31.8,,20.0,0.0,,,,,,26.0,,26.6,26.2,,4.2,20.4,0.0,,,7.6,,,,,,,11.4,83.3,-2.0,2.8,,-9.0,-29.0,,,,,,-3.0,,-2.4,-2.8,,-24.8,-8.6,-29.0,,,-21.4,,,,,,,-17.6,54.3,False,,False,False,,,,,,False,,False,False,,False,False,False,,,False,,,,,,,False,False
