,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01001,146,482.0,504.0,,302.0,301.0,,,,,,,291.0,,197.2,55.4,,465.1,165.0,,585.0,401.0,,99.9,361.0,,,,,550.7,469.1,336.0,358.0,,156.0,155.0,,,,,,,145.0,,51.2,-90.7,,319.1,19.0,,439.0,255.0,,-46.1,215.0,,,,,404.7,323.1,False,,True,True,,,,,,,True,,True,True,,True,True,,False,True,,True,True,,,,,False,True
01003,1005,590.0,589.4,,471.0,865.0,,,,,,,446.0,,32.0,323.1,,495.3,278.1,,876.0,189.0,,141.6,573.3,420.0,,,,707.5,589.4,-415.0,-415.6,,-534.0,-140.0,,,,,,,-559.0,,-973.0,-681.9,,-509.7,-726.9,,-129.0,-816.0,,-863.4,-431.7,-585.0,,,,-297.5,-415.6,False,,False,True,,,,,,,False,,False,False,,False,False,,True,False,,False,False,False,,,,True,False
01005,86,420.0,384.0,,184.0,26.0,,,,,,,111.0,,258.3,24.3,,299.0,68.2,,,310.0,,0.9,,,,,,611.0,165.0,334.0,298.0,,98.0,-60.0,,,,,,,25.0,,172.3,-61.7,,213.0,-17.8,,,224.0,,-85.1,,,,,,525.0,79.0,True,,True,True,,,,,,,True,,True,True,,True,True,,,True,,True,,,,,,False,True
01007,60,104.0,99.1,,72.0,17.0,,,,,,,139.0,,80.2,37.4,,45.6,65.4,,137.0,20.0,,32.6,,,,,,120.5,253.6,44.0,39.1,,12.0,-43.0,,,,,,,79.0,,20.2,-22.6,,-14.4,5.4,,77.0,-40.0,,-27.4,,,,,,60.5,193.6,True,,True,True,,,,,,,False,,True,True,,True,True,,False,True,,True,,,,,,False,False
01009,95,856.0,851.9,,512.0,137.0,,,,,,,288.0,,536.1,137.5,,862.3,160.2,,986.0,585.0,,34.6,600.2,,,,,1191.3,651.1,761.0,756.9,,417.0,42.0,,,,,,,193.0,,441.1,42.5,,767.3,65.2,,891.0,490.0,,-60.4,505.2,,,,,1096.3,556.1,True,,True,True,,,,,,,True,,True,True,,False,True,,False,True,,True,True,,,,,False,True
01011,25,66.0,62.4,,18.0,0.0,,,,,,,81.0,,0.8,10.6,,9.3,26.9,,,31.0,,0.0,,,,,,55.8,80.1,41.0,37.4,,-7.0,-25.0,,,,,,,56.0,,-24.2,-14.4,,-15.7,1.9,,,6.0,,-25.0,,,,,,30.8,55.1,True,,True,True,,,,,,,False,,True,True,,True,True,,,True,,True,,,,,,True,False
01013,23,86.0,91.5,,40.0,0.0,,,,,,,92.0,,45.8,13.4,,33.4,29.8,,25.0,89.0,,14.2,,,,,,94.2,42.6,63.0,68.5,,17.0,-23.0,,,,,,,69.0,,22.8,-9.6,,10.4,6.8,,2.0,66.0,,-8.8,,,,,,71.2,19.6,False,,True,True,,,,,,,False,,True,True,,True,True,,True,False,,True,,,,,,False,True
01015,358,1184.0,1157.2,,974.0,2383.0,,,,,,,520.0,,557.1,320.3,,1102.8,364.5,,1491.0,831.0,,95.2,1080.4,,,,,974.3,981.8,826.0,799.2,,616.0,2025.0,,,,,,,162.0,,199.1,-37.7,,744.8,6.5,,1133.0,473.0,,-262.8,722.4,,,,,616.3,623.8,True,,True,False,,,,,,,True,,True,True,,True,True,,False,True,,True,True,,,,,True,True
01017,75,520.0,510.2,,223.0,0.0,,,,,,,115.0,,325.6,38.2,,327.2,130.3,,,361.0,,14.6,,,,,,744.5,113.4,445.0,435.2,,148.0,-75.0,,,,,,,40.0,,250.6,-36.8,,252.2,55.3,,,286.0,,-60.4,,,,,,669.5,38.4,True,,True,True,,,,,,,True,,True,True,,True,True,,,True,,True,,,,,,False,True
01019,76,326.0,315.7,,208.0,108.0,,,,,,,92.0,,283.0,53.1,,368.0,106.5,,396.0,706.0,,129.6,,,,,,424.2,358.5,250.0,239.7,,132.0,32.0,,,,,,,16.0,,207.0,-22.9,,292.0,30.5,,320.0,630.0,,53.6,,,,,,348.2,282.5,True,,True,True,,,,,,,True,,True,True,,False,True,,False,False,,True,,,,,,False,False
