,predicted_cases,actual_cases,error,perc_error
CU-select,917350.0,892011,25339.0,2.8%
IowaStateLW-STEM,827557.0,892011,-64454.0,-7.2%
JHUAPL-Bucky,792229.3,892011,-99781.7,-11.2%
OliverWyman-Navigator,768044.0,892011,-123967.0,-13.9%
Columbia_UNC-SurvCon,735447.0,892011,-156564.0,-17.6%
JCB-PRM,733457.8,892011,-158553.2,-17.8%
USACE-ERDC_SEIR,723627.4,892011,-168383.6,-18.9%
COVIDhub-baseline,720732.0,892011,-171279.0,-19.2%
Karlen-pypm,713148.1,892011,-178862.9,-20.1%
LNQ-ens1,708295.4,892011,-183715.6,-20.6%
COVIDhub-ensemble,705152.0,892011,-186859.0,-20.9%
CEID-Walk,701544.0,892011,-190467.0,-21.4%
DDS-NBDS,699946.8,892011,-192064.2,-21.5%
UMich-RidgeTfReg,699888.3,892011,-192122.7,-21.5%
TTU-squider,1131926.1,892011,239915.1,26.9%
IBF-TimeSeries,639990.0,892011,-252021.0,-28.3%
QJHong-Encounter,637198.0,892011,-254813.0,-28.6%
Covid19Sim-Simulator,631766.8,892011,-260244.2,-29.2%
JHU_IDD-CovidSP,620490.8,892011,-271520.2,-30.4%
USC-SI_kJalpha,602587.0,892011,-289424.0,-32.4%
LANL-GrowthRate,573290.7,892011,-318720.3,-35.7%
UCLA-SuEIR,529158.3,892011,-362852.7,-40.7%
IQVIA_ACOE-STAN,494827.0,892011,-397184.0,-44.5%
CovidAnalytics-DELPHI,491441.0,892011,-400570.0,-44.9%
RobertWalraven-ESG,434910.3,892011,-457100.7,-51.2%
Geneva-DetGrowth,204616.0,892011,-687395.0,-77.1%
