,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01001,344,248.0,275.1,,247.0,355.0,,,,,,364.0,,338.0,116.5,,57.5,142.5,,,153.3,247.6,,,,,343.9,677.1,-96.0,-68.9,,-97.0,11.0,,,,,,20.0,,-6.0,-227.5,,-286.5,-201.5,,,-190.7,-96.4,,,,,-0.1,333.1,True,,False,True,,,,,,True,,True,False,,False,False,,,False,False,,,,,True,False
01003,1350,940.0,948.8,,737.0,993.0,,,,,,724.0,,1019.3,931.9,,489.1,674.0,,,399.9,1087.9,599.0,,,,1529.9,4628.3,-410.0,-401.2,,-613.0,-357.0,,,,,,-626.0,,-330.7,-418.1,,-860.9,-676.0,,,-950.1,-262.1,-751.0,,,,179.9,3278.3,True,,False,True,,,,,,False,,True,False,,False,False,,,False,True,False,,,,True,False
01005,146,0.0,0.0,,26.0,28.0,,,,,,174.0,,141.8,62.7,,58.7,24.3,,,6.9,12.7,,,,,18.7,242.3,-146.0,-146.0,,-120.0,-118.0,,,,,,28.0,,-4.2,-83.3,,-87.3,-121.7,,,-139.1,-133.3,,,,,-127.3,96.3,False,,True,True,,,,,,True,,True,True,,True,True,,,True,True,,,,,True,True
01007,107,108.0,104.9,,94.0,56.0,,,,,,200.0,,248.7,95.6,,37.0,83.1,,,31.3,116.6,,,,,160.7,1607.3,1.0,-2.1,,-13.0,-51.0,,,,,,93.0,,141.7,-11.4,,-70.0,-23.9,,,-75.7,9.6,,,,,53.7,1500.3,False,,False,False,,,,,,False,,False,False,,False,False,,,False,False,,,,,False,False
01009,260,232.0,225.5,,220.0,340.0,,,,,,308.0,,477.7,309.8,,61.0,194.7,,,131.2,180.6,,,,,353.6,4148.2,-28.0,-34.5,,-40.0,80.0,,,,,,48.0,,217.7,49.8,,-199.0,-65.3,,,-128.8,-79.4,,,,,93.6,3888.2,False,,False,False,,,,,,False,,False,False,,False,False,,,False,False,,,,,False,False
01011,42,36.0,31.0,,29.0,2.0,,,,,,143.0,,35.2,25.5,,3.9,30.4,,,25.1,37.1,,,,,62.7,350.3,-6.0,-11.0,,-13.0,-40.0,,,,,,101.0,,-6.8,-16.5,,-38.1,-11.6,,,-16.9,-4.9,,,,,20.7,308.3,False,,False,False,,,,,,False,,False,False,,False,False,,,False,True,,,,,False,False
01013,41,104.0,114.3,,92.0,100.0,,,,,,124.0,,239.1,26.0,,25.6,83.3,,,57.3,86.2,,,,,124.1,116.5,63.0,73.3,,51.0,59.0,,,,,,83.0,,198.1,-15.0,,-15.4,42.3,,,16.3,45.2,,,,,83.1,75.5,False,,True,True,,,,,,False,,False,True,,True,True,,,True,True,,,,,False,False
01015,850,924.0,828.7,,745.0,1134.0,,,,,,609.0,,1447.5,840.4,,479.1,700.9,,,219.9,768.3,,,,,1293.7,2139.8,74.0,-21.3,,-105.0,284.0,,,,,,-241.0,,597.5,-9.6,,-370.9,-149.1,,,-630.1,-81.7,,,,,443.7,1289.8,True,,False,False,,,,,,False,,False,True,,False,False,,,False,False,,,,,False,False
01017,141,0.0,0.0,,16.0,7.0,,,,,,150.0,,121.7,88.4,,2.6,39.0,,,13.7,12.6,,,,,26.0,180.0,-141.0,-141.0,,-125.0,-134.0,,,,,,9.0,,-19.3,-52.6,,-138.4,-102.0,,,-127.3,-128.4,,,,,-115.0,39.0,False,,True,True,,,,,,True,,True,True,,True,True,,,True,True,,,,,True,True
01019,176,92.0,76.4,,80.0,56.0,,,,,,95.0,,295.9,130.4,,16.2,67.6,,,41.0,78.1,,,,,117.9,1380.1,-84.0,-99.6,,-96.0,-120.0,,,,,,-81.0,,119.9,-45.6,,-159.8,-108.4,,,-135.0,-97.9,,,,,-58.1,1204.1,False,,False,False,,,,,,True,,False,True,,False,False,,,False,False,,,,,True,False
01021,367,456.0,462.6,,320.0,839.0,,,,,,331.0,,378.5,222.6,,175.7,268.9,,,135.5,355.0,,,,,665.0,1520.9,89.0,95.6,,-47.0,472.0,,,,,,-36.0,,11.5,-144.4,,-191.3,-98.1,,,-231.5,-12.0,,,,,298.0,1153.9,False,,True,False,,,,,,True,,True,False,,False,False,,,False,True,,,,,False,False
01023,35,32.0,31.2,,28.0,28.0,,,,,,50.0,,133.5,32.9,,7.3,25.4,,,0.6,30.6,,,,,48.6,47.1,-3.0,-3.8,,-7.0,-7.0,,,,,,15.0,,98.5,-2.1,,-27.7,-9.6,,,-34.4,-4.4,,,,,13.6,12.1,False,,False,False,,,,,,False,,False,True,,False,False,,,False,False,,,,,False,False
01025,138,52.0,61.8,,74.0,65.0,,,,,,179.0,,186.2,105.5,,5.3,72.4,,,40.5,124.6,,,,,111.5,510.1,-86.0,-76.2,,-64.0,-73.0,,,,,,41.0,,48.2,-32.5,,-132.7,-65.6,,,-97.5,-13.4,,,,,-26.5,372.1,True,,True,True,,,,,,True,,True,True,,False,True,,,False,True,,,,,True,False
01027,196,200.0,180.0,,128.0,126.0,,,,,,71.0,,261.7,61.2,,74.9,130.1,,,66.1,168.5,,,,,266.4,178.0,4.0,-16.0,,-68.0,-70.0,,,,,,-125.0,,65.7,-134.8,,-121.1,-65.9,,,-129.9,-27.5,,,,,70.4,-18.0,False,,False,False,,,,,,False,,False,False,,False,False,,,False,False,,,,,False,False
