,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,14603,13036.0,12139.7,12132.0,50809.0,,12164.4,7143.0,14589.9,,13538.0,21757.0,12985.1,16444.9,7465.8,9146.0,10879.5,11889.5,52990.0,,5531.5,11510.9,13128.1,45379.3,11334.0,-1567.0,-2463.3,-2471.0,36206.0,,-2438.6,-7460.0,-13.1,,-1065.0,7154.0,-1617.9,1841.9,-7137.2,-5457.0,-3723.5,-2713.5,38387.0,,-9071.5,-3092.1,-1474.9,30776.3,-3269.0,False,False,False,,False,False,True,,True,False,False,False,False,False,False,False,False,,False,False,True,False,False
Alaska,1587,1044.0,1045.0,1054.0,219.0,,1195.7,887.0,1466.6,,,,1161.2,1111.4,1253.4,821.4,1077.3,1112.0,1174.0,,616.4,816.7,1014.8,1322.4,1133.0,-543.0,-542.0,-533.0,-1368.0,,-391.3,-700.0,-120.4,,,,-425.8,-475.6,-333.6,-765.6,-509.7,-475.0,-413.0,,-970.6,-770.3,-572.2,-264.6,-454.0,True,True,False,,True,False,True,,,,True,True,True,False,True,True,True,,False,False,False,True,True
Arizona,6848,9628.0,9460.9,8842.0,10561.0,,7063.3,2789.0,10966.6,,9388.0,7652.0,8441.3,9175.2,4322.5,9165.7,9435.3,10818.0,10922.0,,3021.3,9964.0,15688.2,11869.8,11670.0,2780.0,2612.9,1994.0,3713.0,,215.3,-4059.0,4118.6,,2540.0,804.0,1593.3,2327.2,-2525.5,2317.7,2587.3,3970.0,4074.0,,-3826.7,3116.0,8840.2,5021.8,4822.0,True,True,False,,True,False,False,,True,True,True,True,True,True,True,False,False,,False,False,False,False,False
Arkansas,11365,10900.0,10816.0,10608.0,12006.0,,9960.9,7128.0,12748.1,,12609.0,11700.0,11625.6,16166.1,5119.9,12416.0,8885.9,9863.8,16198.0,,6951.7,9465.6,9109.0,11405.1,9793.0,-465.0,-549.0,-757.0,641.0,,-1404.1,-4237.0,1383.1,,1244.0,335.0,260.6,4801.1,-6245.1,1051.0,-2479.1,-1501.2,4833.0,,-4413.3,-1899.4,-2256.0,40.1,-1572.0,False,False,False,,False,False,False,,False,True,True,False,False,False,False,False,False,,False,False,False,True,False
California,46918,48760.0,46849.7,43708.0,52481.0,,39788.7,43055.0,57939.6,,51614.0,54324.0,44528.8,46299.4,42466.7,40895.1,37305.1,43707.6,42403.0,,22574.8,46299.7,56765.0,41817.6,45060.0,1842.0,-68.3,-3210.0,5563.0,,-7129.3,-3863.0,11021.6,,4696.0,7406.0,-2389.2,-618.6,-4451.3,-6022.9,-9612.9,-3210.4,-4515.0,,-24343.2,-618.3,9847.0,-5100.4,-1858.0,True,False,False,,False,False,False,,False,False,False,True,False,False,False,False,False,,False,True,False,False,False
Colorado,8199,6920.0,7036.0,6149.0,9506.0,,5161.1,507.0,8176.6,,6628.0,5980.0,6128.7,6148.7,4985.2,4623.5,6492.8,7983.8,8866.0,,5315.4,5504.2,5414.0,11712.0,8543.0,-1279.0,-1163.0,-2050.0,1307.0,,-3037.9,-7692.0,-22.4,,-1571.0,-2219.0,-2070.3,-2050.3,-3213.8,-3575.5,-1706.2,-215.2,667.0,,-2883.6,-2694.8,-2785.0,3513.0,344.0,True,False,False,,False,False,True,,False,False,False,False,False,False,False,True,True,,False,False,False,False,True
Connecticut,2770,2402.0,2406.2,2078.0,3361.0,,2366.2,12.0,1757.8,,1510.0,2300.0,2064.5,1995.0,2393.9,2176.3,972.0,2004.5,2751.0,,291.6,2356.4,2984.0,1918.3,1707.0,-368.0,-363.8,-692.0,591.0,,-403.8,-2758.0,-1012.2,,-1260.0,-470.0,-705.5,-775.0,-376.1,-593.7,-1798.0,-765.5,-19.0,,-2478.4,-413.6,214.0,-851.7,-1063.0,True,False,False,,False,False,False,,False,False,False,False,False,False,False,False,True,,False,False,True,False,False
Delaware,1676,1446.0,1418.2,1311.0,1582.0,,1743.2,6.0,1514.2,,1314.0,1186.0,1551.1,1324.1,825.8,1166.0,986.5,1431.6,1802.0,,810.4,1251.1,1555.0,1384.6,1377.0,-230.0,-257.8,-365.0,-94.0,,67.2,-1670.0,-161.8,,-362.0,-490.0,-124.9,-351.9,-850.2,-510.0,-689.5,-244.4,126.0,,-865.6,-424.9,-121.0,-291.4,-299.0,False,False,True,,True,False,True,,False,False,True,False,False,False,False,False,True,,False,False,True,False,False
District of Columbia,571,818.0,845.9,619.0,379.0,,590.0,60.0,652.6,,703.0,631.0,690.8,782.7,610.3,511.0,577.1,744.3,808.0,,485.5,784.2,,781.2,902.0,247.0,274.9,48.0,-192.0,,19.0,-511.0,81.6,,132.0,60.0,119.8,211.7,39.3,-60.0,6.1,173.3,237.0,,-85.5,213.2,,210.2,331.0,False,True,True,,True,False,True,,True,True,True,True,True,True,True,True,True,,True,True,,True,False
Florida,33358,39324.0,39617.6,37380.0,42871.0,,34075.5,15943.0,51464.7,,40849.0,39676.0,41574.8,38227.8,25310.5,22098.5,31697.6,38673.9,41816.0,,16917.6,37677.5,43678.2,34858.5,35491.0,5966.0,6259.6,4022.0,9513.0,,717.5,-17415.0,18106.7,,7491.0,6318.0,8216.8,4869.8,-8047.5,-11259.5,-1660.4,5315.9,8458.0,,-16440.4,4319.5,10320.2,1500.5,2133.0,False,True,False,,True,False,False,,False,False,False,True,False,False,True,True,False,,False,True,False,True,True
