,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,6789,7427.0,7198.2,6775.0,8222.0,,5956.3,3220.0,7599.1,7476.2,,7536.0,10233.0,5981.4,7567.1,4159.0,4602.1,6251.2,6535.4,27477.0,,,2217.9,7000.1,7786.3,3320.3,7545.0,638.0,409.2,-14.0,1433.0,,-832.7,-3569.0,810.1,687.2,,747.0,3444.0,-807.6,778.1,-2630.0,-2186.9,-537.8,-253.6,20688.0,,,-4571.1,211.1,997.3,-3468.7,756.0,True,True,False,,False,False,False,False,,False,False,False,False,False,False,True,True,False,,,False,True,False,False,False
Alaska,850,638.0,629.1,623.0,286.0,,698.6,493.0,741.6,643.6,,,,695.0,616.0,635.6,447.0,737.4,686.9,701.0,,564.9,423.8,584.9,557.7,882.2,667.0,-212.0,-220.9,-227.0,-564.0,,-151.4,-357.0,-108.4,-206.4,,,,-155.0,-234.0,-214.4,-403.0,-112.6,-163.1,-149.0,,-285.1,-426.2,-265.1,-292.3,32.2,-183.0,False,False,False,,True,False,True,True,,,,True,False,False,False,True,True,True,,False,False,False,False,True,True
Arizona,3573,3275.0,3147.4,3186.0,3882.0,,4070.4,1161.0,3736.8,3220.3,,3436.0,4774.0,3407.1,3050.4,3107.5,3580.2,2733.0,3186.2,4771.0,,1729.1,0.0,3138.2,6805.2,3206.1,2406.0,-298.0,-425.6,-387.0,309.0,,497.4,-2412.0,163.8,-352.7,,-137.0,1201.0,-165.9,-522.6,-465.5,7.2,-840.0,-386.8,1198.0,,-1843.9,-3573.0,-434.8,3232.2,-366.9,-1167.0,False,False,False,,False,False,True,False,,True,False,True,False,False,True,False,False,False,,False,False,False,False,False,False
Arkansas,5770,5595.0,5581.1,5269.0,5269.0,,5785.3,3933.0,5692.2,5668.2,,6013.0,5844.0,6569.1,5875.7,2812.4,6564.5,4517.8,4985.4,6745.0,,3580.4,3649.5,5130.9,5128.3,4922.3,5737.0,-175.0,-188.9,-501.0,-501.0,,15.3,-1837.0,-77.8,-101.8,,243.0,74.0,799.1,105.7,-2957.6,794.5,-1252.2,-784.6,975.0,,-2189.6,-2120.5,-639.1,-641.7,-847.7,-33.0,False,False,False,,True,False,True,True,,False,True,False,True,False,False,False,False,False,,False,False,False,False,False,True
California,22070,24138.0,23900.1,22855.0,22991.0,,20847.5,19170.0,25631.4,22518.3,,24598.0,27540.0,23654.2,22161.4,25741.9,19215.7,18545.2,22855.2,24545.0,,16140.4,62556.2,22972.8,27871.4,22443.2,24371.0,2068.0,1830.1,785.0,921.0,,-1222.5,-2900.0,3561.4,448.3,,2528.0,5470.0,1584.2,91.4,3671.9,-2854.3,-3524.8,785.2,2475.0,,-5929.6,40486.2,902.8,5801.4,373.2,2301.0,True,True,True,,True,False,False,True,,False,False,True,True,False,False,False,True,False,,False,False,True,False,True,False
Colorado,4044,4153.0,4213.7,4128.0,5560.0,,3955.0,330.0,4024.1,4729.9,,4012.0,5184.0,4971.3,4127.5,3860.2,3746.8,3782.8,4440.3,5306.0,,3295.3,3331.2,3848.3,3443.6,4483.5,4973.0,109.0,169.7,84.0,1516.0,,-89.0,-3714.0,-19.9,685.9,,-32.0,1140.0,927.3,83.5,-183.8,-297.2,-261.2,396.3,1262.0,,-748.7,-712.8,-195.7,-600.4,439.5,929.0,False,True,False,,True,False,True,False,,True,False,False,True,False,False,False,False,False,,False,False,False,False,False,False
Connecticut,1710,1060.0,1071.7,1060.0,1184.0,,1105.3,4.0,1295.9,1140.1,,738.0,1248.0,828.8,1148.5,2163.4,1146.6,425.9,815.7,1062.0,,195.3,0.0,993.0,1000.2,791.5,802.0,-650.0,-638.3,-650.0,-526.0,,-604.7,-1706.0,-414.1,-569.9,,-972.0,-462.0,-881.2,-561.5,453.4,-563.4,-1284.1,-894.3,-648.0,,-1514.7,-1710.0,-717.0,-709.8,-918.5,-908.0,True,False,True,,True,False,True,True,,False,True,False,True,True,True,False,False,True,,False,False,False,False,False,False
Delaware,969,707.0,686.9,636.0,551.0,,758.7,2.0,736.8,898.9,,640.0,596.0,731.5,635.9,670.6,628.7,617.1,690.7,698.0,,528.2,243.3,642.6,738.5,668.9,618.0,-262.0,-282.1,-333.0,-418.0,,-210.3,-967.0,-232.2,-70.1,,-329.0,-373.0,-237.5,-333.1,-298.4,-340.3,-351.9,-278.3,-271.0,,-440.8,-725.7,-326.4,-230.5,-300.1,-351.0,False,False,False,,True,False,True,True,,False,False,True,False,False,False,False,False,False,,False,False,False,True,False,False
District of Columbia,258,313.0,329.1,283.0,283.0,,289.2,28.0,302.1,315.3,,319.0,236.0,351.6,262.6,386.8,256.7,269.3,295.2,342.0,,76.4,306.3,299.0,,293.2,326.0,55.0,71.1,25.0,25.0,,31.2,-230.0,44.1,57.3,,61.0,-22.0,93.6,4.6,128.8,-1.3,11.3,37.2,84.0,,-181.6,48.3,41.0,,35.2,68.0,False,True,True,,True,False,True,False,,False,True,False,True,False,True,True,True,False,,False,True,True,,True,False
Florida,15909,17449.0,17218.4,16238.0,17498.0,,16238.4,7611.0,19394.0,16346.3,,17958.0,18452.0,18554.2,15765.0,14588.9,10262.0,14171.8,16486.6,18949.0,,8197.4,0.0,16453.4,21522.6,15353.7,17567.0,1540.0,1309.4,329.0,1589.0,,329.4,-8298.0,3485.0,437.3,,2049.0,2543.0,2645.2,-144.0,-1320.1,-5647.0,-1737.2,577.6,3040.0,,-7711.6,-15909.0,544.4,5613.6,-555.3,1658.0,True,True,False,,True,False,False,True,,False,False,False,True,True,False,False,True,False,,False,False,True,False,True,False
