,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,27267,31656.0,28676.8,20854.0,21099.0,,33904.3,17478.0,26793.6,,26922.0,36102.5,28574.8,18432.7,18272.5,14165.7,25709.7,,7673.2,20705.4,32465.2,13127.1,21138.0,4389.0,1409.8,-6413.0,-6168.0,,6637.3,-9789.0,-473.4,,-345.0,8835.5,1307.8,-8834.3,-8994.5,-13101.3,-1557.3,,-19593.8,-6561.6,5198.2,-14139.9,-6129.0,True,False,False,,False,False,True,,True,False,True,False,False,False,True,,False,False,False,False,False
Alaska,2688,1980.0,2018.0,1904.0,1429.0,,2307.1,1644.0,2000.1,,,1930.0,3310.9,3009.6,1403.0,2017.6,2090.5,,1721.8,1413.4,1707.3,3354.9,1852.0,-708.0,-670.0,-784.0,-1259.0,,-380.9,-1044.0,-687.9,,,-758.0,622.9,321.6,-1285.0,-670.4,-597.5,,-966.2,-1274.6,-980.7,666.9,-836.0,True,False,False,,True,False,True,,,False,True,True,False,True,True,,False,False,False,True,False
Arizona,14882,16920.0,17148.5,13152.0,24046.0,,13510.2,8116.0,12330.9,,14938.0,12909.8,16330.7,9123.5,3929.1,11590.3,13901.4,,2976.3,17798.9,30785.0,12408.0,16990.0,2038.0,2266.5,-1730.0,9164.0,,-1371.8,-6766.0,-2551.1,,56.0,-1972.2,1448.7,-5758.5,-10952.9,-3291.7,-980.6,,-11905.7,2916.9,15903.0,-2474.0,2108.0,False,True,False,,True,False,False,,True,True,True,False,False,False,True,,False,False,False,False,False
Arkansas,21835,17248.0,17110.5,17117.0,26510.0,,15550.0,18897.0,16841.5,,17985.0,17025.8,38324.0,10688.3,10557.2,15043.1,17174.4,,12992.4,14832.1,15743.9,19348.4,14558.0,-4587.0,-4724.5,-4718.0,4675.0,,-6285.0,-2938.0,-4993.5,,-3850.0,-4809.2,16489.0,-11146.7,-11277.8,-6791.9,-4660.6,,-8842.6,-7002.9,-6091.1,-2486.6,-7277.0,False,False,False,,False,True,False,,True,False,False,False,False,False,False,,False,False,False,True,False
California,95116,133104.0,124234.0,111012.0,162585.0,,92622.3,116379.0,131258.0,,219824.0,98384.7,105980.4,117817.8,113145.8,75938.2,103370.7,,55521.0,101382.1,144656.5,84918.8,85103.0,37988.0,29118.0,15896.0,67469.0,,-2493.7,21263.0,36142.0,,124708.0,3268.7,10864.4,22701.8,18029.8,-19177.8,8254.7,,-39595.0,6266.1,49540.5,-10197.2,-10013.0,True,True,False,,True,True,True,,False,True,True,True,True,True,True,,False,True,False,True,True
Colorado,13569,7784.0,7843.6,7344.0,7717.0,,6986.4,1000.0,8212.6,,7397.0,7249.8,3313.1,10178.7,4749.1,5896.2,7776.5,,4868.1,5225.8,9699.2,8743.0,7141.0,-5785.0,-5725.4,-6225.0,-5852.0,,-6582.6,-12569.0,-5356.4,,-6172.0,-6319.2,-10255.9,-3390.3,-8819.9,-7672.8,-5792.5,,-8700.9,-8343.2,-3869.8,-4826.0,-6428.0,True,False,False,,False,False,True,,False,False,False,True,False,False,False,,False,False,True,True,False
Connecticut,4932,3480.0,3496.9,3192.0,4468.0,,2238.4,58.0,4364.4,,3456.0,4021.8,2691.5,4920.9,4140.0,1222.6,3049.3,,456.3,4759.1,5644.8,2871.1,2626.0,-1452.0,-1435.1,-1740.0,-464.0,,-2693.6,-4874.0,-567.6,,-1476.0,-910.2,-2240.5,-11.1,-792.0,-3709.4,-1882.7,,-4475.7,-172.9,712.8,-2060.9,-2306.0,True,False,True,,False,False,True,,False,True,False,True,True,False,False,,False,True,True,False,False
Delaware,3233,2172.0,2011.1,2015.0,3181.0,,2354.4,29.0,2948.6,,1923.0,2106.4,1901.7,1590.8,1730.2,1979.0,2761.6,,4354.3,1767.8,3046.1,3320.5,5012.0,-1061.0,-1221.9,-1218.0,-52.0,,-878.6,-3204.0,-284.4,,-1310.0,-1126.6,-1331.3,-1642.2,-1502.8,-1254.0,-471.4,,1121.3,-1465.2,-186.9,87.5,1779.0,False,False,True,,True,False,True,,False,False,False,False,False,False,True,,False,False,True,True,False
District of Columbia,1235,1252.0,1258.9,1198.0,1069.0,,1070.8,132.0,1572.2,,1249.0,1249.8,1507.1,1626.5,1105.1,843.6,1168.8,,595.6,1225.7,,1282.2,1132.0,17.0,23.9,-37.0,-166.0,,-164.2,-1103.0,337.2,,14.0,14.8,272.1,391.5,-129.9,-391.4,-66.2,,-639.4,-9.3,,47.2,-103.0,False,False,False,,False,False,False,,True,True,False,False,False,False,False,,False,True,,False,False
Florida,70724,99456.0,90482.3,75132.0,167280.0,,72040.1,40587.0,81220.8,,91341.0,76200.1,77838.5,61888.0,55515.8,51917.0,76459.5,,34581.8,91889.2,107208.4,71908.2,76520.0,28732.0,19758.3,4408.0,96556.0,,1316.1,-30137.0,10496.8,,20617.0,5476.1,7114.5,-8836.0,-15208.2,-18807.0,5735.5,,-36142.2,21165.2,36484.4,1184.2,5796.0,True,True,False,,True,False,True,,True,True,True,True,True,True,True,,False,True,False,True,True
