,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,569,840.0,733.2,,,,499.0,162.0,,398.9,593.3,,,271.0,164.2,,,,-70.0,-407.0,,-170.1,24.3,,,True,,,,True,False,,True,True,,
01003,2111,2359.0,7019.8,,,,3159.0,1701.5,,601.4,1269.0,,,248.0,4908.8,,,,1048.0,-409.5,,-1509.6,-842.0,,,False,,,,False,False,,False,False,,
01005,245,175.0,,,,,282.0,76.2,,61.1,210.0,,,-70.0,,,,,37.0,-168.8,,-183.9,-35.0,,,,,,,True,False,,False,True,,
01007,202,301.0,,,,,199.0,105.9,,35.9,311.9,,,99.0,,,,,-3.0,-96.1,,-166.1,109.9,,,,,,,True,True,,False,False,,
01009,645,462.0,1416.4,,,,503.0,252.5,,208.1,976.7,,,-183.0,771.4,,,,-142.0,-392.5,,-436.9,331.7,,,False,,,,True,False,,False,False,,
01011,111,224.0,,,,,148.0,28.0,,153.7,103.1,,,113.0,,,,,37.0,-83.0,,42.7,-7.9,,,,,,,True,True,,True,True,,
01013,121,210.0,,,,,232.0,49.0,,154.6,192.4,,,89.0,,,,,111.0,-72.0,,33.6,71.4,,,,,,,False,True,,True,True,,
01015,1647,994.0,3355.9,,,,1160.0,501.5,,202.2,902.6,,,-653.0,1708.9,,,,-487.0,-1145.5,,-1444.8,-744.4,,,False,,,,True,False,,False,False,,
01017,269,98.0,,,,,298.0,16.1,,48.5,112.4,,,-171.0,,,,,29.0,-252.9,,-220.5,-156.6,,,,,,,True,False,,False,True,,
01019,288,203.0,,,,,226.0,107.6,,200.9,104.8,,,-85.0,,,,,-62.0,-180.4,,-87.1,-183.2,,,,,,,True,False,,False,False,,
01021,739,483.0,,,,,405.0,207.6,,86.1,506.2,,,-256.0,,,,,-334.0,-531.4,,-652.9,-232.8,,,,,,,False,False,,False,True,,
01023,67,77.0,,,,,156.0,5.8,,51.5,93.4,,,10.0,,,,,89.0,-61.2,,-15.5,26.4,,,,,,,False,False,,False,False,,
01025,285,1211.0,,,,,424.0,12.5,,167.6,757.5,,,926.0,,,,,139.0,-272.5,,-117.4,472.5,,,,,,,True,True,,True,True,,
01027,307,308.0,,,,,93.0,112.6,,11.2,130.0,,,1.0,,,,,-214.0,-194.4,,-295.8,-177.0,,,,,,,False,False,,False,False,,
01029,290,42.0,,,,,91.0,5.7,,6.0,59.1,,,-248.0,,,,,-199.0,-284.3,,-284.0,-230.9,,,,,,,True,False,,False,True,,
01031,608,343.0,580.9,,,,566.0,254.3,,182.5,969.3,,,-265.0,-27.1,,,,-42.0,-353.7,,-425.5,361.3,,,True,,,,True,False,,False,False,,
01033,443,658.0,2106.4,,,,548.0,258.0,,261.6,800.8,,,215.0,1663.4,,,,105.0,-185.0,,-181.4,357.8,,,False,,,,True,True,,True,False,,
01035,106,98.0,,,,,190.0,14.6,0.0,113.3,65.6,,,-8.0,,,,,84.0,-91.4,-106.0,7.3,-40.4,,,,,,,False,False,False,True,False,,
01037,65,35.0,,,,,49.0,1.0,42.3,6.8,128.4,,,-30.0,,,,,-16.0,-64.0,-22.7,-58.2,63.4,,,,,,,True,False,True,False,False,,
01039,549,259.0,,,,,529.0,119.1,142.6,49.1,149.3,,,-290.0,,,,,-20.0,-429.9,-406.4,-499.9,-399.7,,,,,,,True,False,False,False,False,,
01041,156,231.0,,,,,122.0,38.6,0.2,203.1,691.8,,,75.0,,,,,-34.0,-117.4,-155.8,47.1,535.8,,,,,,,True,False,False,True,False,,
