,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01083,612,480.0,453.0,,,,598.0,297.0,,432.6,220.8,,258.5,366.2,,,-132.0,-159.0,,,,-14.0,-315.0,,-179.4,-391.2,,-353.5,-245.8,,,False,,,,True,False,,False,False,,False,False,,
01085,69,70.0,0.0,,,,81.0,20.5,,8.8,0.8,,27.8,44.9,,,1.0,-69.0,,,,12.0,-48.5,,-60.2,-68.2,,-41.2,-24.1,,,False,,,,False,False,,False,False,,False,False,,
01087,102,85.0,76.0,,,,97.0,82.7,,16.7,0.0,,57.0,69.2,,,-17.0,-26.0,,,,-5.0,-19.3,,-85.3,-102.0,,-45.0,-32.8,,,False,,,,True,False,,False,False,,False,False,,
01089,2019,1425.0,3470.0,,,,1732.0,1814.2,,1436.7,360.8,,0.0,937.0,,,-594.0,1451.0,,,,-287.0,-204.8,,-582.3,-1658.2,,-2019.0,-1082.0,,,False,,,,True,True,,True,False,,False,False,,
01091,119,85.0,60.0,,,,233.0,67.3,,10.4,0.5,,26.3,94.9,,,-34.0,-59.0,,,,114.0,-51.7,,-108.6,-118.5,,-92.7,-24.1,,,False,,,,False,False,,False,False,,False,True,,
01093,287,300.0,496.0,,,,228.0,195.0,,127.9,71.5,,62.6,158.2,,,13.0,209.0,,,,-59.0,-92.0,,-159.1,-215.5,,-224.4,-128.8,,,False,,,,False,False,,False,False,,False,False,,
01095,562,310.0,193.0,,,,715.0,365.2,,113.9,61.3,,63.3,495.9,,,-252.0,-369.0,,,,153.0,-196.8,,-448.1,-500.7,,-498.7,-66.1,,,False,,,,True,True,,False,False,,False,True,,
01097,1771,2055.0,2108.0,,,,2443.0,2298.8,,2055.7,1007.5,,417.3,4320.0,,,284.0,337.0,,,,672.0,527.8,,284.7,-763.5,,-1353.7,2549.0,,,False,,,,False,False,,False,False,,False,False,,
01099,163,0.0,7.0,,,,211.0,89.2,,5.5,26.0,,5.3,7.8,,,-163.0,-156.0,,,,48.0,-73.8,,-157.5,-137.0,,-157.7,-155.2,,,True,,,,True,True,,True,True,,True,True,,
01101,1338,1265.0,1081.0,,,,1463.0,639.1,,929.6,245.9,,1082.8,1238.2,,,-73.0,-257.0,,,,125.0,-698.9,,-408.4,-1092.1,,-255.2,-99.8,,,False,,,,False,False,,False,False,,False,False,,
01103,643,825.0,1592.0,,,,769.0,460.4,,560.8,170.4,,244.5,654.1,,,182.0,949.0,,,,126.0,-182.6,,-82.2,-472.6,,-398.5,11.1,,,False,,,,True,False,,True,False,,False,True,,
01105,69,45.0,8.0,,,,73.0,38.4,,6.0,0.0,,6.7,52.6,,,-24.0,-61.0,,,,4.0,-30.6,,-63.0,-69.0,,-62.3,-16.4,,,False,,,,True,False,,False,False,,False,True,,
01107,154,170.0,234.0,,,,182.0,97.2,,83.1,77.6,,90.3,90.7,,,16.0,80.0,,,,28.0,-56.8,,-70.9,-76.4,,-63.7,-63.3,,,False,,,,False,False,,False,False,,False,False,,
01109,417,215.0,255.0,,,,417.0,128.6,,54.9,68.0,,51.9,185.5,,,-202.0,-162.0,,,,0.0,-288.4,,-362.1,-349.0,,-365.1,-231.5,,,True,,,,True,False,,False,False,,False,False,,
01111,232,150.0,35.0,,,,157.0,121.7,,73.6,38.6,,6.7,127.4,,,-82.0,-197.0,,,,-75.0,-110.3,,-158.4,-193.4,,-225.3,-104.6,,,False,,,,True,False,,False,False,,False,False,,
01113,289,190.0,120.0,,,,426.0,219.0,,62.9,110.6,,27.7,269.8,,,-99.0,-169.0,,,,137.0,-70.0,,-226.1,-178.4,,-261.3,-19.2,,,False,,,,False,True,,False,False,,False,True,,
01115,830,535.0,952.0,,,,446.0,471.4,,324.9,196.5,,119.6,344.2,,,-295.0,122.0,,,,-384.0,-358.6,,-505.1,-633.5,,-710.4,-485.8,,,True,,,,False,False,,False,False,,False,False,,
01117,2404,1500.0,5580.0,,,,1052.0,1192.3,,2526.5,736.7,,3184.8,909.4,,,-904.0,3176.0,,,,-1352.0,-1211.7,,122.5,-1667.3,,780.8,-1494.6,,,False,,,,False,False,,True,False,,True,False,,
01119,46,25.0,35.0,,,,104.0,17.5,,2.5,0.3,,2.1,37.0,,,-21.0,-11.0,,,,58.0,-28.5,,-43.5,-45.7,,-43.9,-9.0,,,True,,,,False,False,,False,False,,False,True,,
01121,1003,360.0,364.0,,,,500.0,693.0,,214.5,229.0,,117.6,287.1,,,-643.0,-639.0,,,,-503.0,-310.0,,-788.5,-774.0,,-885.4,-715.9,,,True,,,,True,True,,False,False,,False,False,,
01123,271,25.0,107.0,,,,306.0,153.5,,28.6,30.0,,52.3,80.8,,,-246.0,-164.0,,,,35.0,-117.5,,-242.4,-241.0,,-218.7,-190.2,,,True,,,,True,True,,True,True,,True,True,,
01125,4051,1555.0,1599.0,,,,1599.0,875.7,,1492.5,335.8,,694.9,1109.5,,,-2496.0,-2452.0,,,,-2452.0,-3175.3,,-2558.5,-3715.2,,-3356.1,-2941.5,,,True,,,,True,False,,False,False,,False,False,,
01127,607,510.0,978.0,,,,470.0,181.3,,163.3,78.8,,34.7,284.2,,,-97.0,371.0,,,,-137.0,-425.7,,-443.7,-528.2,,-572.3,-322.8,,,False,,,,False,False,,False,False,,False,False,,
01129,93,60.0,32.0,,,,161.0,96.8,,9.9,0.0,,13.3,61.0,,,-33.0,-61.0,,,,68.0,3.8,,-83.1,-93.0,,-79.7,-32.0,,,False,,,,False,True,,False,False,,False,True,,
01131,68,50.0,37.0,,,,94.0,43.1,,7.3,0.6,,52.3,41.8,,,-18.0,-31.0,,,,26.0,-24.9,,-60.7,-67.4,,-15.7,-26.2,,,False,,,,False,False,,False,False,,True,False,,
01133,225,200.0,160.0,,,,195.0,109.8,,132.5,59.9,,74.4,149.3,,,-25.0,-65.0,,,,-30.0,-115.2,,-92.5,-165.1,,-150.6,-75.7,,,False,,,,False,False,,False,False,,False,False,,
02013,10,0.0,0.0,,,,,5.4,,,,,0.0,0.3,,,-10.0,-10.0,,,,,-4.6,,,,,-10.0,-9.7,,,False,,,,,True,,,,,False,True,,
