,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
17187,101,120.0,0.0,,,,120.0,135.5,,36.7,80.4,,151.7,96.7,,135.0,19.0,-101.0,,,,19.0,34.5,,-64.3,-20.6,,50.7,-4.3,,34.0,False,,,,False,False,,False,False,,False,True,,False
17189,119,120.0,172.0,,,,70.0,89.1,,16.7,124.4,,0.1,68.3,,161.0,1.0,53.0,,,,-49.0,-29.9,,-102.3,5.4,,-118.9,-50.7,,42.0,False,,,,False,False,,False,False,,False,False,,False
17191,221,55.0,54.0,,,,90.0,113.3,,38.0,107.4,,36.0,58.4,,40.0,-166.0,-167.0,,,,-131.0,-107.7,,-183.0,-113.6,,-185.0,-162.6,,-181.0,False,,,,True,True,,False,True,,False,True,,False
17193,68,55.0,70.0,,,,65.0,116.0,,16.6,94.3,,31.3,137.2,,39.0,-13.0,2.0,,,,-3.0,48.0,,-51.4,26.3,,-36.7,69.2,,-29.0,True,,,,True,False,,False,False,,False,False,,False
17195,361,305.0,479.0,,,,319.0,392.4,,76.7,192.2,,389.9,261.2,,349.0,-56.0,118.0,,,,-42.0,31.4,,-284.3,-168.8,,28.9,-99.8,,-12.0,False,,,,True,True,,False,False,,True,False,,True
17197,3157,3785.0,3228.0,,,,3024.0,4257.1,,1826.6,3914.0,,2681.6,4108.0,,2904.0,628.0,71.0,,,,-133.0,1100.1,,-1330.4,757.0,,-475.4,951.0,,-253.0,True,,,,True,False,,False,False,,True,False,,True
17199,597,935.0,992.0,,,,596.0,793.9,,465.1,263.6,,1268.1,1333.4,,575.0,338.0,395.0,,,,-1.0,196.9,,-131.9,-333.4,,671.1,736.4,,-22.0,False,,,,True,True,,True,True,,False,False,,True
17201,2520,845.0,1307.0,,,,1787.0,698.8,,273.9,203.4,,127.0,607.6,,788.0,-1675.0,-1213.0,,,,-733.0,-1821.2,,-2246.1,-2316.6,,-2392.9,-1912.4,,-1732.0,True,,,,True,False,,False,False,,False,False,,False
17203,188,170.0,122.0,,,,162.0,276.8,,118.2,304.1,,68.4,84.5,,150.0,-18.0,-66.0,,,,-26.0,88.8,,-69.8,116.1,,-119.6,-103.5,,-38.0,False,,,,False,False,,False,False,,False,False,,False
18001,113,130.0,130.0,,,,122.0,288.4,,103.8,229.5,,52.2,179.2,,119.0,17.0,17.0,,,,9.0,175.4,,-9.2,116.5,,-60.8,66.2,,6.0,False,,,,True,False,,True,False,,False,False,,True
18003,1661,1900.0,2977.0,,,,1528.0,1785.8,,1068.8,970.7,,2047.6,1949.0,,2066.0,239.0,1316.0,,,,-133.0,124.8,,-592.2,-690.3,,386.6,288.0,,405.0,False,,,,True,True,,False,False,,False,False,,False
18005,173,315.0,140.0,,,,384.0,605.4,,47.0,345.1,,151.2,442.7,,207.0,142.0,-33.0,,,,211.0,432.4,,-126.0,172.1,,-21.8,269.7,,34.0,True,,,,False,False,,True,False,,True,False,,True
18007,14,10.0,18.0,,,,16.0,34.3,,12.4,,,6.1,12.3,,4.0,-4.0,4.0,,,,2.0,20.3,,-1.6,,,-7.9,-1.7,,-10.0,False,,,,True,False,,True,,,False,True,,False
18009,66,5.0,0.0,,,,29.0,46.5,,7.6,,,8.3,5.2,,5.0,-61.0,-66.0,,,,-37.0,-19.5,,-58.4,,,-57.7,-60.8,,-61.0,False,,,,True,True,,True,,,True,True,,False
18011,208,255.0,281.0,,,,484.0,272.5,,135.0,395.2,,218.7,283.3,,199.0,47.0,73.0,,,,276.0,64.5,,-73.0,187.2,,10.7,75.3,,-9.0,False,,,,False,False,,False,False,,True,False,,True
18013,20,30.0,25.0,,,,29.0,41.6,,7.2,,,1.5,31.1,,25.0,10.0,5.0,,,,9.0,21.6,,-12.8,,,-18.5,11.1,,5.0,True,,,,True,False,,False,,,False,False,,True
18015,35,50.0,6.0,,,,63.0,102.2,,9.1,163.3,,43.7,180.7,,14.0,15.0,-29.0,,,,28.0,67.2,,-25.9,128.3,,8.7,145.7,,-21.0,False,,,,False,False,,False,False,,True,False,,False
18017,156,115.0,0.0,,,,240.0,251.3,,64.6,3.3,,0.0,74.7,,1.0,-41.0,-156.0,,,,84.0,95.3,,-91.4,-152.7,,-156.0,-81.3,,-155.0,False,,,,False,False,,False,False,,False,False,,False
18019,654,790.0,716.0,,,,425.0,1046.1,,329.0,398.0,,437.8,772.5,,495.0,136.0,62.0,,,,-229.0,392.1,,-325.0,-256.0,,-216.2,118.5,,-159.0,True,,,,False,False,,False,False,,False,True,,False
18021,105,135.0,80.0,,,,100.0,254.3,,29.3,138.9,,128.2,114.2,,78.0,30.0,-25.0,,,,-5.0,149.3,,-75.7,33.9,,23.2,9.2,,-27.0,True,,,,True,False,,False,False,,True,True,,True
18023,139,210.0,204.0,,,,126.0,297.6,,23.2,155.1,,24.6,198.2,,205.0,71.0,65.0,,,,-13.0,158.6,,-115.8,16.1,,-114.3,59.2,,66.0,True,,,,True,False,,False,True,,False,True,,True
18025,59,25.0,48.0,,,,13.0,42.2,,7.1,,,28.3,20.5,,11.0,-34.0,-11.0,,,,-46.0,-16.8,,-51.9,,,-30.7,-38.5,,-48.0,True,,,,False,True,,False,,,True,False,,False
18027,227,385.0,648.0,,,,171.0,401.9,,142.7,143.1,,282.8,743.4,,246.0,158.0,421.0,,,,-56.0,174.9,,-84.3,-83.9,,55.8,516.4,,19.0,False,,,,True,False,,True,True,,True,False,,True
18029,135,85.0,38.0,,,,127.0,188.6,,18.9,77.4,,14.3,105.4,,80.0,-50.0,-97.0,,,,-8.0,53.6,,-116.1,-57.6,,-120.7,-29.6,,-55.0,False,,,,True,False,,False,False,,False,True,,False
18031,70,135.0,93.0,,,,82.0,112.2,,27.9,103.9,,11.3,96.1,,200.0,65.0,23.0,,,,12.0,42.2,,-42.1,33.9,,-58.7,26.1,,130.0,True,,,,True,True,,True,True,,True,True,,False
18033,195,250.0,619.0,,,,150.0,277.0,,80.2,168.5,,86.9,168.7,,352.0,55.0,424.0,,,,-45.0,82.0,,-114.8,-26.5,,-108.1,-26.3,,157.0,False,,,,True,False,,False,True,,False,True,,False
18035,1048,1085.0,5423.0,,,,452.0,1172.3,,1187.0,341.5,,573.1,797.9,,1675.0,37.0,4375.0,,,,-596.0,124.3,,139.0,-706.5,,-474.9,-250.1,,627.0,False,,,,False,False,,False,False,,False,False,,False
18037,228,215.0,207.0,,,,179.0,293.7,,50.5,156.7,,3.7,162.4,,126.0,-13.0,-21.0,,,,-49.0,65.7,,-177.5,-71.3,,-224.3,-65.6,,-102.0,False,,,,False,False,,False,False,,False,False,,False
18039,1406,1200.0,1421.0,,,,1126.0,714.8,,626.6,257.5,,550.1,981.6,,994.0,-206.0,15.0,,,,-280.0,-691.2,,-779.4,-1148.5,,-855.9,-424.4,,-412.0,True,,,,False,False,,False,False,,False,False,,False
18041,120,220.0,295.0,,,,73.0,197.6,,53.9,87.4,,49.6,327.1,,125.0,100.0,175.0,,,,-47.0,77.6,,-66.1,-32.6,,-70.4,207.1,,5.0,False,,,,True,True,,True,True,,True,False,,True
18043,408,490.0,547.0,,,,277.0,680.0,,228.0,192.6,,271.7,379.7,,350.0,82.0,139.0,,,,-131.0,272.0,,-180.0,-215.4,,-136.3,-28.3,,-58.0,False,,,,False,False,,False,False,,False,True,,True
18045,46,50.0,60.0,,,,40.0,59.5,,10.5,,,1.0,31.7,,71.0,4.0,14.0,,,,-6.0,13.5,,-35.5,,,-45.0,-14.3,,25.0,False,,,,False,False,,False,,,False,False,,False
18047,44,65.0,0.0,,,,51.0,121.6,,13.2,53.9,,5.0,111.7,,123.0,21.0,-44.0,,,,7.0,77.6,,-30.8,9.9,,-39.0,67.7,,79.0,False,,,,True,False,,False,True,,False,False,,False
18049,61,50.0,30.0,,,,84.0,119.2,,10.4,71.9,,6.0,56.3,,41.0,-11.0,-31.0,,,,23.0,58.2,,-50.6,10.9,,-55.0,-4.7,,-20.0,False,,,,False,False,,False,True,,False,True,,False
18051,286,145.0,253.0,,,,111.0,208.9,,58.3,169.8,,24.2,186.6,,105.0,-141.0,-33.0,,,,-175.0,-77.1,,-227.7,-116.2,,-261.8,-99.4,,-181.0,True,,,,False,True,,False,True,,False,True,,False
18053,369,330.0,1512.0,,,,228.0,375.9,,80.0,175.0,,249.5,221.8,,588.0,-39.0,1143.0,,,,-141.0,6.9,,-289.0,-194.0,,-119.5,-147.2,,219.0,False,,,,False,True,,False,False,,False,False,,False
18055,83,190.0,420.0,,,,129.0,240.5,,51.5,166.6,,126.0,324.1,,84.0,107.0,337.0,,,,46.0,157.5,,-31.5,83.6,,43.0,241.1,,1.0,False,,,,True,False,,True,True,,True,False,,True
18057,1350,2060.0,2890.0,,,,1413.0,2120.2,,1691.6,1616.3,,991.4,2166.1,,2105.0,710.0,1540.0,,,,63.0,770.2,,341.6,266.3,,-358.6,816.1,,755.0,False,,,,True,False,,True,True,,True,False,,False
18059,160,320.0,522.0,,,,260.0,327.6,,60.7,243.6,,200.8,254.8,,503.0,160.0,362.0,,,,100.0,167.6,,-99.3,83.6,,40.8,94.8,,343.0,False,,,,True,False,,True,True,,True,True,,False
18061,155,240.0,256.0,,,,114.0,351.8,,75.8,124.5,,114.7,202.5,,181.0,85.0,101.0,,,,-41.0,196.8,,-79.2,-30.5,,-40.3,47.5,,26.0,False,,,,True,False,,True,True,,True,True,,True
18063,544,805.0,1359.0,,,,676.0,921.5,,448.5,413.0,,731.8,1093.4,,850.0,261.0,815.0,,,,132.0,377.5,,-95.5,-131.0,,187.8,549.4,,306.0,False,,,,True,False,,True,True,,True,False,,False
18065,304,300.0,237.0,,,,187.0,309.2,,137.9,308.8,,176.0,308.0,,270.0,-4.0,-67.0,,,,-117.0,5.2,,-166.1,4.8,,-128.0,4.0,,-34.0,False,,,,False,False,,False,False,,False,True,,False
18067,338,210.0,105.0,,,,349.0,251.6,,74.2,210.8,,179.0,204.3,,150.0,-128.0,-233.0,,,,11.0,-86.4,,-263.8,-127.2,,-159.0,-133.7,,-188.0,False,,,,True,True,,False,True,,False,False,,False
18069,121,50.0,128.0,,,,120.0,119.1,,23.1,101.5,,4.1,19.7,,53.0,-71.0,7.0,,,,-1.0,-1.9,,-97.9,-19.5,,-116.9,-101.3,,-68.0,True,,,,True,True,,False,True,,False,False,,True
18071,127,190.0,203.0,,,,169.0,274.8,,49.6,116.1,,62.3,251.3,,178.0,63.0,76.0,,,,42.0,147.8,,-77.4,-10.9,,-64.7,124.3,,51.0,False,,,,True,False,,False,True,,False,False,,True
18073,94,115.0,76.0,,,,108.0,203.3,,22.0,211.2,,113.8,132.7,,162.0,21.0,-18.0,,,,14.0,109.3,,-72.0,117.2,,19.8,38.7,,68.0,True,,,,True,False,,False,False,,True,False,,False
18075,80,80.0,171.0,,,,58.0,123.4,,19.2,52.2,,50.6,65.3,,72.0,0.0,91.0,,,,-22.0,43.4,,-60.8,-27.8,,-29.4,-14.7,,-8.0,False,,,,False,False,,False,False,,False,False,,False
18077,58,60.0,83.0,,,,91.0,117.0,,3.8,55.7,,12.4,35.9,,34.0,2.0,25.0,,,,33.0,59.0,,-54.2,-2.3,,-45.6,-22.1,,-24.0,False,,,,False,False,,False,False,,False,False,,False
18079,61,100.0,164.0,,,,63.0,101.8,,17.9,58.1,,0.0,61.3,,126.0,39.0,103.0,,,,2.0,40.8,,-43.1,-2.9,,-61.0,0.3,,65.0,False,,,,True,False,,False,True,,False,True,,False
18081,444,510.0,740.0,,,,639.0,663.9,,223.0,378.9,,210.7,430.0,,516.0,66.0,296.0,,,,195.0,219.9,,-221.0,-65.1,,-233.3,-14.0,,72.0,False,,,,False,False,,False,True,,False,True,,False
18083,237,330.0,484.0,,,,216.0,384.2,,316.9,191.0,,134.1,421.6,,154.0,93.0,247.0,,,,-21.0,147.2,,79.9,-46.0,,-102.9,184.6,,-83.0,False,,,,True,False,,True,True,,False,False,,True
18085,333,585.0,3257.0,,,,357.0,239.0,,31.1,134.6,,82.5,330.9,,909.0,252.0,2924.0,,,,24.0,-94.0,,-301.9,-198.4,,-250.5,-2.1,,576.0,False,,,,True,True,,False,True,,True,True,,False
18087,70,90.0,83.0,,,,224.0,80.5,,21.1,43.0,,102.8,69.5,,217.0,20.0,13.0,,,,154.0,10.5,,-48.9,-27.0,,32.8,-0.5,,147.0,True,,,,False,True,,False,False,,False,True,,False
18089,2064,2505.0,3012.0,,,,1930.0,2375.9,,1431.9,1235.0,,1709.6,2010.9,,2088.0,441.0,948.0,,,,-134.0,311.9,,-632.1,-829.0,,-354.4,-53.1,,24.0,False,,,,True,True,,False,False,,True,True,,True
18091,463,410.0,395.0,,,,514.0,685.5,,77.6,268.6,,374.5,329.9,,356.0,-53.0,-68.0,,,,51.0,222.5,,-385.4,-194.4,,-88.5,-133.1,,-107.0,False,,,,True,False,,False,False,,False,False,,False
18093,106,315.0,1107.0,,,,184.0,210.5,,60.9,198.4,,101.9,190.8,,515.0,209.0,1001.0,,,,78.0,104.5,,-45.1,92.4,,-4.1,84.8,,409.0,False,,,,True,True,,True,True,,True,True,,False
18095,555,480.0,527.0,,,,472.0,1155.4,,133.8,341.3,,356.9,583.1,,427.0,-75.0,-28.0,,,,-83.0,600.4,,-421.2,-213.7,,-198.1,28.1,,-128.0,True,,,,False,False,,False,False,,False,True,,False
18097,3903,4365.0,5590.0,,,,4638.0,5774.2,,2253.6,200.2,,2876.0,4396.9,,3912.0,462.0,1687.0,,,,735.0,1871.2,,-1649.4,-3702.8,,-1027.0,493.9,,9.0,False,,,,False,False,,False,False,,False,False,,True
18099,170,165.0,247.0,,,,240.0,145.8,,31.4,75.8,,89.0,53.6,,100.0,-5.0,77.0,,,,70.0,-24.2,,-138.6,-94.2,,-81.0,-116.4,,-70.0,False,,,,False,False,,False,False,,False,False,,False
18101,75,180.0,343.0,,,,21.0,68.9,,381.1,57.0,,120.9,155.1,,176.0,105.0,268.0,,,,-54.0,-6.1,,306.1,-18.0,,45.9,80.1,,101.0,False,,,,True,True,,False,True,,True,True,,True
18103,136,90.0,123.0,,,,163.0,199.4,,11.7,74.4,,36.8,76.9,,118.0,-46.0,-13.0,,,,27.0,63.4,,-124.3,-61.6,,-99.2,-59.1,,-18.0,True,,,,True,False,,False,False,,False,False,,True
18105,1721,1050.0,4048.0,,,,814.0,753.4,,724.6,364.8,,1427.3,493.1,,1964.0,-671.0,2327.0,,,,-907.0,-967.6,,-996.4,-1356.2,,-293.7,-1227.9,,243.0,False,,,,False,False,,False,False,,True,False,,True
18107,96,170.0,210.0,,,,135.0,178.8,,62.8,51.2,,13.7,132.2,,400.0,74.0,114.0,,,,39.0,82.8,,-33.2,-44.8,,-82.3,36.2,,304.0,False,,,,True,False,,True,True,,False,True,,False
18109,180,230.0,269.0,,,,260.0,389.2,,88.5,221.7,,123.8,241.4,,318.0,50.0,89.0,,,,80.0,209.2,,-91.5,41.7,,-56.2,61.4,,138.0,False,,,,False,False,,False,True,,False,False,,False
18111,35,80.0,102.0,,,,36.0,57.7,,10.8,34.7,,229.1,41.9,,136.0,45.0,67.0,,,,1.0,22.7,,-24.2,-0.3,,194.1,6.9,,101.0,False,,,,True,True,,True,True,,False,True,,False
18113,156,180.0,143.0,,,,170.0,160.4,,33.5,135.9,,98.5,168.0,,205.0,24.0,-13.0,,,,14.0,4.4,,-122.5,-20.1,,-57.5,12.0,,49.0,True,,,,True,True,,False,True,,False,True,,False
18115,8,10.0,0.0,,,,6.0,19.2,,6.1,,,5.2,19.9,,2.0,2.0,-8.0,,,,-2.0,11.2,,-1.9,,,-2.8,11.9,,-6.0,False,,,,False,False,,True,,,False,False,,False
18117,58,160.0,264.0,,,,66.0,139.9,,58.5,63.1,,166.5,108.9,,193.0,102.0,206.0,,,,8.0,81.9,,0.5,5.1,,108.5,50.9,,135.0,False,,,,True,True,,True,True,,False,True,,False
18119,34,45.0,29.0,,,,50.0,103.9,,6.3,157.2,,34.3,182.5,,32.0,11.0,-5.0,,,,16.0,69.9,,-27.7,123.2,,0.3,148.5,,-2.0,True,,,,False,False,,False,False,,True,False,,True
18121,46,20.0,35.0,,,,41.0,72.8,,6.5,,,25.7,9.8,,6.0,-26.0,-11.0,,,,-5.0,26.8,,-39.5,,,-20.3,-36.2,,-40.0,True,,,,True,False,,False,,,True,False,,False
18123,46,10.0,0.0,,,,44.0,41.3,,0.4,34.2,,4.8,12.2,,0.0,-36.0,-46.0,,,,-2.0,-4.7,,-45.6,-11.8,,-41.2,-33.8,,-46.0,False,,,,True,True,,False,True,,False,True,,False
18125,137,80.0,52.0,,,,25.0,74.9,,10.3,,,22.1,64.8,,102.0,-57.0,-85.0,,,,-112.0,-62.1,,-126.7,,,-114.9,-72.2,,-35.0,False,,,,False,False,,False,,,False,False,,True
18127,626,700.0,1300.0,,,,702.0,1129.5,,497.8,547.1,,430.1,592.8,,838.0,74.0,674.0,,,,76.0,503.5,,-128.2,-78.9,,-195.9,-33.2,,212.0,False,,,,False,False,,False,False,,False,True,,False
18129,211,60.0,57.0,,,,71.0,103.7,,14.8,124.2,,11.8,34.7,,52.0,-151.0,-154.0,,,,-140.0,-107.3,,-196.2,-86.8,,-199.2,-176.3,,-159.0,False,,,,True,True,,False,True,,False,False,,False
18131,22,35.0,35.0,,,,45.0,47.1,,7.4,,,0.0,32.4,,30.0,13.0,13.0,,,,23.0,25.1,,-14.6,,,-22.0,10.4,,8.0,False,,,,False,False,,False,,,False,True,,True
18133,185,160.0,79.0,,,,147.0,373.4,,30.3,233.7,,40.4,119.8,,47.0,-25.0,-106.0,,,,-38.0,188.4,,-154.7,48.7,,-144.6,-65.2,,-138.0,False,,,,False,False,,False,False,,False,False,,False
18135,86,100.0,120.0,,,,57.0,153.5,,26.7,120.7,,16.8,77.7,,213.0,14.0,34.0,,,,-29.0,67.5,,-59.3,34.7,,-69.2,-8.3,,127.0,False,,,,False,False,,False,False,,False,True,,False
18137,81,60.0,36.0,,,,71.0,108.0,,13.1,88.5,,2.1,39.6,,90.0,-21.0,-45.0,,,,-10.0,27.0,,-67.9,7.5,,-78.9,-41.4,,9.0,False,,,,True,False,,False,True,,False,False,,True
18139,32,30.0,42.0,,,,36.0,116.1,,2.6,130.2,,28.3,16.4,,8.0,-2.0,10.0,,,,4.0,84.1,,-29.4,98.2,,-3.7,-15.6,,-24.0,False,,,,False,False,,False,False,,False,False,,False
18141,2073,4245.0,7912.0,,,,1302.0,1972.1,,1712.7,840.2,,2685.8,3267.9,,3276.0,2172.0,5839.0,,,,-771.0,-100.9,,-360.3,-1232.8,,612.8,1194.9,,1203.0,False,,,,True,True,,True,True,,True,True,,True
18143,106,55.0,35.0,,,,73.0,125.0,,10.0,41.9,,2.7,57.3,,45.0,-51.0,-71.0,,,,-33.0,19.0,,-96.0,-64.1,,-103.3,-48.7,,-61.0,False,,,,True,True,,False,False,,False,True,,False
18145,78,60.0,20.0,,,,190.0,277.5,,9.2,167.2,,14.9,75.4,,21.0,-18.0,-58.0,,,,112.0,199.5,,-68.8,89.2,,-63.1,-2.6,,-57.0,False,,,,False,False,,False,False,,False,True,,False
18147,143,35.0,17.0,,,,30.0,87.5,,9.3,60.7,,3.5,63.2,,111.0,-108.0,-126.0,,,,-113.0,-55.5,,-133.7,-82.3,,-139.6,-79.8,,-32.0,False,,,,False,True,,False,True,,False,True,,True
18149,78,105.0,68.0,,,,90.0,76.0,,58.1,44.9,,59.5,72.1,,341.0,27.0,-10.0,,,,12.0,-2.0,,-19.9,-33.1,,-18.5,-5.9,,263.0,True,,,,True,True,,True,False,,True,True,,False
18151,159,150.0,214.0,,,,128.0,159.1,,41.1,93.2,,96.4,120.0,,343.0,-9.0,55.0,,,,-31.0,0.1,,-117.9,-65.8,,-62.6,-39.0,,184.0,False,,,,False,True,,False,False,,False,False,,False
18153,59,175.0,111.0,,,,91.0,212.2,,29.7,114.0,,24.0,186.1,,78.0,116.0,52.0,,,,32.0,153.2,,-29.3,55.0,,-35.0,127.1,,19.0,True,,,,True,False,,True,True,,True,False,,True
18155,9,5.0,1.0,,,,16.0,33.1,,3.2,,,1.4,2.9,,3.0,-4.0,-8.0,,,,7.0,24.1,,-5.8,,,-7.6,-6.1,,-6.0,False,,,,False,False,,False,,,False,False,,False
18157,1223,605.0,708.0,,,,1096.0,915.0,,395.7,802.4,,592.2,480.0,,803.0,-618.0,-515.0,,,,-127.0,-308.0,,-827.3,-420.6,,-630.8,-743.0,,-420.0,True,,,,True,True,,False,True,,False,False,,True
18159,55,80.0,7.0,,,,37.0,94.1,,24.7,75.8,,9.0,132.8,,104.0,25.0,-48.0,,,,-18.0,39.1,,-30.3,20.8,,-46.0,77.8,,49.0,False,,,,True,False,,False,True,,False,False,,False
18161,18,50.0,122.0,,,,6.0,47.0,,3.6,,,16.3,40.4,,37.0,32.0,104.0,,,,-12.0,29.0,,-14.4,,,-1.7,22.4,,19.0,False,,,,True,True,,True,,,True,True,,True
18163,1625,1055.0,1753.0,,,,883.0,1184.9,,969.7,607.5,,59.2,768.2,,1048.0,-570.0,128.0,,,,-742.0,-440.1,,-655.3,-1017.5,,-1565.8,-856.8,,-577.0,True,,,,False,True,,False,False,,False,False,,False
18165,47,90.0,121.0,,,,50.0,104.3,,7.8,,,5.6,98.9,,164.0,43.0,74.0,,,,3.0,57.3,,-39.2,,,-41.4,51.9,,117.0,False,,,,True,False,,True,,,True,False,,False
18167,767,1045.0,1391.0,,,,595.0,1417.8,,482.5,678.4,,938.1,902.7,,881.0,278.0,624.0,,,,-172.0,650.8,,-284.5,-88.6,,171.1,135.7,,114.0,False,,,,True,False,,False,True,,True,True,,True
18169,82,40.0,36.0,,,,84.0,167.8,,8.0,114.0,,31.0,80.5,,33.0,-42.0,-46.0,,,,2.0,85.8,,-74.0,32.0,,-51.0,-1.5,,-49.0,False,,,,True,False,,False,True,,False,True,,False
18171,6,20.0,0.0,,,,17.0,31.1,,2.4,,,2.3,15.6,,10.0,14.0,-6.0,,,,11.0,25.1,,-3.6,,,-3.7,9.6,,4.0,True,,,,True,False,,True,,,True,True,,True
18173,750,340.0,531.0,,,,244.0,397.9,,260.5,187.4,,80.1,248.3,,341.0,-410.0,-219.0,,,,-506.0,-352.1,,-489.5,-562.6,,-669.9,-501.7,,-409.0,True,,,,False,True,,False,False,,False,False,,True
18175,71,175.0,268.0,,,,70.0,210.5,,61.3,149.0,,227.9,167.8,,303.0,104.0,197.0,,,,-1.0,139.5,,-9.7,78.0,,156.9,96.8,,232.0,False,,,,True,False,,True,True,,False,True,,False
18177,296,330.0,515.0,,,,211.0,629.5,,129.7,276.3,,168.5,311.0,,401.0,34.0,219.0,,,,-85.0,333.5,,-166.3,-19.7,,-127.5,15.0,,105.0,False,,,,False,False,,False,True,,False,True,,False
18179,72,90.0,62.0,,,,91.0,146.3,,17.6,117.5,,17.9,140.1,,166.0,18.0,-10.0,,,,19.0,74.3,,-54.4,45.5,,-54.1,68.1,,94.0,True,,,,False,False,,False,False,,False,False,,False
18181,66,120.0,128.0,,,,87.0,160.5,,26.4,72.3,,80.1,86.3,,148.0,54.0,62.0,,,,21.0,94.5,,-39.6,6.3,,14.1,20.3,,82.0,False,,,,True,False,,True,True,,True,True,,False
18183,101,115.0,197.0,,,,107.0,145.1,,60.3,42.6,,102.4,78.8,,120.0,14.0,96.0,,,,6.0,44.1,,-40.7,-58.4,,1.4,-22.2,,19.0,False,,,,True,False,,False,False,,True,False,,False
19001,29,25.0,0.0,,,,25.0,25.5,,7.5,,,22.7,28.9,,33.0,-4.0,-29.0,,,,-4.0,-3.5,,-21.5,,,-6.3,-0.1,,4.0,False,,,,False,True,,False,,,False,True,,False
19003,20,0.0,0.0,,,,12.0,4.1,,3.4,,,3.2,2.3,,0.0,-20.0,-20.0,,,,-8.0,-15.9,,-16.6,,,-16.8,-17.7,,-20.0,False,,,,True,True,,True,,,True,True,,False
19005,98,40.0,0.0,,,,52.0,35.8,,4.2,41.3,,46.2,47.7,,85.0,-58.0,-98.0,,,,-46.0,-62.2,,-93.8,-56.7,,-51.8,-50.3,,-13.0,False,,,,True,False,,False,True,,True,True,,True
19007,69,85.0,86.0,,,,65.0,75.7,,7.7,,,22.7,102.9,,120.0,16.0,17.0,,,,-4.0,6.7,,-61.3,,,-46.3,33.9,,51.0,False,,,,True,True,,False,,,False,False,,False
19009,67,35.0,0.0,,,,25.0,12.8,,2.4,,,79.3,22.7,,81.0,-32.0,-67.0,,,,-42.0,-54.2,,-64.6,,,12.3,-44.3,,14.0,False,,,,False,False,,False,,,True,False,,True
19011,165,90.0,35.0,,,,155.0,104.9,,28.7,150.1,,31.7,59.4,,91.0,-75.0,-130.0,,,,-10.0,-60.1,,-136.3,-14.9,,-133.3,-105.6,,-74.0,False,,,,True,True,,False,True,,False,False,,True
19013,884,1280.0,1497.0,,,,1061.0,666.7,,1408.7,206.3,,1204.7,2512.2,,646.0,396.0,613.0,,,,177.0,-217.3,,524.7,-677.7,,320.7,1628.2,,-238.0,False,,,,True,True,,False,False,,True,False,,True
19015,209,155.0,127.0,,,,212.0,123.6,,22.7,126.2,,77.9,224.6,,122.0,-54.0,-82.0,,,,3.0,-85.4,,-186.3,-82.8,,-131.1,15.6,,-87.0,False,,,,True,False,,False,False,,False,True,,False
19017,233,145.0,102.0,,,,192.0,169.7,,47.2,178.9,,106.8,92.4,,147.0,-88.0,-131.0,,,,-41.0,-63.3,,-185.8,-54.1,,-126.2,-140.6,,-86.0,False,,,,True,True,,False,True,,False,False,,True
19019,142,50.0,16.0,,,,135.0,111.3,,6.7,96.8,,17.3,74.9,,14.0,-92.0,-126.0,,,,-7.0,-30.7,,-135.3,-45.2,,-124.7,-67.1,,-128.0,False,,,,True,True,,False,True,,False,True,,False
19021,221,55.0,,,,,203.0,34.8,,4.0,1.3,,37.0,16.0,,0.0,-166.0,,,,,-18.0,-186.2,,-217.0,-219.7,,-184.0,-205.0,,-221.0,,,,,True,False,,False,False,,False,False,,False
19023,97,190.0,234.0,,,,90.0,93.1,,212.7,98.2,,189.3,111.8,,194.0,93.0,137.0,,,,-7.0,-3.9,,115.7,1.2,,92.3,14.8,,97.0,False,,,,True,True,,False,True,,True,True,,False
19025,110,0.0,35.0,,,,55.0,41.6,,88.8,72.3,,34.5,17.4,,0.0,-110.0,-75.0,,,,-55.0,-68.4,,-21.2,-37.7,,-75.5,-92.6,,-110.0,True,,,,True,True,,True,True,,True,True,,False
