,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,Columbia_UNC-SurvCon,IHME-CurveFit,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-Columbia_UNC-SurvCon,error-IHME-CurveFit,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-IHME-CurveFit,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,646,784.0,1437.5,,,625.8,,,138.0,791.5,,,-20.2,,,False,,,True,,
01003,2459,3256.0,10253.6,,,1049.0,,,797.0,7794.6,,,-1410.0,,,False,,,False,,
01005,285,152.0,,,,393.1,,,-133.0,,,,108.1,,,,,,True,,
01007,237,528.0,,,,410.7,,,291.0,,,,173.7,,,,,,True,,
01009,714,672.0,1193.0,,,2159.5,,,-42.0,479.0,,,1445.5,,,False,,,False,,
01011,143,216.0,,,,57.0,,,73.0,,,,-86.0,,,,,,False,,
01013,149,120.0,,,,85.8,,,-29.0,,,,-63.2,,,,,,False,,
01015,1826,2584.0,4277.6,,,1560.2,,,758.0,2451.6,,,-265.8,,,False,,,True,,
01017,290,264.0,,,,180.2,,,-26.0,,,,-109.8,,,,,,False,,
01019,324,384.0,,,,326.2,,,60.0,,,,2.2,,,,,,True,,
01021,811,920.0,,,,1412.1,,,109.0,,,,601.1,,,,,,False,,
01023,79,80.0,,,,96.4,,,1.0,,,,17.4,,,,,,False,,
01025,465,1464.0,,,,1119.5,,,999.0,,,,654.5,,,,,,True,,
01027,356,416.0,,,,170.4,,,60.0,,,,-185.6,,,,,,False,,
01029,302,112.0,,,,67.1,,,-190.0,,,,-234.9,,,,,,False,,
01031,656,488.0,800.9,,,301.1,,,-168.0,144.9,,,-354.9,,,True,,,False,,
01033,528,968.0,1550.0,,,947.2,,,440.0,1022.0,,,419.2,,,False,,,True,,
01035,122,200.0,,,,92.3,,,78.0,,,,-29.7,,,,,,True,,
01037,72,96.0,,,,140.5,,,24.0,,,,68.5,,,,,,False,,
01039,605,400.0,,,,190.3,,,-205.0,,,,-414.7,,,,,,False,,
01041,204,280.0,,,,293.9,,,76.0,,,,89.9,,,,,,False,,
01043,657,1040.0,2788.7,,,1085.8,,,383.0,2131.7,,,428.8,,,False,,,False,,
01045,652,512.0,,,,550.8,,,-140.0,,,,-101.2,,,,,,True,,
01047,398,424.0,,,,207.2,,,26.0,,,,-190.8,,,,,,False,,
01049,732,1184.0,1681.8,,,637.6,,,452.0,949.8,,,-94.4,,,False,,,True,,
01051,1043,1224.0,2580.2,,,925.5,,,181.0,1537.2,,,-117.5,,,False,,,True,,
01053,465,984.0,,,,395.2,,,519.0,,,,-69.8,,,,,,True,,
01055,1476,1760.0,2885.7,,,871.2,,,284.0,1409.7,,,-604.8,,,False,,,False,,
01057,258,296.0,,,,204.0,,,38.0,,,,-54.0,,,,,,False,,
01059,547,840.0,,,,621.1,,,293.0,,,,74.1,,,,,,True,,
01061,445,328.0,,,,129.1,,,-117.0,,,,-315.9,,,,,,False,,
01063,50,88.0,,,,57.1,,,38.0,,,,7.1,,,,,,True,,
01065,174,200.0,,,,210.4,,,26.0,,,,36.4,,,,,,False,,
01067,284,168.0,,,,68.2,,,-116.0,,,,-215.8,,,,,,False,,
01069,1897,888.0,2987.0,,,5233.2,,,-1009.0,1090.0,,,3336.2,,,False,,,False,,
01071,671,1480.0,2852.2,,,910.6,,,809.0,2181.2,,,239.6,,,False,,,True,,
01073,7389,12032.0,13356.0,,,7005.7,,,4643.0,5967.0,,,-383.3,,,False,,,True,,
01075,169,232.0,,,,74.8,,,63.0,,,,-94.2,,,,,,False,,
01077,633,1032.0,2048.8,,,768.8,,,399.0,1415.8,,,135.8,,,False,,,True,,
01079,285,400.0,,,,714.4,,,115.0,,,,429.4,,,,,,False,,
01081,3277,1640.0,5772.5,,,909.2,,,-1637.0,2495.5,,,-2367.8,,,False,,,False,,
01083,913,1304.0,3810.7,,,1197.0,,,391.0,2897.7,,,284.0,,,False,,,True,,
01085,82,208.0,,,,86.3,,,126.0,,,,4.3,,,,,,True,,
01087,142,240.0,,,,211.0,,,98.0,,,,69.0,,,,,,True,,
01089,2821,3976.0,8555.8,,,2957.4,,,1155.0,5734.8,,,136.4,,,False,,,True,,
01091,184,376.0,,,,562.3,,,192.0,,,,378.3,,,,,,False,,
01093,391,336.0,,,,290.0,,,-55.0,,,,-101.0,,,,,,False,,
01095,842,2016.0,4296.7,,,867.7,,,1174.0,3454.7,,,25.7,,,False,,,True,,
01097,3766,10960.0,12823.9,,,15287.1,,,7194.0,9057.9,,,11521.1,,,False,,,False,,
01099,121,272.0,,,,165.1,,,151.0,,,,44.1,,,,,,True,,
01101,2201,4128.0,8004.7,,,4174.8,,,1927.0,5803.7,,,1973.8,,,False,,,False,,
