,predicted_cases,actual_cases,error,perc_error
UCLA-SuEIR,1414832.7,1427496,-12663.3,-0.9%
COVIDhub-baseline,1470120.0,1427496,42624.0,3.0%
JHU_IDD-CovidSP,1277191.4,1427496,-150304.6,-10.5%
IowaStateLW-STEM,1580259.0,1427496,152763.0,10.7%
Karlen-pypm,1259745.8,1427496,-167750.2,-11.8%
USACE-ERDC_SEIR,1201770.6,1427496,-225725.4,-15.8%
Columbia_UNC-SurvCon,1144688.0,1427496,-282808.0,-19.8%
QJHong-Encounter,1129923.0,1427496,-297573.0,-20.8%
USC-SI_kJalpha,1064422.0,1427496,-363074.0,-25.4%
CU-select,1864424.0,1427496,436928.0,30.6%
CovidAnalytics-DELPHI,961846.0,1427496,-465650.0,-32.6%
Covid19Sim-Simulator,900866.2,1427496,-526629.8,-36.9%
RobertWalraven-ESG,853168.1,1427496,-574327.9,-40.2%
LANL-GrowthRate,812510.7,1427496,-614985.3,-43.1%
