,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,20734,17529.0,15977.3,14806.0,17443.0,,22066.4,11864.0,18145.7,,14610.0,12810.9,18364.3,12126.4,13654.7,16801.0,17744.7,18207.0,,7023.5,9007.2,12565.3,21141.8,13683.5,13306.0,-3205.0,-4756.7,-5928.0,-3291.0,,1332.4,-8870.0,-2588.3,,-6124.0,-7923.1,-2369.7,-8607.6,-7079.3,-3933.0,-2989.3,-2527.0,,-13710.5,-11726.8,-8168.7,407.8,-7050.5,-7428.0,False,False,False,,True,False,True,,False,False,True,False,False,False,True,True,,False,False,False,True,False,False
Alaska,2141,1590.0,1598.3,1518.0,2110.0,,2097.9,1250.0,1555.7,,,2074.9,1855.1,2047.1,1115.8,1398.6,1379.5,1867.0,,1281.2,1390.7,1219.5,1460.3,1853.0,1744.0,-551.0,-542.7,-623.0,-31.0,,-43.1,-891.0,-585.3,,,-66.1,-285.9,-93.9,-1025.2,-742.4,-761.5,-274.0,,-859.8,-750.3,-921.5,-680.7,-288.0,-397.0,True,False,True,,True,False,False,,,True,True,True,False,False,False,True,,False,False,False,False,True,True
Arizona,12271,7833.0,7176.0,7183.0,9090.0,,9123.8,5040.0,7221.4,,10041.0,10359.8,8532.4,6151.7,2629.7,6537.7,7671.3,8110.0,,4421.3,0.0,10234.2,18309.5,7064.6,7514.0,-4438.0,-5095.0,-5088.0,-3181.0,,-3147.2,-7231.0,-5049.6,,-2230.0,-1911.2,-3738.6,-6119.3,-9641.3,-5733.3,-4599.7,-4161.0,,-7849.7,-12271.0,-2036.8,6038.5,-5206.4,-4757.0,False,False,True,,True,False,False,,True,True,True,False,False,False,False,True,,False,False,True,False,False,False
Arkansas,16815,15060.0,15078.4,13678.0,21163.0,,12917.9,13840.0,10964.6,,13901.0,20963.6,17450.6,7113.1,8541.4,13797.7,12420.7,22424.0,,10812.6,14527.2,12838.6,12268.3,19701.6,15412.0,-1755.0,-1736.6,-3137.0,4348.0,,-3897.1,-2975.0,-5850.4,,-2914.0,4148.6,635.6,-9701.9,-8273.6,-3017.3,-4394.3,5609.0,,-6002.4,-2287.8,-3976.4,-4546.7,2886.6,-1403.0,True,False,False,,False,False,False,,False,False,True,False,False,False,False,False,,False,False,False,False,False,True
California,70588,70857.0,69067.4,67884.0,78832.0,,59846.9,73574.0,70604.9,,91050.0,49733.8,67614.4,65888.0,68341.3,45139.3,60107.5,51147.0,,32379.5,195562.4,68254.0,89436.3,47930.9,43436.0,269.0,-1520.6,-2704.0,8244.0,,-10741.1,2986.0,16.9,,20462.0,-20854.2,-2973.6,-4700.0,-2246.7,-25448.7,-10480.5,-19441.0,,-38208.5,124974.4,-2334.0,18848.3,-22657.1,-27152.0,False,False,False,,False,False,True,,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Colorado,11657,5730.0,5529.9,5646.0,14461.0,,6076.2,704.0,5806.3,,5896.0,6166.4,5616.3,7042.7,3506.9,5452.3,6907.5,6778.0,,5623.5,10154.8,4250.8,7059.4,8644.7,6556.0,-5927.0,-6127.1,-6011.0,2804.0,,-5580.8,-10953.0,-5850.7,,-5761.0,-5490.6,-6040.7,-4614.3,-8150.1,-6204.7,-4749.5,-4879.0,,-6033.5,-1502.2,-7406.2,-4597.6,-3012.3,-5101.0,False,False,True,,True,False,True,,True,True,False,True,False,False,True,True,,False,True,False,True,True,True
Connecticut,3971,2883.0,2750.4,2334.0,9947.0,,2114.4,28.0,3463.2,,2824.0,2082.2,2031.4,3488.7,3072.6,1517.7,2222.5,2301.0,,370.7,0.0,3733.5,4309.7,2066.4,2498.0,-1088.0,-1220.6,-1637.0,5976.0,,-1856.6,-3943.0,-507.8,,-1147.0,-1888.8,-1939.6,-482.3,-898.4,-2453.3,-1748.5,-1670.0,,-3600.3,-3971.0,-237.5,338.7,-1904.6,-1473.0,False,False,False,,False,False,True,,False,False,False,True,True,False,False,False,,False,False,True,True,False,False
Delaware,2399,2502.0,2109.2,1997.0,2706.0,,2810.4,15.0,1876.3,,1473.0,3684.6,1841.9,1129.2,1452.4,1643.0,2263.9,3282.0,,2221.4,796.1,2182.2,2303.1,2564.3,3254.0,103.0,-289.8,-402.0,307.0,,411.4,-2384.0,-522.7,,-926.0,1285.6,-557.1,-1269.8,-946.6,-756.0,-135.1,883.0,,-177.6,-1602.9,-216.8,-95.9,165.3,855.0,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,True,False,False
District of Columbia,980,765.0,737.7,904.0,948.0,,907.1,67.0,1267.5,,1156.0,512.4,974.1,858.2,775.6,738.4,954.5,835.0,,930.9,1018.2,649.7,,1045.3,474.0,-215.0,-242.3,-76.0,-32.0,,-72.9,-913.0,287.5,,176.0,-467.6,-5.9,-121.8,-204.4,-241.6,-25.5,-145.0,,-49.1,38.2,-330.3,,65.3,-506.0,False,True,True,,True,False,False,,True,False,True,True,True,False,True,True,,True,True,False,,True,False
Florida,53020,53112.0,54379.1,44692.0,58768.0,,47424.3,26150.0,41726.8,,65997.0,58860.4,52268.4,38959.1,36688.0,41264.9,47484.7,51218.0,,28040.1,0.0,47199.3,69297.2,41972.9,43769.0,92.0,1359.1,-8328.0,5748.0,,-5595.7,-26870.0,-11293.2,,12977.0,5840.4,-751.6,-14060.9,-16332.0,-11755.1,-5535.3,-1802.0,,-24979.9,-53020.0,-5820.7,16277.2,-11047.1,-9251.0,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
