,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,87001,152187.0,,102886.1,115085.0,119086.0,55187.8,73814.8,106579.1,64739.2,91377.0,65186.0,,15885.1,28084.0,32085.0,-31813.2,-13186.2,19578.1,-22261.8,4376.0,,True,True,True,True,True,True,True,True
Hawaii,8096,10353.0,,22027.7,8059.0,,12771.3,5825.7,21464.0,23269.0,11650.0,2257.0,,13931.7,-37.0,,4675.3,-2270.3,13368.0,15173.0,3554.0,,False,True,,False,False,False,False,False
Idaho,16227,20846.0,,12273.6,15444.0,15652.0,7884.5,9679.5,9768.2,8864.5,8951.0,4619.0,,-3953.4,-783.0,-575.0,-8342.5,-6547.5,-6458.8,-7362.5,-7276.0,,True,True,True,False,False,False,False,False
Illinois,96931,82971.0,,79160.2,6746.0,60624.0,46068.7,73772.8,138349.1,78954.8,59950.0,-13960.0,,-17770.8,-90185.0,-36307.0,-50862.3,-23158.2,41418.1,-17976.2,-36981.0,,False,False,False,False,False,False,False,False
Indiana,44383,44723.0,,50988.0,9965.0,31639.0,24579.9,34946.0,57587.6,35581.0,47783.0,340.0,,6605.0,-34418.0,-12744.0,-19803.1,-9437.0,13204.6,-8802.0,3400.0,,False,False,False,False,False,False,False,False
Iowa,40236,24710.0,,18553.2,2871.0,16966.0,15961.9,15509.5,17392.9,32372.6,13081.0,-15526.0,,-21682.8,-37365.0,-23270.0,-24274.1,-24726.5,-22843.1,-7863.4,-27155.0,,False,False,False,False,False,False,True,False
Kansas,28684,23954.0,,,14940.0,20888.0,11296.3,7556.4,12803.6,20665.8,18002.0,-4730.0,,,-13744.0,-7796.0,-17387.7,-21127.6,-15880.4,-8018.2,-10682.0,,,False,False,False,False,False,False,False
Kentucky,33071,30464.0,,,18668.0,25658.0,12348.3,9827.5,30050.0,19460.6,23507.0,-2607.0,,,-14403.0,-7413.0,-20722.7,-23243.5,-3021.0,-13610.4,-9564.0,,,False,False,False,False,False,False,False
Louisiana,32089,55937.0,,,41447.0,63882.0,24300.9,26569.2,38607.0,14827.6,14256.0,23848.0,,,9358.0,31793.0,-7788.1,-5519.8,6518.0,-17261.4,-17833.0,,,True,False,True,True,True,True,True
Maine,1341,812.0,,,216.0,158.0,593.8,816.0,865.9,1815.3,642.0,-529.0,,,-1125.0,-1183.0,-747.2,-525.0,-475.1,474.3,-699.0,,,False,False,False,True,True,True,False
Maryland,27126,35784.0,,,5861.0,22287.0,16907.2,27592.3,42340.0,18023.7,21818.0,8658.0,,,-21265.0,-4839.0,-10218.8,466.3,15214.0,-9102.3,-5308.0,,,False,True,False,True,False,False,True
Massachusetts,18525,17416.0,,,4975.0,13234.0,9580.2,840.2,24669.0,2821.7,13688.0,-1109.0,,,-13550.0,-5291.0,-8944.8,-17684.8,6144.0,-15703.3,-4837.0,,,False,False,False,False,False,False,False
Michigan,39489,39137.0,,,1302.0,36532.0,20135.7,22482.1,48625.0,33543.7,37166.0,-352.0,,,-38187.0,-2957.0,-19353.3,-17006.9,9136.0,-5945.3,-2323.0,,,False,False,False,False,False,False,False
Minnesota,38374,30184.0,,,5619.0,34157.0,19848.6,21074.1,18145.5,26789.3,20476.0,-8190.0,,,-32755.0,-4217.0,-18525.4,-17299.9,-20228.5,-11584.7,-17898.0,,,False,True,False,False,False,False,False
Mississippi,28412,35763.0,,,35976.0,38098.0,14171.6,13956.9,25698.1,12334.9,15073.0,7351.0,,,7564.0,9686.0,-14240.4,-14455.1,-2713.9,-16077.1,-13339.0,,,False,False,False,False,True,False,False
Missouri,68452,62881.0,,,47916.0,39791.0,38273.7,31667.1,155290.4,68219.8,39839.0,-5571.0,,,-20536.0,-28661.0,-30178.3,-36784.9,86838.4,-232.2,-28613.0,,,False,False,False,False,False,True,False
Montana,8697,5390.0,,,3718.0,8228.0,3754.4,3098.4,2036.6,5234.9,5004.0,-3307.0,,,-4979.0,-469.0,-4942.6,-5598.6,-6660.4,-3462.1,-3693.0,,,False,True,False,False,False,False,False
Nebraska,17162,13972.0,,,1228.0,10496.0,6711.6,7200.4,14139.1,9188.7,9519.0,-3190.0,,,-15934.0,-6666.0,-10450.4,-9961.6,-3022.9,-7973.3,-7643.0,,,False,False,False,False,True,False,False
Nevada,21100,36323.0,,,40023.0,25730.0,21927.4,18875.4,23590.4,19660.7,16014.0,15223.0,,,18923.0,4630.0,827.4,-2224.6,2490.4,-1439.3,-5086.0,,,False,True,True,True,True,True,True
New Hampshire,1617,1134.0,,,32.0,1021.0,501.2,788.8,1203.2,840.3,843.0,-483.0,,,-1585.0,-596.0,-1115.8,-828.2,-413.8,-776.7,-774.0,,,False,False,False,False,True,False,False
New Jersey,22907,21091.0,,,348.0,10376.0,8832.3,14584.9,29549.0,20031.9,19350.0,-1816.0,,,-22559.0,-12531.0,-14074.7,-8322.1,6642.0,-2875.1,-3557.0,,,False,False,False,False,False,False,False
New Mexico,6994,8309.0,,,5489.0,9697.0,3790.1,4179.2,6670.6,4354.3,3864.0,1315.0,,,-1505.0,2703.0,-3203.9,-2814.8,-323.4,-2639.7,-3130.0,,,False,False,False,False,True,False,False
New York,39005,31892.0,,,200.0,12202.0,16618.1,22640.0,26075.0,40566.1,32840.0,-7113.0,,,-38805.0,-26803.0,-22386.9,-16365.0,-12930.0,1561.1,-6165.0,,,False,False,False,False,False,True,True
North Carolina,68866,61292.0,,,73954.0,65335.0,34510.3,39211.7,46675.7,34606.4,35364.0,-7574.0,,,5088.0,-3531.0,-34355.7,-29654.3,-22190.3,-34259.6,-33502.0,,,True,True,False,False,False,False,False
North Dakota,14690,6552.0,,,322.0,5835.0,4141.4,6620.5,8076.6,6594.4,4808.0,-8138.0,,,-14368.0,-8855.0,-10548.6,-8069.5,-6613.4,-8095.6,-9882.0,,,False,False,False,True,True,True,False
Ohio,50292,53935.0,,,27742.0,47739.0,25185.2,24209.0,46274.8,29718.2,38914.0,3643.0,,,-22550.0,-2553.0,-25106.8,-26083.0,-4017.2,-20573.8,-11378.0,,,False,True,False,False,False,False,False
