,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,503,348.0,150.0,,,,425.0,90.8,279.4,204.1,,,-155.0,-353.0,,,,-78.0,-412.2,-223.6,-298.9,,,False,,,,True,False,False,False,,
01003,1902,1188.0,633.0,,,,1713.0,1047.0,363.2,815.3,,,-714.0,-1269.0,,,,-189.0,-855.0,-1538.8,-1086.7,,,False,,,,True,False,False,False,,
01005,205,168.0,76.0,,,,251.0,59.5,20.4,149.0,,,-37.0,-129.0,,,,46.0,-145.5,-184.6,-56.0,,,False,,,,False,False,False,False,,
01007,162,204.0,103.0,,,,205.0,149.4,131.0,241.6,,,42.0,-59.0,,,,43.0,-12.6,-31.0,79.6,,,False,,,,False,True,True,False,,
01009,510,462.0,423.0,,,,501.0,209.2,60.5,507.0,,,-48.0,-87.0,,,,-9.0,-300.8,-449.5,-3.0,,,False,,,,True,False,False,True,,
01011,72,192.0,45.0,,,,147.0,43.8,124.2,95.9,,,120.0,-27.0,,,,75.0,-28.2,52.2,23.9,,,True,,,,True,True,True,True,,
01013,105,84.0,89.0,,,,186.0,10.7,93.5,75.9,,,-21.0,-16.0,,,,81.0,-94.3,-11.5,-29.1,,,True,,,,False,False,True,False,,
01015,1387,1386.0,3471.0,,,,873.0,872.4,719.1,1238.7,,,-1.0,2084.0,,,,-514.0,-514.6,-667.9,-148.3,,,False,,,,False,False,False,False,,
01017,226,90.0,14.0,,,,235.0,23.3,55.3,103.2,,,-136.0,-212.0,,,,9.0,-202.7,-170.7,-122.8,,,False,,,,True,False,False,True,,
01019,256,186.0,157.0,,,,203.0,49.8,30.8,152.8,,,-70.0,-99.0,,,,-53.0,-206.2,-225.2,-103.2,,,False,,,,True,False,False,False,,
01021,647,396.0,265.0,,,,390.0,293.6,216.2,367.8,,,-251.0,-382.0,,,,-257.0,-353.4,-430.8,-279.2,,,False,,,,False,False,False,False,,
01023,51,72.0,44.0,,,,107.0,17.1,55.1,69.7,,,21.0,-7.0,,,,56.0,-33.9,4.1,18.7,,,True,,,,False,False,True,True,,
01025,220,282.0,555.0,,,,265.0,138.6,180.4,229.2,,,62.0,335.0,,,,45.0,-81.4,-39.6,9.2,,,False,,,,True,False,True,True,,
01027,287,120.0,102.0,,,,103.0,10.5,15.5,96.1,,,-167.0,-185.0,,,,-184.0,-276.5,-271.5,-190.9,,,False,,,,False,False,False,False,,
01029,234,264.0,138.0,,,,89.0,120.9,35.1,121.2,,,30.0,-96.0,,,,-145.0,-113.1,-198.9,-112.8,,,False,,,,False,False,False,False,,
01031,464,564.0,969.0,,,,446.0,205.2,228.6,465.5,,,100.0,505.0,,,,-18.0,-258.8,-235.4,1.5,,,False,,,,True,False,False,True,,
01033,369,432.0,243.0,,,,498.0,145.7,196.9,174.4,,,63.0,-126.0,,,,129.0,-223.3,-172.1,-194.6,,,False,,,,False,False,False,False,,
01035,79,108.0,42.0,,,,144.0,24.1,11.2,77.2,,,29.0,-37.0,,,,65.0,-54.9,-67.8,-1.8,,,False,,,,False,False,False,True,,
01037,54,36.0,8.0,,,,78.0,3.9,3.9,91.3,,,-18.0,-46.0,,,,24.0,-50.1,-50.1,37.3,,,False,,,,False,False,False,False,,
01039,455,276.0,98.0,,,,350.0,118.8,208.3,165.0,,,-179.0,-357.0,,,,-105.0,-336.2,-246.7,-290.0,,,False,,,,True,False,False,False,,
01041,117,114.0,50.0,,,,122.0,27.7,102.9,172.4,,,-3.0,-67.0,,,,5.0,-89.3,-14.1,55.4,,,False,,,,False,False,False,False,,
01043,445,618.0,1135.0,,,,712.0,141.6,162.7,592.0,,,173.0,690.0,,,,267.0,-303.4,-282.3,147.0,,,False,,,,False,False,False,True,,
01045,488,498.0,873.0,,,,401.0,342.6,177.2,342.6,,,10.0,385.0,,,,-87.0,-145.4,-310.8,-145.4,,,False,,,,False,False,False,False,,
01047,279,234.0,110.0,,,,442.0,77.3,292.9,133.1,,,-45.0,-169.0,,,,163.0,-201.7,13.9,-145.9,,,False,,,,False,False,True,False,,
01049,540,498.0,266.0,,,,715.0,248.8,171.9,403.2,,,-42.0,-274.0,,,,175.0,-291.2,-368.1,-136.8,,,False,,,,False,False,False,False,,
01051,807,654.0,687.0,,,,526.0,304.4,115.5,632.9,,,-153.0,-120.0,,,,-281.0,-502.6,-691.5,-174.1,,,True,,,,False,False,False,False,,
01053,324,390.0,95.0,,,,406.0,107.9,244.7,241.0,,,66.0,-229.0,,,,82.0,-216.1,-79.3,-83.0,,,False,,,,False,False,False,False,,
01055,1045,1506.0,3463.0,,,,868.0,1069.9,1008.2,900.9,,,461.0,2418.0,,,,-177.0,24.9,-36.8,-144.1,,,False,,,,True,True,True,True,,
01057,180,168.0,140.0,,,,158.0,128.6,145.5,182.4,,,-12.0,-40.0,,,,-22.0,-51.4,-34.5,2.4,,,False,,,,False,False,False,True,,
01059,395,588.0,517.0,,,,402.0,207.7,380.2,425.6,,,193.0,122.0,,,,7.0,-187.3,-14.8,30.6,,,True,,,,True,True,True,True,,
01061,329,402.0,653.0,,,,287.0,170.8,158.1,293.8,,,73.0,324.0,,,,-42.0,-158.2,-170.9,-35.2,,,False,,,,True,False,False,True,,
01063,29,66.0,42.0,,,,81.0,14.3,12.9,41.2,,,37.0,13.0,,,,52.0,-14.7,-16.1,12.2,,,True,,,,False,True,True,True,,
01065,129,102.0,68.0,,,,179.0,21.6,64.5,139.7,,,-27.0,-61.0,,,,50.0,-107.4,-64.5,10.7,,,False,,,,False,False,False,True,,
01067,220,162.0,121.0,,,,124.0,65.2,96.8,138.1,,,-58.0,-99.0,,,,-96.0,-154.8,-123.2,-81.9,,,False,,,,False,False,False,False,,
01069,1441,1290.0,5560.0,,,,796.0,1050.5,474.1,1008.2,,,-151.0,4119.0,,,,-645.0,-390.5,-966.9,-432.8,,,False,,,,False,False,False,False,,
01071,441,528.0,245.0,,,,389.0,258.3,184.2,425.2,,,87.0,-196.0,,,,-52.0,-182.7,-256.8,-15.8,,,False,,,,True,False,False,True,,
01073,5683,4044.0,2376.0,,,,4406.0,2484.0,828.7,2830.9,,,-1639.0,-3307.0,,,,-1277.0,-3199.0,-4854.3,-2852.1,,,False,,,,True,False,False,False,,
01075,126,120.0,81.0,,,,121.0,35.6,26.5,89.0,,,-6.0,-45.0,,,,-5.0,-90.4,-99.5,-37.0,,,False,,,,True,False,False,False,,
01077,464,534.0,437.0,,,,720.0,261.3,281.1,527.6,,,70.0,-27.0,,,,256.0,-202.7,-182.9,63.6,,,True,,,,False,False,False,True,,
01079,228,174.0,53.0,,,,360.0,124.6,123.7,182.6,,,-54.0,-175.0,,,,132.0,-103.4,-104.3,-45.4,,,False,,,,False,False,False,True,,
01081,2797,936.0,1339.0,,,,929.0,300.6,307.6,765.4,,,-1861.0,-1458.0,,,,-1868.0,-2496.4,-2489.4,-2031.6,,,True,,,,False,False,False,False,,
01083,691,540.0,346.0,,,,714.0,285.9,274.5,410.8,,,-151.0,-345.0,,,,23.0,-405.1,-416.5,-280.2,,,False,,,,True,False,False,False,,
01085,62,48.0,2.0,,,,94.0,2.5,197.1,37.8,,,-14.0,-60.0,,,,32.0,-59.5,135.1,-24.2,,,False,,,,False,False,False,False,,
01087,94,168.0,119.0,,,,122.0,20.9,48.0,141.3,,,74.0,25.0,,,,28.0,-73.1,-46.0,47.3,,,True,,,,True,True,True,True,,
01089,2236,1302.0,798.0,,,,2268.0,806.9,519.6,983.7,,,-934.0,-1438.0,,,,32.0,-1429.1,-1716.4,-1252.3,,,False,,,,True,False,False,False,,
01091,124,138.0,128.0,,,,223.0,28.3,59.7,217.1,,,14.0,4.0,,,,99.0,-95.7,-64.3,93.1,,,True,,,,False,False,False,False,,
01093,280,294.0,298.0,,,,283.0,184.3,56.9,169.3,,,14.0,18.0,,,,3.0,-95.7,-223.1,-110.7,,,False,,,,True,False,False,False,,
01095,547,1092.0,1383.0,,,,873.0,502.4,471.1,815.1,,,545.0,836.0,,,,326.0,-44.6,-75.9,268.1,,,False,,,,True,True,True,True,,
01097,2130,3294.0,1337.0,,,,3517.0,2422.8,895.1,3550.8,,,1164.0,-793.0,,,,1387.0,292.8,-1234.9,1420.8,,,True,,,,False,True,False,False,,
01099,76,84.0,31.0,,,,191.0,14.0,87.4,47.6,,,8.0,-45.0,,,,115.0,-62.0,11.4,-28.4,,,False,,,,False,False,False,False,,
01101,1467,1968.0,1082.0,,,,1736.0,580.3,490.9,540.1,,,501.0,-385.0,,,,269.0,-886.7,-976.1,-926.9,,,True,,,,True,False,False,False,,
01103,763,744.0,768.0,,,,993.0,188.9,360.3,663.3,,,-19.0,5.0,,,,230.0,-574.1,-402.7,-99.7,,,True,,,,False,False,False,False,,
01105,37,78.0,40.0,,,,100.0,37.5,44.9,146.1,,,41.0,3.0,,,,63.0,0.5,7.9,109.1,,,True,,,,False,True,True,False,,
01107,163,348.0,348.0,,,,230.0,308.8,288.5,337.3,,,185.0,185.0,,,,67.0,145.8,125.5,174.3,,,False,,,,True,True,True,True,,
01109,353,312.0,223.0,,,,280.0,108.2,234.9,224.6,,,-41.0,-130.0,,,,-73.0,-244.8,-118.1,-128.4,,,False,,,,False,False,False,False,,
01111,242,126.0,8.0,,,,162.0,50.4,39.1,176.2,,,-116.0,-234.0,,,,-80.0,-191.6,-202.8,-65.8,,,False,,,,True,False,False,True,,
01113,281,528.0,253.0,,,,409.0,129.2,381.7,235.1,,,247.0,-28.0,,,,128.0,-151.8,100.7,-45.9,,,True,,,,True,True,True,True,,
01115,780,714.0,1316.0,,,,605.0,624.9,426.3,515.2,,,-66.0,536.0,,,,-175.0,-155.1,-353.7,-264.8,,,False,,,,False,False,False,False,,
01117,2431,954.0,563.0,,,,1429.0,520.1,712.0,725.2,,,-1477.0,-1868.0,,,,-1002.0,-1910.9,-1719.0,-1705.8,,,False,,,,True,False,False,False,,
01119,41,102.0,106.0,,,,129.0,8.4,72.7,96.5,,,61.0,65.0,,,,88.0,-32.6,31.7,55.5,,,False,,,,False,True,True,True,,
01121,685,528.0,603.0,,,,656.0,178.4,156.5,428.0,,,-157.0,-82.0,,,,-29.0,-506.6,-528.5,-257.0,,,True,,,,True,False,False,False,,
01123,188,180.0,126.0,,,,314.0,44.5,87.0,188.2,,,-8.0,-62.0,,,,126.0,-143.5,-101.0,0.2,,,False,,,,False,False,False,True,,
01125,4027,2148.0,4665.0,,,,1662.0,1641.6,1361.6,1790.1,,,-1879.0,638.0,,,,-2365.0,-2385.4,-2665.4,-2236.9,,,True,,,,False,False,False,False,,
01127,608,642.0,1544.0,,,,597.0,183.3,266.7,347.5,,,34.0,936.0,,,,-11.0,-424.7,-341.3,-260.5,,,False,,,,True,False,False,False,,
01129,81,114.0,199.0,,,,137.0,5.9,30.3,97.0,,,33.0,118.0,,,,56.0,-75.1,-50.7,16.0,,,False,,,,False,False,False,True,,
01131,44,120.0,85.0,,,,106.0,17.7,80.6,76.2,,,76.0,41.0,,,,62.0,-26.3,36.6,32.2,,,True,,,,True,True,True,True,,
01133,246,204.0,141.0,,,,254.0,44.6,69.0,155.2,,,-42.0,-105.0,,,,8.0,-201.4,-177.0,-90.8,,,False,,,,True,False,False,False,,
02013,10,0.0,0.0,,,,,,0.0,1.2,,,-10.0,-10.0,,,,,,-10.0,-8.8,,,False,,,,,,True,True,,
02016,6,0.0,0.0,,,,,,1.0,1.2,,,-6.0,-6.0,,,,,,-5.0,-4.8,,,False,,,,,,True,True,,
02020,2035,1542.0,2055.0,,,,,755.7,1052.1,758.2,,,-493.0,20.0,,,,,-1279.3,-982.9,-1276.8,,,True,,,,,False,False,False,,
02050,84,54.0,4.0,,,,,7.3,61.8,55.2,,,-30.0,-80.0,,,,,-76.7,-22.2,-28.8,,,False,,,,,False,True,True,,
02060,0,0.0,0.0,,,,,1.2,2.3,,,,0.0,0.0,,,,,1.2,2.3,,,,True,,,,,False,False,,,
02068,9,0.0,0.0,,,,,,0.0,,,,-9.0,-9.0,,,,,,-9.0,,,,False,,,,,,False,,,
02070,4,18.0,0.0,,,,,0.4,2.5,7.7,,,14.0,-4.0,,,,,-3.6,-1.5,3.7,,,True,,,,,True,True,True,,
02090,709,408.0,0.0,,,,,366.6,217.5,341.0,,,-301.0,-709.0,,,,,-342.4,-491.5,-368.0,,,False,,,,,False,False,False,,
02100,1,0.0,0.0,,,,,,0.6,2.7,,,-1.0,-1.0,,,,,,-0.4,1.7,,,False,,,,,,True,False,,
02105,0,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,,,,,0.0,,,,True,,,,,,True,,,
02110,146,90.0,159.0,,,,,23.0,110.1,134.9,,,-56.0,13.0,,,,,-123.0,-35.9,-11.1,,,True,,,,,False,True,True,,
02122,70,282.0,238.0,,,,,24.8,159.9,259.2,,,212.0,168.0,,,,,-45.2,89.9,189.2,,,True,,,,,True,True,True,,
02130,11,18.0,0.0,,,,,3.7,16.2,25.7,,,7.0,-11.0,,,,,-7.3,5.2,14.7,,,False,,,,,False,True,False,,
