,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IQVIA_ACOE-STAN,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,43848,41712.0,26067.4,19943.0,42250.0,,14968.7,31677.0,21167.6,7217.0,13451.0,38427.0,28865.9,22443.5,19732.9,16650.2,12711.0,,16171.4,42650.0,51177.6,26117.8,19211.0,17341.0,-2136.0,-17780.6,-23905.0,-1598.0,,-28879.3,-12171.0,-22680.4,-36631.0,-30397.0,-5421.0,-14982.1,-21404.5,-24115.1,-27197.8,-31137.0,,-27676.6,-1198.0,7329.6,-17730.2,-24637.0,-26507.0,False,False,True,,False,False,False,False,False,False,False,False,False,False,False,,False,True,False,False,False,False
Alaska,3540,3126.0,2231.3,1841.0,2935.0,,1976.5,2883.0,2894.0,509.9,,,4430.5,1705.2,2026.2,1442.1,1393.0,,2066.8,3269.1,2606.9,,2757.6,2672.0,-414.0,-1308.7,-1699.0,-605.0,,-1563.5,-657.0,-646.0,-3030.1,,,890.5,-1834.8,-1513.8,-2097.9,-2147.0,,-1473.2,-270.9,-933.1,,-782.4,-868.0,False,False,False,,False,False,False,False,,,False,False,False,False,False,,False,True,False,,False,False
Arizona,22504,31446.0,19717.0,10620.0,36621.0,,8786.3,18013.0,11632.3,4494.1,11451.0,26276.0,16838.6,8271.5,11508.9,11688.4,7960.0,,6533.9,17355.6,52377.0,35102.6,10244.4,11406.0,8942.0,-2787.0,-11884.0,14117.0,,-13717.7,-4491.0,-10871.7,-18009.9,-11053.0,3772.0,-5665.4,-14232.5,-10995.1,-10815.6,-14544.0,,-15970.1,-5148.4,29873.0,12598.6,-12259.6,-11098.0,True,False,False,,False,True,False,False,False,True,True,False,False,False,False,,False,True,False,False,False,False
Arkansas,30326,25242.0,17750.2,12073.0,25600.0,,16262.9,29414.0,11795.6,4152.5,9337.0,27388.0,16855.7,12139.1,14522.2,10812.2,8706.0,,11294.4,10567.0,21380.7,13939.5,14465.0,12947.0,-5084.0,-12575.8,-18253.0,-4726.0,,-14063.1,-912.0,-18530.4,-26173.5,-20989.0,-2938.0,-13470.3,-18186.9,-15803.8,-19513.8,-21620.0,,-19031.6,-19759.0,-8945.3,-16386.5,-15861.0,-17379.0,False,False,True,,False,True,False,False,False,True,False,False,False,False,False,,False,False,False,False,False,False
California,165086,278646.0,176546.5,151226.0,224163.0,,210413.5,244345.0,133410.1,46870.2,87105.0,329700.0,216221.0,206753.4,108293.8,142336.3,117838.0,,174377.0,134416.6,255486.8,172557.1,106022.6,151388.0,113560.0,11460.5,-13860.0,59077.0,,45327.5,79259.0,-31675.9,-118215.8,-77981.0,164614.0,51135.0,41667.4,-56792.2,-22749.7,-47248.0,,9291.0,-30669.4,90400.8,7471.1,-59063.4,-13698.0,True,True,True,,True,True,True,False,True,False,True,True,True,True,True,,True,True,True,True,True,True
Colorado,17669,12270.0,8142.1,7117.0,13504.0,,6607.0,2310.0,10105.8,1998.1,5082.0,7786.0,16935.4,7086.4,7469.8,5329.5,3819.0,,10725.4,6030.3,6013.8,8652.3,9939.5,6593.0,-5399.0,-9526.9,-10552.0,-4165.0,,-11062.0,-15359.0,-7563.2,-15670.9,-12587.0,-9883.0,-733.6,-10582.6,-10199.2,-12339.5,-13850.0,,-6943.6,-11638.7,-11655.2,-9016.7,-7729.5,-11076.0,False,False,True,,False,False,False,False,False,False,True,False,False,False,False,,False,False,False,False,False,False
Connecticut,6778,3732.0,2326.6,1769.0,16156.0,,2979.8,197.0,2432.2,667.6,654.0,1480.0,5521.5,5544.6,1120.9,1346.0,1399.0,,1131.6,0.0,3884.1,,2276.0,1217.0,-3046.0,-4451.4,-5009.0,9378.0,,-3798.2,-6581.0,-4345.8,-6110.4,-6124.0,-5298.0,-1256.5,-1233.4,-5657.1,-5432.0,-5379.0,,-5646.4,-6778.0,-2893.9,,-4502.0,-5561.0,False,False,False,,False,False,False,False,False,False,True,True,False,False,False,,False,False,True,,False,False
Delaware,4313,2592.0,2030.0,1594.0,1786.0,,2544.0,103.0,2410.0,409.3,916.0,2746.0,2485.7,4835.4,1125.0,1243.4,1342.0,,2203.8,747.0,3006.8,2884.1,1871.7,1637.0,-1721.0,-2283.0,-2719.0,-2527.0,,-1769.0,-4210.0,-1903.0,-3903.7,-3397.0,-1567.0,-1827.3,522.4,-3188.0,-3069.6,-2971.0,,-2109.2,-3566.0,-1306.2,-1428.9,-2441.3,-2676.0,False,False,False,,False,False,False,False,False,True,False,True,False,False,False,,False,False,True,True,False,False
District of Columbia,1939,2250.0,1497.0,1036.0,1315.0,,1739.5,273.0,1829.4,336.1,592.0,2800.0,2082.5,1641.9,753.7,793.9,857.0,,142.1,337.9,1891.8,,825.0,1053.0,311.0,-442.0,-903.0,-624.0,,-199.5,-1666.0,-109.6,-1602.9,-1347.0,861.0,143.5,-297.1,-1185.3,-1145.1,-1082.0,,-1796.9,-1601.1,-47.2,,-1114.0,-886.0,False,False,False,,True,False,True,False,False,False,True,True,False,False,False,,False,False,True,,False,False
Florida,116994,167760.0,113363.0,81801.0,104716.0,,64826.0,107825.0,91104.1,14620.8,60183.0,217235.0,112389.7,120672.1,69773.4,74959.2,50306.0,,83203.3,93350.7,202447.0,104977.1,64308.2,57506.0,50766.0,-3631.0,-35193.0,-12278.0,,-52168.0,-9169.0,-25889.9,-102373.2,-56811.0,100241.0,-4604.3,3678.1,-47220.6,-42034.8,-66688.0,,-33790.7,-23643.3,85453.0,-12016.9,-52685.8,-59488.0,True,True,True,,False,True,True,False,False,False,True,True,True,True,False,,True,True,False,True,False,False
Georgia,69947,102324.0,66080.6,54177.0,99709.0,,71597.0,91717.0,56662.0,16993.5,42104.0,89367.0,62035.2,85023.5,51387.6,46528.4,36375.0,,56083.4,58069.8,87726.3,61851.4,52653.7,41031.0,32377.0,-3866.4,-15770.0,29762.0,,1650.0,21770.0,-13285.0,-52953.5,-27843.0,19420.0,-7911.8,15076.5,-18559.4,-23418.6,-33572.0,,-13863.6,-11877.2,17779.3,-8095.6,-17293.3,-28916.0,True,True,True,,True,True,True,False,True,True,True,True,True,True,False,,True,True,True,True,True,True
Hawaii,6378,9186.0,5994.0,6227.0,12738.0,,19688.4,6988.0,10934.7,1672.5,,,11683.6,42106.3,7830.7,6040.7,8381.0,,7393.9,2162.3,12274.9,10000.2,11671.4,7912.0,2808.0,-384.0,-151.0,6360.0,,13310.4,610.0,4556.7,-4705.5,,,5305.6,35728.3,1452.7,-337.3,2003.0,,1015.9,-4215.7,5896.9,3622.2,5293.4,1534.0,True,True,False,,False,True,False,False,,,False,False,True,True,True,,True,False,False,False,False,True
Idaho,14043,13104.0,8562.2,7609.0,8830.0,,8096.4,12981.0,20837.2,1222.7,4192.0,10892.0,15131.4,12084.3,5856.9,6391.4,4296.0,,6769.4,11155.8,10949.4,8033.0,4805.6,5254.0,-939.0,-5480.8,-6434.0,-5213.0,,-5946.6,-1062.0,6794.2,-12820.3,-9851.0,-3151.0,1088.4,-1958.7,-8186.1,-7651.6,-9747.0,,-7273.6,-2887.2,-3093.6,-6010.0,-9237.4,-8789.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Illinois,83081,83100.0,55483.0,51663.0,129913.0,,70315.9,8317.0,55404.2,14593.0,23356.0,62806.0,69938.6,110226.1,51948.5,50758.8,48549.0,,74895.0,25280.4,87066.8,41447.0,94876.8,79307.0,19.0,-27598.0,-31418.0,46832.0,,-12765.1,-74764.0,-27676.8,-68488.0,-59725.0,-20275.0,-13142.4,27145.1,-31132.5,-32322.2,-34532.0,,-8186.0,-57800.6,3985.8,-41634.0,11795.8,-3774.0,False,False,False,,False,False,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
