,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,Google_Harvard-CPF,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-Google_Harvard-CPF,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-Google_Harvard-CPF,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01001,63,91.0,103.9,,89.0,176.0,,,,,,86.5,,,139.0,,92.9,29.3,,39.1,64.8,,205.0,4.0,,57.5,,87.2,,,,,143.3,76.6,28.0,40.9,,26.0,113.0,,,,,,23.5,,,76.0,,29.9,-33.7,,-23.9,1.8,,142.0,-59.0,,-5.5,,24.2,,,,,80.3,13.6,False,,True,False,,,,,,True,,,False,,False,False,,True,True,,False,False,,True,,True,,,,,False,True
01003,569,430.0,443.0,,383.0,217.0,,,,,,218.3,,,242.0,,519.5,268.4,,382.6,254.0,,537.0,1287.0,,154.7,,410.1,446.0,,,,353.8,,-139.0,-126.0,,-186.0,-352.0,,,,,,-350.7,,,-327.0,,-49.5,-300.6,,-186.4,-315.0,,-32.0,718.0,,-414.4,,-158.9,-123.0,,,,-215.2,,True,,False,False,,,,,,False,,,False,,True,False,,False,False,,True,False,,False,,False,True,,,,False,
01005,35,52.0,45.2,,38.0,0.0,,,,,,41.8,,,73.0,,53.4,13.9,,17.6,29.6,,100.0,12.0,,34.4,,42.3,,,,,48.1,19.8,17.0,10.2,,3.0,-35.0,,,,,,6.8,,,38.0,,18.4,-21.1,,-17.4,-5.4,,65.0,-23.0,,-0.6,,7.3,,,,,13.1,-15.2,True,,True,False,,,,,,True,,,False,,False,False,,False,True,,False,False,,True,,True,,,,,True,True
01007,33,26.0,29.2,,22.0,7.0,,,,,,31.2,,,72.0,,27.7,16.6,,10.3,21.3,,46.0,45.0,,18.3,,23.3,,,,,28.7,38.9,-7.0,-3.8,,-11.0,-26.0,,,,,,-1.8,,,39.0,,-5.3,-16.4,,-22.7,-11.7,,13.0,12.0,,-14.7,,-9.7,,,,,-4.3,5.9,True,,False,False,,,,,,True,,,False,,True,False,,False,False,,False,False,,False,,False,,,,,True,True
01009,36,69.0,0.0,,56.0,256.0,,,,,,128.4,,,168.0,,79.6,48.1,,27.2,48.7,,,69.0,,39.2,,62.6,,,,,158.1,114.7,33.0,-36.0,,20.0,220.0,,,,,,92.4,,,132.0,,43.6,12.1,,-8.8,12.7,,,33.0,,3.2,,26.6,,,,,122.1,78.7,False,,True,False,,,,,,False,,,False,,False,True,,True,True,,,False,,True,,True,,,,,False,False
01011,6,19.0,21.1,,14.0,,,,,,,18.1,,,45.0,,14.3,5.6,,6.0,13.7,,23.0,16.0,,5.0,,17.7,,,,,17.2,9.8,13.0,15.1,,8.0,,,,,,,12.1,,,39.0,,8.3,-0.4,,-0.0,7.7,,17.0,10.0,,-1.0,,11.7,,,,,11.2,3.8,False,,True,,,,,,,True,,,False,,True,True,,True,True,,False,True,,True,,True,,,,,True,True
01013,13,4.0,0.8,,6.0,21.0,,,,,,16.0,,,48.0,,8.5,6.0,,1.6,7.0,,,12.0,,8.4,,5.2,,,,,14.1,17.3,-9.0,-12.2,,-7.0,8.0,,,,,,3.0,,,35.0,,-4.5,-7.0,,-11.4,-6.0,,,-1.0,,-4.6,,-7.8,,,,,1.1,4.3,False,,True,True,,,,,,True,,,False,,True,True,,False,True,,,True,,True,,True,,,,,True,True
01015,162,195.0,212.2,,186.0,381.0,,,,,,301.5,,,272.0,,212.5,167.9,,127.0,145.4,,405.0,43.0,,176.0,,172.4,,,,,250.6,190.1,33.0,50.2,,24.0,219.0,,,,,,139.5,,,110.0,,50.5,5.9,,-35.0,-16.6,,243.0,-119.0,,14.0,,10.4,,,,,88.6,28.1,False,,True,False,,,,,,False,,,False,,False,True,,False,True,,False,False,,True,,True,,,,,False,True
01017,39,41.0,54.3,,37.0,130.0,,,,,,36.2,,,58.0,,42.8,21.7,,12.7,24.2,,,28.0,,28.4,,33.3,,,,,63.0,15.7,2.0,15.3,,-2.0,91.0,,,,,,-2.8,,,19.0,,3.8,-17.3,,-26.3,-14.8,,,-11.0,,-10.6,,-5.7,,,,,24.0,-23.3,False,,False,False,,,,,,False,,,False,,False,False,,False,False,,,False,,False,,False,,,,,False,False
01019,29,53.0,48.0,,47.0,94.0,,,,,,37.9,,,57.0,,58.5,25.2,,22.3,32.9,,133.0,2.0,,23.4,,45.6,,,,,94.3,42.3,24.0,19.0,,18.0,65.0,,,,,,8.9,,,28.0,,29.5,-3.8,,-6.7,3.9,,104.0,-27.0,,-5.6,,16.6,,,,,65.3,13.3,True,,True,False,,,,,,True,,,False,,False,True,,True,True,,False,False,,True,,True,,,,,False,True
