,predicted_cases,actual_cases,error,perc_error
IowaStateLW-STEM,1820140.0,1718849,101291.0,5.9%
CU-select,1828433.0,1718849,109584.0,6.4%
COVIDhub-baseline,1835682.0,1718849,116833.0,6.8%
UCLA-SuEIR,1505145.0,1718849,-213704.0,-12.4%
CovidAnalytics-DELPHI,1232446.0,1718849,-486403.0,-28.3%
USACE-ERDC_SEIR,1149665.0,1718849,-569184.0,-33.1%
Covid19Sim-Simulator,1117707.7,1718849,-601141.3,-35.0%
Columbia_UNC-SurvCon,1106304.0,1718849,-612545.0,-35.6%
RobertWalraven-ESG,1092030.5,1718849,-626818.5,-36.5%
USC-SI_kJalpha,1050318.0,1718849,-668531.0,-38.9%
LANL-GrowthRate,914161.4,1718849,-804687.6,-46.8%
