,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,34026,46785.0,52803.0,,37650.4,24063.0,32304.0,25152.5,20852.8,35275.7,,16468.2,41430.9,37497.1,31154.0,12759.0,18777.0,,3624.4,-9963.0,-1722.0,-8873.5,-13173.2,1249.7,,-17557.8,7404.9,3471.1,-2872.0,False,,True,True,True,True,False,True,,False,True,True,True
Alaska,3184,2525.0,3166.0,,2410.5,2128.0,,4079.0,1695.1,1854.9,,1662.2,1922.3,2352.8,2381.0,-659.0,-18.0,,-773.5,-1056.0,,895.0,-1488.9,-1329.1,,-1521.8,-1261.7,-831.2,-803.0,True,,False,False,,False,False,False,,False,False,False,False
Arizona,19112,16960.0,11928.0,,21265.7,12259.0,18054.0,14512.0,5728.4,9360.1,,4200.9,38331.8,7799.7,7933.0,-2152.0,-7184.0,,2153.7,-6853.0,-1058.0,-4600.0,-13383.6,-9751.9,,-14911.1,19219.8,-11312.3,-11179.0,False,,False,False,True,False,False,False,,False,False,False,False
Arkansas,26147,20895.0,27370.0,,16842.0,24106.0,21025.0,15097.6,11595.6,15006.7,,8983.7,17936.6,19152.6,14863.0,-5252.0,1223.0,,-9305.0,-2041.0,-5122.0,-11049.4,-14551.4,-11140.3,,-17163.3,-8210.4,-6994.4,-11284.0,True,,False,True,True,False,False,False,,False,False,False,False
California,128399,188015.0,178494.0,,161779.8,194483.0,196610.0,169739.7,135076.7,97544.1,,94396.0,185719.9,78325.8,102075.0,59616.0,50095.0,,33380.8,66084.0,68211.0,41340.7,6677.7,-30854.9,,-34003.0,57320.9,-50073.2,-26324.0,True,,True,False,False,True,True,True,,True,True,True,True
Colorado,15515,10780.0,14041.0,,8027.0,1450.0,10599.0,15046.7,6165.9,5959.0,,7177.7,7198.9,9295.8,7881.0,-4735.0,-1474.0,,-7488.0,-14065.0,-4916.0,-468.3,-9349.1,-9556.0,,-8337.3,-8316.1,-6219.2,-7634.0,True,,False,False,False,True,False,False,,False,False,False,False
Connecticut,5802,4880.0,28422.0,,2032.0,116.0,2076.0,5346.7,5223.9,1743.8,,621.5,5249.8,5062.2,4987.0,-922.0,22620.0,,-3770.0,-5686.0,-3726.0,-455.3,-578.1,-4058.2,,-5180.5,-552.2,-739.8,-815.0,False,,False,False,False,True,True,False,,False,True,True,True
Delaware,3782,2605.0,2775.0,,1593.8,56.0,1950.0,1991.4,2302.9,1564.6,,1349.4,2426.7,1718.4,1756.0,-1177.0,-1007.0,,-2188.2,-3726.0,-1832.0,-1790.6,-1479.1,-2217.4,,-2432.6,-1355.3,-2063.6,-2026.0,True,,False,False,False,False,False,False,,False,False,False,False
District of Columbia,1548,1955.0,2960.0,,1435.1,213.0,2073.0,1893.7,1499.1,1137.8,,759.9,2209.4,1370.9,1446.0,407.0,1412.0,,-112.9,-1335.0,525.0,345.7,-48.9,-410.2,,-788.1,661.4,-177.1,-102.0,False,,True,False,False,True,True,False,,False,False,True,True
Florida,95588,107030.0,91440.0,,85912.5,62700.0,153284.0,83544.7,81118.6,55470.1,,40211.5,154523.7,43223.7,56449.0,11442.0,-4148.0,,-9675.5,-32888.0,57696.0,-12043.3,-14469.4,-40117.9,,-55376.5,58935.7,-52364.3,-39139.0,True,,True,False,False,False,False,False,,False,False,False,False
