,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,26810,37428.0,34506.5,28172.0,39884.0,,30235.3,20843.0,28401.5,26172.0,25493.1,21145.9,17851.0,30507.8,36711.0,,14046.2,34354.3,30222.9,30704.1,28023.0,10618.0,7696.5,1362.0,13074.0,,3425.3,-5967.0,1591.5,-638.0,-1316.9,-5664.1,-8959.0,3697.8,9901.0,,-12763.8,7544.3,3412.9,3894.1,1213.0,True,True,False,,True,True,True,True,True,True,True,True,True,,False,True,True,True,True
Alaska,2302,2020.0,2176.1,1815.0,2442.0,,1908.2,1753.0,1448.1,,3427.9,3310.2,1416.4,1594.9,1641.6,,1421.0,1625.3,1636.2,1935.6,1951.0,-282.0,-125.9,-487.0,140.0,,-393.8,-549.0,-853.9,,1125.9,1008.2,-885.6,-707.1,-660.4,,-881.0,-676.7,-665.8,-366.4,-351.0,True,False,True,,False,False,False,,False,False,False,False,False,,False,False,False,False,False
Arizona,15539,13568.0,14163.1,9469.0,9863.0,,17769.2,11098.0,6659.1,14990.0,9713.4,12027.0,5279.6,8228.9,9359.2,,3756.4,29387.5,26889.1,7052.3,7321.0,-1971.0,-1375.9,-6070.0,-5676.0,,2230.2,-4441.0,-8879.9,-549.0,-5825.6,-3512.0,-10259.4,-7310.1,-6179.8,,-11782.6,13848.5,11350.1,-8486.7,-8218.0,True,False,False,,False,False,False,True,False,False,False,False,False,,False,False,False,False,False
Arkansas,20377,16716.0,17934.3,15706.0,21076.0,,13653.5,19747.0,12977.4,16743.0,25328.4,12533.6,9828.4,13063.0,16565.0,,7762.6,14744.3,14579.7,15888.1,13114.0,-3661.0,-2442.7,-4671.0,699.0,,-6723.5,-630.0,-7399.6,-3634.0,4951.4,-7843.4,-10548.6,-7314.0,-3812.0,,-12614.4,-5632.7,-5797.3,-4488.9,-7263.0,True,False,True,,False,True,False,True,False,False,False,False,False,,False,False,False,False,False
California,105413,150412.0,151662.1,131873.0,140841.0,,133379.1,163122.0,132358.0,162886.0,136526.6,138910.9,113669.7,84640.9,113358.4,,80997.6,150389.9,154749.2,70684.7,91862.0,44999.0,46249.1,26460.0,35428.0,,27966.1,57709.0,26945.0,57473.0,31113.6,33497.9,8256.7,-20772.1,7945.4,,-24415.4,44976.9,49336.2,-34728.3,-13551.0,False,True,True,,True,False,True,False,True,True,True,True,True,,True,True,False,True,True
Colorado,11470,8624.0,8504.0,6993.0,10893.0,,6574.7,1370.0,6595.7,8894.0,7189.4,12008.8,5276.0,5199.3,6935.7,,5979.6,6201.8,9191.0,7574.6,6644.0,-2846.0,-2966.0,-4477.0,-577.0,,-4895.3,-10100.0,-4874.3,-2576.0,-4280.6,538.8,-6194.0,-6270.7,-4534.3,,-5490.4,-5268.2,-2279.0,-3895.4,-4826.0,False,False,True,,False,False,False,True,False,True,False,False,False,,False,False,True,False,False
Connecticut,4092,3904.0,3937.2,2545.0,20299.0,,1678.6,112.0,1522.4,1876.0,1378.0,4233.9,4060.2,1521.1,2481.7,,523.8,4184.6,,3947.5,3896.0,-188.0,-154.8,-1547.0,16207.0,,-2413.4,-3980.0,-2569.6,-2216.0,-2714.0,141.9,-31.8,-2570.9,-1610.3,,-3568.2,92.6,,-144.5,-196.0,True,False,False,,False,False,False,False,False,True,True,False,False,,False,True,,True,False
Delaware,2813,2084.0,2108.8,1459.0,2135.0,,1294.0,54.0,1640.7,1638.0,983.8,1637.8,1899.8,1362.3,1224.5,,1145.9,1982.7,2891.8,1473.2,1480.0,-729.0,-704.2,-1354.0,-678.0,,-1519.0,-2759.0,-1172.3,-1175.0,-1829.2,-1175.2,-913.2,-1450.7,-1588.5,,-1667.1,-830.3,78.8,-1339.8,-1333.0,True,False,True,,False,False,False,False,False,False,False,False,False,,False,False,True,False,False
District of Columbia,1290,1564.0,1582.9,1265.0,2268.0,,1188.4,204.0,1570.4,1685.0,493.6,1531.8,1244.8,994.2,1262.7,,666.4,1768.8,,1154.8,1221.0,274.0,292.9,-25.0,978.0,,-101.6,-1086.0,280.4,395.0,-796.4,241.8,-45.2,-295.8,-27.3,,-623.6,478.8,,-135.2,-69.0,False,True,False,,True,False,False,False,False,True,True,False,True,,False,False,,True,True
Florida,79679,85624.0,81885.0,68567.0,73013.0,,71736.9,56093.0,55265.7,124884.0,76926.3,70724.6,70499.5,49420.9,65281.7,,36496.8,121644.1,77851.7,39883.4,51089.0,5945.0,2206.0,-11112.0,-6666.0,,-7942.1,-23586.0,-24413.3,45205.0,-2752.7,-8954.4,-9179.5,-30258.1,-14397.3,,-43182.2,41965.1,-1827.3,-39795.6,-28590.0,True,False,False,,False,False,False,False,True,False,False,False,False,,False,False,True,False,False
