,predicted_cases,actual_cases,error,perc_error
IowaStateLW-STEM,1811066.0,1720012,91054.0,5.3%
UCLA-SuEIR,1621965.6,1720012,-98046.4,-5.7%
CovidAnalytics-DELPHI,1608653.0,1720012,-111359.0,-6.5%
Columbia_UNC-SurvCon,1535004.0,1720012,-185008.0,-10.8%
USACE-ERDC_SEIR,1484512.6,1720012,-235499.4,-13.7%
Covid19Sim-Simulator,1477994.8,1720012,-242017.2,-14.1%
COVIDhub-baseline,2179416.0,1720012,459404.0,26.7%
USC-SI_kJalpha,1259213.0,1720012,-460799.0,-26.8%
RobertWalraven-ESG,1167895.2,1720012,-552116.8,-32.1%
LANL-GrowthRate,1098238.6,1720012,-621773.4,-36.1%
CU-select,2731750.0,1720012,1011738.0,58.8%
