,count,mean,median,std,min,25%,75%,max
JHU_IDD-CovidSP,3139,306.5,75.6,933.8,0.0,24.3,222.0,22715.8
LNQ-ens1,3141,350.5,89.4,1083.8,0.0,32.6,270.0,20809.8
COVIDhub-ensemble,3141,354.9,99.0,1122.2,0.0,35.0,275.0,23590.0
OliverWyman-Navigator,2609,376.6,106.0,1168.9,0.0,36.0,312.0,40645.0
USC-SI_kJalpha,2772,409.6,107.0,1596.4,0.0,36.0,298.0,38879.0
RobertWalraven-ESG,3138,452.9,115.7,2520.9,0.0,37.8,334.1,123916.7
COVIDhub-baseline,3141,497.1,77.0,3148.7,0.0,23.0,265.0,106887.0
LANL-GrowthRate,2951,504.9,125.1,2384.3,0.0,47.1,330.9,69043.4
CU-select,3093,533.7,102.0,3597.8,0.0,33.0,326.0,151811.0
IowaStateLW-STEM,3103,547.3,84.0,3180.4,0.0,25.0,289.0,105116.0
UCLA-SuEIR,2599,582.6,95.2,2732.5,0.0,30.7,316.0,75588.0
