,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,36156,34760.0,34415.0,,13397.6,28457.0,32413.0,28865.9,22443.5,17869.9,,14205.3,42621.8,17638.8,16235.0,-1396.0,-1741.0,,-22758.4,-7699.0,-3743.0,-7290.1,-13712.5,-18286.1,,-21950.7,6465.8,-18517.2,-19921.0,False,,False,False,False,False,False,False,,False,False,False,False
Alaska,2836,2605.0,2413.0,,1660.2,2452.0,,4430.5,1705.2,1816.7,,1763.0,2290.2,2366.6,2340.0,-231.0,-423.0,,-1175.8,-384.0,,1594.5,-1130.8,-1019.3,,-1073.0,-545.8,-469.4,-496.0,False,,False,False,,False,False,False,,False,False,False,False
Arizona,18931,26205.0,30036.0,,7816.8,16828.0,22922.0,16838.6,8271.5,10684.2,,6076.2,42424.8,9691.4,10801.0,7274.0,11105.0,,-11114.2,-2103.0,3991.0,-2092.4,-10659.5,-8246.8,,-12854.8,23493.8,-9239.6,-8130.0,False,,False,True,True,True,False,False,,False,False,False,False
Arkansas,24556,21035.0,20992.0,,13954.2,25055.0,22679.0,16855.7,12139.1,13061.3,,9913.2,18232.6,13089.9,11896.0,-3521.0,-3564.0,,-10601.8,499.0,-1877.0,-7700.3,-12416.9,-11494.7,,-14642.8,-6323.4,-11466.1,-12660.0,False,,False,True,True,False,False,False,,False,False,False,False
California,143016,232205.0,188644.0,,178316.2,212984.0,283422.0,216221.0,206753.4,100291.0,,151594.8,215421.3,99014.2,139721.0,89189.0,45628.0,,35300.2,69968.0,140406.0,73205.0,63737.4,-42725.0,,8578.8,72405.3,-44001.8,-3295.0,True,,True,True,False,True,True,True,,True,True,True,True
Colorado,13627,10225.0,11104.0,,5675.4,2229.0,6892.0,16935.4,7086.4,6777.6,,9141.7,5454.6,8742.5,6017.0,-3402.0,-2523.0,,-7951.6,-11398.0,-6735.0,3308.4,-6540.6,-6849.4,,-4485.3,-8172.4,-4884.5,-7610.0,True,,False,False,False,True,False,False,,False,False,False,False
Connecticut,5068,3110.0,12584.0,,2558.1,193.0,1394.0,5521.5,5544.6,1020.4,,970.9,3280.5,2014.9,1099.0,-1958.0,7516.0,,-2509.9,-4875.0,-3674.0,453.5,476.6,-4047.6,,-4097.1,-1787.5,-3053.1,-3969.0,False,,False,False,False,True,True,False,,False,True,False,False
Delaware,3344,2160.0,1544.0,,2173.3,101.0,2385.0,2485.7,4835.4,1048.5,,1892.1,2521.8,1685.8,1469.0,-1184.0,-1800.0,,-1170.7,-3243.0,-959.0,-858.3,1491.4,-2295.5,,-1451.9,-822.2,-1658.2,-1875.0,False,,True,False,True,True,False,False,,False,True,False,False
District of Columbia,1681,1875.0,1116.0,,1494.7,267.0,2350.0,2082.5,1641.9,698.2,,138.9,1624.0,769.0,977.0,194.0,-565.0,,-186.3,-1414.0,669.0,401.5,-39.1,-982.8,,-1542.1,-57.0,-912.0,-704.0,False,,True,False,False,False,True,False,,False,True,False,False
Florida,101085,139800.0,89728.0,,55995.0,98766.0,185431.0,112389.7,120672.1,64862.4,,74563.5,168040.5,60969.8,55757.0,38715.0,-11357.0,,-45090.0,-2319.0,84346.0,11304.7,19587.1,-36222.6,,-26521.5,66955.5,-40115.2,-45328.0,True,,False,True,False,True,True,True,,True,False,False,False
Georgia,61651,85270.0,82673.0,,60759.3,79807.0,76927.0,62035.2,85023.5,46690.1,,49471.7,74389.7,48631.5,39323.0,23619.0,21022.0,,-891.7,18156.0,15276.0,384.2,23372.5,-14960.9,,-12179.3,12738.7,-13019.5,-22328.0,True,,True,True,True,True,True,True,,True,True,True,True
