,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01001,83,241.0,249.6,,151.0,108.0,,,,,,,,151.0,,98.2,29.0,,218.0,90.7,,243.0,152.0,,52.1,210.4,,,,,266.4,167.6,158.0,166.6,,68.0,25.0,,,,,,,,68.0,,15.2,-54.0,,135.0,7.7,,160.0,69.0,,-30.9,127.4,,,,,183.4,84.6,False,,True,True,,,,,,,,True,,True,True,,True,True,,False,True,,True,True,,,,,False,True
01003,436,295.0,304.8,,240.0,367.0,,,,,,,,241.0,,11.2,167.7,,238.9,143.1,,383.0,89.0,,80.0,296.4,219.0,,,,352.8,196.5,-141.0,-131.2,,-196.0,-69.0,,,,,,,,-195.0,,-424.8,-268.3,,-197.1,-292.9,,-53.0,-347.0,,-356.0,-139.6,-217.0,,,,-83.2,-239.5,True,,False,True,,,,,,,,False,,False,False,,False,False,,True,False,,False,True,False,,,,True,False
01005,51,210.0,205.1,,94.0,9.0,,,,,,,,58.0,,130.6,12.9,,138.3,39.5,,,79.0,,0.6,,,,,,304.2,71.8,159.0,154.1,,43.0,-42.0,,,,,,,,7.0,,79.6,-38.1,,87.3,-11.5,,,28.0,,-50.4,,,,,,253.2,20.8,True,,True,True,,,,,,,,True,,True,True,,True,True,,,True,,True,,,,,,False,True
01007,27,52.0,49.5,,30.0,9.0,,,,,,,,72.0,,27.4,20.2,,23.8,31.9,,57.0,16.0,,17.8,,,,,,56.1,64.9,25.0,22.5,,3.0,-18.0,,,,,,,,45.0,,0.4,-6.8,,-3.2,4.9,,30.0,-11.0,,-9.2,,,,,,29.1,37.9,True,,True,True,,,,,,,,False,,True,True,,True,True,,False,True,,True,,,,,,False,False
01009,59,428.0,437.8,,275.0,45.0,,,,,,,,150.0,,275.4,72.8,,373.9,92.2,,404.0,140.0,,19.6,363.6,,,,,629.8,183.7,369.0,378.8,,216.0,-14.0,,,,,,,,91.0,,216.4,13.8,,314.9,33.2,,345.0,81.0,,-39.4,304.6,,,,,570.8,124.7,False,,True,True,,,,,,,,True,,True,True,,True,True,,True,True,,True,True,,,,,False,True
01011,19,33.0,33.0,,9.0,0.0,,,,,,,,42.0,,0.3,5.7,,5.7,12.9,,,10.0,,0.0,,,,,,23.6,28.8,14.0,14.0,,-10.0,-19.0,,,,,,,,23.0,,-18.7,-13.3,,-13.3,-6.1,,,-9.0,,-19.0,,,,,,4.6,9.8,False,,True,False,,,,,,,,False,,False,True,,True,True,,,True,,False,,,,,,True,True
01013,10,43.0,45.8,,17.0,0.0,,,,,,,,48.0,,16.3,7.3,,17.7,14.4,,14.0,41.0,,7.9,,,,,,46.3,21.3,33.0,35.8,,7.0,-10.0,,,,,,,,38.0,,6.3,-2.7,,7.7,4.4,,4.0,31.0,,-2.1,,,,,,36.3,11.3,False,,True,True,,,,,,,,False,,True,True,,True,True,,True,True,,True,,,,,,False,True
01015,196,592.0,603.3,,485.0,821.0,,,,,,,,269.0,,282.1,168.6,,522.7,205.9,,626.0,257.0,,53.6,574.0,,,,,485.4,385.1,396.0,407.3,,289.0,625.0,,,,,,,,73.0,,86.1,-27.4,,326.7,9.9,,430.0,61.0,,-142.4,378.0,,,,,289.4,189.1,False,,True,False,,,,,,,,True,,True,True,,True,True,,False,True,,True,True,,,,,True,True
01017,36,260.0,269.5,,110.0,0.0,,,,,,,,59.0,,162.0,20.1,,153.2,67.8,,,108.0,,8.1,,,,,,350.7,56.7,224.0,233.5,,74.0,-36.0,,,,,,,,23.0,,126.0,-15.9,,117.2,31.8,,,72.0,,-27.9,,,,,,314.7,20.7,False,,True,True,,,,,,,,True,,True,True,,True,True,,,True,,True,,,,,,False,True
01019,47,163.0,161.8,,101.0,39.0,,,,,,,,48.0,,137.1,27.8,,163.2,58.6,,163.0,96.0,,65.7,,,,,,215.7,95.3,116.0,114.8,,54.0,-8.0,,,,,,,,1.0,,90.1,-19.2,,116.2,11.6,,116.0,49.0,,18.7,,,,,,168.7,48.3,True,,True,True,,,,,,,,True,,True,True,,False,True,,False,True,,True,,,,,,False,True
