,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,MITCovAlliance-SIR,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-MITCovAlliance-SIR,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-MITCovAlliance-SIR,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,506,720.0,657.4,1236.0,,,,442.0,144.6,,352.7,528.7,,,214.0,151.4,730.0,,,,-64.0,-361.4,,-153.3,22.7,,,True,False,,,,True,False,,True,True,,
01003,1542,2022.0,6021.9,2227.0,,,,2731.0,1474.3,,585.9,1178.0,,,480.0,4479.9,685.0,,,,1189.0,-67.7,,-956.1,-364.0,,,False,False,,,,False,True,,False,True,,
01005,210,150.0,,44.0,,,,248.0,70.3,,55.2,184.8,,,-60.0,,-166.0,,,,38.0,-139.7,,-154.8,-25.2,,,,False,,,,True,False,,False,True,,
01007,169,258.0,,246.0,,,,176.0,93.7,,35.4,273.7,,,89.0,,77.0,,,,7.0,-75.3,,-133.6,104.7,,,,True,,,,True,True,,False,False,,
01009,609,396.0,1199.3,184.0,,,,439.0,220.6,,186.8,838.9,,,-213.0,590.3,-425.0,,,,-170.0,-388.4,,-422.1,229.9,,,False,False,,,,True,False,,False,False,,
01011,105,192.0,,42.0,,,,132.0,25.6,,131.8,94.8,,,87.0,,-63.0,,,,27.0,-79.4,,26.8,-10.2,,,,True,,,,True,True,,True,True,,
01013,108,180.0,,132.0,,,,207.0,46.3,,133.8,167.4,,,72.0,,24.0,,,,99.0,-61.7,,25.8,59.4,,,,True,,,,False,True,,True,True,,
01015,1485,852.0,2846.2,240.0,,,,1012.0,457.2,,194.2,830.9,,,-633.0,1361.2,-1245.0,,,,-473.0,-1027.8,,-1290.8,-654.1,,,False,False,,,,True,False,,False,False,,
01017,230,84.0,,33.0,,,,265.0,14.5,,46.0,99.4,,,-146.0,,-197.0,,,,35.0,-215.5,,-184.0,-130.6,,,,False,,,,True,False,,False,True,,
01019,259,174.0,,148.0,,,,196.0,96.7,,174.0,98.4,,,-85.0,,-111.0,,,,-63.0,-162.3,,-85.0,-160.6,,,,False,,,,True,False,,True,False,,
01021,673,414.0,,244.0,,,,357.0,181.0,,83.4,457.5,,,-259.0,,-429.0,,,,-316.0,-492.0,,-589.6,-215.5,,,,False,,,,False,False,,False,True,,
01023,52,66.0,,63.0,,,,138.0,5.5,,45.3,79.2,,,14.0,,11.0,,,,86.0,-46.5,,-6.7,27.2,,,,True,,,,False,False,,True,False,,
01025,225,1038.0,,1344.0,,,,375.0,11.1,,158.1,658.7,,,813.0,,1119.0,,,,150.0,-213.9,,-66.9,433.7,,,,False,,,,True,True,,True,True,,
01027,280,264.0,,230.0,,,,83.0,103.9,,9.6,123.3,,,-16.0,,-50.0,,,,-197.0,-176.1,,-270.4,-156.7,,,,False,,,,False,False,,False,False,,
01029,254,36.0,,13.0,,,,79.0,5.3,,6.0,53.4,,,-218.0,,-241.0,,,,-175.0,-248.7,,-248.0,-200.6,,,,False,,,,True,False,,False,True,,
01031,504,294.0,504.0,170.0,,,,493.0,224.1,,159.5,800.3,,,-210.0,0.0,-334.0,,,,-11.0,-279.9,,-344.5,296.3,,,True,False,,,,True,False,,False,False,,
01033,375,564.0,1703.4,302.0,,,,480.0,235.1,,227.8,694.3,,,189.0,1328.4,-73.0,,,,105.0,-139.9,,-147.2,319.3,,,False,True,,,,True,True,,True,False,,
01035,101,84.0,,50.0,,,,168.0,13.7,0.0,99.6,60.0,,,-17.0,,-51.0,,,,67.0,-87.3,-101.0,-1.4,-41.0,,,,False,,,,False,False,False,True,False,,
01037,58,30.0,,41.0,,,,43.0,0.9,38.6,6.3,100.5,,,-28.0,,-17.0,,,,-15.0,-57.1,-19.4,-51.7,42.5,,,,True,,,,True,False,True,False,False,,
01039,473,222.0,,57.0,,,,461.0,106.2,135.1,47.2,136.5,,,-251.0,,-416.0,,,,-12.0,-366.8,-337.9,-425.8,-336.5,,,,False,,,,True,False,False,False,False,,
01041,149,198.0,,104.0,,,,108.0,35.7,0.2,177.7,553.4,,,49.0,,-45.0,,,,-41.0,-113.3,-148.8,28.7,404.4,,,,True,,,,True,False,False,True,False,,
01043,528,228.0,2519.3,47.0,,,,698.0,100.3,272.2,276.2,731.1,,,-300.0,1991.3,-481.0,,,,170.0,-427.7,-255.8,-251.8,203.1,,,False,False,,,,True,False,True,True,True,,
01045,489,264.0,,83.0,,,,468.0,138.8,162.9,163.7,397.0,,,-225.0,,-406.0,,,,-21.0,-350.2,-326.1,-325.3,-92.0,,,,False,,,,True,False,False,False,True,,
01047,314,270.0,,107.0,,,,507.0,82.5,3.2,37.4,175.0,,,-44.0,,-207.0,,,,193.0,-231.5,-310.8,-276.6,-139.0,,,,False,,,,False,False,False,False,False,,
