,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,440,290.0,132.0,,,,359.0,201.0,,78.7,,243.7,180.5,,,-150.0,-308.0,,,,-81.0,-239.0,,-361.3,,-196.3,-259.5,,,False,,,,True,False,,False,,False,False,,
01003,1333,990.0,542.0,,,,1438.0,1638.9,,888.4,,348.6,720.9,,,-343.0,-791.0,,,,105.0,305.9,,-444.6,,-984.5,-612.1,,,False,,,,True,True,,False,,False,False,,
01005,170,140.0,63.0,,,,212.0,99.4,,53.3,,18.5,129.3,,,-30.0,-107.0,,,,42.0,-70.6,,-116.7,,-151.5,-40.7,,,False,,,,False,False,,False,,False,False,,
01007,129,170.0,89.0,,,,173.0,172.3,,127.8,,112.4,204.8,,,41.0,-40.0,,,,44.0,43.3,,-1.2,,-16.6,75.8,,,True,,,,False,False,,True,,True,False,,
01009,474,385.0,350.0,,,,421.0,464.4,,177.4,,58.7,436.5,,,-89.0,-124.0,,,,-53.0,-9.6,,-296.6,,-415.3,-37.5,,,False,,,,True,True,,False,,False,True,,
01011,66,160.0,38.0,,,,125.0,40.5,,38.7,,104.6,85.3,,,94.0,-28.0,,,,59.0,-25.5,,-27.3,,38.6,19.3,,,True,,,,True,True,,True,,True,True,,
01013,92,70.0,75.0,,,,158.0,39.2,,10.0,,78.8,64.7,,,-22.0,-17.0,,,,66.0,-52.8,,-82.0,,-13.2,-27.3,,,True,,,,False,False,,False,,True,False,,
01015,1225,1155.0,2771.0,,,,736.0,1389.3,,760.8,,619.0,1082.1,,,-70.0,1546.0,,,,-489.0,164.3,,-464.2,,-606.0,-142.9,,,False,,,,False,False,,False,,False,False,,
01017,187,75.0,11.0,,,,201.0,127.6,,20.5,,47.9,87.5,,,-112.0,-176.0,,,,14.0,-59.4,,-166.5,,-139.1,-99.5,,,False,,,,True,True,,False,,False,True,,
01019,227,155.0,132.0,,,,171.0,188.9,,43.9,,29.5,130.6,,,-72.0,-95.0,,,,-56.0,-38.1,,-183.1,,-197.5,-96.4,,,False,,,,True,True,,False,,False,False,,
