,actual_cases,COVIDhub-baseline,Columbia_UNC-SurvCon,Covid19Sim-Simulator,IHME-CurveFit,IowaStateLW-STEM,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-IHME-CurveFit,error-IowaStateLW-STEM,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-IHME-CurveFit,beat_baseline-IowaStateLW-STEM,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,60666,89752.0,,152147.1,149300.0,90570.0,188053.4,56159.7,31174.0,29086.0,,91481.1,88634.0,29904.0,127387.4,-4506.3,-29492.0,,False,False,False,False,True,False
Alaska,4522,6376.0,,8647.0,44.6,,11215.5,14413.9,8791.0,1854.0,,4125.0,-4477.4,,6693.5,9891.9,4269.0,,False,False,,False,False,False
Arizona,39824,135688.0,,81735.5,223319.0,115422.0,80802.7,55100.0,42806.0,95864.0,,41911.5,183495.0,75598.0,40978.7,15276.0,2982.0,,True,False,True,True,True,True
Arkansas,37982,41536.0,,43508.8,32320.9,51394.0,32167.8,22905.5,19063.0,3554.0,,5526.8,-5661.1,13412.0,-5814.2,-15076.5,-18919.0,,False,False,False,False,False,False
California,300838,481288.0,,475359.0,524080.4,508893.0,485213.2,203375.8,209177.0,180450.0,,174521.0,223242.4,208055.0,184375.2,-97462.2,-91661.0,,True,False,False,False,True,True
Colorado,21243,27824.0,,40640.3,58022.4,21515.0,19807.2,16078.1,16855.0,6581.0,,19397.3,36779.4,272.0,-1435.8,-5164.9,-4388.0,,False,False,True,True,True,True
Connecticut,6789,8272.0,,8098.1,23952.7,3253.0,7919.7,10922.6,18743.0,1483.0,,1309.1,17163.7,-3536.0,1130.7,4133.6,11954.0,,True,False,False,True,False,False
Delaware,5295,5616.0,,4945.0,7812.0,4003.0,8313.5,3054.8,4621.0,321.0,,-350.0,2517.0,-1292.0,3018.5,-2240.2,-674.0,,False,False,False,False,False,False
District of Columbia,3010,2720.0,,5150.6,4084.5,4088.0,5231.6,644.2,795.0,-290.0,,2140.6,1074.5,1078.0,2221.6,-2365.8,-2215.0,,False,False,False,False,False,False
Florida,218654,524136.0,,541705.8,565932.2,466409.0,289614.0,166984.3,181565.0,305482.0,,323051.8,347278.2,247755.0,70960.0,-51669.7,-37089.0,,False,False,True,True,True,True
Georgia,123861,198592.0,,182265.8,581643.6,153564.0,150978.0,113703.3,104318.0,74731.0,,58404.8,457782.6,29703.0,27117.0,-10157.7,-19543.0,,True,False,True,True,True,True
Hawaii,10008,4616.0,,5818.2,69.5,,4462.5,34661.1,22621.0,-5392.0,,-4189.8,-9938.5,,-5545.5,24653.1,12613.0,,True,False,,False,False,False
Idaho,19186,26272.0,,35006.3,13090.7,21878.0,16442.4,6700.8,14523.0,7086.0,,15820.3,-6095.3,2692.0,-2743.6,-12485.2,-4663.0,,False,True,True,True,False,True
Illinois,107019,85056.0,,111228.0,46056.0,72745.0,109120.4,117379.4,67206.0,-21963.0,,4209.0,-60963.0,-34274.0,2101.4,10360.4,-39813.0,,True,False,False,True,True,False
Indiana,49427,44816.0,,54992.9,65829.1,43547.0,49220.4,39200.2,31905.0,-4611.0,,5565.9,16402.1,-5880.0,-206.6,-10226.8,-17522.0,,False,False,False,True,False,False
Iowa,40615,27256.0,,29075.1,48423.4,22308.0,20288.4,22132.4,17277.0,-13359.0,,-11539.9,7808.4,-18307.0,-20326.6,-18482.6,-23338.0,,True,True,False,False,False,False
Kansas,30513,20664.0,,32470.4,16164.6,28850.0,14352.3,8184.2,9887.0,-9849.0,,1957.4,-14348.4,-1663.0,-16160.7,-22328.8,-20626.0,,True,False,True,False,False,False
Kentucky,35313,31672.0,,48772.0,24325.5,33197.0,23095.9,24972.5,26833.0,-3641.0,,13459.0,-10987.5,-2116.0,-12217.1,-10340.5,-8480.0,,False,False,True,False,False,False
Louisiana,48872,100368.0,,102784.5,171898.8,102425.0,66078.7,37139.5,28337.0,51496.0,,53912.5,123026.8,53553.0,17206.7,-11732.5,-20535.0,,False,False,False,True,True,True
Maine,1322,1176.0,,859.2,1229.6,824.0,1175.3,1842.2,2180.0,-146.0,,-462.8,-92.4,-498.0,-146.7,520.2,858.0,,False,True,False,False,False,False
Maryland,33607,50488.0,,66915.8,34727.7,31083.0,106284.9,55872.4,40668.0,16881.0,,33308.8,1120.7,-2524.0,72677.9,22265.4,7061.0,,False,True,True,False,False,True
Massachusetts,18342,22176.0,,26557.3,56951.2,16515.0,42037.8,58317.5,33411.0,3834.0,,8215.3,38609.2,-1827.0,23695.8,39975.5,15069.0,,False,False,True,False,False,False
Michigan,43041,45680.0,,44690.6,27184.1,49452.0,63871.0,38252.8,47142.0,2639.0,,1649.6,-15856.9,6411.0,20830.0,-4788.2,4101.0,,True,False,False,False,False,False
Minnesota,40471,39176.0,,54361.8,22307.3,52522.0,46638.2,41338.4,37596.0,-1295.0,,13890.8,-18163.7,12051.0,6167.2,867.4,-2875.0,,False,False,False,False,True,False
Mississippi,36796,71200.0,,86558.1,126648.6,65320.0,53849.9,28628.8,23539.0,34404.0,,49762.1,89852.6,28524.0,17053.9,-8167.2,-13257.0,,False,False,True,True,True,True
Missouri,71874,84784.0,,165256.8,66556.1,69130.0,101380.0,62091.8,105741.0,12910.0,,93382.8,-5317.9,-2744.0,29506.0,-9782.2,33867.0,,False,True,True,False,True,False
Montana,7826,6576.0,,13088.5,4547.7,9761.0,3685.4,7468.3,7008.0,-1250.0,,5262.5,-3278.3,1935.0,-4140.6,-357.7,-818.0,,False,False,False,False,True,True
Nebraska,17205,15968.0,,24814.5,34447.1,13287.0,24663.0,18258.9,9350.0,-1237.0,,7609.5,17242.1,-3918.0,7458.0,1053.9,-7855.0,,False,False,False,False,True,False
Nevada,29281,58064.0,,63868.2,141949.1,48055.0,41829.8,38359.5,26466.0,28783.0,,34587.2,112668.1,18774.0,12548.8,9078.5,-2815.0,,False,False,True,True,True,True
New Hampshire,1507,1592.0,,1984.1,3832.6,1296.0,1739.0,3660.5,1138.0,85.0,,477.1,2325.6,-211.0,232.0,2153.5,-369.0,,False,False,False,False,False,False
New Jersey,20821,25368.0,,13672.4,63788.1,17400.0,19148.1,43433.5,42515.0,4547.0,,-7148.6,42967.1,-3421.0,-1672.9,22612.5,21694.0,,False,False,True,True,False,False
New Mexico,7896,16064.0,,16540.9,15069.9,14054.0,14815.3,5638.2,12474.0,8168.0,,8644.9,7173.9,6158.0,6919.3,-2257.8,4578.0,,False,True,True,True,True,True
New York,38674,36536.0,,25884.5,106452.1,16221.0,40858.2,33542.5,28682.0,-2138.0,,-12789.5,67778.1,-22453.0,2184.2,-5131.5,-9992.0,,False,False,False,False,False,False
North Carolina,80694,100680.0,,91861.1,130702.9,124496.0,72838.3,47943.4,63914.0,19986.0,,11167.1,50008.9,43802.0,-7855.7,-32750.6,-16780.0,,True,False,False,True,False,True
North Dakota,13778,6928.0,,12647.5,4764.2,6129.0,8422.0,3697.0,4461.0,-6850.0,,-1130.5,-9013.8,-7649.0,-5356.0,-10081.0,-9317.0,,True,False,False,True,False,False
Ohio,57922,71224.0,,66143.0,141070.6,66079.0,56357.1,49577.6,46858.0,13302.0,,8221.0,83148.6,8157.0,-1564.9,-8344.4,-11064.0,,True,False,True,True,True,True
Oklahoma,45779,61200.0,,61965.9,64002.7,64743.0,38861.0,27202.2,44728.0,15421.0,,16186.9,18223.7,18964.0,-6918.0,-18576.8,-1051.0,,False,False,False,True,False,True
Oregon,13764,18600.0,,19242.7,19319.8,12770.0,15422.0,16398.8,16390.0,4836.0,,5478.7,5555.8,-994.0,1658.0,2634.8,2626.0,,False,False,True,True,True,True
Pennsylvania,42465,50824.0,,57504.1,62199.7,35765.0,51411.5,35562.0,37889.0,8359.0,,15039.1,19734.7,-6700.0,8946.5,-6903.0,-4576.0,,False,False,True,False,True,True
Rhode Island,5289,6384.0,,7962.1,2647.3,4072.0,5472.8,4300.6,2744.0,1095.0,,2673.1,-2641.7,-1217.0,183.8,-988.4,-2545.0,,False,False,False,True,True,False
South Carolina,54674,84728.0,,63474.8,82355.7,74040.0,52559.1,39230.7,40578.0,30054.0,,8800.8,27681.7,19366.0,-2114.9,-15443.3,-14096.0,,True,True,True,True,True,True
South Dakota,12266,4496.0,,4882.7,4467.2,3942.0,12668.5,8488.8,3914.0,-7770.0,,-7383.3,-7798.8,-8324.0,402.5,-3777.2,-8352.0,,True,False,False,True,True,False
Tennessee,82707,139104.0,,138238.7,72236.7,108861.0,130476.9,77397.7,74353.0,56397.0,,55531.7,-10470.3,26154.0,47769.9,-5309.3,-8354.0,,True,True,True,True,True,True
Texas,312724,435616.0,,426431.1,1640787.0,493123.0,286168.3,150023.0,158689.0,122892.0,,113707.1,1328063.0,180399.0,-26555.7,-162701.0,-154035.0,,True,False,False,True,False,False
Utah,28845,24632.0,,31301.4,21063.1,21633.0,23344.5,11922.9,11809.0,-4213.0,,2456.4,-7781.9,-7212.0,-5500.5,-16922.1,-17036.0,,True,False,False,False,False,False
Vermont,318,200.0,,88.6,5.1,219.0,601.6,134.0,106.0,-118.0,,-229.4,-312.9,-99.0,283.6,-184.0,-212.0,,False,False,True,False,False,False
Virginia,54607,57536.0,,78265.4,11255.5,43416.0,79669.8,35484.5,0.0,2929.0,,23658.4,-43351.5,-11191.0,25062.8,-19122.5,-54607.0,,False,False,False,False,False,False
Washington,29303,45536.0,,53284.5,40709.4,32026.0,43515.9,41644.9,32110.0,16233.0,,23981.5,11406.4,2723.0,14212.9,12341.9,2807.0,,False,True,True,True,True,True
West Virginia,8429,7704.0,,8055.2,1152.0,7743.0,7445.4,10584.3,9707.0,-725.0,,-373.8,-7277.0,-686.0,-983.6,2155.3,1278.0,,True,False,True,False,False,False
Wisconsin,59643,49056.0,,58882.2,71159.4,39737.0,41872.3,41267.8,30515.0,-10587.0,,-760.8,11516.4,-19906.0,-17770.7,-18375.2,-29128.0,,True,False,False,False,False,False
Wyoming,2712,2584.0,,3143.5,98.2,2175.0,2915.2,1823.7,2426.0,-128.0,,431.5,-2613.8,-537.0,203.2,-888.3,-286.0,,False,False,False,False,False,False
US,2455902,3531792.0,1865205.0,3641892.4,5632057.4,3258597.0,2891974.7,1993101.4,1778623.0,1075890.0,-590697.0,1185990.4,3176155.4,802695.0,436072.7,-462800.6,-677279.0,True,False,False,True,True,True,True
