,actual_cases,COVIDhub-baseline,CDDEP-SEIR_MCMC,Columbia_UNC-SurvCon,CovidAnalytics-DELPHI,IHME-CurveFit,LANL-GrowthRate,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CDDEP-SEIR_MCMC,error-Columbia_UNC-SurvCon,error-CovidAnalytics-DELPHI,error-IHME-CurveFit,error-LANL-GrowthRate,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CDDEP-SEIR_MCMC,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IHME-CurveFit,beat_baseline-LANL-GrowthRate,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
01001,583,686.0,1277.9,,,,1427.2,565.6,,,103.0,694.9,,,,844.2,-17.4,,,False,,,,False,True,,
01003,1890,2849.0,8783.7,,,,2678.8,1017.4,,,959.0,6893.7,,,,788.8,-872.6,,,False,,,,True,True,,
01005,250,133.0,,,,,22.2,337.4,,,-117.0,,,,,-227.8,87.4,,,,,,,False,True,,
01007,204,462.0,,,,,460.7,373.6,,,258.0,,,,,256.7,169.6,,,,,,,True,True,,
01009,678,588.0,1078.5,,,,415.5,1844.2,,,-90.0,400.5,,,,-262.5,1166.2,,,False,,,,False,False,,
01011,137,189.0,,,,,64.3,55.5,,,52.0,,,,,-72.7,-81.5,,,,,,,False,False,,
01013,136,105.0,,,,,22.6,78.8,,,-31.0,,,,,-113.4,-57.2,,,,,,,False,False,,
01015,1664,2261.0,3684.8,,,,1397.6,1418.3,,,597.0,2020.8,,,,-266.4,-245.7,,,False,,,,True,True,,
01017,251,231.0,,,,,33.4,165.6,,,-20.0,,,,,-217.6,-85.4,,,,,,,False,False,,
01019,295,336.0,,,,,110.7,292.8,,,41.0,,,,,-184.3,-2.2,,,,,,,False,True,,
01021,745,805.0,,,,,548.1,1261.9,,,60.0,,,,,-196.9,516.9,,,,,,,False,False,,
01023,64,70.0,,,,,11.9,83.7,,,6.0,,,,,-52.1,19.7,,,,,,,False,False,,
01025,405,1281.0,,,,,2896.8,990.0,,,876.0,,,,,2491.8,585.0,,,,,,,False,True,,
01027,329,364.0,,,,,133.9,161.5,,,35.0,,,,,-195.1,-167.5,,,,,,,False,False,,
01029,266,98.0,,,,,7.2,62.0,,,-168.0,,,,,-258.8,-204.0,,,,,,,False,False,,
01031,552,427.0,697.0,,,,256.0,276.5,,,-125.0,145.0,,,,-296.0,-275.5,,,False,,,,False,False,,
01033,460,847.0,1396.3,,,,382.5,845.1,,,387.0,936.3,,,,-77.5,385.1,,,False,,,,True,True,,
01035,117,175.0,,,,,56.2,86.9,,,58.0,,,,,-60.8,-30.1,,,,,,,False,True,,
01037,65,84.0,,,,,49.2,117.1,,,19.0,,,,,-15.8,52.1,,,,,,,True,False,,
01039,529,350.0,,,,,57.6,178.4,,,-179.0,,,,,-471.4,-350.6,,,,,,,False,False,,
01041,197,245.0,,,,,57.0,257.2,,,48.0,,,,,-140.0,60.2,,,,,,,False,False,,
01043,594,910.0,2437.2,,,,180.8,973.9,,,316.0,1843.2,,,,-413.2,379.9,,,False,,,,False,False,,
01045,536,448.0,,,,,235.8,491.5,,,-88.0,,,,,-300.2,-44.5,,,,,,,False,True,,
01047,379,371.0,,,,,80.4,194.6,,,-8.0,,,,,-298.6,-184.4,,,,,,,False,False,,
01049,549,1036.0,1536.0,,,,674.9,603.2,,,487.0,987.0,,,,125.9,54.2,,,False,,,,True,True,,
01051,888,1071.0,2234.7,,,,597.7,842.8,,,183.0,1346.7,,,,-290.3,-45.2,,,False,,,,False,True,,
01053,420,861.0,,,,,340.8,374.5,,,441.0,,,,,-79.2,-45.5,,,,,,,True,True,,
01055,1303,1540.0,2607.4,,,,1189.1,820.1,,,237.0,1304.4,,,,-113.9,-482.9,,,False,,,,True,False,,
01057,238,259.0,,,,,322.4,181.9,,,21.0,,,,,84.4,-56.1,,,,,,,False,False,,
