,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Georgia,20968,22714.0,21844.6,21181.0,23106.0,,21494.5,20771.0,20973.4,,24743.0,22730.0,22189.5,23788.5,15390.2,22935.6,18699.7,21361.3,21166.0,,13217.3,17521.9,18985.8,23031.7,20047.6,20103.0,1746.0,876.6,213.0,2138.0,,526.5,-197.0,5.4,,3775.0,1762.0,1221.5,2820.5,-5577.8,1967.6,-2268.3,393.3,198.0,,-7750.7,-3446.1,-1982.2,2063.7,-920.4,-865.0,True,True,False,,True,True,True,,False,False,True,False,False,False,False,True,True,,False,False,False,False,True,True
Hawaii,1483,1790.0,1839.2,1802.0,1351.0,,1801.5,2181.0,2764.7,,,,1232.3,2370.4,2742.9,2886.1,1489.3,1522.0,1466.0,,1218.1,388.4,2220.4,1717.0,1141.7,1443.0,307.0,356.2,319.0,-132.0,,318.5,698.0,1281.7,,,,-250.7,887.4,1259.9,1403.1,6.3,39.0,-17.0,,-264.9,-1094.6,737.4,234.0,-341.3,-40.0,False,False,True,,False,False,False,,,,True,False,False,False,True,True,True,,True,False,False,True,False,True
Idaho,5129,3386.0,3296.5,3453.0,2521.0,,3180.2,3458.0,5204.1,,4068.0,4998.0,3495.5,4296.2,3809.4,3210.2,3436.8,2852.2,4203.0,,1073.8,3429.1,2973.6,3487.6,4347.0,3110.0,-1743.0,-1832.5,-1676.0,-2608.0,,-1948.8,-1671.0,75.1,,-1061.0,-131.0,-1633.5,-832.8,-1319.6,-1918.8,-1692.2,-2276.8,-926.0,,-4055.2,-1699.9,-2155.4,-1641.4,-782.0,-2019.0,False,True,False,,False,True,True,,True,True,True,True,True,False,True,False,True,,False,True,False,True,True,False
Illinois,26774,23794.0,23653.3,22896.0,28189.0,,22866.9,9655.0,25555.1,,25441.0,27606.0,29482.6,29886.5,21814.0,42525.5,18672.5,21463.3,26470.0,,19329.4,41324.3,21278.9,24911.9,22170.4,22518.0,-2980.0,-3120.7,-3878.0,1415.0,,-3907.1,-17119.0,-1218.9,,-1333.0,832.0,2708.6,3112.5,-4960.0,15751.5,-8101.5,-5310.7,-304.0,,-7444.6,14550.3,-5495.1,-1862.1,-4603.6,-4256.0,False,False,True,,False,False,True,,True,True,True,False,False,False,False,False,True,,False,False,False,True,False,False
Indiana,11988,11200.0,11791.2,11957.0,12142.0,,12794.0,9964.0,12454.8,,11922.0,10754.0,10692.5,13071.3,12305.1,14105.3,13804.6,12577.8,14200.0,,8425.5,18404.4,9609.7,11748.3,16789.7,10480.0,-788.0,-196.8,-31.0,154.0,,806.0,-2024.0,466.8,,-66.0,-1234.0,-1295.5,1083.3,317.1,2117.3,1816.6,589.8,2212.0,,-3562.5,6416.4,-2378.3,-239.7,4801.7,-1508.0,True,True,True,,False,False,True,,True,False,False,False,True,False,False,True,False,,False,False,False,True,False,False
Iowa,11703,9030.0,8423.7,8467.0,10752.0,,9815.7,11516.0,8859.5,,10068.0,9346.0,7843.6,11547.4,5998.7,19198.4,7421.8,7580.4,9604.0,,6704.6,7584.1,7461.4,7971.9,6396.7,7384.0,-2673.0,-3279.3,-3236.0,-951.0,,-1887.3,-187.0,-2843.5,,-1635.0,-2357.0,-3859.4,-155.6,-5704.3,7495.4,-4281.2,-4122.6,-2099.0,,-4998.4,-4118.9,-4241.6,-3731.1,-5306.3,-4319.0,False,False,True,,True,True,False,,True,True,False,True,False,False,False,False,True,,False,False,False,False,False,False
Kansas,9447,6004.0,5904.6,5738.0,5634.0,,5302.3,6914.0,4929.8,,6429.0,8033.0,5192.7,8915.1,6202.5,8504.3,3184.2,4709.1,5325.0,,3054.9,10271.4,5013.3,6333.9,3136.2,4420.0,-3443.0,-3542.4,-3709.0,-3813.0,,-4144.7,-2533.0,-4517.2,,-3018.0,-1414.0,-4254.3,-531.9,-3244.5,-942.7,-6262.8,-4737.9,-4122.0,,-6392.1,824.4,-4433.7,-3113.1,-6310.8,-5027.0,False,False,False,,False,True,False,,True,True,False,True,True,True,False,False,False,,False,True,False,True,False,False
Kentucky,9621,7902.0,7724.3,8384.0,9020.0,,9191.8,8590.0,13756.2,,9347.0,11664.0,9714.5,10179.1,8078.4,9484.5,7865.8,8118.7,8989.0,,5870.1,11248.8,6236.2,7156.2,8782.6,6846.0,-1719.0,-1896.7,-1237.0,-601.0,,-429.2,-1031.0,4135.2,,-274.0,2043.0,93.5,558.1,-1542.6,-136.5,-1755.2,-1502.3,-632.0,,-3750.9,1627.8,-3384.8,-2464.8,-838.4,-2775.0,False,True,True,,True,True,False,,True,False,True,True,True,True,False,True,True,,False,True,False,False,True,False
Louisiana,8043,9402.0,9495.0,9007.0,11715.0,,7820.6,6917.0,23202.0,,7304.0,10154.0,6798.3,7979.7,4796.3,3893.0,9623.5,8872.0,10584.0,,4638.2,2260.7,9720.0,11452.0,9264.4,6302.0,1359.0,1452.0,964.0,3672.0,,-222.4,-1126.0,15159.0,,-739.0,2111.0,-1244.7,-63.3,-3246.7,-4150.0,1580.5,829.0,2541.0,,-3404.8,-5782.3,1677.0,3409.0,1221.4,-1741.0,False,True,False,,True,True,False,,True,False,True,True,False,False,False,True,False,,False,False,False,False,True,False
Maine,424,402.0,394.6,382.0,262.0,,360.1,167.0,351.4,,398.0,774.0,439.4,511.1,589.7,386.0,340.2,371.5,451.0,,292.2,164.7,396.4,370.5,505.5,346.0,-22.0,-29.4,-42.0,-162.0,,-63.9,-257.0,-72.6,,-26.0,350.0,15.4,87.1,165.7,-38.0,-83.8,-52.5,27.0,,-131.8,-259.3,-27.6,-53.5,81.5,-78.0,False,False,False,,False,False,False,,False,False,True,False,False,False,False,False,False,,False,False,False,False,False,False
