,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
New Jersey,6513,5180.0,4982.7,5323.0,8970.0,,4142.7,97.0,4746.4,,3163.0,5863.0,6651.2,4124.1,7779.7,5985.6,4284.0,5465.1,5137.0,,6031.9,1669.2,5897.3,4645.5,3894.0,5451.0,-1333.0,-1530.3,-1190.0,2457.0,,-2370.3,-6416.0,-1766.6,,-3350.0,-650.0,138.2,-2388.9,1266.7,-527.4,-2229.0,-1047.9,-1376.0,,-481.1,-4843.8,-615.7,-1867.5,-2619.0,-1062.0,False,True,False,,False,False,False,,False,True,True,False,True,True,False,True,False,,True,False,True,False,False,True
New Mexico,2031,1226.0,1199.3,1218.0,962.0,,1405.9,830.0,1406.2,,1337.0,1800.0,1249.0,1503.3,1612.8,957.2,1227.4,1309.3,1270.0,,747.9,7024.6,1018.5,2050.8,1242.7,1021.0,-805.0,-831.7,-813.0,-1069.0,,-625.1,-1201.0,-624.8,,-694.0,-231.0,-782.0,-527.7,-418.2,-1073.8,-803.6,-721.7,-761.0,,-1283.1,4993.6,-1012.5,19.8,-788.3,-1010.0,False,False,False,,True,False,True,,True,True,True,True,True,False,True,True,True,,False,False,False,True,True,False
New York,11545,9736.0,9804.8,9644.0,13394.0,,7635.8,46.0,9845.8,,5280.0,5650.0,11762.7,9454.1,14078.7,9294.9,8352.3,10776.6,10031.0,,8402.5,2506.4,10528.7,10918.3,10539.9,9555.0,-1809.0,-1740.2,-1901.0,1849.0,,-3909.2,-11499.0,-1699.2,,-6265.0,-5895.0,217.7,-2090.9,2533.7,-2250.1,-3192.7,-768.4,-1514.0,,-3142.5,-9038.6,-1016.3,-626.7,-1005.1,-1990.0,True,False,False,,False,False,True,,False,False,True,False,False,False,False,True,True,,False,False,True,True,True,False
North Carolina,18829,15846.0,15047.5,15313.0,14990.0,,16502.0,25678.0,16199.5,,17359.0,18228.0,14923.7,18908.8,15167.5,15853.2,14739.1,15411.2,16582.0,,12379.9,40795.2,12157.3,18474.6,13607.1,12109.0,-2983.0,-3781.5,-3516.0,-3839.0,,-2327.0,6849.0,-2629.5,,-1470.0,-601.0,-3905.3,79.8,-3661.5,-2975.8,-4089.9,-3417.8,-2247.0,,-6449.1,21966.2,-6671.7,-354.4,-5221.9,-6720.0,False,False,False,,True,False,True,,True,True,False,True,False,True,False,False,True,,False,False,False,True,False,False
North Dakota,5229,3634.0,3512.9,3614.0,3026.0,,5062.2,29.0,3811.1,,4331.0,2979.0,4470.0,3698.0,1569.1,5773.6,5149.6,3837.5,5507.0,,3826.7,3258.6,3162.4,3926.8,6135.9,3508.0,-1595.0,-1716.1,-1615.0,-2203.0,,-166.8,-5200.0,-1417.9,,-898.0,-2250.0,-759.0,-1531.0,-3659.9,544.6,-79.4,-1391.5,278.0,,-1402.3,-1970.4,-2066.6,-1302.2,906.9,-1721.0,False,False,False,,True,False,True,,True,False,True,True,False,True,True,True,True,,True,False,False,True,True,False
Ohio,13441,13566.0,13752.6,13172.0,13253.0,,15141.4,11600.0,12063.1,,14585.0,13140.0,16280.7,15376.5,16720.7,13186.3,12268.6,13944.5,14953.0,,7403.1,10331.8,10119.5,13576.8,14304.5,12922.0,125.0,311.6,-269.0,-188.0,,1700.4,-1841.0,-1377.9,,1144.0,-301.0,2839.7,1935.5,3279.7,-254.7,-1172.4,503.5,1512.0,,-6037.9,-3109.2,-3321.5,135.8,863.5,-519.0,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Oklahoma,14851,10944.0,11039.1,9956.0,12562.0,,11691.7,8074.0,8608.8,,12305.0,10119.0,13967.5,14215.2,9639.1,9183.3,9685.9,10842.3,12896.0,,7412.9,36025.5,8308.5,9627.2,12169.5,10850.0,-3907.0,-3811.9,-4895.0,-2289.0,,-3159.3,-6777.0,-6242.2,,-2546.0,-4732.0,-883.5,-635.8,-5211.9,-5667.7,-5165.1,-4008.7,-1955.0,,-7438.1,21174.5,-6542.5,-5223.8,-2681.5,-4001.0,True,False,True,,True,False,False,,True,False,True,True,False,False,False,False,True,,False,False,False,False,True,False
Oregon,3425,2600.0,2607.5,2608.0,2437.0,,2638.0,2447.0,2388.9,,2790.0,2815.0,2633.6,3242.8,4898.3,2753.1,2286.7,2649.7,2450.0,,1720.4,6751.4,1979.6,2710.4,2900.5,2593.0,-825.0,-817.5,-817.0,-988.0,,-787.0,-978.0,-1036.1,,-635.0,-610.0,-791.4,-182.2,1473.3,-671.9,-1138.3,-775.3,-975.0,,-1704.6,3326.4,-1445.4,-714.6,-524.5,-832.0,True,True,False,,True,False,False,,True,True,True,True,False,True,False,True,False,,False,False,False,True,True,False
Pennsylvania,11298,10710.0,10726.9,8875.0,13602.0,,10523.6,1215.0,7607.5,,9925.0,9308.0,13680.9,10559.6,13175.7,9394.6,5970.1,9091.9,9473.0,,2559.2,25437.2,8572.0,10627.7,8172.6,11747.0,-588.0,-571.1,-2423.0,2304.0,,-774.4,-10083.0,-3690.5,,-1373.0,-1990.0,2382.9,-738.4,1877.7,-1903.4,-5327.9,-2206.1,-1825.0,,-8738.8,14139.2,-2726.0,-670.3,-3125.4,449.0,True,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,True
Rhode Island,1406,1324.0,1333.7,1000.0,924.0,,740.4,0.0,3732.1,,1058.0,3630.0,1072.9,1005.1,2086.5,1783.2,623.3,830.6,570.0,,843.9,1621.6,1381.4,1458.7,986.2,1050.0,-82.0,-72.3,-406.0,-482.0,,-665.6,-1406.0,2326.1,,-348.0,2224.0,-333.1,-400.9,680.5,377.2,-782.7,-575.4,-836.0,,-562.1,215.6,-24.6,52.7,-419.8,-356.0,True,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,True,True,False,False
South Carolina,15295,11378.0,11716.8,10929.0,10157.0,,13620.2,6031.0,11611.0,,12022.0,10573.0,14201.4,12008.0,4236.7,7059.5,18710.8,13686.2,19457.0,,6163.6,24108.9,8227.3,13356.8,24424.9,10526.0,-3917.0,-3578.2,-4366.0,-5138.0,,-1674.8,-9264.0,-3684.0,,-3273.0,-4722.0,-1093.6,-3287.0,-11058.3,-8235.5,3415.8,-1608.8,4162.0,,-9131.4,8813.9,-7067.7,-1938.2,9129.9,-4769.0,True,False,False,,True,False,True,,True,False,True,True,False,False,True,True,False,,False,False,False,True,False,False
South Dakota,4696,3096.0,3496.5,2941.0,3052.0,,3795.1,99.0,3293.4,,3198.0,3568.0,3635.9,3463.8,763.6,5157.0,2950.7,2769.1,3689.0,,2285.1,5586.3,2646.8,2458.0,3036.6,2150.0,-1600.0,-1199.5,-1755.0,-1644.0,,-900.9,-4597.0,-1402.6,,-1498.0,-1128.0,-1060.1,-1232.2,-3932.4,461.0,-1745.3,-1926.9,-1007.0,,-2410.9,890.3,-2049.2,-2238.0,-1659.4,-2546.0,True,False,False,,True,False,True,,True,True,True,True,False,True,False,False,True,,False,True,False,False,False,False
Tennessee,20000,17058.0,16999.5,14425.0,30012.0,,16492.2,12197.0,15125.3,,17394.0,15050.0,16529.2,21922.0,13296.2,13015.8,12631.6,14151.5,19934.0,,9438.2,47732.6,12178.8,17891.0,15735.3,14718.0,-2942.0,-3000.5,-5575.0,10012.0,,-3507.8,-7803.0,-4874.7,,-2606.0,-4950.0,-3470.8,1922.0,-6703.8,-6984.2,-7368.4,-5848.5,-66.0,,-10561.8,27732.6,-7821.2,-2109.0,-4264.7,-5282.0,False,False,False,,False,False,False,,True,False,False,True,False,False,False,False,True,,False,False,False,True,False,False
Texas,77375,43802.0,43658.2,43258.0,46535.0,,41874.6,41515.0,44634.7,,47617.0,65092.0,33848.5,50135.6,34559.5,50432.3,45579.7,42151.9,47762.0,,22513.3,108309.7,36734.8,54937.3,44772.4,32405.0,-33573.0,-33716.8,-34117.0,-30840.0,,-35500.4,-35860.0,-32740.3,,-29758.0,-12283.0,-43526.5,-27239.4,-42815.5,-26942.7,-31795.3,-35223.1,-29613.0,,-54861.7,30934.7,-40640.2,-22437.7,-32602.6,-44970.0,False,False,True,,False,False,True,,True,True,False,True,False,True,True,False,True,,False,True,False,True,True,False
Utah,12300,5950.0,5843.2,5747.0,5638.0,,7967.6,3165.0,5159.7,,6198.0,5240.0,7114.7,5535.6,3357.3,7209.9,6487.5,6922.7,8202.0,,6599.9,17263.7,4872.3,5788.5,8229.0,6216.0,-6350.0,-6456.8,-6553.0,-6662.0,,-4332.4,-9135.0,-7140.3,,-6102.0,-7060.0,-5185.3,-6764.4,-8942.7,-5090.1,-5812.5,-5377.3,-4098.0,,-5700.1,4963.7,-7427.7,-6511.5,-4071.0,-6084.0,False,False,False,,True,False,False,,True,False,True,False,False,True,True,True,True,,True,True,False,False,True,True
Vermont,62,60.0,59.0,69.0,64.0,,99.6,27.0,100.4,,58.0,118.0,41.6,211.6,262.0,77.5,65.0,72.0,41.0,,47.9,84.1,84.3,96.6,78.7,47.0,-2.0,-3.0,7.0,2.0,,37.6,-35.0,38.4,,-4.0,56.0,-20.4,149.6,200.0,15.5,3.0,10.0,-21.0,,-14.1,22.1,22.3,34.6,16.7,-15.0,False,False,False,,False,False,False,,False,False,False,False,False,False,False,False,False,,False,False,False,False,False,False
Virginia,12540,14374.0,14355.7,13539.0,17294.0,,14763.2,4012.0,12704.4,,15019.0,10303.0,16106.4,17634.2,11832.3,12690.1,12005.3,13823.8,15178.0,,9954.9,14085.9,13254.7,12520.9,15601.2,0.0,1834.0,1815.7,999.0,4754.0,,2223.2,-8528.0,164.4,,2479.0,-2237.0,3566.4,5094.2,-707.7,150.1,-534.7,1283.8,2638.0,,-2585.1,1545.9,714.7,-19.1,3061.2,-12540.0,True,True,False,,False,False,True,,False,False,False,False,True,True,True,True,False,,False,True,True,True,False,False
Washington,6781,5280.0,5340.4,5171.0,4664.0,,5670.8,10308.0,5161.6,,5686.0,4538.0,5470.8,5365.6,6596.8,4408.4,5166.6,5159.0,5137.0,,3741.0,3323.8,4835.6,5947.4,5449.8,5109.0,-1501.0,-1440.6,-1610.0,-2117.0,,-1110.2,3527.0,-1619.4,,-1095.0,-2243.0,-1310.2,-1415.4,-184.2,-2372.6,-1614.4,-1622.0,-1644.0,,-3040.0,-3457.2,-1945.4,-833.6,-1331.2,-1672.0,True,False,False,,True,False,False,,True,False,True,True,True,False,False,False,False,,False,False,False,True,True,False
West Virginia,2639,2470.0,2538.2,2448.0,2001.0,,3166.5,1855.0,2152.9,,2794.0,2156.0,3693.2,3455.3,2738.6,2083.0,2667.7,2738.9,3530.0,,2715.6,3847.0,2276.6,2190.6,3552.7,2633.0,-169.0,-100.8,-191.0,-638.0,,527.5,-784.0,-486.1,,155.0,-483.0,1054.2,816.3,99.6,-556.0,28.7,99.9,891.0,,76.6,1208.0,-362.4,-448.4,913.7,-6.0,True,False,False,,False,False,False,,True,False,False,False,True,False,True,True,False,,True,False,False,False,False,True
Wisconsin,26042,14606.0,15008.5,14808.0,23250.0,,17210.7,9821.0,12185.8,,16114.0,11792.0,19930.4,18655.5,10423.8,9689.2,18801.6,17281.6,21573.0,,17118.6,8148.6,12907.5,12700.9,29995.0,15850.0,-11436.0,-11033.5,-11234.0,-2792.0,,-8831.3,-16221.0,-13856.2,,-9928.0,-14250.0,-6111.6,-7386.5,-15618.2,-16352.8,-7240.4,-8760.4,-4469.0,,-8923.4,-17893.4,-13134.5,-13341.1,3953.0,-10192.0,True,True,True,,True,False,False,,True,False,True,True,False,False,True,True,True,,True,False,False,False,True,True
Wyoming,1168,614.0,625.8,562.0,459.0,,488.1,304.0,504.7,,581.0,553.0,617.9,2080.2,642.3,459.8,577.5,558.6,645.0,,675.8,348.6,560.9,427.9,895.8,590.0,-554.0,-542.2,-606.0,-709.0,,-679.9,-864.0,-663.3,,-587.0,-615.0,-550.1,912.2,-525.7,-708.2,-590.5,-609.4,-523.0,,-492.2,-819.4,-607.1,-740.1,-272.2,-578.0,True,False,False,,False,False,False,,False,False,True,False,True,False,False,False,True,,True,False,False,False,True,False
US,589188,480488.0,473678.0,477286.0,533357.0,493882.0,442549.2,350641.0,483828.8,426350.0,494827.0,563163.0,497699.2,527234.1,419777.6,483974.8,417612.3,480689.9,507575.0,440086.3,312828.6,754775.4,387686.5,469833.8,494361.5,435611.0,-108700.0,-115510.0,-111902.0,-55831.0,-95306.0,-146638.8,-238547.0,-105359.2,-162838.0,-94361.0,-26025.0,-91488.8,-61953.9,-169410.4,-105213.2,-171575.7,-108498.1,-81613.0,-149101.7,-276359.4,165587.4,-201501.5,-119354.2,-94826.5,-153577.0,False,False,True,True,False,False,True,False,True,True,True,True,False,True,False,True,True,False,False,False,False,False,True,False
