,predicted_cases,actual_cases,error,perc_error
QJHong-Encounter,831137.7,833119,-1981.3,-0.2%
JCB-PRM,825393.3,833119,-7725.7,-0.9%
UMich-RidgeTfReg,842124.8,833119,9005.8,1.1%
COVIDhub-ensemble,822582.0,833119,-10537.0,-1.3%
COVIDhub-baseline,851628.0,833119,18509.0,2.2%
CEID-Walk,853418.6,833119,20299.6,2.4%
LNQ-ens1,801220.9,833119,-31898.1,-3.8%
DDS-NBDS,865192.5,833119,32073.5,3.8%
USACE-ERDC_SEIR,787664.7,833119,-45454.3,-5.5%
Karlen-pypm,773284.2,833119,-59834.8,-7.2%
USC-SI_kJalpha,768687.0,833119,-64432.0,-7.7%
Columbia_UNC-SurvCon,904539.0,833119,71420.0,8.6%
OliverWyman-Navigator,914089.0,833119,80970.0,9.7%
IBF-TimeSeries,743245.1,833119,-89873.9,-10.8%
IowaStateLW-STEM,939822.0,833119,106703.0,12.8%
JHU_IDD-CovidSP,719296.6,833119,-113822.4,-13.7%
JHUAPL-Bucky,947406.2,833119,114287.2,13.7%
UCLA-SuEIR,691048.2,833119,-142070.8,-17.1%
Covid19Sim-Simulator,677539.6,833119,-155579.4,-18.7%
IQVIA_ACOE-STAN,601476.0,833119,-231643.0,-27.8%
CovidAnalytics-DELPHI,568059.0,833119,-265060.0,-31.8%
CU-select,1115381.0,833119,282262.0,33.9%
LANL-GrowthRate,520348.2,833119,-312770.8,-37.5%
RobertWalraven-ESG,493539.5,833119,-339579.5,-40.8%
Geneva-DetGrowth,281734.7,833119,-551384.3,-66.2%
