,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,OliverWyman-Navigator,PandemicCentral-USCounty,QJHong-Encounter,RobertWalraven-ESG,TTU-squider,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,Yu_Group-CLEP,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-OliverWyman-Navigator,error-PandemicCentral-USCounty,error-QJHong-Encounter,error-RobertWalraven-ESG,error-TTU-squider,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,error-Yu_Group-CLEP,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-OliverWyman-Navigator,beat_baseline-PandemicCentral-USCounty,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-TTU-squider,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble,beat_baseline-Yu_Group-CLEP
01001,332,122.0,130.2,,101.0,60.0,,,,,,,84.0,,166.4,60.7,,92.4,108.5,,132.0,150.0,,94.1,,114.2,,,,,56.7,346.2,-210.0,-201.8,,-231.0,-272.0,,,,,,,-248.0,,-165.6,-271.3,,-239.6,-223.5,,-200.0,-182.0,,-237.9,,-217.8,,,,,-275.3,14.2,True,,False,False,,,,,,,False,,True,False,,False,False,,True,True,,False,,False,,,,,False,True
01003,725,420.0,419.2,,400.0,1269.0,,,,,,,257.0,,465.8,469.7,,384.0,381.8,,347.0,612.0,,400.7,,469.9,304.0,,,,283.4,1285.1,-305.0,-305.8,,-325.0,544.0,,,,,,,-468.0,,-259.2,-255.3,,-341.0,-343.2,,-378.0,-113.0,,-324.3,,-255.1,-421.0,,,,-441.6,560.1,False,,False,False,,,,,,,False,,True,True,,False,False,,False,True,,False,,True,False,,,,False,False
01005,262,8.0,3.2,,7.0,0.0,,,,,,,49.0,,47.2,28.1,,2.8,8.8,,,29.0,,1.8,,,,,,,7.6,102.5,-254.0,-258.8,,-255.0,-262.0,,,,,,,-213.0,,-214.8,-233.9,,-259.2,-253.2,,,-233.0,,-260.2,,,,,,,-254.4,-159.5,False,,False,False,,,,,,,True,,True,True,,False,True,,,True,,False,,,,,,,False,True
01007,80,52.0,49.3,,37.0,12.0,,,,,,,40.0,,118.8,44.5,,17.8,36.8,,,71.0,,26.3,,,,,,,32.5,233.7,-28.0,-30.7,,-43.0,-68.0,,,,,,,-40.0,,38.8,-35.5,,-62.2,-43.2,,,-9.0,,-53.7,,,,,,,-47.5,153.7,False,,False,False,,,,,,,False,,False,False,,False,False,,,True,,False,,,,,,,False,False
01009,497,104.0,103.8,,99.0,170.0,,,,,,,81.0,,180.6,146.2,,80.0,94.4,,88.0,127.0,,58.0,,92.4,,,,,56.4,573.6,-393.0,-393.2,,-398.0,-327.0,,,,,,,-416.0,,-316.4,-350.8,,-417.0,-402.6,,-409.0,-370.0,,-439.0,,-404.6,,,,,-440.6,76.6,False,,False,True,,,,,,,False,,True,True,,False,False,,False,True,,False,,False,,,,,False,True
01011,52,16.0,13.8,,16.0,,,,,,,,53.0,,22.9,11.0,,12.9,21.6,,,27.0,,7.8,,,,,,,9.8,87.9,-36.0,-38.2,,-36.0,,,,,,,,1.0,,-29.1,-41.0,,-39.1,-30.4,,,-25.0,,-44.2,,,,,,,-42.2,35.9,False,,False,,,,,,,,True,,True,False,,False,True,,,True,,False,,,,,,,False,True
01013,51,24.0,27.7,,24.0,38.0,,,,,,,34.0,,86.2,14.6,,3.6,18.9,,,9.0,,18.2,,,,,,,22.5,31.8,-27.0,-23.3,,-27.0,-13.0,,,,,,,-17.0,,35.2,-36.4,,-47.4,-32.1,,,-42.0,,-32.8,,,,,,,-28.5,-19.2,True,,False,True,,,,,,,True,,False,False,,False,False,,,False,,False,,,,,,,False,True
01015,787,362.0,353.4,,351.0,1081.0,,,,,,,196.0,,450.5,406.6,,358.1,408.4,,476.0,40.0,,85.9,,274.1,,,,,260.7,918.6,-425.0,-433.6,,-436.0,294.0,,,,,,,-591.0,,-336.5,-380.4,,-428.9,-378.6,,-311.0,-747.0,,-701.1,,-512.9,,,,,-526.3,131.6,False,,False,True,,,,,,,False,,True,True,,False,True,,True,False,,False,,False,,,,,False,True
01017,302,20.0,18.6,,17.0,13.0,,,,,,,43.0,,61.7,45.5,,2.4,9.7,,,78.0,,7.0,,,,,,,6.6,140.1,-282.0,-283.4,,-285.0,-289.0,,,,,,,-259.0,,-240.3,-256.5,,-299.6,-292.3,,,-224.0,,-295.0,,,,,,,-295.4,-161.9,False,,False,False,,,,,,,True,,True,True,,False,False,,,True,,False,,,,,,,False,True
01019,216,56.0,53.9,,54.0,27.0,,,,,,,30.0,,88.1,54.3,,71.3,78.9,,126.0,24.0,,15.1,,,,,,,13.6,316.5,-160.0,-162.1,,-162.0,-189.0,,,,,,,-186.0,,-127.9,-161.7,,-144.7,-137.1,,-90.0,-192.0,,-200.9,,,,,,,-202.4,100.5,False,,False,False,,,,,,,False,,True,False,,True,True,,True,False,,False,,,,,,,False,True
