,predicted_cases,actual_cases,error,perc_error
IowaStateLW-STEM,563163.0,592078,-28915.0,-4.9%
CU-select,533357.0,592078,-58721.0,-9.9%
JHUAPL-Bucky,527234.1,592078,-64843.9,-11.0%
OliverWyman-Navigator,507575.0,592078,-84503.0,-14.3%
JCB-PRM,497699.2,592078,-94378.8,-15.9%
IQVIA_ACOE-STAN,494827.0,592078,-97251.0,-16.4%
USACE-ERDC_SEIR,494361.5,592078,-97716.5,-16.5%
Columbia_UNC-SurvCon,493882.0,592078,-98196.0,-16.6%
Karlen-pypm,483974.8,592078,-108103.2,-18.3%
DDS-NBDS,483828.8,592078,-108249.2,-18.3%
LNQ-ens1,480689.9,592078,-111388.1,-18.8%
COVIDhub-baseline,480488.0,592078,-111590.0,-18.8%
COVIDhub-ensemble,477286.0,592078,-114792.0,-19.4%
CEID-Walk,473678.0,592078,-118400.0,-20.0%
UMich-RidgeTfReg,469833.8,592078,-122244.2,-20.6%
Covid19Sim-Simulator,442549.2,592078,-149528.8,-25.3%
QJHong-Encounter,440086.3,592078,-151991.7,-25.7%
USC-SI_kJalpha,435611.0,592078,-156467.0,-26.4%
TTU-squider,754775.4,592078,162697.4,27.5%
IBF-TimeSeries,426350.0,592078,-165728.0,-28.0%
JHU_IDD-CovidSP,419777.6,592078,-172300.4,-29.1%
LANL-GrowthRate,417612.3,592078,-174465.7,-29.5%
UCLA-SuEIR,387686.5,592078,-204391.5,-34.5%
CovidAnalytics-DELPHI,350641.0,592078,-241437.0,-40.8%
RobertWalraven-ESG,312828.6,592078,-279249.4,-47.2%
