,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,Geneva-DetGrowth,IBF-TimeSeries,IQVIA_ACOE-STAN,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-Geneva-DetGrowth,error-IBF-TimeSeries,error-IQVIA_ACOE-STAN,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-Geneva-DetGrowth,beat_baseline-IBF-TimeSeries,beat_baseline-IQVIA_ACOE-STAN,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,7387,6518.0,6205.2,6197.0,18515.0,,6169.1,3923.0,6440.4,6174.0,,6737.0,11343.0,6421.9,8168.1,3944.6,4835.9,5907.8,6107.1,28964.0,,2947.7,6224.2,6470.4,18769.2,6063.0,-869.0,-1181.8,-1190.0,11128.0,,-1217.9,-3464.0,-946.6,-1213.0,,-650.0,3956.0,-965.1,781.1,-3442.4,-2551.1,-1479.2,-1279.9,21577.0,,-4439.3,-1162.8,-916.6,11382.2,-1324.0,False,False,False,,False,False,False,False,,True,False,False,True,False,False,False,False,False,,False,False,False,False,False
Alaska,705,522.0,522.4,532.0,85.0,,603.8,454.0,604.1,512.9,,,,569.4,550.1,639.1,421.0,581.5,565.1,570.0,,326.3,462.1,507.7,642.0,573.0,-183.0,-182.6,-173.0,-620.0,,-101.2,-251.0,-100.9,-192.1,,,,-135.6,-154.9,-65.9,-284.0,-123.5,-139.9,-135.0,,-378.7,-242.9,-197.3,-63.0,-132.0,True,True,False,,True,False,True,False,,,,True,True,True,False,True,True,True,,False,False,False,True,True
Arizona,3275,4814.0,4705.1,4425.0,4425.0,,3754.8,1628.0,4506.6,4466.5,,4724.0,4228.0,4335.6,4757.8,2213.4,4419.0,5041.3,5164.0,4776.0,,1643.9,5292.1,7087.8,5531.8,5320.0,1539.0,1430.1,1150.0,1150.0,,479.8,-1647.0,1231.6,1191.5,,1449.0,953.0,1060.6,1482.8,-1061.6,1144.0,1766.3,1889.0,1501.0,,-1631.1,2017.1,3812.8,2256.8,2045.0,True,True,True,,True,False,True,True,,True,True,True,True,True,True,False,False,True,,False,False,False,False,False
Arkansas,5595,5450.0,5435.0,5227.0,5336.0,,5196.1,3700.0,5462.7,5453.8,,6281.0,5811.0,5696.6,7488.9,2666.8,5924.6,4731.4,4936.5,7353.0,,3789.8,5115.2,4543.1,5620.7,5218.0,-145.0,-160.0,-368.0,-259.0,,-398.9,-1895.0,-132.3,-141.2,,686.0,216.0,101.6,1893.9,-2928.2,329.6,-863.6,-658.5,1758.0,,-1805.2,-479.8,-1051.9,25.7,-377.0,False,False,False,,False,False,True,True,,False,False,True,False,False,False,False,False,False,,False,False,False,True,False
California,24138,24380.0,23816.4,22333.0,22259.0,,20942.2,23285.0,25224.2,22508.9,,25713.0,28678.0,23339.0,23449.7,21946.8,21701.6,20441.8,22333.1,21685.0,,12603.0,24228.8,27728.6,22144.9,23025.0,242.0,-321.6,-1805.0,-1879.0,,-3195.8,-853.0,1086.2,-1629.1,,1575.0,4540.0,-799.0,-688.3,-2191.2,-2436.4,-3696.2,-1804.9,-2453.0,,-11535.0,90.8,3590.6,-1993.1,-1113.0,False,False,False,,False,False,False,False,,False,False,False,False,False,False,False,False,False,,False,True,False,False,False
Colorado,4154,3460.0,3542.5,3164.0,3404.0,,2627.8,316.0,3373.0,4783.9,,3393.0,3164.0,3014.9,3089.2,2514.1,2294.3,3508.0,3788.2,3798.0,,2613.4,3117.1,2730.5,4807.4,3846.0,-694.0,-611.5,-990.0,-750.0,,-1526.2,-3838.0,-781.0,629.9,,-761.0,-990.0,-1139.1,-1064.8,-1639.9,-1859.7,-646.0,-365.8,-356.0,,-1540.6,-1036.9,-1423.5,653.4,-308.0,True,False,False,,False,False,False,True,,False,False,False,False,False,False,True,True,True,,False,False,False,True,True
Connecticut,1060,1201.0,1179.5,1062.0,1292.0,,1254.2,8.0,958.3,1030.4,,788.0,1272.0,1013.9,1061.6,1185.7,1060.0,496.3,988.1,1334.0,,193.0,1203.4,1460.7,980.4,824.0,141.0,119.5,2.0,232.0,,194.2,-1052.0,-101.7,-29.6,,-272.0,212.0,-46.1,1.6,125.7,0.0,-563.7,-71.9,274.0,,-867.0,143.4,400.7,-79.6,-236.0,True,True,False,,False,False,True,True,,False,False,True,True,True,True,False,True,False,,False,False,False,True,False
Delaware,707,723.0,708.2,678.0,847.0,,880.8,4.0,696.3,665.1,,694.0,628.0,773.7,691.2,426.2,589.4,561.6,719.6,857.0,,487.4,669.9,779.8,688.7,730.0,16.0,1.2,-29.0,140.0,,173.8,-703.0,-10.7,-41.9,,-13.0,-79.0,66.7,-15.8,-280.8,-117.6,-145.4,12.6,150.0,,-219.6,-37.1,72.8,-18.3,23.0,True,False,False,,False,False,True,False,,True,False,False,True,False,False,False,True,False,,False,False,False,False,False
District of Columbia,313,409.0,420.2,321.0,190.0,,308.1,39.0,304.5,382.2,,365.0,333.0,350.0,385.5,311.7,266.2,321.0,367.6,378.0,,255.6,407.1,,380.0,418.0,96.0,107.2,8.0,-123.0,,-4.9,-274.0,-8.5,69.2,,52.0,20.0,37.0,72.5,-1.3,-46.8,8.0,54.6,65.0,,-57.4,94.1,,67.0,105.0,False,True,False,,True,False,True,True,,True,True,True,True,True,True,True,True,True,,True,True,,True,False
Florida,17449,19662.0,20427.2,19184.0,19655.0,,17568.8,9123.0,20532.4,20192.3,,20815.0,20946.0,20573.7,19184.3,13426.9,12152.9,17333.0,19313.7,19864.0,,9735.1,19659.4,20756.4,18178.3,18699.0,2213.0,2978.2,1735.0,2206.0,,119.8,-8326.0,3083.4,2743.3,,3366.0,3497.0,3124.7,1735.3,-4022.1,-5296.1,-116.0,1864.7,2415.0,,-7713.9,2210.4,3307.4,729.3,1250.0,False,True,True,,True,False,False,False,,False,False,False,True,False,False,True,True,False,,False,True,False,True,True
