,actual_cases,COVIDhub-baseline,CEID-Walk,CMU-TimeSeries,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IowaStateLW-STEM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,MITCovAlliance-SIR,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMass-MechBayes,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,UVA-Ensemble,error-COVIDhub-baseline,error-CEID-Walk,error-CMU-TimeSeries,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IowaStateLW-STEM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-MITCovAlliance-SIR,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMass-MechBayes,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,error-UVA-Ensemble,beat_baseline-CEID-Walk,beat_baseline-CMU-TimeSeries,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IowaStateLW-STEM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-MITCovAlliance-SIR,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMass-MechBayes,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha,beat_baseline-UVA-Ensemble
01001,464,180.0,206.1,,180.0,79.0,,,,,317.0,268.0,126.2,,208.7,305.0,,,37.4,84.5,,,,,306.2,-284.0,-257.9,,-284.0,-385.0,,,,,-147.0,-196.0,-337.8,,-255.3,-159.0,,,-426.6,-379.5,,,,,-157.8,True,,False,False,,,,,True,True,False,,True,True,,,False,False,,,,,True
01003,1170,1080.0,1088.8,,1169.0,2060.0,,,,,930.0,1162.7,1176.2,,1529.3,1296.6,,,105.9,1573.3,1511.0,,,,1738.3,-90.0,-81.2,,-1.0,890.0,,,,,-240.0,-7.3,6.2,,359.3,126.6,,,-1064.1,403.3,341.0,,,,568.3,True,,True,False,,,,,False,True,True,,False,False,,,False,False,False,,,,False
01005,273,0.0,0.0,,45.0,45.0,,,,,213.0,74.6,76.6,,11.2,74.7,,,37.7,33.4,,,,,53.9,-273.0,-273.0,,-228.0,-228.0,,,,,-60.0,-198.4,-196.4,,-261.8,-198.3,,,-235.3,-239.6,,,,,-219.1,False,,True,True,,,,,True,True,True,,True,True,,,True,True,,,,,True
01007,133,80.0,75.7,,81.0,37.0,,,,,174.0,225.8,90.1,,55.8,97.3,,,42.1,120.6,,,,,148.3,-53.0,-57.3,,-52.0,-96.0,,,,,41.0,92.8,-42.9,,-77.2,-35.7,,,-90.9,-12.4,,,,,15.3,False,,True,False,,,,,True,False,True,,False,True,,,False,True,,,,,True
01009,616,292.0,278.8,,284.0,363.0,,,,,286.0,424.7,368.1,,186.5,296.8,,,17.3,275.8,,,,,462.9,-324.0,-337.2,,-332.0,-253.0,,,,,-330.0,-191.3,-247.9,,-429.5,-319.2,,,-598.7,-340.2,,,,,-153.1,False,,False,True,,,,,False,True,True,,False,True,,,False,False,,,,,True
01011,70,32.0,27.1,,30.0,10.0,,,,,150.0,41.6,26.4,,8.9,40.3,,,36.6,26.2,,,,,47.6,-38.0,-42.9,,-40.0,-60.0,,,,,80.0,-28.4,-43.6,,-61.1,-29.7,,,-33.4,-43.8,,,,,-22.4,False,,False,False,,,,,False,True,False,,False,True,,,True,False,,,,,True
01013,90,100.0,112.9,,77.0,67.0,,,,,154.0,84.1,32.1,,47.5,103.0,,,56.3,52.8,,,,,129.2,10.0,22.9,,-13.0,-23.0,,,,,64.0,-5.9,-57.9,,-42.5,13.0,,,-33.7,-37.2,,,,,39.2,False,,False,False,,,,,False,True,False,,False,False,,,False,False,,,,,False
01015,1199,728.0,639.3,,691.0,1025.0,,,,,585.0,721.0,913.9,,659.9,706.3,,,310.5,617.4,,,,,1121.0,-471.0,-559.7,,-508.0,-174.0,,,,,-614.0,-478.0,-285.1,,-539.1,-492.7,,,-888.5,-581.6,,,,,-78.0,False,,False,True,,,,,False,False,True,,False,False,,,False,False,,,,,True
01017,322,0.0,1.3,,21.0,0.0,,,,,159.0,95.2,94.9,,4.4,37.9,,,12.9,32.2,,,,,24.4,-322.0,-320.7,,-301.0,-322.0,,,,,-163.0,-226.8,-227.1,,-317.6,-284.1,,,-309.1,-289.8,,,,,-297.6,True,,True,False,,,,,True,True,True,,True,True,,,True,True,,,,,True
01019,267,44.0,26.0,,48.0,38.0,,,,,106.0,211.8,134.2,,14.3,71.9,,,40.9,46.4,,,,,92.5,-223.0,-241.0,,-219.0,-229.0,,,,,-161.0,-55.2,-132.8,,-252.7,-195.1,,,-226.1,-220.6,,,,,-174.5,False,,True,False,,,,,True,True,True,,False,True,,,False,True,,,,,True
01021,560,452.0,458.7,,425.0,794.0,,,,,299.0,400.8,236.9,,630.8,576.4,,,197.3,350.7,,,,,554.7,-108.0,-101.3,,-135.0,234.0,,,,,-261.0,-159.2,-323.1,,70.8,16.4,,,-362.7,-209.3,,,,,-5.3,True,,False,False,,,,,False,False,False,,True,True,,,False,False,,,,,True
01023,35,48.0,47.0,,41.0,36.0,,,,,77.0,72.2,36.0,,1.1,27.4,,,1.9,52.4,,,,,66.4,13.0,12.0,,6.0,1.0,,,,,42.0,37.2,1.0,,-33.9,-7.6,,,-33.1,17.4,,,,,31.4,True,,True,True,,,,,False,False,True,,False,True,,,False,False,,,,,False
01025,186,128.0,146.8,,133.0,207.0,,,,,229.0,128.9,132.2,,69.2,108.2,,,147.4,182.2,,,,,224.5,-58.0,-39.2,,-53.0,21.0,,,,,43.0,-57.1,-53.8,,-116.8,-77.8,,,-38.6,-3.8,,,,,38.5,True,,True,True,,,,,True,True,True,,False,False,,,True,True,,,,,True
01027,243,104.0,91.3,,83.0,52.0,,,,,76.0,99.6,59.7,,61.3,112.8,,,12.5,85.0,,,,,140.1,-139.0,-151.7,,-160.0,-191.0,,,,,-167.0,-143.4,-183.3,,-181.7,-130.2,,,-230.5,-158.0,,,,,-102.9,False,,False,False,,,,,False,False,False,,False,True,,,False,False,,,,,True
01029,180,96.0,70.3,,66.0,139.0,,,,,59.0,209.8,43.5,,21.1,60.1,,,55.0,81.9,,,,,124.2,-84.0,-109.7,,-114.0,-41.0,,,,,-121.0,29.8,-136.5,,-158.9,-119.9,,,-125.0,-98.1,,,,,-55.8,False,,False,True,,,,,False,True,False,,False,False,,,False,False,,,,,True
01031,409,196.0,234.6,,192.0,246.0,,,,,388.0,273.9,247.1,,102.3,183.7,,,18.4,178.0,,,,,300.1,-213.0,-174.4,,-217.0,-163.0,,,,,-21.0,-135.1,-161.9,,-306.7,-225.3,,,-390.6,-231.0,,,,,-108.9,True,,False,True,,,,,True,True,True,,False,False,,,False,False,,,,,True
01033,228,324.0,345.0,,296.0,313.0,,,,,353.0,306.2,215.8,,214.3,282.9,,,138.8,301.0,,,,,588.5,96.0,117.0,,68.0,85.0,,,,,125.0,78.2,-12.2,,-13.7,54.9,,,-89.2,73.0,,,,,360.5,False,,True,True,,,,,False,True,True,,True,True,,,True,True,,,,,False
01035,107,56.0,60.4,,39.0,28.0,,,,,107.0,56.5,50.6,,6.9,43.7,0.0,,29.3,40.4,,,,,83.2,-51.0,-46.6,,-68.0,-79.0,,,,,0.0,-50.5,-56.4,,-100.1,-63.3,-107.0,,-77.7,-66.6,,,,,-23.8,True,,False,False,,,,,True,True,False,,False,False,False,,False,False,,,,,True
01037,66,0.0,0.0,,8.0,0.0,,,,,49.0,51.1,26.0,,2.4,8.7,18.9,,4.3,20.5,,,,,10.3,-66.0,-66.0,,-58.0,-66.0,,,,,-17.0,-14.9,-40.0,,-63.6,-57.3,-47.1,,-61.7,-45.5,,,,,-55.7,False,,True,False,,,,,True,True,True,,True,True,True,,True,True,,,,,True
01039,611,0.0,0.0,,66.0,60.0,,,,,302.0,122.1,175.0,,23.7,81.4,61.4,,82.7,27.8,,,,,64.8,-611.0,-611.0,,-545.0,-551.0,,,,,-309.0,-488.9,-436.0,,-587.3,-529.6,-549.6,,-528.3,-583.2,,,,,-546.2,False,,True,True,,,,,True,True,True,,True,True,True,,True,True,,,,,True
01041,151,88.0,88.1,,52.0,29.0,,,,,115.0,107.3,70.9,,41.2,44.9,0.0,,2.8,175.6,,,,,125.1,-63.0,-62.9,,-99.0,-122.0,,,,,-36.0,-43.7,-80.1,,-109.8,-106.1,-151.0,,-148.2,24.6,,,,,-25.9,True,,False,False,,,,,True,True,False,,False,False,False,,False,True,,,,,True
01043,490,252.0,167.0,,250.0,297.0,,,,,493.0,399.1,411.5,,94.9,253.5,139.1,,17.1,254.2,,,,,411.5,-238.0,-323.0,,-240.0,-193.0,,,,,3.0,-90.9,-78.5,,-395.1,-236.5,-350.9,,-472.9,-235.8,,,,,-78.5,False,,False,True,,,,,True,True,True,,False,True,False,,False,True,,,,,True
01045,390,192.0,245.6,,192.0,480.0,,,,,335.0,298.9,227.3,,114.8,199.4,124.7,,155.5,110.8,,,,,323.9,-198.0,-144.4,,-198.0,90.0,,,,,-55.0,-91.1,-162.7,,-275.2,-190.6,-265.3,,-234.5,-279.2,,,,,-66.1,True,,False,True,,,,,True,True,True,,False,True,False,,False,False,,,,,True
