,actual_cases,COVIDhub-baseline,CEID-Walk,COVIDhub-ensemble,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,DDS-NBDS,IBF-TimeSeries,IowaStateLW-STEM,JCB-PRM,JHUAPL-Bucky,JHU_IDD-CovidSP,Karlen-pypm,LANL-GrowthRate,LNQ-ens1,OliverWyman-Navigator,QJHong-Encounter,RobertWalraven-ESG,UCLA-SuEIR,UMich-RidgeTfReg,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CEID-Walk,error-COVIDhub-ensemble,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-DDS-NBDS,error-IBF-TimeSeries,error-IowaStateLW-STEM,error-JCB-PRM,error-JHUAPL-Bucky,error-JHU_IDD-CovidSP,error-Karlen-pypm,error-LANL-GrowthRate,error-LNQ-ens1,error-OliverWyman-Navigator,error-QJHong-Encounter,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-UMich-RidgeTfReg,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CEID-Walk,beat_baseline-COVIDhub-ensemble,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-DDS-NBDS,beat_baseline-IBF-TimeSeries,beat_baseline-IowaStateLW-STEM,beat_baseline-JCB-PRM,beat_baseline-JHUAPL-Bucky,beat_baseline-JHU_IDD-CovidSP,beat_baseline-Karlen-pypm,beat_baseline-LANL-GrowthRate,beat_baseline-LNQ-ens1,beat_baseline-OliverWyman-Navigator,beat_baseline-QJHong-Encounter,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-UMich-RidgeTfReg,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,19788,23742.0,21841.2,16314.0,15840.0,,24431.4,14258.0,20437.0,,20524.0,28744.8,21715.0,14557.7,14557.0,11873.5,19576.2,,,6397.9,17027.6,24407.9,10791.2,18211.0,3954.0,2053.2,-3474.0,-3948.0,,4643.4,-5530.0,649.0,,736.0,8956.8,1927.0,-5230.3,-5231.0,-7914.5,-211.8,,,-13390.1,-2760.4,4619.9,-8996.8,-1577.0,True,True,True,,False,False,True,,True,False,True,False,False,False,True,,,False,True,False,False,True
Alaska,1806,1485.0,1510.8,1465.0,1067.0,,1709.3,1271.0,1506.8,,,1496.2,2452.4,2287.0,1094.0,1623.4,1586.1,,,1299.8,1145.2,1297.2,2379.0,1426.0,-321.0,-295.2,-341.0,-739.0,,-96.7,-535.0,-299.2,,,-309.8,646.4,481.0,-712.0,-182.6,-219.9,,,-506.2,-660.8,-508.8,573.0,-380.0,True,False,False,,True,False,True,,,True,False,False,False,True,True,,,False,False,False,False,False
Arizona,11309,12690.0,12776.0,10232.0,16833.0,,10219.1,6955.0,9286.7,,11622.0,10878.1,13122.3,7211.1,3420.3,9500.6,10422.7,,,2515.8,13740.0,21512.3,9808.9,13070.0,1381.0,1467.0,-1077.0,5524.0,,-1089.9,-4354.0,-2022.3,,313.0,-430.9,1813.3,-4097.9,-7888.7,-1808.4,-886.3,,,-8793.2,2431.0,10203.3,-1500.1,1761.0,False,True,False,,True,False,False,,True,True,False,False,False,False,True,,,False,False,False,False,False
Arkansas,16065,12936.0,12916.4,12898.0,18357.0,,11936.8,14538.0,12594.2,,13401.0,13496.6,27451.3,8331.3,8295.9,12228.0,12931.3,,,10597.3,11535.8,11862.9,14794.7,11941.0,-3129.0,-3148.6,-3167.0,2292.0,,-4128.2,-1527.0,-3470.8,,-2664.0,-2568.4,11386.3,-7733.7,-7769.1,-3837.0,-3133.7,,,-5467.7,-4529.2,-4202.1,-1270.3,-4124.0,False,False,True,,False,True,False,,True,True,False,False,False,False,False,,,False,False,False,True,False
California,72137,99828.0,95114.6,86756.0,116517.0,,72695.3,93004.0,99202.3,,169428.0,74533.2,82024.4,90792.4,88982.5,62492.9,79659.4,,,45518.4,81584.1,107872.5,69317.8,70200.0,27691.0,22977.6,14619.0,44380.0,,558.3,20867.0,27065.3,,97291.0,2396.2,9887.4,18655.4,16845.5,-9644.1,7522.4,,,-26618.6,9447.1,35735.5,-2819.2,-1937.0,True,True,False,,True,True,True,,False,True,True,True,True,True,True,,,True,True,False,True,True
Colorado,9523,5838.0,5881.7,5633.0,5661.0,,5287.1,907.0,6169.2,,5807.0,5587.5,2285.9,7668.1,3806.7,4837.1,5922.6,,,3886.0,4292.4,7224.8,6556.1,5516.0,-3685.0,-3641.3,-3890.0,-3862.0,,-4235.9,-8616.0,-3353.8,,-3716.0,-3935.5,-7237.1,-1854.9,-5716.3,-4685.9,-3600.4,,,-5637.0,-5230.6,-2298.2,-2966.9,-4007.0,True,False,False,,False,False,True,,False,False,False,True,False,False,True,,,False,False,True,True,False
Connecticut,3222,2610.0,2604.7,2459.0,3201.0,,1732.2,54.0,2973.6,,2736.0,3098.2,2154.8,3656.9,3023.4,996.0,2303.7,,,381.7,3384.7,4161.6,2187.8,2069.0,-612.0,-617.3,-763.0,-21.0,,-1489.8,-3168.0,-248.4,,-486.0,-123.8,-1067.2,434.9,-198.6,-2226.0,-918.3,,,-2840.3,162.7,939.6,-1034.2,-1153.0,False,False,True,,False,False,True,,True,True,False,True,True,False,False,,,False,True,False,False,False
Delaware,2264,1629.0,1553.5,1573.0,2226.0,,1798.7,27.0,2201.7,,1497.0,1635.0,1533.1,1230.0,1341.1,1633.2,2094.8,,,3377.1,1401.4,2277.7,2409.1,3425.0,-635.0,-710.5,-691.0,-38.0,,-465.3,-2237.0,-62.3,,-767.0,-629.0,-730.9,-1034.0,-922.9,-630.8,-169.2,,,1113.1,-862.6,13.7,145.1,1161.0,False,False,True,,True,False,True,,False,True,False,False,False,True,True,,,False,False,True,True,False
District of Columbia,977,939.0,943.7,916.0,814.0,,839.3,121.0,1163.2,,959.0,973.2,1136.2,1230.4,863.0,695.0,890.1,,,511.7,939.1,,996.2,891.0,-38.0,-33.3,-61.0,-163.0,,-137.7,-856.0,186.2,,-18.0,-3.8,159.2,253.4,-114.0,-282.0,-86.9,,,-465.3,-37.9,,19.2,-86.0,True,False,False,,False,False,False,,True,True,False,False,False,False,False,,,False,True,,True,False
Florida,54815,74592.0,70015.0,58215.0,115817.0,,54635.2,34404.0,61806.7,,70791.0,60863.4,59987.7,49170.9,45470.6,42736.8,57554.0,,,29486.4,72355.3,78660.2,57195.3,63105.0,19777.0,15200.0,3400.0,61002.0,,-179.8,-20411.0,6991.7,,15976.0,6048.4,5172.7,-5644.1,-9344.4,-12078.2,2739.0,,,-25328.6,17540.3,23845.2,2380.3,8290.0,True,True,False,,True,False,True,,True,True,True,True,True,True,True,,,False,True,False,True,True
Georgia,32325,41370.0,40530.6,38246.0,42487.0,,34774.1,39245.0,39806.8,,40100.0,33298.1,40017.1,27182.9,37813.7,29778.9,39120.9,,,22685.1,33953.5,42800.1,30187.5,31734.0,9045.0,8205.6,5921.0,10162.0,,2449.1,6920.0,7481.8,,7775.0,973.1,7692.1,-5142.1,5488.7,-2546.1,6795.9,,,-9639.9,1628.5,10475.1,-2137.5,-591.0,True,True,False,,True,True,True,,True,True,True,True,True,True,True,,,False,True,False,True,True
Hawaii,2325,4662.0,4647.6,4028.0,3915.0,,4374.3,3827.0,5019.0,,,4927.0,9456.8,5481.5,5628.5,3669.6,3954.8,,,2608.0,8842.2,5058.7,3471.4,4279.0,2337.0,2322.6,1703.0,1590.0,,2049.3,1502.0,2694.0,,,2602.0,7131.8,3156.5,3303.5,1344.6,1629.8,,,283.0,6517.2,2733.7,1146.4,1954.0,True,True,True,,True,True,False,,,False,False,False,False,True,True,,,True,False,False,True,True
Idaho,6822,5418.0,5375.5,5311.0,2535.0,,4901.7,5473.0,8112.9,,5602.0,4242.3,7336.5,6693.5,5306.1,3930.1,4955.4,,,469.2,4405.1,5460.2,1387.0,4393.0,-1404.0,-1446.5,-1511.0,-4287.0,,-1920.3,-1349.0,1290.9,,-1220.0,-2579.7,514.5,-128.5,-1515.9,-2891.9,-1866.6,,,-6352.8,-2416.9,-1361.8,-5435.0,-2429.0,False,False,False,,False,True,True,,True,False,True,True,False,False,False,,,False,False,True,False,False
Illinois,38671,51108.0,51375.9,48717.0,85298.0,,41479.7,12224.0,48538.7,,36020.0,43299.6,67853.4,39528.0,64422.3,31727.7,44695.5,,,33322.0,56966.2,40658.0,65873.8,48875.0,12437.0,12704.9,10046.0,46627.0,,2808.7,-26447.0,9867.7,,-2651.0,4628.6,29182.4,857.0,25751.3,-6943.3,6024.5,,,-5349.0,18295.2,1987.0,27202.8,10204.0,False,True,False,,True,False,True,,True,True,False,True,False,True,True,,,True,False,True,False,True
Indiana,17588,19581.0,19330.8,19246.0,22047.0,,19795.5,15208.0,20293.2,,16520.0,20100.1,22807.4,21340.5,22128.7,15590.7,19185.4,,,14262.8,16935.5,17537.1,18942.7,18946.0,1993.0,1742.8,1658.0,4459.0,,2207.5,-2380.0,2705.2,,-1068.0,2512.1,5219.4,3752.5,4540.7,-1997.3,1597.4,,,-3325.2,-652.5,-50.9,1354.7,1358.0,True,True,False,,False,False,False,,True,False,False,False,False,False,True,,,False,True,True,True,True
Iowa,16218,18234.0,16977.3,17111.0,17681.0,,19753.5,20563.0,18403.5,,19579.0,25311.4,24393.5,9827.1,36212.7,11386.4,15584.1,,,10380.3,15502.1,14008.5,11577.3,13891.0,2016.0,759.3,893.0,1463.0,,3535.5,4345.0,2185.5,,3361.0,9093.4,8175.5,-6390.9,19994.7,-4831.6,-633.9,,,-5837.7,-715.9,-2209.5,-4640.7,-2327.0,True,True,True,,False,False,False,,False,False,False,False,False,False,True,,,False,True,False,False,False
Kansas,10997,12183.0,12056.0,10411.0,15012.0,,11581.6,9381.0,11764.2,,12420.0,12780.6,20183.4,10671.2,12554.0,6817.0,10113.5,,,5774.8,8320.3,11401.4,7933.4,10023.0,1186.0,1059.0,-586.0,4015.0,,584.6,-1616.0,767.2,,1423.0,1783.6,9186.4,-325.8,1557.0,-4180.0,-883.5,,,-5222.2,-2676.7,404.4,-3063.6,-974.0,True,True,False,,True,False,True,,False,False,False,True,False,False,True,,,False,False,True,False,True
Kentucky,13572,14661.0,14709.0,14429.0,17468.0,,14631.1,12887.0,25787.3,,16794.0,15825.3,19344.3,14778.3,14465.4,9734.7,13399.2,,,8244.5,12581.3,11282.6,13944.0,14199.0,1089.0,1137.0,857.0,3896.0,,1059.1,-685.0,12215.3,,3222.0,2253.3,5772.3,1206.3,893.4,-3837.3,-172.8,,,-5327.5,-990.7,-2289.4,372.0,627.0,False,True,False,,True,True,False,,False,False,False,False,True,False,True,,,False,True,False,True,True
Louisiana,12455,15690.0,14366.5,13209.0,22468.0,,12309.2,11404.0,34357.1,,14711.0,14434.2,10708.3,7675.5,6207.0,13592.9,14415.5,,,9199.6,12793.1,17026.6,13464.8,10264.0,3235.0,1911.5,754.0,10013.0,,-145.8,-1051.0,21902.1,,2256.0,1979.2,-1746.7,-4779.5,-6248.0,1137.9,1960.5,,,-3255.4,338.1,4571.6,1009.8,-2191.0,True,True,False,,True,True,False,,True,True,True,False,False,True,True,,,False,True,False,True,True
Maine,626,423.0,435.7,498.0,386.0,,493.2,257.0,678.5,,426.0,583.6,806.1,920.7,560.1,446.9,538.8,,,513.2,399.2,540.5,694.6,471.0,-203.0,-190.3,-128.0,-240.0,,-132.8,-369.0,52.5,,-200.0,-42.4,180.1,294.7,-65.9,-179.1,-87.2,,,-112.8,-226.8,-85.5,68.6,-155.0,True,True,False,,True,False,True,,True,True,True,False,True,True,True,,,True,False,True,True,True
