,actual_cases,COVIDhub-baseline,CU-select,Columbia_UNC-SurvCon,Covid19Sim-Simulator,CovidAnalytics-DELPHI,IowaStateLW-STEM,LANL-GrowthRate,RobertWalraven-ESG,UCLA-SuEIR,USACE-ERDC_SEIR,USC-SI_kJalpha,error-COVIDhub-baseline,error-CU-select,error-Columbia_UNC-SurvCon,error-Covid19Sim-Simulator,error-CovidAnalytics-DELPHI,error-IowaStateLW-STEM,error-LANL-GrowthRate,error-RobertWalraven-ESG,error-UCLA-SuEIR,error-USACE-ERDC_SEIR,error-USC-SI_kJalpha,beat_baseline-CU-select,beat_baseline-Columbia_UNC-SurvCon,beat_baseline-Covid19Sim-Simulator,beat_baseline-CovidAnalytics-DELPHI,beat_baseline-IowaStateLW-STEM,beat_baseline-LANL-GrowthRate,beat_baseline-RobertWalraven-ESG,beat_baseline-UCLA-SuEIR,beat_baseline-USACE-ERDC_SEIR,beat_baseline-USC-SI_kJalpha
Alabama,44039,44442.0,27197.0,,28371.8,34073.0,45800.0,19265.1,18517.3,51233.1,12999.8,13894.0,403.0,-16842.0,,-15667.2,-9966.0,1761.0,-24773.9,-25521.7,7194.1,-31039.2,-30145.0,False,,False,False,False,False,False,False,False,False
Alaska,3385,3258.0,3391.0,,3602.8,3113.0,,2759.6,2294.5,3715.3,5539.6,2133.0,-127.0,6.0,,217.8,-272.0,,-625.4,-1090.5,330.3,2154.6,-1252.0,True,,False,False,,False,False,False,False,False
Arizona,24172,39282.0,33139.0,,15809.3,29141.0,31562.0,18635.4,18842.9,43601.6,11402.5,13895.0,15110.0,8967.0,,-8362.7,4969.0,7390.0,-5536.6,-5329.1,19429.6,-12769.5,-10277.0,True,,True,True,True,True,True,False,True,True
Arkansas,28763,19086.0,20630.0,,24504.6,30081.0,32412.0,10532.3,14644.6,12676.5,16733.2,10044.0,-9677.0,-8133.0,,-4258.4,1318.0,3649.0,-18230.7,-14118.4,-16086.5,-12029.8,-18719.0,True,,True,True,True,False,False,False,False,False
California,189457,381636.0,749354.0,,266888.9,424063.0,328708.0,160655.6,214482.8,336928.5,319454.2,194282.0,192179.0,559897.0,,77431.9,234606.0,139251.0,-28801.4,25025.8,147471.5,129997.2,4825.0,False,,True,False,True,True,True,True,True,True
Colorado,15672,15078.0,15090.0,,12822.3,2984.0,11645.0,8232.1,10438.7,16739.7,8842.7,9664.0,-594.0,-582.0,,-2849.7,-12688.0,-4027.0,-7439.9,-5233.3,1067.7,-6829.3,-6008.0,True,,False,False,False,False,False,False,False,False
Connecticut,5702,3462.0,4433.0,,4056.6,43.0,2006.0,906.6,1109.5,4764.2,2155.9,1301.0,-2240.0,-1269.0,,-1645.4,-5659.0,-3696.0,-4795.4,-4592.5,-937.8,-3546.1,-4401.0,True,,True,False,False,False,False,True,False,False
Delaware,3776,5364.0,17049.0,,2822.9,184.0,2401.0,3059.9,2804.0,3892.4,7895.2,1386.0,1588.0,13273.0,,-953.1,-3592.0,-1375.0,-716.1,-972.0,116.4,4119.2,-2390.0,False,,True,False,True,True,True,True,False,False
District of Columbia,2056,3036.0,3050.0,,2754.5,327.0,2697.0,1473.8,,4221.0,2465.1,2290.0,980.0,994.0,,698.5,-1729.0,641.0,-582.2,,2165.0,409.1,234.0,False,,True,False,True,True,,False,True,True
Florida,129045,258360.0,311015.0,,117839.0,164105.0,157589.0,110232.1,116697.9,188823.3,123493.2,90225.0,129315.0,181970.0,,-11206.0,35060.0,28544.0,-18812.9,-12347.1,59778.3,-5551.8,-38820.0,False,,True,True,True,True,True,True,True,True
